Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,18.628,19.563,19.032,19.422,18.072,19.311,18.822,19.329,19.018,19.920,19.663,18.883,18.830,18.181,19.892,20.152,18.695,19.750,19.518,19.235,19.430,19.470,19.353,19.792,19.323,19.697,20.119,19.325,19.012,20.230,18.857,20.384,19.936,19.097,19.990,20.671,20.052,21.186,19.518,20.507,20.513,20.076,21.521,21.359,20.967
TMAX,MAMJJASO,22.325,22.880,22.761,23.064,21.592,23.352,22.692,23.284,22.579,23.557,23.517,22.832,22.326,21.546,23.585,23.720,22.402,23.535,23.009,23.239,23.076,23.603,22.633,24.092,23.026,24.183,24.419,22.758,22.523,24.422,23.067,24.334,23.990,22.883,23.992,24.434,23.819,25.479,23.173,24.242,23.974,23.916,25.126,25.515,24.309
TMAX,AMJJAS,24.313,24.421,24.936,24.393,23.688,25.289,24.605,25.563,24.049,25.027,25.587,25.401,24.587,23.754,25.265,25.261,24.271,24.519,24.551,25.431,24.912,25.327,24.356,26.519,25.149,26.381,26.475,24.692,24.419,26.055,25.387,26.371,25.849,24.866,25.584,26.656,25.933,27.157,25.615,25.889,26.236,25.661,27.374,27.249,26.498
TMAX,ONDJFM,11.880,13.410,14.579,13.101,13.331,12.784,13.237,13.472,13.397,14.418,14.945,12.333,12.869,13.177,13.146,14.557,14.024,14.688,14.684,13.541,13.635,13.642,13.838,13.582,13.159,13.202,12.926,14.258,14.471,12.993,13.402,13.137,14.812,13.082,13.932,14.230,14.710,14.663,14.056,15.063,14.949,14.207,14.706,15.736,15.769
TMAX,NDJF,11.062,11.157,13.003,10.992,11.633,11.072,10.655,11.225,11.696,12.146,12.954,10.309,11.281,12.011,11.305,13.028,11.874,12.054,12.168,11.752,11.613,11.630,11.577,11.317,12.030,10.860,10.436,12.396,12.966,10.529,11.126,11.380,12.139,11.425,11.599,11.503,13.742,12.318,11.895,13.254,13.185,12.478,13.297,13.070,14.009
TMIN,year,6.956,7.505,7.753,7.521,6.685,7.330,7.168,7.988,7.526,8.440,7.981,7.260,7.097,6.765,7.791,8.219,7.600,8.459,7.629,7.595,7.538,7.895,8.023,8.334,7.529,7.239,8.390,7.300,7.445,8.037,7.703,8.376,7.563,7.558,8.457,8.317,8.235,8.149,8.096,8.004,8.622,8.164,9.133,8.860,8.953
TMIN,MAMJJASO,9.610,10.246,10.080,10.106,8.923,9.942,9.881,10.616,9.985,10.735,10.785,10.038,9.818,9.316,10.292,10.372,9.772,10.798,10.234,10.738,10.129,10.918,10.157,11.223,10.187,10.615,11.398,9.893,9.942,10.690,10.345,10.982,10.462,10.310,10.868,11.051,10.565,11.134,10.728,10.517,10.989,10.617,11.810,11.872,11.218
TMIN,AMJJAS,10.956,11.339,11.711,11.388,10.526,11.514,11.108,12.066,11.372,12.038,12.195,11.497,11.391,10.811,11.411,11.649,11.231,11.926,11.755,12.171,11.615,11.682,11.243,12.721,11.586,12.081,12.580,11.366,11.399,11.990,12.018,12.472,11.994,11.298,12.032,12.505,12.032,12.483,12.321,11.876,12.674,12.069,12.938,13.090,12.355
TMIN,ONDJFM,2.318,2.605,4.324,2.810,3.516,3.072,3.336,3.359,4.182,3.398,5.349,3.179,2.314,3.097,3.269,4.230,4.909,4.240,5.040,2.482,3.074,4.748,3.557,4.408,3.871,2.408,3.201,4.623,3.357,2.985,4.261,3.524,3.207,4.162,4.085,4.144,4.745,4.221,3.450,3.796,4.994,4.289,3.987,5.175,5.600
TMIN,NDJF,1.790,0.528,3.546,1.329,2.732,2.396,1.986,1.590,3.399,1.667,4.660,1.181,1.022,2.031,2.031,3.186,3.930,3.391,3.766,1.030,1.302,3.401,1.460,3.051,2.897,0.446,1.185,3.399,2.165,1.493,2.987,2.365,1.762,2.850,2.581,2.376,4.079,2.711,1.759,2.659,3.922,3.617,2.474,3.429,4.238
TAVG,year,12.766,13.500,13.351,13.449,12.365,13.317,12.992,13.648,13.266,14.178,13.821,13.064,12.963,12.470,13.820,14.170,13.137,14.088,13.547,13.386,13.466,13.671,13.675,14.051,13.412,13.450,14.247,13.306,13.184,14.101,13.254,14.353,13.728,13.304,14.202,14.473,14.124,14.652,13.787,14.241,14.547,14.100,15.309,15.089,14.948
TAVG,MAMJJASO,15.915,16.510,16.357,16.544,15.229,16.625,16.262,16.922,16.256,17.128,17.138,16.418,16.057,15.418,16.909,17.019,16.067,17.144,16.588,16.958,16.585,17.247,16.383,17.645,16.593,17.380,17.898,16.317,16.183,17.520,16.679,17.634,17.206,16.574,17.406,17.723,17.174,18.292,16.932,17.364,17.462,17.245,18.452,18.671,17.752
TAVG,AMJJAS,17.564,17.820,18.248,17.842,17.063,18.366,17.820,18.776,17.683,18.507,18.871,18.419,17.970,17.262,18.303,18.424,17.727,18.193,18.116,18.764,18.243,18.492,17.787,19.609,18.354,19.214,19.517,18.022,17.862,18.989,18.678,19.399,18.903,18.062,18.786,19.563,18.966,19.808,18.953,18.869,19.436,18.845,20.142,20.149,19.417
TAVG,ONDJFM,7.116,8.017,9.444,7.938,8.444,7.953,8.315,8.449,8.797,8.931,10.164,7.771,7.609,8.153,8.214,9.378,9.477,9.461,9.849,7.999,8.331,9.181,8.686,8.986,8.499,7.790,8.056,9.439,8.883,7.953,8.803,8.299,8.981,8.598,8.986,9.163,9.704,9.422,8.731,9.410,9.948,9.228,9.323,10.434,10.663
TAVG,NDJF,6.447,5.865,8.290,6.144,7.213,6.762,6.357,6.446,7.572,6.942,8.830,5.766,6.175,7.045,6.677,8.094,7.923,7.719,7.952,6.378,6.426,7.503,6.508,7.176,7.448,5.639,5.805,7.894,7.543,5.981,7.034,6.842,6.920,7.115,7.069,6.920,8.887,7.494,6.809,7.939,8.533,8.030,7.863,8.230,9.104
RH,year,67.108,64.789,67.774,66.603,67.667,65.496,66.679,67.731,68.368,66.753,66.647,66.193,65.903,67.377,64.916,63.847,66.963,66.760,64.901,65.046,64.598,64.811,66.126,65.648,65.746,62.182,64.510,64.580,66.037,62.601,65.727,64.357,61.189,65.113,65.082,62.234,64.723,59.607,66.741,61.090,65.357,64.495,61.545,60.988,64.650
RH,MAMJJASO,62.803,61.660,61.985,61.426,62.616,59.689,61.772,61.741,63.949,61.521,61.303,61.200,61.242,62.696,59.351,57.891,61.231,60.636,60.408,60.786,59.621,59.885,61.161,59.860,60.781,57.091,58.700,60.383,60.984,55.755,59.479,58.349,55.486,60.709,58.519,56.939,58.051,53.866,61.987,55.566,59.878,58.706,56.267,55.417,59.171
RH,AMJJAS,60.294,59.732,59.796,60.148,60.260,58.393,58.252,58.234,63.132,59.873,58.906,56.737,58.319,59.894,55.576,56.005,58.892,60.218,59.282,57.713,57.776,55.942,57.967,56.025,57.953,53.855,55.193,58.487,58.717,53.354,56.857,55.936,53.043,56.635,56.196,53.221,54.664,51.292,59.035,53.584,57.074,56.799,51.869,53.059,54.275
RH,ONDJFM,75.873,70.475,72.206,74.496,74.222,75.084,72.970,75.305,76.329,72.703,74.354,76.536,72.328,73.730,74.837,73.772,74.691,72.423,73.742,69.956,71.887,74.579,72.376,74.593,76.105,70.321,73.418,73.179,70.253,73.750,74.128,73.657,66.776,76.211,72.514,72.109,73.569,72.902,69.709,68.876,73.788,73.183,70.796,69.608,72.701
RH,NDJF,77.820,71.770,75.408,77.422,77.869,78.966,77.186,77.202,79.806,75.153,79.073,77.508,74.148,75.496,77.089,76.220,78.420,78.396,78.357,71.811,74.045,76.833,73.720,77.154,77.623,72.850,75.517,76.560,72.461,77.513,77.870,76.156,72.023,77.631,75.498,75.627,75.395,76.113,71.894,72.376,76.502,77.601,70.956,74.017,75.003
RHmin,year,48.332,46.167,49.407,47.759,49.335,47.012,48.257,49.546,49.604,48.748,48.187,48.035,47.552,48.929,46.524,45.990,49.394,48.987,46.595,46.999,46.537,47.099,48.503,48.117,47.435,44.096,46.878,46.227,47.919,45.104,48.584,46.553,43.917,47.514,47.647,44.544,47.172,41.892,48.847,43.668,47.415,46.705,44.329,43.601,46.761
RHmin,MAMJJASO,44.205,43.518,43.508,42.921,44.260,41.291,43.578,43.691,45.220,43.256,43.322,43.319,43.629,44.869,41.448,40.034,43.220,42.755,42.613,43.306,42.015,42.554,43.672,42.516,42.929,39.644,41.439,42.487,43.287,38.609,42.259,40.881,38.876,43.453,41.058,40.001,40.852,36.736,44.414,38.535,42.425,41.041,39.863,38.745,41.933
RHmin,AMJJAS,41.837,41.834,41.521,42.211,42.209,40.196,40.504,40.388,44.814,42.092,40.948,38.924,40.862,42.090,38.331,38.616,41.277,42.711,42.010,40.338,40.495,38.714,40.810,38.835,40.208,36.712,38.027,40.871,41.430,36.714,39.818,38.623,37.048,39.470,39.077,36.610,37.945,34.786,41.393,37.031,40.037,39.630,35.575,36.594,37.378
RHmin,ONDJFM,56.855,51.013,53.524,54.725,55.719,56.310,54.595,55.683,58.211,52.501,56.553,58.072,52.916,54.686,55.877,54.402,57.305,54.020,55.846,50.368,52.560,57.406,53.294,56.949,57.677,51.054,55.086,55.191,50.583,55.211,56.750,55.631,48.065,58.507,54.428,53.962,54.957,53.942,51.442,50.019,55.391,54.976,51.940,51.609,54.322
RHmin,NDJF,58.725,51.976,57.057,57.566,59.622,60.581,59.263,57.605,62.099,54.769,61.969,58.540,54.446,55.879,58.124,56.629,61.839,60.730,60.842,51.898,54.076,59.868,54.218,60.027,58.873,53.038,56.966,58.379,52.551,59.033,60.803,58.134,53.029,59.867,57.588,57.517,56.655,57.117,53.309,53.192,58.233,59.586,51.687,55.783,56.228
PREC,year,509.016,508.415,544.362,495.213,620.738,507.973,512.668,637.913,574.645,653.997,458.909,481.372,520.674,522.910,469.068,488.747,735.722,698.291,443.758,520.040,602.750,547.526,622.081,633.750,492.686,391.959,570.588,498.499,658.037,609.773,780.361,518.250,510.641,691.288,652.603,470.363,637.732,439.977,752.166,584.172,607.335,566.559,533.580,543.158,666.809
PREC,MAMJJASO,317.258,305.181,288.540,254.252,349.932,199.568,295.415,340.037,379.151,312.483,303.272,299.407,404.407,411.845,258.066,183.404,294.973,324.940,298.833,380.372,349.686,333.101,366.632,348.914,334.842,252.659,347.224,344.088,452.645,261.605,383.910,294.334,336.081,425.245,306.148,296.499,324.962,229.323,497.515,298.019,392.424,299.455,321.533,357.408,468.020
PREC,AMJJAS,207.972,224.866,187.519,212.603,219.063,155.001,190.172,193.187,297.509,239.551,186.931,156.569,267.789,260.363,179.044,146.508,219.606,274.709,251.463,220.529,246.990,148.598,242.677,177.752,182.878,129.447,178.892,250.058,320.038,168.813,227.549,178.500,220.435,211.515,202.488,170.157,216.780,149.904,252.252,215.087,236.460,225.377,165.125,228.106,201.250
PREC,ONDJFM,153.417,249.073,315.084,288.634,380.077,428.045,338.302,313.935,425.724,237.858,389.061,370.085,221.736,237.761,316.678,278.390,472.868,393.160,406.083,204.670,245.091,566.529,255.031,445.700,423.893,225.488,345.684,382.093,225.257,384.716,554.217,442.406,223.811,537.605,405.387,386.327,368.157,352.902,412.796,305.294,433.401,378.293,311.493,335.066,477.936
PREC,NDJF,96.979,146.135,252.713,199.288,281.880,340.202,294.714,220.282,284.154,134.481,334.438,193.870,124.815,105.157,189.427,184.841,413.035,359.180,336.661,129.506,106.617,380.621,126.759,332.503,231.230,109.293,187.420,229.473,142.148,245.959,434.371,288.079,154.640,292.680,294.162,276.417,239.079,246.413,233.865,191.737,290.152,290.449,148.227,262.215,247.881
SRAD,year,5740.448,5744.132,5640.219,5626.132,5524.297,5746.192,5767.345,5641.261,5679.882,5725.008,5829.702,5736.342,5595.183,5532.713,5782.003,5856.375,5719.205,5601.115,5724.906,5720.831,5727.236,5721.904,5563.245,5667.998,5712.351,5913.594,5738.254,5778.120,5693.077,5875.784,5659.903,5853.040,5959.020,5672.977,5701.261,5786.688,5757.823,6058.304,5655.707,6020.302,5481.666,5766.557,5103.796,4826.710,5909.237
SRAD,MAMJJASO,4769.540,4726.722,4734.759,4702.301,4612.900,4872.618,4825.815,4745.922,4706.636,4844.736,4841.815,4815.852,4624.978,4574.434,4819.377,4930.320,4830.357,4721.245,4745.137,4724.017,4750.533,4769.274,4638.383,4766.957,4743.786,4894.923,4799.417,4794.945,4729.039,4944.229,4800.292,4880.002,4920.030,4706.527,4829.140,4785.515,4841.339,5039.285,4711.636,5002.264,4495.927,4819.778,4045.859,3823.873,4911.803
SRAD,AMJJAS,3974.658,3937.992,3903.595,3843.804,3818.337,3990.294,3995.702,3986.313,3826.692,3980.120,4037.268,4084.648,3878.563,3803.810,3972.260,4010.563,3968.850,3765.691,3846.425,3931.373,3898.536,4010.925,3851.691,3998.323,3972.346,4072.373,4008.265,3925.279,3888.323,4033.350,3989.339,4029.878,3998.042,3943.038,3964.527,3984.592,4010.257,4124.060,3924.225,4063.650,3693.843,3913.203,3312.275,2931.796,4155.296
SRAD,ONDJFM,926.543,1802.817,1808.068,1751.051,1730.084,1707.976,1749.331,1795.550,1725.608,1840.741,1747.705,1656.742,1758.318,1738.052,1758.757,1827.427,1756.247,1870.728,1777.187,1879.938,1851.504,1648.205,1775.890,1680.382,1665.090,1850.275,1751.963,1730.061,1917.507,1808.849,1673.439,1762.960,2044.143,1685.825,1757.052,1800.669,1763.896,1813.381,1848.421,1963.467,1799.657,1706.577,1938.890,1866.937,1778.486
SRAD,NDJF,495.322,1032.054,946.732,936.425,922.080,863.704,867.725,965.984,914.660,1000.374,888.436,936.298,971.965,975.538,933.188,978.111,886.330,900.212,885.987,1015.887,1040.334,880.634,985.258,883.081,925.052,1030.741,952.545,907.584,1038.528,945.940,852.735,952.110,1068.372,920.870,909.202,949.075,957.971,960.262,1007.127,1039.821,972.595,887.373,1107.909,996.948,966.148
WIND,year,2.461,2.531,2.490,2.519,2.627,2.526,2.590,2.633,2.629,2.490,2.414,2.449,2.450,2.393,2.461,2.533,2.435,2.235,2.320,2.349,2.319,2.407,2.447,2.445,2.382,2.401,2.342,2.324,2.334,2.567,2.571,2.384,2.528,2.615,2.598,2.430,2.494,2.448,2.450,2.592,2.413,2.462,2.437,2.489,2.482
WIND,MAMJJASO,2.501,2.467,2.511,2.657,2.642,2.518,2.563,2.722,2.598,2.514,2.510,2.546,2.585,2.587,2.504,2.511,2.383,2.280,2.455,2.398,2.387,2.453,2.490,2.440,2.470,2.479,2.496,2.430,2.448,2.548,2.553,2.473,2.667,2.612,2.571,2.528,2.548,2.492,2.563,2.604,2.520,2.426,2.571,2.566,2.616
WIND,AMJJAS,2.441,2.451,2.455,2.704,2.644,2.534,2.633,2.717,2.526,2.522,2.460,2.552,2.537,2.579,2.645,2.526,2.421,2.339,2.537,2.394,2.455,2.409,2.495,2.453,2.475,2.531,2.453,2.437,2.396,2.628,2.533,2.504,2.812,2.589,2.619,2.589,2.627,2.575,2.426,2.688,2.476,2.495,2.608,2.546,2.576
WIND,ONDJFM,2.554,2.530,2.537,2.495,2.551,2.585,2.573,2.424,2.795,2.305,2.473,2.427,2.311,2.195,2.419,2.465,2.428,2.104,2.282,2.181,2.081,2.579,2.221,2.482,2.340,2.286,2.259,2.294,2.158,2.313,2.701,2.400,2.191,2.589,2.659,2.390,2.408,2.174,2.486,2.247,2.460,2.481,2.262,2.381,2.503
WIND,NDJF,2.333,2.505,2.517,2.381,2.573,2.527,2.714,2.413,2.697,2.222,2.481,2.263,2.171,2.056,2.393,2.408,2.554,2.142,2.264,2.112,2.017,2.573,2.141,2.560,2.281,2.183,2.125,2.112,1.994,2.325,2.801,2.336,2.170,2.555,2.748,2.451,2.363,2.162,2.330,2.156,2.455,2.487,2.217,2.333,2.367
VPD,year,0.663,0.727,0.669,0.692,0.640,0.733,0.687,0.692,0.645,0.722,0.723,0.724,0.693,0.642,0.767,0.771,0.673,0.686,0.733,0.731,0.747,0.752,0.708,0.783,0.731,0.816,0.799,0.724,0.704,0.856,0.749,0.809,0.870,0.753,0.766,0.866,0.819,0.940,0.737,0.865,0.809,0.793,0.951,0.922,0.836
VPD,MAMJJASO,0.864,0.915,0.884,0.906,0.840,0.970,0.903,0.924,0.841,0.944,0.951,0.957,0.901,0.837,1.010,1.005,0.887,0.902,0.948,0.952,0.973,0.990,0.914,1.049,0.959,1.080,1.065,0.926,0.918,1.139,1.005,1.072,1.154,0.980,1.019,1.129,1.095,1.238,0.965,1.125,1.060,1.043,1.243,1.212,1.091
VPD,AMJJAS,1.000,1.036,1.028,1.009,0.980,1.096,1.067,1.099,0.942,1.068,1.107,1.158,1.058,0.986,1.188,1.134,1.024,0.978,1.071,1.119,1.114,1.156,1.062,1.255,1.113,1.264,1.242,1.065,1.063,1.299,1.180,1.217,1.336,1.159,1.155,1.333,1.285,1.399,1.132,1.277,1.243,1.191,1.462,1.368,1.305
VPD,ONDJFM,0.277,0.372,0.388,0.322,0.338,0.307,0.365,0.312,0.304,0.362,0.372,0.285,0.334,0.323,0.313,0.348,0.355,0.396,0.374,0.374,0.363,0.342,0.364,0.333,0.297,0.380,0.340,0.369,0.394,0.342,0.362,0.338,0.475,0.308,0.375,0.395,0.365,0.387,0.436,0.436,0.389,0.373,0.403,0.470,0.437
VPD,NDJF,0.239,0.293,0.308,0.240,0.244,0.227,0.246,0.244,0.228,0.271,0.265,0.228,0.275,0.272,0.245,0.281,0.254,0.260,0.252,0.304,0.289,0.262,0.286,0.256,0.253,0.279,0.253,0.276,0.326,0.240,0.259,0.264,0.310,0.247,0.280,0.271,0.317,0.276,0.322,0.334,0.297,0.272,0.353,0.317,0.329
FWI_FD,year,8.015,10.064,8.421,9.667,8.066,10.411,8.945,8.530,7.660,8.486,8.694,9.237,8.326,7.999,10.605,11.122,7.863,7.458,9.159,8.682,9.620,9.558,8.280,9.344,9.023,11.522,9.532,9.016,8.157,11.875,8.385,10.463,12.606,9.605,9.785,11.294,10.963,13.142,8.474,11.994,9.852,9.730,12.664,12.535,10.267
FWI_FD,MAMJJASO,11.095,11.816,12.001,13.494,11.347,14.834,12.568,12.332,10.677,11.715,12.301,13.071,11.354,11.026,14.924,15.223,11.167,10.673,12.300,11.962,13.442,13.336,11.395,13.514,12.346,15.828,13.657,11.802,11.419,16.440,12.044,14.878,17.501,12.771,13.988,15.301,15.428,17.625,11.903,16.455,13.722,13.549,17.069,16.970,14.125
FWI_FD,AMJJAS,13.123,13.638,14.188,14.709,13.676,16.259,15.977,15.538,11.874,13.347,14.846,16.734,13.507,13.698,18.427,17.179,13.375,11.553,14.257,14.950,15.528,16.842,14.227,17.152,14.379,19.331,16.772,14.104,13.712,19.543,14.812,16.746,20.976,15.821,16.824,18.881,18.607,20.173,14.326,18.692,16.305,15.781,20.764,19.613,17.806
FWI_FD,ONDJFM,1.345,4.450,5.521,3.294,3.579,2.354,4.514,2.034,2.006,3.426,3.636,1.483,3.131,2.714,2.437,3.257,3.409,3.975,2.794,3.686,3.359,2.253,2.732,1.915,1.628,4.696,2.395,2.848,4.080,2.398,3.170,2.333,6.496,1.832,3.870,2.908,3.450,3.318,5.696,4.826,3.598,3.275,4.154,5.132,4.267
FWI_FD,NDJF,1.069,3.526,4.768,1.886,1.485,0.881,1.456,1.404,0.948,2.113,1.617,0.927,2.189,2.265,1.509,2.183,1.710,1.493,0.853,3.320,2.232,1.012,2.428,1.313,1.350,3.215,1.252,1.441,3.478,1.131,2.199,1.475,2.945,1.347,2.849,1.548,3.269,1.710,4.070,2.542,2.068,1.371,3.746,2.757,3.215
FWI_3+,year,64.918,75.961,70.590,83.734,71.890,101.715,81.319,76.440,65.292,66.551,75.432,85.001,63.644,67.124,93.402,97.229,64.713,48.729,74.099,70.984,85.831,86.353,68.825,85.500,79.853,106.371,84.216,69.083,66.233,98.246,68.625,97.050,105.898,76.667,84.498,91.582,98.945,112.956,72.158,99.940,83.027,74.688,106.639,104.801,86.807
FWI_3+,MAMJJASO,64.679,70.597,70.414,83.621,71.726,101.030,81.283,76.435,65.250,66.239,75.354,84.969,63.550,67.097,93.260,95.127,64.484,48.705,73.699,70.823,85.747,86.194,68.343,85.472,79.463,105.981,84.206,67.914,66.215,96.695,68.389,96.928,105.183,74.160,84.192,91.120,97.838,109.069,71.626,99.133,82.593,74.179,104.536,101.590,85.374
FWI_3+,AMJJAS,60.764,68.234,67.614,72.308,69.198,82.768,81.089,76.238,58.690,60.893,73.849,84.757,61.416,66.151,92.443,87.326,63.398,46.225,72.593,70.231,80.495,85.664,67.998,85.150,70.465,100.851,81.598,67.082,64.545,91.478,66.753,79.698,100.956,72.023,82.231,89.314,90.208,95.558,65.422,88.438,76.889,70.840,97.011,90.821,82.682
FWI_3+,ONDJFM,0.037,4.946,7.221,3.178,11.059,2.616,18.942,0.333,1.103,5.690,5.899,1.173,1.026,1.486,1.489,2.291,8.026,2.579,1.645,1.241,1.872,4.509,0.398,0.734,0.315,9.909,5.069,3.022,2.128,1.741,6.101,1.972,21.342,1.250,5.082,1.725,3.206,7.665,17.881,10.952,7.130,6.345,4.078,12.476,12.175
FWI_3+,NDJF,0.017,0.775,4.889,0.146,0.201,0.039,0.699,0.016,0.011,0.047,0.345,0.029,0.047,0.103,0.135,0.222,1.893,0.229,0.025,0.520,0.098,0.045,0.220,0.425,0.012,0.719,0.049,0.021,1.171,0.024,1.531,0.330,0.736,0.374,2.380,0.210,1.054,0.416,4.348,0.506,0.514,0.356,1.307,1.440,4.307
FWI_4+,year,18.493,21.456,19.023,23.132,24.509,36.965,32.878,23.814,19.328,21.517,24.798,33.778,19.748,25.191,43.747,28.355,22.549,9.129,29.510,26.719,36.696,35.004,27.131,40.648,27.729,45.778,36.411,26.213,30.250,54.365,32.074,44.600,64.579,36.635,39.200,47.633,55.193,56.964,32.543,52.633,42.796,37.162,62.621,56.126,44.940
FWI_4+,MAMJJASO,18.473,21.149,19.010,23.128,24.491,36.926,32.877,23.814,19.326,21.499,24.796,33.777,19.745,25.190,43.746,28.182,22.547,9.128,29.504,26.716,36.694,34.992,27.104,40.646,27.697,45.737,36.411,26.107,30.250,54.257,32.064,44.584,64.515,36.288,39.178,47.594,55.106,56.653,32.482,52.602,42.789,37.127,62.473,55.839,44.728
FWI_4+,AMJJAS,18.188,21.081,18.710,22.605,24.290,35.429,32.872,23.804,18.885,21.302,24.689,33.774,19.573,25.096,43.735,27.844,22.458,8.989,29.464,26.707,36.332,34.957,27.094,40.642,26.251,45.088,36.241,26.048,30.108,53.782,31.969,39.363,64.236,36.199,39.043,47.399,53.358,51.964,30.590,51.426,42.220,36.986,61.177,54.035,44.437
FWI_4+,ONDJFM,0.001,0.353,0.350,0.349,0.484,0.206,1.534,0.013,0.095,0.357,0.221,0.095,0.028,0.153,0.104,0.162,0.352,0.128,0.112,0.040,0.054,0.355,0.015,0.035,0.005,1.520,0.649,0.201,0.183,0.117,0.557,0.121,5.559,0.029,0.493,0.086,0.372,1.692,5.073,2.186,0.923,0.581,0.185,1.919,1.860
FWI_4+,NDJF,0.001,0.053,0.276,0.011,0.019,0.002,0.039,0.000,0.000,0.004,0.017,0.001,0.001,0.004,0.002,0.008,0.165,0.002,0.001,0.008,0.002,0.002,0.015,0.025,0.000,0.071,0.002,0.001,0.106,0.004,0.105,0.026,0.064,0.021,0.347,0.008,0.100,0.021,0.371,0.015,0.017,0.008,0.073,0.124,0.478
FWI_5+,year,0.555,0.956,0.699,1.497,1.504,1.860,2.655,0.829,0.489,1.312,0.780,2.098,0.498,1.406,6.064,2.646,1.357,0.116,1.814,1.929,2.498,2.539,1.807,5.125,1.590,3.989,4.284,2.464,2.692,12.989,4.907,5.025,17.180,6.969,5.257,10.687,10.689,12.689,5.442,10.919,8.864,8.535,18.755,15.988,10.271
FWI_5+,MAMJJASO,0.555,0.935,0.699,1.497,1.503,1.858,2.655,0.829,0.489,1.311,0.780,2.097,0.498,1.406,6.064,2.613,1.357,0.116,1.814,1.929,2.498,2.538,1.807,5.125,1.588,3.987,4.284,2.455,2.692,12.988,4.906,5.024,17.178,6.932,5.256,10.680,10.686,12.674,5.435,10.919,8.864,8.532,18.749,15.974,10.260
FWI_5+,AMJJAS,0.531,0.932,0.684,1.476,1.477,1.811,2.655,0.829,0.476,1.296,0.777,2.097,0.488,1.402,6.064,2.580,1.347,0.105,1.812,1.929,2.476,2.538,1.806,5.125,1.573,3.971,4.280,2.452,2.686,12.957,4.905,4.883,17.160,6.932,5.240,10.679,10.670,12.438,5.341,10.871,8.823,8.527,18.644,15.886,10.251
FWI_5+,ONDJFM,0.000,0.027,0.022,0.022,0.015,0.026,0.049,0.001,0.003,0.010,0.016,0.003,0.001,0.009,0.004,0.033,0.034,0.011,0.010,0.001,0.003,0.019,0.001,0.002,0.000,0.018,0.017,0.006,0.011,0.008,0.030,0.002,0.161,0.000,0.044,0.012,0.012,0.014,0.258,0.105,0.038,0.040,0.010,0.137,0.088
FWI_5+,NDJF,0.000,0.002,0.020,0.000,0.001,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.004,0.000,0.000,0.009,0.000,0.001,0.001,0.002,0.000,0.039,0.001,0.009,0.001,0.022,0.000,0.000,0.000,0.005,0.004,0.025
FWI_6,year,0.012,0.049,0.033,0.103,0.078,0.091,0.147,0.031,0.013,0.035,0.011,0.076,0.012,0.067,0.230,0.081,0.052,0.003,0.051,0.042,0.044,0.098,0.049,0.090,0.021,0.101,0.138,0.125,0.040,1.081,0.138,0.184,1.411,0.199,0.143,0.625,0.455,0.594,0.158,0.689,0.358,0.736,1.820,1.090,0.465
