Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,11.974,11.899,12.581,12.629,12.540,11.477,11.424,11.662,12.379,13.299,13.358,12.298,12.441,11.987,12.587,13.256,11.945,13.359,12.792,13.183,12.813,12.643,13.136,13.664,13.143,13.081,13.507,13.369,12.751,12.891,11.976,13.578,12.531,12.561,13.706,13.133,13.142,13.371,13.489,13.272,13.575,13.143,14.095,13.859,13.511
TMAX,MAMJJASO,14.346,14.585,15.197,15.031,15.186,14.225,13.926,14.214,14.577,15.828,15.868,15.098,14.890,14.269,14.778,16.149,14.831,15.939,14.898,15.769,15.247,15.254,15.388,16.423,15.521,15.729,16.240,15.669,15.045,15.813,15.494,16.006,14.875,15.090,16.288,15.121,15.603,16.011,16.211,15.758,15.980,15.799,16.827,16.355,15.788
TMAX,AMJJAS,16.140,16.111,16.781,16.493,16.891,15.547,15.028,15.866,15.929,17.140,17.044,16.413,16.664,15.739,16.048,17.660,16.373,17.258,16.143,17.204,16.591,16.522,16.772,18.023,17.077,16.950,17.992,16.884,16.602,17.103,16.982,17.222,15.869,16.895,17.509,16.343,17.092,17.066,18.143,17.266,17.635,17.047,18.100,17.911,17.035
TMAX,ONDJFM,6.342,8.420,7.493,8.397,8.161,7.865,7.201,8.018,8.364,9.685,9.674,8.272,8.730,8.377,7.710,9.338,7.955,8.673,9.847,8.989,9.300,8.101,9.976,9.120,9.090,9.218,8.481,10.197,9.607,8.340,7.964,8.001,10.371,7.451,9.749,9.318,10.042,9.684,8.539,9.936,9.207,8.868,10.111,9.739,9.898
TMAX,NDJF,6.048,7.368,6.393,7.304,7.330,6.540,5.422,6.986,7.429,8.814,8.230,6.342,7.705,7.708,6.567,8.772,6.455,6.701,8.916,7.936,8.063,7.038,8.521,7.743,8.259,8.285,7.233,8.976,8.748,6.872,6.098,6.144,8.774,6.942,8.296,7.999,9.365,8.291,7.267,8.945,8.298,7.586,8.794,8.476,8.711
TMIN,year,4.969,4.728,5.159,5.456,5.011,4.483,4.302,4.706,5.428,5.583,5.838,5.145,5.315,5.052,5.609,5.503,4.804,5.882,5.895,5.953,5.714,5.358,6.096,5.683,6.100,6.006,6.283,6.070,5.615,5.733,4.404,6.132,5.339,5.410,6.425,5.634,5.793,6.128,5.821,5.815,6.039,5.757,6.335,6.476,6.503
TMIN,MAMJJASO,6.656,6.912,7.072,7.149,6.716,6.753,6.125,6.535,7.049,7.263,7.442,7.323,7.191,6.685,7.074,7.487,6.787,7.564,7.575,7.835,7.392,7.532,7.531,7.602,7.880,8.037,8.190,7.687,7.435,7.889,7.171,7.740,7.071,7.206,8.208,6.871,7.744,8.192,7.572,7.691,7.523,7.652,8.230,8.285,8.204
TMIN,AMJJAS,8.012,8.032,8.170,8.113,7.703,7.825,6.970,7.873,8.019,8.044,7.998,8.182,8.490,7.880,8.001,8.481,7.672,8.531,8.498,8.882,8.308,8.325,8.679,9.060,9.087,8.671,9.328,8.693,8.744,8.914,8.305,8.635,8.035,8.304,9.119,7.752,9.009,8.903,9.002,8.705,8.618,8.374,9.144,9.346,9.103
TMIN,ONDJFM,0.596,2.363,1.013,2.503,2.253,1.651,1.215,1.716,2.612,3.282,3.520,2.344,2.725,2.264,1.883,3.033,2.361,2.448,3.806,2.796,3.089,2.148,3.476,2.828,2.627,3.387,2.656,4.067,2.967,2.196,1.773,1.472,3.881,1.625,3.704,3.008,3.617,3.076,2.420,3.379,3.063,2.865,3.621,3.513,3.864
TMIN,NDJF,0.526,1.476,0.226,1.524,1.572,0.737,-0.137,0.909,2.140,2.694,2.414,0.685,1.712,1.971,0.991,2.972,1.126,0.885,3.366,1.919,2.176,1.442,2.063,2.321,2.276,2.613,1.465,3.237,2.275,1.330,0.427,0.120,2.873,1.349,2.627,1.955,3.392,2.057,1.285,2.666,2.655,1.856,2.790,2.412,2.923
TAVG,year,8.310,8.137,8.716,8.872,8.608,7.825,7.716,8.041,8.774,9.272,9.412,8.585,8.726,8.345,8.935,9.207,8.224,9.460,9.193,9.403,9.130,8.835,9.481,9.531,9.457,9.481,9.820,9.665,9.110,9.267,8.046,9.702,8.803,8.856,9.953,9.256,9.363,9.585,9.489,9.402,9.649,9.289,10.097,10.034,9.847
TAVG,MAMJJASO,10.373,10.585,11.012,10.941,10.805,10.355,9.889,10.261,10.681,11.381,11.486,11.086,10.906,10.340,10.784,11.660,10.654,11.604,11.108,11.671,11.187,11.257,11.346,11.907,11.587,11.822,12.135,11.620,11.166,11.816,11.220,11.743,10.859,11.023,12.135,10.903,11.587,11.990,11.730,11.617,11.596,11.592,12.438,12.213,11.882
TAVG,AMJJAS,11.938,11.923,12.331,12.150,12.149,11.526,10.857,11.753,11.845,12.424,12.367,12.175,12.422,11.670,11.897,12.926,11.876,12.738,12.197,12.917,12.288,12.304,12.617,13.416,12.957,12.749,13.583,12.731,12.594,12.986,12.523,12.817,11.822,12.464,13.226,11.953,12.944,12.887,13.447,12.886,12.961,12.593,13.505,13.538,12.962
TAVG,ONDJFM,3.299,5.182,4.091,5.263,5.009,4.586,4.067,4.695,5.351,6.313,6.400,5.155,5.550,5.134,4.612,5.960,4.997,5.399,6.658,5.690,6.052,4.992,6.493,5.840,5.696,6.164,5.484,7.082,6.215,5.215,4.759,4.536,6.966,4.409,6.621,5.995,6.699,6.218,5.256,6.440,5.983,5.685,6.678,6.500,6.704
TAVG,NDJF,3.100,4.184,3.121,4.185,4.221,3.446,2.473,3.731,4.637,5.592,5.105,3.367,4.506,4.617,3.554,5.656,3.610,3.625,5.971,4.698,4.952,4.110,5.008,4.868,5.059,5.255,4.278,6.053,5.435,4.041,3.147,2.905,5.645,3.992,5.362,4.806,6.206,4.983,4.044,5.573,5.310,4.531,5.565,5.304,5.616
RH,year,83.050,83.616,82.566,82.390,81.463,83.153,82.253,83.193,82.568,80.539,80.348,82.692,82.273,82.544,82.224,80.523,81.029,82.237,82.735,82.170,82.970,82.219,82.636,80.038,82.275,81.723,81.312,82.937,82.798,82.898,81.681,81.255,83.117,81.080,82.736,81.294,82.927,82.413,81.544,82.448,81.206,82.329,80.172,82.513,82.937
RH,MAMJJASO,81.474,82.782,80.680,81.583,79.098,82.609,81.529,81.993,81.581,78.612,78.124,81.455,80.664,81.316,80.318,78.304,79.231,80.282,81.905,81.329,81.833,80.783,80.970,77.786,80.930,80.412,79.634,81.778,81.358,80.936,79.346,79.009,82.000,79.443,81.038,79.548,81.696,80.661,79.603,80.587,78.786,80.594,77.687,80.816,81.513
RH,AMJJAS,80.643,81.957,79.589,80.944,77.718,82.104,80.703,81.385,81.018,77.106,77.153,80.244,79.838,81.420,79.555,76.987,78.012,79.720,81.867,80.985,81.497,79.629,80.529,77.352,80.236,79.196,78.356,81.141,81.259,80.244,78.494,77.913,81.591,78.443,80.362,78.364,81.068,79.765,78.251,79.533,77.505,79.695,76.563,79.450,80.273
RH,ONDJFM,86.626,84.768,84.856,84.757,84.297,84.882,84.049,84.176,84.788,84.111,83.906,84.770,84.841,83.654,84.229,84.810,84.273,84.081,84.113,84.005,83.221,85.034,84.348,83.885,83.417,84.380,84.195,84.636,84.398,85.243,85.414,85.084,83.586,84.671,84.274,84.488,84.856,85.322,84.479,84.776,84.858,85.663,83.757,85.103,85.972
RH,NDJF,88.143,84.638,86.105,84.235,85.367,85.362,84.013,84.790,85.249,84.425,85.027,85.104,85.325,85.004,85.443,86.130,85.019,84.650,85.405,84.701,84.062,85.742,84.822,85.384,85.024,84.548,85.047,85.017,85.189,86.670,86.948,86.268,84.635,85.749,84.784,85.510,85.146,86.134,84.996,85.823,86.203,86.575,84.772,85.855,86.367
RHmin,year,66.645,66.552,65.504,65.785,64.498,66.615,65.590,66.768,66.400,63.424,63.654,66.071,65.750,66.254,66.034,63.417,64.903,65.212,66.540,65.493,66.484,65.438,66.406,62.650,65.996,65.788,65.292,66.289,66.324,66.618,64.560,64.613,66.495,65.036,66.210,64.499,66.136,65.761,64.557,65.567,64.624,65.546,63.494,65.786,66.780
