Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,8.406,9.419,9.930,10.671,9.781,8.063,9.374,7.899,9.940,11.375,11.025,10.402,10.723,9.406,9.917,10.468,9.213,10.114,9.700,11.178,11.311,10.449,10.986,10.064,9.966,10.152,10.992,10.984,11.029,9.986,9.442,11.033,9.588,10.837,11.210,11.632,10.638,10.294,11.574,11.886,12.202,10.676,11.129,11.576,12.599
TMAX,MAMJJASO,13.435,14.354,14.459,15.446,14.784,14.061,14.548,12.885,15.023,15.701,14.971,14.706,15.104,14.018,14.948,15.665,14.764,14.765,14.523,16.379,15.590,15.712,16.408,14.863,14.915,14.915,16.021,16.055,15.269,14.829,15.806,16.128,15.110,15.491,16.412,15.695,15.675,14.584,17.236,16.465,16.157,15.997,15.910,16.628,17.847
TMAX,AMJJAS,16.466,17.133,17.024,18.550,17.611,16.735,17.209,15.623,18.173,18.374,17.126,17.242,18.324,16.865,18.199,18.259,17.703,17.840,17.336,19.492,18.009,18.640,20.101,17.917,17.629,18.108,19.323,18.371,17.836,18.207,19.251,19.297,17.955,19.062,19.067,18.098,19.057,17.116,20.856,19.182,18.457,18.646,18.271,19.890,20.665
TMAX,ONDJFM,-3.287,1.742,1.666,3.407,2.147,-0.453,1.156,0.041,2.377,3.899,4.484,3.124,4.429,2.412,0.612,3.100,0.113,3.072,2.557,1.395,3.358,3.996,3.424,0.126,2.142,2.031,1.292,5.067,3.748,2.932,0.118,0.520,2.774,0.869,4.429,4.066,3.760,2.579,2.266,3.781,5.999,3.577,4.062,3.489,3.205
TMAX,NDJF,-4.754,-0.203,-1.275,2.109,0.232,-3.972,-2.100,-2.225,0.559,1.844,2.450,1.099,2.586,1.465,-1.766,1.378,-3.296,0.926,1.196,-1.595,1.608,2.020,0.723,-2.296,0.377,0.751,-1.210,2.301,2.124,0.944,-2.435,-2.091,0.353,-0.833,1.978,1.737,2.056,0.765,0.824,1.163,4.495,1.084,1.608,1.025,0.574
TMIN,year,1.019,2.237,2.195,3.216,2.519,0.577,1.801,0.088,2.554,4.005,3.880,3.261,3.233,2.023,2.165,2.804,0.902,2.409,2.440,3.106,3.824,2.824,2.706,2.456,2.538,1.989,2.619,3.117,3.792,2.586,1.928,3.570,2.529,2.638,3.312,3.597,2.967,3.041,3.252,3.749,4.824,2.795,3.096,3.674,4.580
TMIN,MAMJJASO,5.128,5.996,5.564,6.764,6.245,6.131,5.911,4.307,6.551,7.028,6.341,6.330,6.161,5.341,5.986,6.843,5.151,5.699,6.080,6.815,6.439,6.964,6.430,5.838,6.201,5.005,5.864,6.773,6.303,5.799,6.901,7.203,6.701,5.564,6.764,5.836,6.426,5.876,6.918,6.549,6.999,6.861,6.146,6.848,8.029
TMIN,AMJJAS,7.805,8.254,7.400,8.976,8.330,7.864,7.823,7.063,9.064,8.589,7.776,8.076,8.370,7.396,8.248,8.406,7.432,7.905,8.537,8.786,8.032,9.237,8.821,8.268,8.101,7.879,8.295,8.291,7.777,8.010,9.868,9.559,8.657,8.638,8.663,7.775,8.743,7.468,9.715,8.169,8.397,8.926,8.044,8.868,10.003
TMIN,ONDJFM,-10.510,-3.790,-4.176,-1.825,-3.362,-6.176,-4.611,-6.585,-2.877,-1.725,-0.812,-1.790,-0.778,-2.756,-4.867,-1.883,-6.726,-2.674,-2.743,-4.410,-1.534,-1.216,-2.442,-5.801,-2.878,-3.604,-4.860,-0.899,-0.520,-1.844,-5.097,-4.909,-2.323,-4.531,-0.879,-1.286,-2.008,-2.289,-2.844,-1.721,1.092,-1.538,-2.315,-1.501,-1.887
TMIN,NDJF,-10.855,-5.228,-6.803,-2.596,-4.712,-10.012,-7.722,-8.158,-4.077,-3.430,-2.391,-3.279,-2.015,-3.156,-7.020,-3.259,-9.413,-4.364,-3.308,-6.891,-2.856,-2.126,-4.680,-7.711,-4.026,-3.984,-5.909,-3.030,-1.391,-3.421,-6.930,-6.691,-4.072,-5.035,-2.355,-2.524,-2.535,-3.716,-3.489,-3.187,0.609,-3.365,-3.472,-3.186,-3.790
