Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TMAX,year,5.420,4.884,6.032,6.325,6.107,4.558,5.378,4.763,6.198,7.301,7.463,6.629,6.891,5.969,6.117,6.184,5.673,6.942,5.991,6.704,7.248,6.141,7.006,7.338,7.097,7.384,7.796,7.283,7.307,6.760,5.045,7.697,5.996,7.127,7.926,7.471,7.231,6.779,7.677,7.067,8.113,6.942,7.643,6.760,7.939
TMAX,MAMJJASO,10.177,9.398,10.060,10.075,10.003,9.637,9.784,8.912,10.119,10.595,10.978,10.316,10.135,9.606,10.269,10.259,10.235,10.947,9.580,10.654,10.657,10.232,11.713,11.264,11.123,10.946,11.341,11.463,10.854,11.101,10.621,11.744,10.157,11.040,12.233,10.794,11.446,10.411,12.082,11.029,11.225,11.677,11.701,11.035,12.178
TMAX,AMJJAS,13.372,12.154,12.367,12.428,12.510,11.672,11.825,11.150,13.016,12.758,13.024,12.564,12.903,11.917,12.918,12.350,12.473,13.611,11.945,13.145,12.650,12.675,14.890,13.783,13.524,13.117,14.453,13.300,13.426,13.920,13.067,14.213,11.987,13.847,14.507,12.639,13.812,12.502,15.367,13.797,13.487,13.829,13.687,14.176,14.613
TMAX,ONDJFM,-4.542,-1.861,-2.006,0.416,-0.897,-1.357,-1.942,-1.754,-0.181,1.372,1.586,0.518,1.940,0.421,-1.889,0.623,-1.032,0.052,0.205,-0.612,1.162,0.353,0.922,-1.083,0.562,1.211,0.601,1.957,1.500,0.311,-1.818,-1.829,2.011,-1.313,1.724,1.684,1.253,1.444,-0.570,1.164,1.294,1.050,1.488,0.808,-1.005
TMAX,NDJF,-5.884,-3.156,-4.568,-0.892,-2.494,-3.527,-5.319,-3.577,-1.673,0.109,0.067,-1.368,0.941,-0.221,-3.982,-0.411,-3.610,-2.138,-0.895,-2.287,-0.171,-1.201,-1.070,-3.148,-0.934,0.124,-0.595,0.101,0.261,-1.494,-4.065,-4.675,-0.133,-2.784,-0.179,-0.232,-0.677,0.089,-2.060,-0.281,0.280,-0.994,-0.779,-0.536,-3.202
TMIN,year,-2.375,-2.796,-1.255,-0.910,-0.796,-2.835,-1.983,-2.398,-1.051,0.123,0.412,-0.527,-0.500,-1.441,-1.390,-1.185,-2.004,-0.609,-0.888,-0.488,0.411,-1.231,-0.538,-0.442,-0.369,-0.106,0.259,-0.238,-0.331,-0.639,-2.811,0.195,-1.129,-1.036,0.702,0.199,-0.267,-0.474,-0.539,-0.448,0.742,-0.732,-0.129,-0.972,0.309
TMIN,MAMJJASO,2.143,1.525,2.387,2.671,2.439,2.054,2.151,1.514,2.268,2.765,3.133,2.677,2.164,1.523,2.193,2.484,1.974,2.572,2.221,2.995,3.185,2.316,3.484,2.956,3.245,2.687,2.968,3.334,2.458,2.950,2.299,3.710,2.455,2.165,3.862,2.869,3.339,2.746,2.678,2.700,2.949,3.326,3.114,2.517,3.966
TMIN,AMJJAS,4.871,3.902,3.863,4.582,4.670,3.686,3.564,3.461,4.706,4.261,4.651,4.277,4.309,3.466,4.356,3.952,3.745,4.700,4.356,4.840,4.682,4.578,6.130,5.127,5.125,4.770,5.753,4.850,4.481,5.262,4.443,5.902,3.969,4.839,5.367,4.311,5.204,4.443,5.490,4.884,4.518,4.917,4.724,5.298,5.686
TMIN,ONDJFM,-12.254,-9.106,-8.456,-5.903,-7.432,-7.366,-8.826,-8.538,-5.801,-4.821,-4.165,-5.550,-4.006,-6.148,-8.415,-5.336,-7.821,-6.532,-5.779,-6.543,-5.266,-5.582,-5.513,-7.637,-6.116,-5.435,-6.039,-4.248,-4.856,-6.056,-8.391,-8.850,-4.414,-8.240,-4.091,-4.187,-5.131,-5.000,-7.310,-5.110,-4.669,-4.946,-5.174,-5.725,-7.127
TMIN,NDJF,-13.641,-10.548,-11.469,-7.556,-8.883,-9.594,-12.575,-10.271,-7.107,-6.186,-5.492,-7.495,-5.147,-6.424,-10.474,-6.396,-10.171,-8.800,-6.440,-8.291,-6.551,-6.602,-7.388,-9.761,-7.287,-6.229,-6.433,-5.975,-5.710,-7.868,-10.148,-11.546,-6.356,-9.044,-5.516,-5.926,-6.936,-6.128,-8.413,-6.136,-5.450,-6.745,-7.090,-6.542,-9.417
