Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,9.619,10.242,10.868,10.303,8.571,9.818,8.359,10.240,11.524,10.986,10.724,10.791,9.558,10.073,10.771,9.855,10.434,9.867,11.419,11.683,10.686,10.966,10.474,10.575,10.796,11.549,11.411,11.276,10.327,9.946
TMAX,MAMJJASO,14.435,14.734,15.740,15.262,14.390,15.014,13.359,15.438,16.065,15.260,14.956,15.156,14.326,15.229,15.861,14.963,15.143,14.862,16.552,16.031,16.053,16.622,15.219,15.497,15.558,16.560,16.604,15.467,15.168,16.240
TMAX,AMJJAS,17.184,17.249,18.805,18.057,16.890,17.681,15.945,18.490,18.834,17.648,17.470,18.414,17.130,18.379,18.468,17.752,18.267,17.626,19.657,18.545,19.006,20.364,18.219,18.273,18.671,19.875,19.036,17.926,18.460,19.673
TMAX,ONDJFM,0.233,2.106,3.617,2.466,0.682,1.665,0.765,2.462,3.676,4.110,3.138,4.720,2.653,0.532,3.211,1.239,3.591,2.466,1.751,3.663,4.158,3.450,0.185,2.743,2.575,2.313,4.983,3.979,3.559,0.800
TMAX,NDJF,-0.577,-0.901,2.249,0.520,-2.700,-1.607,-1.663,0.458,1.297,2.014,1.155,2.924,1.615,-2.081,1.450,-1.998,1.626,0.971,-1.224,1.887,2.242,0.504,-2.205,0.962,1.183,-0.023,2.187,2.307,1.490,-1.713
TMIN,year,2.731,2.734,3.403,3.146,1.301,2.331,0.974,2.965,4.243,3.755,3.599,3.527,2.262,2.515,3.187,1.760,2.758,2.571,3.381,4.113,3.191,2.753,3.013,3.214,3.013,3.486,3.813,4.422,3.287,2.206
TMIN,MAMJJASO,6.376,6.038,7.168,6.780,6.545,6.560,5.133,7.039,7.532,6.712,6.608,6.531,5.692,6.353,7.185,5.534,6.167,6.391,7.039,6.768,7.364,6.662,6.450,6.973,6.141,6.816,7.551,7.086,6.646,7.279
TMIN,AMJJAS,8.589,7.785,9.258,8.826,8.173,8.332,7.447,9.420,9.215,8.250,8.344,8.744,7.573,8.485,8.702,7.541,8.394,8.758,8.915,8.342,9.573,9.207,8.887,8.937,8.749,9.118,9.220,8.464,8.836,10.037
TMIN,ONDJFM,-5.371,-3.419,-1.579,-2.940,-4.714,-3.951,-5.371,-2.428,-1.987,-1.148,-1.770,-0.363,-2.276,-4.796,-1.534,-5.242,-1.962,-2.916,-3.937,-1.326,-0.860,-2.229,-5.572,-2.388,-2.877,-3.424,-0.673,-0.209,-0.972,-4.433
TMIN,NDJF,-5.363,-6.066,-2.519,-4.487,-8.151,-7.133,-7.335,-3.995,-3.936,-2.882,-3.511,-1.607,-2.906,-7.114,-2.973,-7.883,-3.700,-3.655,-6.347,-2.795,-1.747,-4.719,-7.422,-3.544,-3.546,-4.717,-2.754,-1.314,-2.678,-6.477
TAVG,year,6.136,6.466,7.125,6.684,4.910,6.049,4.580,6.571,7.817,7.318,7.098,7.112,5.846,6.295,6.924,5.743,6.597,6.123,7.407,7.822,6.888,6.879,6.658,6.838,6.907,7.560,7.575,7.827,6.804,6.056
TAVG,MAMJJASO,10.252,10.275,11.374,10.924,10.309,10.663,9.039,11.138,11.685,10.904,10.661,10.751,9.908,10.731,11.394,10.101,10.597,10.450,11.758,11.246,11.577,11.618,10.684,11.055,10.801,11.688,11.949,11.236,10.860,11.638
