Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,11.696,12.419,12.455,12.422,11.253,11.195,11.457,12.158,13.151,13.182,12.119,12.250,11.733,12.378,13.180,11.793,13.215,12.551,13.042,12.646,12.511,12.919,13.546,13.009,12.932,13.427,13.182,12.563,12.748,11.838
TMAX,MAMJJASO,14.474,15.191,15.011,15.187,14.081,13.775,14.103,14.466,15.860,15.894,15.048,14.819,14.128,14.706,16.260,14.774,15.943,14.818,15.793,15.211,15.243,15.359,16.473,15.516,15.727,16.364,15.658,14.997,15.796,15.491
TMAX,AMJJAS,16.080,16.865,16.593,16.973,15.446,14.920,15.846,15.868,17.267,17.160,16.438,16.707,15.672,16.065,17.837,16.368,17.362,16.167,17.286,16.643,16.568,16.829,18.216,17.163,17.004,18.211,16.927,16.636,17.162,17.079
TMAX,ONDJFM,7.240,7.138,7.975,7.753,7.544,6.882,7.664,7.916,9.230,9.265,7.910,8.264,7.944,7.303,8.977,7.608,8.290,9.425,8.572,8.883,7.749,9.609,8.687,8.662,8.826,8.162,9.791,9.172,7.951,7.668
TMAX,NDJF,6.088,6.030,6.838,6.881,6.178,5.052,6.643,6.923,8.273,7.696,5.931,7.175,7.246,6.159,8.300,6.036,6.250,8.412,7.461,7.552,6.644,8.027,7.280,7.790,7.827,6.783,8.493,8.197,6.437,5.771
TMIN,year,4.577,5.002,5.280,4.844,4.344,4.154,4.560,5.209,5.380,5.599,4.997,5.128,4.830,5.407,5.376,4.646,5.689,5.671,5.769,5.523,5.240,5.873,5.513,5.946,5.820,6.127,5.853,5.444,5.588,4.306
TMIN,MAMJJASO,6.798,7.016,7.103,6.619,6.661,6.045,6.459,6.955,7.190,7.364,7.258,7.092,6.563,6.999,7.467,6.694,7.484,7.516,7.787,7.311,7.495,7.485,7.533,7.838,7.971,8.196,7.626,7.379,7.822,7.117
TMIN,AMJJAS,7.988,8.163,8.156,7.640,7.757,6.940,7.830,7.960,8.021,7.973,8.146,8.466,7.810,8.003,8.478,7.610,8.528,8.527,8.878,8.297,8.304,8.681,9.076,9.101,8.651,9.384,8.690,8.756,8.902,8.317
TMIN,ONDJFM,1.211,0.791,2.158,1.914,1.446,1.000,1.453,2.242,2.828,3.101,2.103,2.333,1.883,1.569,2.698,2.078,2.120,3.369,2.391,2.695,1.881,3.148,2.455,2.249,2.999,2.385,3.600,2.583,1.868,1.588
TMIN,NDJF,0.139,0.032,1.112,1.192,0.510,-0.394,0.648,1.688,2.130,1.901,0.402,1.242,1.539,0.668,2.537,0.785,0.533,2.797,1.495,1.703,1.119,1.603,1.901,1.861,2.156,1.052,2.724,1.782,0.974,0.227
