Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.181,14.303,14.204,13.230,12.381,13.112,12.533,13.982,14.902,14.733,13.481,14.418,13.379,14.570,14.470,12.551,14.270,13.968,14.999,14.656,14.291,14.715,15.180,14.517,14.823,15.354,15.133,14.603,14.742,13.062
TMAX,MAMJJASO,17.173,18.134,17.766,16.268,16.527,16.761,16.256,16.886,18.398,18.108,17.367,17.956,17.067,17.835,18.488,16.735,18.173,17.361,18.757,17.962,17.917,18.253,19.212,18.230,18.622,19.228,18.591,18.010,18.868,17.807
TMAX,AMJJAS,19.002,20.150,19.715,17.840,18.396,18.385,18.181,18.785,19.871,19.405,18.724,20.412,19.004,19.779,20.245,18.653,20.037,19.273,20.755,19.847,19.557,20.229,21.611,20.084,20.148,21.474,20.436,20.185,21.132,19.690
TMAX,ONDJFM,7.010,7.206,8.745,8.161,7.298,6.728,7.469,8.855,9.762,10.408,8.689,8.394,8.343,7.746,9.634,6.745,7.871,9.411,8.240,9.224,8.720,10.160,8.550,8.724,8.796,8.510,11.352,9.205,7.842,7.797
TMAX,NDJF,4.727,5.308,6.993,6.516,5.230,4.299,5.739,7.417,8.048,8.375,5.755,6.521,7.052,5.828,8.708,3.922,5.096,7.814,6.433,7.675,7.300,7.731,6.334,7.548,6.792,6.178,9.579,7.963,5.733,5.429
TMIN,year,5.662,6.087,6.196,5.763,4.915,5.025,5.251,6.714,6.370,6.401,5.423,6.654,5.739,6.666,6.181,4.573,6.077,6.564,6.802,7.134,6.523,6.725,5.748,6.337,6.476,7.132,7.029,6.486,6.231,4.863
TMIN,MAMJJASO,8.589,8.648,8.736,7.708,8.087,7.425,7.811,8.650,8.709,8.313,8.034,8.936,8.169,8.829,8.904,7.295,8.584,9.103,9.293,9.224,9.220,9.024,8.141,8.792,8.818,9.572,9.170,8.712,8.763,8.062
TMIN,AMJJAS,9.734,9.888,10.158,8.817,9.441,8.507,9.369,9.917,9.464,9.108,8.974,10.635,9.698,10.280,10.193,8.634,9.911,10.418,10.625,10.367,10.083,10.643,10.034,10.136,9.795,10.990,10.645,10.200,10.285,9.254
TMIN,ONDJFM,1.365,0.841,3.006,1.710,1.271,0.821,1.240,3.346,3.649,3.692,2.226,2.469,2.223,2.094,3.212,0.444,1.684,3.087,2.418,3.171,3.192,3.670,1.571,2.123,2.547,2.368,4.976,2.875,1.747,1.724
TMIN,NDJF,-0.450,-0.591,1.775,0.747,-0.611,-0.769,0.250,2.574,2.548,2.241,0.261,1.235,1.896,0.641,3.024,-1.448,-0.189,2.295,1.028,2.051,2.179,1.910,0.434,1.956,1.214,0.914,4.067,2.196,0.467,0.321
