Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,11.769,12.836,13.006,12.419,11.329,11.987,11.270,13.150,13.982,13.889,12.936,13.774,12.255,13.279,12.936,11.528,13.105,12.249,13.371,13.455,12.776,13.639,13.567,13.187,13.331,14.038,13.876,14.063,13.570,11.712
TMAX,MAMJJASO,15.848,16.861,16.500,15.926,15.529,15.667,14.587,16.325,17.186,17.190,16.365,17.132,15.753,16.722,16.989,15.609,16.976,15.644,16.945,16.506,16.272,17.639,17.367,16.576,16.666,17.550,17.204,17.375,17.426,16.463
TMAX,AMJJAS,18.052,18.880,18.485,17.981,17.422,17.645,16.609,18.626,18.897,18.787,18.118,19.636,17.776,18.991,18.852,17.816,19.220,17.419,19.075,18.265,18.142,20.179,19.792,18.558,18.541,19.918,18.869,19.545,19.823,18.557
TMAX,ONDJFM,4.339,5.174,7.918,6.500,5.660,5.722,6.024,7.765,8.786,9.281,7.542,8.403,7.388,6.250,7.938,5.114,6.874,7.741,6.506,8.017,7.662,8.643,6.026,7.464,7.776,7.202,10.305,8.495,7.666,6.087
TMAX,NDJF,3.219,2.679,6.468,4.998,3.489,3.342,4.706,6.661,7.461,7.504,5.514,7.093,6.325,4.441,6.999,2.579,4.723,6.321,4.680,6.613,6.372,6.657,3.941,6.309,6.717,5.506,8.632,7.314,5.883,4.127
TMIN,year,5.635,6.220,6.565,6.436,4.907,5.432,5.335,6.874,7.236,7.449,6.608,7.130,6.071,6.992,6.137,5.111,6.513,6.616,7.042,7.839,6.805,7.659,7.129,7.348,7.290,8.108,7.923,7.604,7.360,5.416
TMIN,MAMJJASO,8.829,9.177,9.238,8.662,8.522,8.215,7.937,9.148,9.438,9.719,9.118,9.376,8.525,9.344,9.326,8.088,9.186,9.237,9.790,9.942,9.640,10.557,9.877,10.065,9.630,10.517,10.310,9.724,10.031,9.390
TMIN,AMJJAS,10.314,10.389,10.529,9.893,9.874,9.531,9.584,10.835,10.310,10.762,10.395,11.180,10.096,10.915,10.451,9.454,10.879,10.706,11.206,11.144,10.919,12.640,12.047,11.606,11.233,12.423,11.860,11.138,11.738,11.068
TMIN,ONDJFM,0.163,0.221,3.326,1.884,1.202,0.397,1.040,3.510,3.936,4.159,2.722,3.433,2.405,2.007,3.147,0.243,1.924,3.054,2.027,3.389,3.465,3.745,1.404,2.680,3.076,2.455,5.878,3.765,3.193,1.536
TMIN,NDJF,-0.745,-1.973,2.053,0.662,-0.905,-1.746,0.175,2.820,2.974,2.720,0.988,2.539,1.920,0.841,2.474,-2.068,0.115,2.446,0.366,2.327,2.594,1.946,0.155,2.076,2.406,1.563,4.927,3.298,1.777,0.145
TAVG,year,8.628,9.463,9.729,9.361,8.059,8.657,8.246,9.961,10.561,10.608,9.724,10.407,9.117,10.112,9.505,8.283,9.778,9.382,10.155,10.585,9.734,10.588,10.248,10.183,10.222,11.000,10.884,10.814,10.432,8.553
TAVG,MAMJJASO,12.266,12.947,12.812,12.212,11.960,11.880,11.201,12.688,13.265,13.391,12.690,13.212,12.084,12.997,13.126,11.805,13.043,12.395,13.311,13.152,12.886,14.028,13.485,13.230,13.046,13.947,13.730,13.524,13.665,12.887
TAVG,AMJJAS,14.108,14.561,14.444,13.846,13.585,13.520,13.035,14.685,14.550,14.712,14.210,15.379,13.879,14.917,14.624,13.590,15.012,14.018,15.086,14.628,14.462,16.336,15.796,14.990,14.777,16.071,15.338,15.308,15.715,14.779
TAVG,ONDJFM,2.182,2.640,5.566,4.136,3.392,3.010,3.486,5.587,6.303,6.664,5.091,5.861,4.843,4.107,5.518,2.658,4.366,5.359,4.216,5.665,5.499,6.146,3.650,4.995,5.380,4.752,8.047,6.125,5.438,3.822
TAVG,NDJF,1.166,0.299,4.210,2.774,1.257,0.755,2.390,4.695,5.160,5.050,3.218,4.768,4.075,2.632,4.716,0.249,2.386,4.351,2.472,4.441,4.419,4.277,2.024,4.127,4.527,3.452,6.749,5.302,3.864,2.181
RH,year,82.214,82.695,81.904,82.563,83.051,81.657,83.689,81.803,81.596,81.494,81.500,80.936,82.906,81.750,81.368,82.070,81.662,82.983,83.694,85.198,84.067,83.849,82.184,83.056,82.448,83.531,82.624,80.647,82.151,82.909
RH,MAMJJASO,81.726,80.429,80.795,80.337,81.909,80.438,82.598,79.939,79.315,79.072,79.841,78.096,80.901,79.321,79.635,80.130,78.497,81.216,81.987,83.631,82.847,82.019,79.216,81.349,81.258,81.662,81.298,78.173,79.127,81.238
RH,AMJJAS,80.353,78.040,79.919,79.348,80.248,78.084,81.750,78.658,77.221,77.588,78.082,76.569,79.614,78.005,77.908,78.538,77.539,81.349,80.788,82.456,81.729,81.419,78.039,80.219,80.113,80.764,80.808,77.069,77.998,80.009
