Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.440,18.331,18.289,17.201,17.447,17.555,17.336,18.138,19.437,19.035,17.892,18.171,17.825,18.965,18.658,17.587,19.385,18.422,18.622,18.882,18.464,18.909,19.929,18.472,18.551,19.353,18.806,18.413,19.208,17.653
TMAX,MAMJJASO,21.283,21.999,22.134,20.587,21.835,21.639,21.486,21.653,23.122,23.018,22.075,21.725,21.453,22.595,22.394,21.500,23.312,22.133,22.929,22.493,22.668,22.289,24.676,22.507,23.251,23.662,22.522,21.877,23.519,22.219
TMAX,AMJJAS,22.972,24.419,24.192,22.487,23.885,23.435,23.718,23.575,24.644,24.645,24.051,24.218,23.625,24.257,24.031,23.467,24.929,24.146,24.904,24.594,23.917,23.869,27.309,24.501,25.098,25.740,24.649,23.999,25.716,24.458
TMAX,ONDJFM,10.433,12.197,11.953,11.761,11.373,11.148,11.248,12.484,13.636,14.676,11.965,11.725,12.365,12.288,13.417,12.635,12.920,13.822,11.933,12.498,13.305,13.409,13.149,12.354,11.991,11.783,14.385,12.894,11.785,12.041
TMAX,NDJF,8.028,10.842,10.158,10.051,9.665,8.282,9.099,11.005,11.211,12.649,8.963,9.852,11.272,10.287,12.087,10.105,10.356,11.995,9.781,10.219,11.524,10.383,10.468,11.113,9.358,8.891,12.570,11.546,9.410,9.739
TMIN,year,8.339,8.949,8.549,7.750,7.417,8.022,8.288,8.905,8.774,8.935,8.199,8.799,8.446,9.745,8.955,8.116,9.115,8.627,9.214,9.390,8.999,9.355,9.315,8.792,8.597,9.477,9.054,8.804,8.991,8.085
TMIN,MAMJJASO,11.418,11.350,11.471,9.944,10.583,10.924,11.292,11.505,11.480,11.579,11.286,11.506,11.125,12.148,11.551,10.554,11.691,11.573,12.344,11.872,12.138,11.533,12.516,11.614,11.976,12.660,11.680,11.333,11.940,11.201
TMIN,AMJJAS,12.537,13.068,13.213,11.379,12.216,12.249,12.853,12.888,12.750,12.832,12.597,13.169,12.821,13.508,12.846,12.048,13.101,13.047,13.964,13.427,12.917,12.825,14.590,13.019,13.359,14.063,13.447,12.876,13.739,12.880
TMIN,ONDJFM,2.392,4.468,4.419,3.498,3.395,3.019,3.565,5.206,4.742,5.223,4.277,3.586,4.453,4.968,5.496,4.702,4.590,5.072,4.177,4.330,6.041,4.846,4.890,4.266,4.114,3.977,6.024,4.336,3.703,4.135
TMIN,NDJF,0.267,3.507,3.222,2.590,2.035,1.423,2.015,3.995,2.944,4.160,1.992,2.033,3.764,3.516,4.982,3.225,3.145,3.973,2.518,2.886,4.677,2.696,3.586,3.563,2.339,1.730,4.772,3.204,2.276,2.904
TAVG,year,12.676,13.429,13.187,12.283,12.230,12.604,12.600,13.294,13.878,13.787,12.801,13.204,12.797,14.038,13.481,12.538,13.867,13.133,13.549,13.759,13.353,13.744,14.297,13.263,13.197,14.011,13.468,13.169,13.712,12.519
TAVG,MAMJJASO,16.152,16.474,16.590,15.077,16.012,16.095,16.164,16.354,17.140,17.131,16.453,16.353,15.958,17.047,16.646,15.714,17.138,16.526,17.246,16.808,17.025,16.530,18.303,16.715,17.270,17.801,16.635,16.180,17.347,16.342
TAVG,AMJJAS,17.575,18.579,18.527,16.784,17.889,17.680,18.064,18.025,18.588,18.621,18.139,18.452,17.910,18.604,18.167,17.499,18.715,18.298,19.080,18.675,18.099,17.997,20.732,18.461,18.954,19.591,18.626,18.053,19.396,18.365
TAVG,ONDJFM,6.169,8.077,7.931,7.363,7.154,6.856,7.201,8.627,8.869,9.619,7.859,7.320,8.065,8.303,9.099,8.264,8.337,8.952,7.652,7.984,9.295,8.646,8.617,7.866,7.605,7.388,9.739,8.057,7.281,7.676
TAVG,NDJF,3.917,6.911,6.472,6.079,5.641,4.674,5.369,7.290,6.760,8.074,5.240,5.616,7.175,6.602,8.232,6.321,6.373,7.488,5.769,6.177,7.763,6.096,6.676,6.917,5.426,4.840,8.228,6.836,5.404,6.004
RH,year,78.243,76.397,76.269,75.967,75.246,77.103,78.803,79.068,73.735,74.509,75.713,78.466,76.671,78.395,76.452,76.470,75.187,75.138,77.084,76.268,76.442,76.215,71.096,75.306,74.221,74.745,76.482,76.741,74.274,75.492
RH,MAMJJASO,76.667,72.766,73.922,72.681,72.287,74.306,75.803,76.997,70.382,70.433,72.517,76.325,74.088,75.137,73.413,72.322,71.219,72.331,74.192,73.104,73.809,72.726,65.958,71.453,70.442,71.061,73.667,73.954,70.312,70.995
RH,AMJJAS,75.126,70.354,72.472,70.964,71.209,72.299,74.488,75.800,69.260,69.032,69.837,74.364,73.343,73.930,71.823,70.740,70.341,70.960,72.754,71.574,71.405,71.873,63.659,69.456,68.396,68.653,72.291,72.253,69.328,69.972
RH,ONDJFM,80.178,81.047,82.427,79.572,81.240,79.968,82.063,83.394,80.660,77.302,81.986,81.142,81.089,82.490,82.047,81.504,80.922,79.097,81.480,80.871,82.280,79.314,79.276,80.599,80.934,81.390,80.836,79.532,80.763,80.160
RH,NDJF,80.590,82.282,82.758,81.683,81.953,82.208,83.634,84.219,82.696,79.982,83.430,81.527,82.590,84.085,84.346,83.450,83.699,82.037,82.521,82.765,82.513,81.267,82.818,82.446,82.705,83.163,82.366,80.300,83.400,83.734
RHmin,year,59.662,58.107,57.146,57.635,56.123,58.313,60.338,60.097,54.057,55.807,56.959,59.393,57.796,59.538,57.196,57.657,55.414,55.939,57.995,57.299,57.360,57.187,52.327,56.376,55.100,55.514,56.644,57.148,54.688,56.744
RHmin,MAMJJASO,57.621,53.630,54.328,53.606,52.355,54.683,56.405,57.316,50.714,51.083,53.262,56.797,54.673,55.289,53.384,52.397,50.658,53.229,54.158,53.422,54.094,52.909,46.764,51.929,50.729,51.506,53.075,53.805,50.002,51.312
RHmin,AMJJAS,55.762,51.116,53.121,52.087,51.305,52.832,54.646,55.838,49.849,49.794,50.644,54.272,53.559,54.245,52.098,50.925,50.055,51.662,52.872,51.771,51.977,52.117,44.822,49.870,48.906,49.116,51.920,51.988,49.083,50.184
RHmin,ONDJFM,62.049,63.344,64.939,61.131,63.046,61.984,64.294,66.213,61.117,57.673,64.314,62.429,63.102,65.131,63.663,63.105,62.159,59.796,63.242,62.070,64.812,60.031,61.111,61.937,62.642,62.778,61.674,59.822,62.061,61.984
RHmin,NDJF,62.632,64.864,66.283,64.032,64.160,65.812,66.519,67.297,63.475,60.898,66.506,63.157,64.746,67.170,66.916,66.462,66.095,63.061,64.720,64.974,65.725,62.785,65.921,64.248,65.241,65.071,63.766,60.799,65.509,66.649
PREC,year,1049.907,966.466,881.337,986.363,736.111,957.872,919.987,987.959,688.306,860.605,743.203,992.210,973.735,1074.409,1006.096,989.326,885.645,890.930,1076.892,1059.694,984.034,1033.969,786.787,843.139,727.046,868.688,880.382,1046.647,856.675,922.374
PREC,MAMJJASO,662.810,567.627,622.251,578.303,484.660,577.269,660.085,644.810,450.976,512.524,495.266,719.140,717.745,664.366,559.612,490.584,492.609,645.091,675.268,669.103,714.295,590.763,455.286,552.830,488.321,598.330,570.122,700.668,478.408,551.488
PREC,AMJJAS,442.911,350.404,500.573,426.199,381.867,423.558,449.941,435.873,358.405,361.843,344.071,505.785,566.605,527.880,427.238,389.689,427.368,493.446,501.786,489.996,473.654,446.997,307.395,371.746,377.901,401.516,473.121,500.145,371.223,392.721
PREC,ONDJFM,241.337,575.801,595.953,464.335,484.532,439.352,425.986,653.725,340.591,370.012,476.864,373.315,420.187,604.459,606.364,477.018,513.176,470.354,492.316,491.091,729.582,373.300,560.582,539.542,379.353,458.957,458.617,421.102,490.819,517.398
PREC,NDJF,144.533,373.268,393.999,342.937,313.816,348.596,280.451,390.460,196.384,314.517,270.258,221.889,256.529,431.268,428.608,392.360,436.330,376.571,306.496,338.760,441.671,252.813,432.555,365.394,211.052,270.010,314.335,287.840,343.524,394.412
SRAD,year,4699.084,4892.215,4859.979,4828.977,4996.988,4833.633,4695.367,4729.454,5158.575,5082.961,4959.408,4693.741,4777.349,4800.854,4909.038,4834.890,5090.049,4906.027,4826.934,4891.153,4895.618,4806.785,5272.082,4923.569,5091.794,5036.233,5031.122,4886.702,5149.952,4982.075
SRAD,MAMJJASO,4004.639,4274.889,4174.837,4203.691,4332.879,4177.607,4088.052,4053.872,4452.879,4416.885,4283.532,4026.587,4115.533,4172.922,4251.285,4235.079,4437.627,4164.323,4172.462,4233.925,4204.585,4179.146,4582.299,4269.822,4386.947,4334.348,4330.813,4181.239,4488.085,4373.803
SRAD,AMJJAS,3411.445,3640.493,3479.052,3530.911,3632.080,3499.491,3480.922,3432.213,3700.774,3674.484,3653.446,3460.656,3447.065,3465.284,3523.524,3547.796,3652.688,3503.915,3496.938,3560.122,3571.673,3469.696,3817.228,3619.170,3670.732,3667.120,3609.517,3530.016,3733.069,3661.886
SRAD,ONDJFM,734.168,1299.579,1249.018,1371.691,1298.682,1363.746,1295.995,1225.639,1401.250,1487.518,1306.066,1317.056,1302.696,1275.335,1355.476,1343.727,1379.429,1453.626,1314.627,1361.109,1218.353,1440.061,1418.569,1327.798,1360.455,1362.980,1378.012,1455.996,1392.313,1350.827
SRAD,NDJF,393.883,658.558,626.589,658.424,664.254,630.637,635.625,648.050,698.268,704.333,658.635,698.217,649.830,633.999,640.155,628.233,633.535,717.368,674.475,670.292,634.417,697.358,649.590,660.576,681.930,691.726,692.434,764.345,665.079,620.466
WIND,year,3.082,3.002,3.016,2.964,2.782,2.911,2.816,2.958,2.745,2.851,2.818,2.797,2.810,2.824,2.853,2.747,2.645,2.827,2.859,2.822,2.833,2.870,2.755,2.812,2.761,2.801,2.840,2.746,2.737,2.770
WIND,MAMJJASO,2.927,2.900,2.944,2.824,2.782,2.752,2.843,2.795,2.752,2.701,2.793,2.805,2.746,2.750,2.679,2.600,2.558,2.846,2.648,2.690,2.739,2.717,2.632,2.789,2.664,2.815,2.695,2.702,2.615,2.693
WIND,AMJJAS,2.783,2.794,2.907,2.773,2.787,2.725,2.739,2.640,2.671,2.634,2.786,2.705,2.694,2.701,2.615,2.600,2.547,2.782,2.612,2.626,2.683,2.640,2.598,2.754,2.670,2.691,2.695,2.542,2.541,2.541
WIND,ONDJFM,3.470,3.303,3.261,3.227,2.857,2.944,2.933,3.320,2.754,3.050,2.883,2.855,2.829,3.154,3.181,2.751,2.718,2.899,3.014,2.938,3.193,2.954,2.995,2.977,2.805,2.846,3.052,2.988,2.763,3.046
WIND,NDJF,3.437,3.228,3.373,3.355,2.774,3.073,2.929,3.281,2.655,3.163,2.826,2.801,2.845,3.160,3.210,2.971,2.798,2.905,3.025,3.053,3.260,3.061,3.113,3.003,2.880,2.699,3.100,2.911,2.761,3.095
VPD,year,0.400,0.468,0.481,0.446,0.477,0.449,0.403,0.402,0.550,0.540,0.491,0.425,0.446,0.462,0.483,0.457,0.502,0.511,0.476,0.490,0.489,0.478,0.694,0.516,0.551,0.564,0.473,0.462,0.554,0.500
VPD,MAMJJASO,0.506,0.609,0.620,0.574,0.622,0.588,0.529,0.510,0.710,0.712,0.646,0.543,0.573,0.604,0.624,0.604,0.653,0.658,0.624,0.632,0.637,0.615,0.939,0.681,0.735,0.745,0.607,0.591,0.731,0.671
VPD,AMJJAS,0.577,0.724,0.720,0.669,0.703,0.688,0.616,0.584,0.799,0.811,0.767,0.646,0.657,0.692,0.719,0.700,0.728,0.764,0.721,0.734,0.732,0.691,1.117,0.790,0.849,0.876,0.702,0.686,0.839,0.772
