Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,8.868,9.971,10.141,9.914,7.786,9.150,8.331,9.908,11.241,11.094,10.226,10.561,9.721,10.014,9.849,9.477,10.672,9.405,10.399,11.184,10.007,10.818,10.993,10.627,11.108,11.486,11.017,10.988,10.346,8.722
TMAX,MAMJJASO,14.398,14.944,14.961,14.812,14.201,14.614,13.526,14.933,15.610,15.676,14.754,14.693,14.286,15.310,14.968,14.835,15.583,14.010,15.511,15.488,14.935,16.557,16.017,15.569,15.747,16.136,16.202,15.304,15.578,15.309
TMAX,AMJJAS,17.655,17.658,17.810,17.790,16.666,17.084,16.049,18.251,18.272,18.030,17.412,17.875,16.968,18.371,17.384,17.449,18.637,16.652,18.442,17.900,17.845,20.271,18.909,18.402,18.504,19.830,18.473,18.174,18.970,18.297
TMAX,ONDJFM,-0.894,0.424,2.971,1.474,0.100,0.299,0.336,2.122,3.697,3.895,2.724,4.367,2.664,0.580,3.174,1.231,2.735,2.392,1.369,3.506,3.070,3.406,1.048,2.691,3.109,2.689,4.256,3.945,2.398,0.546
TMAX,NDJF,-1.866,-2.804,1.261,-0.769,-2.948,-3.768,-2.364,0.070,1.737,1.598,0.275,2.780,1.484,-2.120,1.488,-2.074,0.089,0.682,-1.153,1.472,1.195,0.870,-1.632,0.638,1.452,0.802,1.891,2.282,0.093,-2.032
TMIN,year,-0.296,1.009,1.329,1.544,-1.007,0.371,-0.186,1.307,2.389,2.578,1.832,2.012,1.175,0.827,1.220,0.496,1.700,1.421,1.701,2.799,1.397,1.641,1.665,1.658,1.967,2.306,2.109,2.191,1.678,-0.151
TMIN,MAMJJASO,4.470,5.246,5.669,5.346,4.910,5.147,4.476,5.338,5.735,6.004,5.550,5.158,4.623,5.066,5.563,4.954,5.407,5.146,5.832,5.971,5.406,6.077,5.891,5.773,5.302,5.660,6.176,5.313,5.615,5.457
TMIN,AMJJAS,7.127,6.977,7.864,7.761,6.804,6.836,6.576,7.943,7.546,7.811,7.433,7.553,6.737,7.350,7.207,6.922,7.671,7.482,7.894,7.760,7.912,8.914,8.190,7.923,7.845,8.706,8.037,7.396,8.149,7.940
TMIN,ONDJFM,-9.820,-6.919,-4.371,-6.112,-6.619,-7.412,-7.401,-3.960,-3.741,-3.082,-4.126,-2.433,-4.481,-6.465,-3.556,-6.390,-4.703,-4.366,-5.148,-3.931,-3.325,-3.958,-6.269,-4.904,-4.527,-4.865,-2.913,-2.809,-4.533,-6.330
TMIN,NDJF,-10.117,-10.449,-6.208,-7.967,-9.865,-11.446,-9.800,-5.731,-5.615,-4.840,-6.348,-3.979,-5.142,-8.749,-5.114,-9.250,-7.272,-5.355,-7.462,-5.541,-4.475,-6.049,-8.905,-6.443,-5.568,-5.749,-4.798,-3.809,-6.612,-8.137
TAVG,year,4.276,5.496,5.722,5.728,3.328,4.699,3.981,5.604,6.822,6.818,5.981,6.289,5.381,5.406,5.461,4.921,6.203,5.320,6.022,6.930,5.639,6.229,6.271,6.085,6.482,6.869,6.519,6.608,5.966,4.204
TAVG,MAMJJASO,9.392,10.070,10.274,10.050,9.478,9.779,8.869,10.099,10.646,10.784,10.056,9.906,9.352,10.178,10.154,9.796,10.500,9.429,10.623,10.619,10.105,11.291,10.863,10.576,10.426,10.846,11.097,10.291,10.543,10.251
TAVG,AMJJAS,12.369,12.311,12.787,12.754,11.682,11.858,11.184,13.095,12.921,12.883,12.340,12.729,11.758,12.890,12.175,12.117,13.213,11.935,13.140,12.692,12.834,14.612,13.500,13.110,13.126,14.282,13.222,12.795,13.543,13.005
TAVG,ONDJFM,-5.345,-3.256,-0.673,-2.288,-3.294,-3.585,-3.610,-0.915,-0.013,0.412,-0.750,0.965,-0.926,-2.995,-0.208,-2.652,-1.002,-1.046,-1.910,-0.234,-0.168,-0.297,-2.675,-1.175,-0.768,-1.172,0.621,0.562,-1.097,-2.948
TAVG,NDJF,-5.946,-6.581,-2.400,-4.311,-6.423,-7.575,-6.107,-2.798,-1.842,-1.557,-3.037,-0.542,-1.795,-5.462,-1.759,-5.692,-3.552,-2.324,-4.277,-2.010,-1.666,-2.555,-5.277,-2.879,-2.030,-2.472,-1.397,-0.691,-3.262,-5.058
RH,year,80.882,81.351,81.278,81.324,81.133,79.056,79.203,79.512,78.988,78.288,79.511,78.223,80.026,76.954,78.678,79.737,77.414,81.798,80.735,81.066,80.282,79.707,79.388,80.513,80.185,80.168,80.405,81.152,81.178,81.324
RH,MAMJJASO,78.573,78.552,79.225,78.487,78.954,76.747,77.051,77.098,76.133,74.579,77.392,75.079,77.385,72.827,75.379,76.450,72.754,79.217,77.687,77.651,77.715,76.106,75.918,77.449,76.503,76.719,76.509,77.655,77.364,78.266
RH,AMJJAS,77.150,76.677,77.978,77.283,77.608,74.761,75.649,75.425,73.664,73.237,74.765,72.880,76.210,70.506,73.351,74.555,70.841,78.060,74.958,76.610,75.659,74.111,74.527,75.066,74.890,74.508,74.466,75.128,74.806,76.872
RH,ONDJFM,82.341,85.800,85.504,84.391,85.609,84.551,81.845,84.802,83.434,82.926,84.134,83.818,82.991,84.426,83.696,84.118,83.598,85.335,87.383,83.369,86.902,85.443,84.149,85.589,85.286,85.227,86.940,86.945,87.303,87.016
RH,NDJF,84.885,86.212,86.325,86.105,86.546,85.267,82.004,86.064,83.573,85.511,84.256,84.030,84.717,86.155,85.531,85.648,85.658,87.746,87.745,85.826,88.289,86.199,86.201,87.159,86.685,87.072,88.222,88.515,88.249,88.876
RHmin,year,60.843,61.844,61.933,63.113,61.275,60.092,60.512,61.245,60.593,60.531,61.407,60.593,61.503,58.279,60.169,60.417,59.316,63.929,62.097,62.995,61.717,60.681,59.748,61.239,60.783,61.105,61.517,62.614,62.593,61.624
RHmin,MAMJJASO,58.303,58.860,60.056,59.236,59.523,57.580,58.365,57.975,56.941,55.823,58.629,56.823,57.706,53.929,56.727,56.751,53.916,60.463,58.465,58.429,58.595,56.018,56.088,57.900,55.832,56.548,56.860,57.987,57.661,58.020
RHmin,AMJJAS,56.559,55.975,58.234,57.667,57.777,54.880,56.753,55.931,54.013,54.222,55.486,54.367,56.196,51.316,54.046,54.559,51.655,59.416,55.212,56.601,56.660,53.525,54.474,55.280,54.764,54.428,55.009,55.112,54.661,56.459
RHmin,ONDJFM,60.837,66.971,67.227,65.671,68.184,65.113,63.042,69.467,65.391,66.133,67.008,67.062,65.565,66.652,67.087,65.032,65.524,68.428,70.422,65.447,70.783,67.302,66.109,66.619,66.501,66.503,69.045,69.982,69.496,69.310
RHmin,NDJF,63.941,66.372,67.587,67.559,68.088,65.463,63.501,70.960,65.763,69.189,67.469,67.317,68.055,68.683,68.796,66.864,67.113,72.060,71.023,68.077,73.174,68.672,67.655,68.997,68.748,70.012,70.956,72.760,70.584,72.378
PREC,year,745.929,632.167,696.069,717.111,788.455,718.636,772.698,734.345,636.769,748.581,666.484,740.033,757.215,627.993,688.878,630.537,632.986,860.815,751.139,929.862,788.664,640.713,646.244,714.929,708.992,774.455,708.752,769.232,728.692,709.755
