Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,8.189,9.016,9.267,9.577,7.122,8.401,7.209,9.127,10.627,9.919,9.408,9.479,8.879,9.278,9.466,9.256,9.552,8.517,9.696,10.774,9.448,9.716,9.935,10.009,10.715,10.539,10.426,10.111,9.803,8.745
TMAX,MAMJJASO,13.796,14.220,15.214,14.938,14.407,14.627,13.704,15.184,15.867,15.095,14.399,14.029,13.849,15.013,15.178,14.709,14.990,14.067,15.783,15.780,15.277,16.136,15.663,15.516,15.835,15.989,16.201,14.519,15.383,15.884
TMAX,AMJJAS,17.283,17.245,18.627,18.433,17.268,17.398,16.407,18.723,19.290,18.092,17.509,17.796,16.969,18.476,18.075,17.534,18.610,17.245,19.066,18.656,18.954,20.264,18.990,18.781,19.306,20.170,18.780,17.477,19.217,19.574
TMAX,ONDJFM,-2.956,-0.703,1.444,-0.376,-2.094,-1.204,-1.907,0.052,1.278,1.249,0.594,2.871,0.696,-1.123,2.014,-0.279,1.401,-0.297,-0.538,1.682,1.916,0.791,-1.680,1.105,1.363,1.053,1.906,2.657,1.793,-1.095
TMAX,NDJF,-3.563,-4.207,-0.212,-2.857,-5.918,-5.320,-5.317,-3.041,-1.370,-1.047,-1.746,1.103,-0.205,-3.763,0.135,-3.741,-1.060,-2.107,-3.779,-0.614,-0.062,-2.055,-4.796,-1.048,-0.221,-0.980,-0.993,0.959,-0.377,-3.539
TMIN,year,-0.263,0.582,0.616,1.345,-1.412,0.272,-1.046,0.710,2.486,1.569,1.361,1.446,0.663,0.613,1.111,0.609,0.825,0.357,1.258,2.670,1.051,0.690,1.307,1.614,2.231,1.754,2.146,2.281,1.400,0.322
TMIN,MAMJJASO,4.625,5.079,6.184,5.562,5.275,5.853,4.928,6.093,6.943,5.702,5.717,5.285,4.567,5.395,6.152,5.034,5.338,5.089,6.268,6.629,5.927,5.930,6.331,6.219,6.016,5.801,7.000,5.545,5.663,6.512
TMIN,AMJJAS,7.655,7.246,8.957,8.388,7.421,7.769,7.059,8.884,9.174,8.071,8.195,8.329,7.147,8.034,8.086,7.250,7.940,7.945,8.544,8.702,9.038,9.230,8.818,8.798,9.049,9.235,8.822,7.688,8.609,9.599
TMIN,ONDJFM,-11.935,-7.506,-5.448,-7.790,-8.489,-8.235,-8.897,-6.239,-5.795,-5.119,-6.607,-3.439,-6.138,-7.769,-4.174,-7.892,-5.780,-7.150,-6.821,-4.996,-4.324,-6.213,-8.837,-5.544,-5.546,-5.865,-4.676,-3.204,-4.305,-7.756
TMIN,NDJF,-11.638,-11.285,-7.089,-9.976,-12.440,-12.588,-12.036,-9.514,-8.918,-7.007,-8.863,-5.553,-6.604,-9.910,-6.080,-10.983,-8.480,-8.524,-9.714,-7.253,-5.613,-8.837,-11.987,-7.518,-6.401,-7.059,-7.368,-4.585,-6.167,-9.516
TAVG,year,4.060,4.938,5.066,5.600,2.910,4.395,3.087,4.984,6.652,5.813,5.415,5.549,4.754,4.991,5.327,4.941,5.261,4.369,5.466,6.715,5.227,5.237,5.639,5.817,6.498,6.195,6.286,6.218,5.625,4.538
TAVG,MAMJJASO,9.250,9.754,10.812,10.366,9.912,10.269,9.301,10.691,11.458,10.439,10.041,9.696,9.110,10.228,10.647,9.851,10.211,9.435,10.989,11.125,10.542,11.033,10.972,10.783,10.898,10.932,11.562,9.989,10.513,11.161
TAVG,AMJJAS,12.516,12.364,13.885,13.546,12.429,12.613,11.712,13.862,14.298,13.120,12.815,13.116,11.935,13.309,13.032,12.395,13.359,12.445,13.767,13.548,13.925,14.791,13.872,13.721,14.171,14.814,13.784,12.511,13.921,14.521
TAVG,ONDJFM,-7.220,-3.988,-1.820,-3.954,-5.235,-4.611,-5.359,-3.019,-2.165,-1.840,-2.927,-0.136,-2.609,-4.421,-0.960,-4.056,-2.130,-3.711,-3.668,-1.554,-1.157,-2.647,-5.223,-2.168,-2.045,-2.386,-1.391,-0.194,-1.148,-4.367
TAVG,NDJF,-7.292,-7.583,-3.435,-6.281,-9.122,-8.800,-8.607,-6.220,-4.999,-3.896,-5.189,-2.033,-3.227,-6.776,-2.776,-7.289,-4.654,-5.239,-6.703,-3.789,-2.777,-5.337,-8.285,-4.165,-3.176,-3.910,-4.107,-1.696,-3.129,-6.421
RH,year,80.933,81.125,80.676,80.779,79.227,77.853,79.773,80.558,80.643,79.293,82.104,80.836,80.939,81.106,82.587,82.827,80.282,82.641,81.599,82.973,81.696,81.619,81.780,82.628,81.733,80.918,82.577,83.284,81.948,82.797
RH,MAMJJASO,77.589,77.960,77.765,77.358,76.302,74.493,77.249,77.361,77.453,74.895,79.696,77.745,77.989,77.197,79.850,79.560,76.433,79.847,78.183,79.635,78.614,77.921,78.425,79.762,78.340,77.650,79.533,80.181,78.551,79.719
RH,AMJJAS,75.983,75.769,74.971,74.424,74.084,71.876,75.063,74.844,74.210,72.436,77.348,74.923,76.285,74.773,77.425,77.677,74.110,78.248,75.632,78.093,76.555,75.705,76.692,77.870,76.992,74.837,77.443,77.622,76.339,77.886
RH,ONDJFM,83.185,86.385,87.301,86.057,86.167,83.703,84.840,86.397,85.946,86.031,86.110,87.463,85.749,87.160,87.791,87.095,86.859,87.670,87.227,86.840,87.878,88.141,85.876,88.967,85.442,87.045,87.205,88.481,88.401,87.902
RH,NDJF,86.971,87.134,87.964,86.468,86.459,84.785,85.070,86.976,86.518,88.088,86.583,87.075,86.708,88.933,89.220,87.988,88.426,88.893,88.306,88.800,89.262,89.069,88.129,89.773,87.414,88.333,87.616,89.535,89.183,89.127
RHmin,year,62.752,63.079,62.198,63.607,60.755,60.881,61.550,62.401,63.522,61.792,64.241,63.745,62.873,62.502,64.038,63.616,61.903,64.039,63.151,64.966,63.080,62.137,62.933,64.022,63.345,62.458,64.330,65.955,63.780,63.861
RHmin,MAMJJASO,59.255,59.780,60.037,59.206,58.392,57.701,59.352,59.374,60.025,56.752,61.500,60.355,58.692,58.307,61.123,59.629,57.679,60.505,59.015,60.500,59.348,57.595,59.522,60.302,58.294,57.793,60.683,61.344,58.939,60.305
RHmin,AMJJAS,57.560,56.808,56.950,56.133,55.709,54.369,56.903,56.507,55.512,54.066,58.619,57.455,56.716,55.426,57.544,57.364,54.529,59.012,55.501,57.828,57.050,55.093,56.921,57.991,56.990,55.191,57.854,58.022,55.991,58.085
RHmin,ONDJFM,62.112,69.034,70.269,67.621,69.502,66.319,66.932,70.192,68.171,70.107,68.050,71.694,68.618,69.721,72.081,67.573,68.679,69.886,70.738,69.974,71.886,70.004,67.484,71.578,68.307,69.253,70.282,73.351,72.841,70.545
RHmin,NDJF,66.995,68.713,70.689,68.197,68.911,66.364,67.378,69.852,67.412,72.493,68.427,70.592,70.590,71.978,73.320,68.636,69.207,71.956,72.085,71.444,74.325,71.044,69.041,72.675,71.610,72.302,70.880,74.943,74.053,72.930
