Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.537,15.024,15.198,15.235,14.053,13.788,14.564,14.860,15.600,15.561,14.959,14.843,14.626,14.883,15.915,14.692,15.781,15.408,15.446,15.202,15.257,15.360,15.776,15.453,15.510,15.839,15.955,15.095,15.029,14.255
TMAX,MAMJJASO,16.812,17.425,17.463,17.766,16.490,15.953,16.858,16.912,18.023,17.969,17.527,16.998,16.618,16.742,18.725,17.223,18.174,17.452,17.835,17.660,17.743,17.367,18.311,17.639,17.946,18.326,18.124,17.286,17.690,17.592
TMAX,AMJJAS,18.199,18.810,18.847,19.375,17.630,16.844,18.417,18.094,19.364,19.201,18.853,18.520,18.025,17.666,20.242,18.647,19.334,18.486,19.068,18.982,19.001,18.503,19.645,19.096,19.029,19.820,19.262,18.704,18.741,18.943
TMAX,ONDJFM,10.669,10.681,11.076,11.275,10.694,10.298,11.145,11.122,12.223,11.851,11.114,11.481,11.280,10.882,12.077,11.193,11.411,12.491,12.058,11.841,10.709,12.530,11.848,11.853,11.845,11.511,12.430,12.512,11.122,10.575
TMAX,NDJF,9.795,9.863,9.899,10.568,9.385,8.776,10.097,10.252,11.485,10.506,9.504,10.579,10.773,9.880,11.356,9.901,9.730,11.443,10.976,10.572,9.608,11.243,10.483,10.916,10.932,10.403,11.243,11.566,9.859,8.767
TMIN,year,7.810,7.774,8.247,7.447,7.237,6.909,7.573,8.015,8.197,8.252,8.057,7.907,7.780,8.108,8.405,7.684,8.842,8.728,8.724,8.192,8.054,8.500,8.485,8.524,8.806,8.788,8.800,8.139,8.200,7.238
TMIN,MAMJJASO,9.544,9.528,9.796,9.244,9.356,8.584,9.167,9.617,9.812,10.065,10.019,9.506,9.149,9.419,10.321,9.466,10.551,10.259,10.558,9.854,9.922,9.730,10.238,10.038,10.598,10.584,10.279,9.804,10.303,9.904
TMIN,AMJJAS,10.727,10.611,10.680,10.337,10.304,9.373,10.517,10.449,10.582,10.616,10.954,10.613,10.381,10.114,11.215,10.219,11.405,11.008,11.595,10.763,10.705,10.707,11.526,11.305,11.337,11.574,11.153,11.046,11.125,11.101
TMIN,ONDJFM,4.794,4.433,5.128,5.269,4.151,4.150,4.729,5.143,5.963,6.031,5.003,5.830,5.211,4.816,6.032,5.485,5.525,6.776,6.025,5.852,4.761,6.462,5.746,5.369,6.271,5.745,6.187,6.303,5.087,4.110
TMIN,NDJF,4.203,4.111,4.116,4.785,3.190,2.904,3.950,4.664,5.511,4.757,3.375,5.106,4.943,4.304,5.705,4.314,4.214,5.958,5.285,4.928,3.987,5.467,5.297,4.897,5.910,4.811,5.341,5.698,4.299,2.651
TAVG,year,11.118,11.349,11.680,11.287,10.613,10.305,11.018,11.386,11.850,11.840,11.461,11.306,11.144,11.458,12.094,11.132,12.266,12.012,12.030,11.640,11.591,11.880,12.102,11.972,12.150,12.262,12.310,11.550,11.543,10.666
TAVG,MAMJJASO,13.107,13.420,13.574,13.449,12.875,12.205,12.951,13.204,13.861,13.943,13.718,13.176,12.805,13.036,14.456,13.287,14.308,13.788,14.128,13.680,13.746,13.462,14.223,13.790,14.229,14.387,14.124,13.470,13.920,13.666
TAVG,AMJJAS,14.390,14.642,14.705,14.792,13.907,13.030,14.394,14.205,14.916,14.835,14.851,14.486,14.118,13.847,15.659,14.365,15.321,14.678,15.266,14.792,14.763,14.515,15.545,15.143,15.145,15.620,15.133,14.802,14.857,14.930
TAVG,ONDJFM,7.696,7.523,8.073,8.244,7.388,7.230,7.918,8.097,9.050,8.890,8.006,8.606,8.196,7.827,9.010,8.292,8.408,9.598,9.002,8.788,7.714,9.459,8.792,8.612,9.068,8.647,9.263,9.344,8.041,7.303
TAVG,NDJF,6.980,6.954,6.983,7.646,6.254,5.857,6.998,7.428,8.463,7.587,6.398,7.795,7.815,7.087,8.487,7.058,6.914,8.679,8.104,7.716,6.787,8.349,7.921,7.934,8.463,7.647,8.263,8.573,7.031,5.670
RH,year,85.056,84.472,84.458,83.587,84.774,83.674,84.195,84.558,82.879,83.144,83.942,83.843,84.047,84.400,83.995,82.727,83.769,84.343,83.708,84.637,84.567,84.967,83.686,83.718,84.283,83.598,84.565,85.198,85.819,83.916
RH,MAMJJASO,84.306,83.216,83.823,81.708,84.135,83.475,83.256,83.582,81.448,81.947,83.024,82.680,83.401,83.010,82.214,81.584,82.757,83.538,82.316,83.375,83.167,83.932,82.304,82.139,83.051,82.354,83.605,83.915,84.431,82.172
RH,AMJJAS,83.903,82.747,83.216,80.711,83.695,83.119,82.678,82.738,80.175,81.218,82.050,82.076,83.335,82.411,81.215,80.470,82.193,83.249,82.103,82.677,82.419,83.426,82.063,81.589,82.411,81.170,83.083,83.581,83.711,81.646
RH,ONDJFM,85.580,86.004,85.909,85.780,86.464,84.807,85.380,85.925,85.782,85.425,86.054,85.328,85.158,85.253,87.232,85.596,84.740,85.833,85.260,86.056,86.708,86.160,85.967,85.665,86.183,85.915,86.472,86.016,87.369,88.502
RH,NDJF,85.576,87.093,85.833,86.619,87.119,84.544,85.726,86.110,85.941,86.043,85.992,85.603,85.823,86.015,88.240,86.022,84.827,86.076,86.636,86.586,87.751,86.589,86.789,87.090,86.630,86.473,87.040,86.498,88.302,89.882
RHmin,year,69.229,67.792,68.503,66.125,68.839,67.699,67.970,68.649,66.414,66.597,68.090,67.790,68.184,68.695,67.116,66.961,68.029,68.811,68.248,68.458,67.954,69.051,67.258,68.049,69.010,67.733,68.157,68.875,69.649,67.669
RHmin,MAMJJASO,67.658,65.696,66.740,63.539,67.939,66.704,65.972,67.169,63.949,64.751,66.396,65.944,66.524,66.617,64.269,64.840,66.082,67.290,66.208,65.997,65.801,66.645,64.740,65.484,66.802,65.600,66.233,66.972,67.684,65.283
RHmin,AMJJAS,67.091,64.903,65.434,62.032,67.330,66.282,65.278,65.935,62.057,62.973,65.005,64.838,66.305,65.821,62.536,62.750,65.269,66.639,65.853,64.811,64.437,66.072,64.716,64.876,65.777,63.889,65.536,66.599,66.823,64.725
RHmin,ONDJFM,70.998,70.632,71.164,70.982,70.236,69.843,69.786,71.052,70.475,71.034,70.817,71.296,70.212,70.403,72.113,71.468,70.262,71.737,70.488,71.187,71.835,71.245,71.229,70.039,72.524,71.836,71.080,70.710,72.046,72.018
RHmin,NDJF,71.551,72.582,71.354,72.096,71.357,70.098,70.511,71.992,71.185,71.556,70.553,71.833,71.265,72.045,73.743,71.924,70.955,72.418,72.289,72.333,73.327,72.221,73.841,72.239,74.188,72.664,72.238,71.784,73.792,73.615
PREC,year,1225.650,1342.495,1172.724,1158.040,1217.574,1369.928,1066.125,1300.894,1176.333,1317.927,1148.878,1200.180,1260.695,1379.176,1237.010,1196.160,1231.313,1407.091,1345.050,1346.831,910.935,1150.610,797.922,927.168,892.143,1211.084,1164.794,1402.341,1480.068,888.507
PREC,MAMJJASO,817.586,754.091,708.111,543.907,835.454,826.612,694.385,826.831,727.464,632.699,697.517,773.131,721.172,727.614,600.240,722.932,695.010,867.069,704.236,741.406,602.622,608.423,477.555,617.584,559.170,722.095,658.609,907.461,857.085,593.169
PREC,AMJJAS,527.241,444.702,438.047,334.200,652.997,556.657,455.243,528.400,381.278,377.325,437.751,567.679,592.749,503.449,304.938,414.508,547.124,574.881,575.709,480.261,404.415,409.010,358.686,398.183,374.205,468.533,506.822,596.513,655.526,426.727
PREC,ONDJFM,348.819,729.437,863.998,771.422,701.059,609.547,759.212,817.108,737.914,862.918,803.476,663.748,604.398,878.004,903.951,793.579,674.608,753.184,820.168,723.016,839.913,611.715,566.368,495.106,520.828,508.502,867.464,737.628,662.436,771.325
PREC,NDJF,186.317,463.464,575.698,550.671,440.630,398.760,537.570,541.942,405.741,634.114,474.008,396.570,458.005,672.303,718.559,503.432,428.185,541.317,573.104,608.846,534.336,454.375,363.563,351.143,314.664,278.364,637.431,542.584,421.253,538.987
SRAD,year,3344.064,3578.971,3393.163,3621.924,3396.851,3491.661,3404.051,3517.055,3726.354,3678.801,3513.321,3534.160,3311.217,3294.680,3822.484,3621.762,3545.192,3433.756,3550.760,3623.458,3660.144,3547.201,3811.448,3674.816,3578.739,3738.885,3720.340,3604.572,3736.633,3800.349
SRAD,MAMJJASO,3013.915,3243.411,3074.858,3283.709,3034.253,3135.332,3071.994,3156.735,3368.217,3322.950,3158.855,3197.349,3008.929,2984.732,3480.534,3248.312,3208.759,3080.040,3182.527,3260.904,3271.030,3202.866,3423.676,3304.136,3206.127,3363.731,3347.120,3233.567,3375.090,3410.066
SRAD,AMJJAS,2588.304,2765.856,2670.052,2864.705,2602.265,2657.812,2620.200,2717.659,2947.788,2906.223,2751.801,2775.514,2584.394,2535.564,3012.178,2869.381,2748.916,2657.539,2696.936,2807.648,2810.669,2735.386,2875.953,2810.801,2777.281,2921.786,2855.592,2745.213,2896.454,2906.419
SRAD,ONDJFM,422.533,826.154,739.482,726.980,785.482,819.071,812.261,793.357,802.645,759.228,777.347,732.965,749.901,715.134,827.906,752.578,798.885,749.192,863.427,815.914,841.117,838.508,898.758,898.534,796.833,791.554,890.193,836.501,858.403,856.228
SRAD,NDJF,190.183,334.119,332.872,319.973,346.238,365.244,350.603,342.995,359.558,347.284,373.350,335.663,312.623,299.327,332.356,359.955,358.344,337.742,373.721,364.953,376.790,366.868,371.065,386.526,347.394,373.180,388.019,367.212,357.403,380.327
WIND,year,3.785,3.767,3.850,3.671,3.647,4.045,3.400,3.713,3.639,3.905,3.608,3.661,3.678,3.828,3.547,3.416,3.364,3.752,3.811,3.709,3.439,3.614,3.491,3.601,3.535,3.541,3.407,3.471,3.372,3.057
WIND,MAMJJASO,3.640,3.503,3.499,3.356,3.594,3.681,3.314,3.563,3.459,3.569,3.485,3.558,3.233,3.565,3.403,3.261,3.144,3.585,3.581,3.391,3.432,3.324,3.296,3.584,3.395,3.380,3.152,3.376,3.296,3.169
WIND,AMJJAS,3.444,3.254,3.135,3.200,3.653,3.398,3.184,3.389,3.140,3.179,3.451,3.413,3.217,3.300,3.086,3.092,3.062,3.455,3.489,3.210,3.265,3.203,3.225,3.504,3.338,3.261,3.109,3.121,3.270,3.131
WIND,ONDJFM,4.258,4.120,4.486,4.290,3.989,3.987,4.217,3.995,4.256,4.418,3.774,3.959,4.155,4.254,4.376,3.538,3.793,3.619,4.192,4.132,3.944,4.091,3.699,3.717,3.767,3.596,4.029,3.794,3.414,3.233
WIND,NDJF,4.194,4.003,4.736,4.383,3.847,4.064,4.290,4.084,4.242,4.354,3.657,3.840,4.462,4.364,4.557,3.509,3.724,3.808,4.170,4.412,3.877,4.093,3.826,3.691,3.939,3.440,4.187,3.919,3.257,3.298
VPD,year,0.212,0.228,0.234,0.247,0.209,0.215,0.224,0.224,0.267,0.256,0.237,0.239,0.225,0.225,0.262,0.249,0.251,0.235,0.249,0.231,0.232,0.222,0.253,0.249,0.241,0.261,0.237,0.218,0.214,0.234
VPD,MAMJJASO,0.248,0.274,0.274,0.305,0.245,0.244,0.265,0.263,0.322,0.306,0.283,0.283,0.258,0.266,0.326,0.299,0.298,0.272,0.299,0.277,0.281,0.259,0.306,0.299,0.288,0.314,0.277,0.260,0.262,0.294
VPD,AMJJAS,0.273,0.302,0.306,0.346,0.267,0.262,0.296,0.292,0.365,0.337,0.317,0.315,0.280,0.289,0.369,0.336,0.327,0.291,0.324,0.308,0.311,0.283,0.334,0.333,0.315,0.359,0.302,0.286,0.290,0.323
VPD,ONDJFM,0.154,0.151,0.155,0.159,0.144,0.158,0.161,0.156,0.167,0.173,0.155,0.169,0.166,0.161,0.151,0.163,0.173,0.174,0.177,0.164,0.145,0.169,0.163,0.167,0.163,0.163,0.164,0.170,0.142,0.126
VPD,NDJF,0.146,0.133,0.144,0.144,0.126,0.144,0.147,0.146,0.159,0.151,0.138,0.157,0.155,0.144,0.134,0.143,0.154,0.160,0.150,0.145,0.125,0.151,0.141,0.142,0.150,0.145,0.147,0.156,0.121,0.099
FWI_FD,year,0.737,0.885,1.156,1.394,0.490,0.770,0.780,0.703,1.327,1.103,1.058,0.765,0.779,0.608,1.580,1.105,0.850,0.559,0.816,0.647,0.911,0.888,1.519,1.334,1.249,1.296,0.830,0.601,0.555,0.955
FWI_FD,MAMJJASO,1.005,1.270,1.566,2.021,0.622,0.997,1.056,0.944,1.870,1.570,1.484,1.041,1.031,0.858,2.290,1.549,1.183,0.750,1.148,0.913,1.223,1.207,2.072,1.764,1.651,1.772,1.108,0.811,0.762,1.354
FWI_FD,AMJJAS,1.304,1.619,2.016,2.595,0.698,1.012,1.356,1.203,2.415,1.932,1.905,1.244,1.181,1.020,2.969,2.000,1.382,0.911,1.364,1.133,1.545,1.424,2.317,2.168,1.971,2.264,1.353,1.038,0.843,1.613
FWI_FD,ONDJFM,0.155,0.188,0.151,0.301,0.204,0.359,0.421,0.190,0.188,0.328,0.171,0.266,0.354,0.231,0.216,0.225,0.281,0.278,0.195,0.258,0.135,0.329,0.521,0.642,0.530,0.483,0.187,0.301,0.233,0.204
FWI_FD,NDJF,0.189,0.160,0.147,0.283,0.180,0.328,0.170,0.193,0.218,0.172,0.164,0.274,0.228,0.141,0.097,0.190,0.219,0.201,0.117,0.139,0.129,0.259,0.377,0.381,0.482,0.446,0.150,0.296,0.176,0.081
FWI_3+,year,0.016,0.020,0.280,0.850,0.000,0.004,0.001,0.011,0.403,0.267,0.052,0.060,0.001,0.032,2.122,0.064,0.090,0.000,0.007,0.002,0.025,0.724,1.970,2.321,3.040,2.078,0.006,0.009,0.000,0.033
FWI_3+,MAMJJASO,0.016,0.020,0.280,0.850,0.000,0.004,0.001,0.011,0.403,0.267,0.052,0.060,0.001,0.032,2.122,0.064,0.090,0.000,0.007,0.002,0.025,0.611,1.632,1.937,2.505,1.854,0.006,0.009,0.000,0.033
FWI_3+,AMJJAS,0.016,0.020,0.280,0.850,0.000,0.001,0.001,0.011,0.403,0.267,0.052,0.060,0.001,0.032,2.122,0.064,0.090,0.000,0.007,0.002,0.023,0.491,1.371,1.666,2.050,1.683,0.006,0.009,0.000,0.033
FWI_3+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.572,0.456,0.901,0.944,0.000,0.000,0.000,0.000
FWI_3+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.227,0.586,0.450,0.000,0.000,0.000,0.000
FWI_4+,year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.102,0.127,0.259,0.187,0.000,0.000,0.000,0.000
FWI_4+,MAMJJASO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.097,0.097,0.185,0.162,0.000,0.000,0.000,0.000
FWI_4+,AMJJAS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.088,0.076,0.148,0.139,0.000,0.000,0.000,0.000
FWI_4+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.018,0.094,0.109,0.000,0.000,0.000,0.000
FWI_4+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,0.073,0.052,0.000,0.000,0.000,0.000
FWI_5+,year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.008,0.025,0.008,0.000,0.000,0.000,0.000
FWI_5+,MAMJJASO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.004,0.013,0.008,0.000,0.000,0.000,0.000
FWI_5+,AMJJAS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004,0.008,0.008,0.000,0.000,0.000,0.000
FWI_5+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.013,0.008,0.000,0.000,0.000,0.000
FWI_5+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.003,0.000,0.000,0.000,0.000
FWI_6,year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,MAMJJASO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,AMJJAS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DFM10H,year,23.086,23.025,22.336,21.383,22.554,22.861,21.640,22.837,22.005,22.336,22.014,22.592,22.229,23.521,21.647,21.480,21.934,23.408,22.580,23.257,21.176,22.342,20.173,20.922,21.095,21.798,22.071,23.275,23.601,21.142
