Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,23.465,22.572,22.580,22.018,22.869,22.265,23.059,22.436,23.616,23.289,22.873,22.871,21.695,22.987,24.056,22.662,23.768,23.561,22.916,23.065,23.058,23.121,23.444,23.395,23.761,23.798,23.233,22.977,24.062,23.459
TMAX,MAMJJASO,26.054,25.789,25.571,25.107,26.272,25.514,26.386,25.429,26.928,26.829,26.501,26.069,24.510,26.060,27.490,26.063,27.160,26.588,26.166,26.259,26.486,26.089,27.192,26.820,27.754,27.589,26.436,25.986,27.851,27.370
TMAX,AMJJAS,27.524,27.463,26.474,26.789,27.723,26.983,28.531,26.545,28.145,28.614,28.832,27.912,26.267,27.159,28.689,27.623,27.697,27.671,27.948,27.521,28.240,27.497,29.199,28.901,29.621,29.652,27.895,27.539,28.887,29.661
TMAX,ONDJFM,17.354,19.316,17.499,17.893,17.378,17.854,18.246,17.571,18.747,19.075,16.806,17.762,17.644,17.390,19.060,18.380,19.617,19.429,18.555,18.388,17.974,18.321,18.174,17.679,17.818,17.406,18.415,19.157,18.308,18.132
TMAX,NDJF,16.422,18.006,15.500,16.440,15.720,15.575,16.216,16.223,16.799,16.845,15.136,16.030,16.560,15.623,17.370,16.232,16.721,17.080,16.931,16.520,16.320,16.368,16.175,16.431,15.835,15.373,16.681,17.625,15.748,15.951
TMIN,year,11.951,11.713,11.766,11.214,11.494,11.111,12.365,11.714,12.685,12.247,11.618,11.454,11.160,11.777,12.724,12.004,12.966,12.059,11.541,11.718,11.952,12.068,12.384,11.773,11.550,12.536,11.372,11.457,12.088,12.191
TMIN,MAMJJASO,14.153,13.614,13.754,13.070,13.492,13.239,14.528,13.584,14.565,14.569,14.047,13.609,13.195,13.740,14.539,13.983,14.924,14.212,14.219,13.763,14.398,13.803,14.780,14.092,14.568,15.214,13.645,13.529,14.246,14.492
TMIN,AMJJAS,15.035,14.881,14.620,14.352,14.686,14.095,15.799,14.598,15.449,15.609,15.301,14.862,14.362,14.272,15.476,15.114,15.601,15.333,15.253,14.921,14.863,14.427,15.883,15.310,15.666,16.126,14.870,14.747,14.951,15.847
TMIN,ONDJFM,6.444,9.342,8.056,8.535,8.448,8.249,8.403,9.036,8.675,10.385,8.190,7.524,8.302,8.346,9.406,9.999,9.387,10.449,7.475,8.019,9.667,8.416,9.503,8.809,7.101,8.065,9.348,8.339,7.671,9.272
TMIN,NDJF,4.788,8.722,6.740,7.957,7.884,7.208,6.789,8.554,7.284,9.493,6.514,6.324,7.491,7.181,8.334,9.069,8.226,9.389,6.017,6.373,8.652,6.547,8.036,8.079,5.120,6.096,8.174,7.374,6.169,7.996
TAVG,year,17.592,17.043,17.082,16.542,17.089,16.620,17.617,16.982,18.079,17.707,17.165,17.065,16.314,17.268,18.310,17.251,18.303,17.734,17.168,17.295,17.403,17.504,17.811,17.534,17.588,18.081,17.201,17.100,17.971,17.718
TAVG,MAMJJASO,19.956,19.589,19.567,19.008,19.784,19.302,20.380,19.389,20.673,20.640,20.184,19.740,18.731,19.802,20.938,19.937,20.997,20.315,20.168,19.918,20.362,19.845,20.889,20.366,21.070,21.298,19.915,19.646,20.976,20.844
TAVG,AMJJAS,21.136,21.040,20.408,20.495,21.081,20.463,22.071,20.456,21.721,22.050,21.976,21.262,20.187,20.612,22.002,21.282,21.583,21.411,21.581,21.115,21.491,20.878,22.440,21.990,22.555,22.791,21.233,21.027,21.839,22.661
TAVG,ONDJFM,11.784,14.257,12.706,13.172,12.838,12.987,13.261,13.218,13.642,14.674,12.413,12.587,12.900,12.745,14.113,14.126,14.426,14.894,12.915,13.125,13.698,13.264,13.730,13.162,12.499,12.657,13.818,13.662,12.873,13.554
TAVG,NDJF,10.514,13.302,11.025,12.161,11.740,11.316,11.374,12.325,12.001,13.104,10.748,11.098,11.962,11.262,12.725,12.564,12.384,13.166,11.381,11.323,12.368,11.362,12.009,12.162,10.552,10.681,12.357,12.434,10.819,11.786
RH,year,70.830,72.453,72.868,70.423,68.725,69.953,70.252,70.171,69.287,68.673,69.230,68.078,72.249,71.404,68.455,71.171,72.008,71.118,71.404,72.406,72.222,72.699,71.313,70.466,66.941,71.275,70.328,71.556,68.255,70.256
RH,MAMJJASO,68.552,66.692,69.068,65.580,63.071,64.124,65.040,65.295,64.064,62.465,63.607,62.852,67.484,65.790,62.279,65.993,66.064,66.881,67.815,67.513,68.316,67.364,65.421,64.745,61.951,65.817,65.030,66.748,61.611,64.466
RH,AMJJAS,66.391,65.115,68.689,63.884,62.341,60.914,61.496,64.129,62.442,60.507,59.693,60.801,65.310,62.506,60.385,63.609,65.781,66.208,65.286,66.643,63.896,64.394,61.666,61.358,59.158,61.317,63.860,65.035,59.925,61.565
RH,ONDJFM,72.506,78.697,77.047,77.129,78.385,76.284,77.726,78.158,75.643,76.735,79.129,75.017,76.562,81.445,78.354,78.422,76.890,78.486,75.802,77.659,82.047,78.454,81.498,81.245,75.209,79.371,80.565,76.146,76.264,79.564
RH,NDJF,71.708,81.872,80.435,80.450,82.566,81.067,79.951,80.760,78.744,82.432,81.157,77.983,79.355,84.210,81.648,82.017,82.724,82.768,77.636,80.343,83.855,79.606,83.738,84.216,76.975,80.987,84.263,79.403,81.021,82.643
RHmin,year,51.270,53.453,53.786,52.249,50.252,51.410,52.404,52.112,51.505,50.799,50.874,49.664,53.801,52.313,50.422,53.208,53.723,51.851,52.169,53.011,53.287,53.814,52.992,51.397,48.112,52.636,50.516,51.930,49.459,51.807
RHmin,MAMJJASO,49.317,47.476,49.768,47.147,44.436,45.916,47.317,47.106,45.768,44.878,45.483,44.779,49.478,46.989,43.829,47.440,47.484,47.937,49.360,48.188,49.579,48.365,47.165,45.967,43.736,47.514,45.687,47.522,42.799,45.693
RHmin,AMJJAS,47.171,45.967,49.475,45.547,43.733,43.049,43.735,46.355,44.340,42.543,41.435,42.644,47.254,44.008,42.265,45.366,47.323,47.693,46.649,47.659,44.693,45.366,43.425,42.458,40.882,42.839,44.734,46.060,41.281,42.547
RHmin,ONDJFM,52.200,58.941,58.333,58.852,60.445,57.710,58.155,60.891,56.390,59.930,61.247,55.654,58.170,62.262,59.219,61.646,57.736,61.018,54.770,57.301,64.301,58.502,63.236,62.653,55.491,60.392,61.909,55.558,56.212,61.307
RHmin,NDJF,50.384,62.365,61.666,62.538,65.197,62.877,60.031,64.198,59.326,66.212,62.429,58.342,60.557,65.074,62.336,66.127,64.316,65.880,56.117,58.978,66.552,59.134,65.675,65.506,56.466,61.288,65.273,58.679,60.772,64.653
PREC,year,667.336,565.856,742.472,766.865,833.911,620.489,854.778,717.099,960.303,569.697,555.593,531.814,705.630,648.471,790.327,1026.108,988.713,546.572,661.623,940.618,882.280,878.940,832.808,501.597,460.842,904.535,484.527,628.102,819.764,956.999
PREC,MAMJJASO,324.433,222.728,300.758,396.395,215.623,238.492,398.109,396.103,307.935,309.705,257.618,302.428,530.381,258.087,178.562,309.337,362.712,329.091,468.726,387.781,494.326,377.381,374.204,333.078,282.541,495.066,255.553,343.753,207.857,363.666
PREC,AMJJAS,195.939,168.965,256.336,200.791,170.962,173.926,189.820,294.085,181.694,105.890,82.123,193.556,302.150,186.788,114.047,189.646,247.843,281.211,232.977,311.713,135.951,193.199,183.301,115.175,83.685,180.769,215.479,273.690,121.393,134.061
PREC,ONDJFM,111.921,516.490,308.514,614.142,753.753,552.567,450.853,621.100,323.155,788.968,618.762,281.717,312.831,553.749,412.998,961.419,518.464,741.780,262.859,333.775,1155.298,389.833,772.753,498.344,296.013,520.099,655.468,298.789,415.821,863.510
PREC,NDJF,35.744,445.554,265.379,468.762,628.282,517.662,377.041,445.502,192.855,668.286,328.840,187.493,206.851,348.942,328.258,842.327,473.649,596.142,176.873,144.452,870.326,174.331,617.841,314.003,79.336,258.817,429.172,252.057,365.396,689.069
SRAD,year,5947.168,5973.183,5728.032,5749.106,5966.325,6086.931,5839.198,5907.407,5964.326,6123.309,6091.023,5865.048,5709.230,6001.901,6086.704,5948.759,5790.129,5965.114,5995.272,5936.305,5940.080,5792.196,5885.360,6079.419,6234.856,6171.598,6283.925,6110.960,6259.326,6082.139
SRAD,MAMJJASO,4857.940,4989.713,4757.073,4792.390,5051.069,5112.187,4879.067,4883.212,5049.437,5098.541,5073.320,4816.614,4666.367,5007.469,5118.298,5021.935,4871.968,4911.890,4880.159,4944.408,4902.704,4848.208,4923.305,5036.667,5110.112,5109.464,5205.004,5058.313,5277.323,5165.472
SRAD,AMJJAS,4056.384,4059.572,3839.144,3975.222,4115.975,4232.948,4094.009,3949.177,4137.266,4233.804,4275.424,4000.283,3862.195,4101.238,4168.968,4133.671,3881.582,3965.128,4045.426,4008.790,4185.474,4029.212,4122.700,4218.805,4278.744,4343.644,4223.299,4138.084,4292.411,4294.765
SRAD,ONDJFM,1036.133,1955.510,1894.601,1780.478,1773.273,1835.550,1926.977,1798.131,1979.032,1796.921,1806.148,1920.574,1873.432,1817.829,1938.163,1769.396,2002.648,1854.591,2038.463,1986.758,1662.183,1884.709,1727.537,1777.949,1976.515,1853.276,1860.249,2075.381,2038.993,1753.405
SRAD,NDJF,625.208,1012.200,999.644,961.917,887.454,907.652,1033.503,947.665,1083.908,876.832,1036.354,1069.992,1066.449,942.891,1041.003,891.573,967.062,938.616,1126.729,1116.729,886.675,1063.622,936.569,954.719,1158.109,1071.888,992.068,1111.617,1051.892,893.102
WIND,year,2.412,2.366,2.338,2.458,2.378,2.432,2.348,2.431,2.219,2.243,2.302,2.304,2.274,2.361,2.463,2.300,1.993,1.962,2.088,2.017,2.620,2.617,2.622,2.542,2.553,2.476,2.453,2.416,2.524,2.562
WIND,MAMJJASO,2.357,2.404,2.449,2.482,2.403,2.375,2.432,2.391,2.274,2.280,2.342,2.409,2.418,2.362,2.405,2.304,2.051,2.068,2.133,2.073,2.702,2.661,2.663,2.629,2.639,2.626,2.556,2.556,2.532,2.544
WIND,AMJJAS,2.286,2.284,2.430,2.472,2.433,2.411,2.402,2.273,2.200,2.247,2.326,2.308,2.424,2.430,2.372,2.328,2.089,2.121,2.131,2.125,2.637,2.711,2.695,2.648,2.681,2.580,2.580,2.527,2.557,2.530
WIND,ONDJFM,2.698,2.495,2.343,2.423,2.403,2.440,2.280,2.573,2.175,2.240,2.308,2.285,2.109,2.389,2.530,2.297,1.944,1.912,1.941,1.828,2.446,2.457,2.589,2.509,2.410,2.429,2.416,2.206,2.375,2.611
WIND,NDJF,2.558,2.378,2.203,2.437,2.314,2.546,2.226,2.458,2.051,2.212,2.211,2.123,1.962,2.447,2.432,2.393,1.943,1.871,1.881,1.768,2.319,2.461,2.660,2.413,2.342,2.275,2.269,2.019,2.335,2.688
