Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,8.057,9.065,9.336,9.154,7.793,8.464,7.995,9.193,10.201,10.347,9.645,9.804,9.027,9.122,9.197,8.811,9.864,9.017,9.681,10.191,9.175,9.938,10.262,10.094,10.295,10.608,10.220,10.232,9.772,8.237
TMAX,MAMJJASO,12.345,12.965,12.999,12.911,12.561,12.721,11.981,12.954,13.455,13.866,13.248,12.993,12.587,13.169,13.117,13.127,13.722,12.548,13.527,13.523,13.103,14.490,14.079,13.963,13.785,14.115,14.320,13.678,13.941,13.514
TMAX,AMJJAS,15.018,15.207,15.276,15.362,14.564,14.763,14.183,15.745,15.568,15.857,15.423,15.655,14.852,15.698,15.164,15.329,16.287,14.851,15.918,15.486,15.481,17.552,16.518,16.296,15.906,17.128,16.100,16.172,16.666,15.882
TMAX,ONDJFM,0.149,1.533,3.512,2.385,2.036,1.569,1.618,2.964,4.398,4.663,3.671,4.878,3.519,1.571,3.734,2.296,3.265,3.410,2.651,4.204,3.514,4.065,2.248,3.684,4.251,3.732,4.976,4.453,3.498,1.660
TMAX,NDJF,-0.422,-0.833,2.217,0.865,0.033,-1.526,-0.103,1.549,3.136,3.124,1.821,3.848,2.818,-0.433,2.696,-0.096,1.206,2.276,1.050,2.861,2.034,2.132,0.306,2.242,3.143,2.506,3.173,3.218,1.768,-0.458
TMIN,year,0.464,1.867,2.186,2.264,0.459,1.188,0.872,2.059,3.134,3.382,2.566,2.562,1.733,1.724,1.940,1.228,2.456,2.205,2.556,3.381,1.857,2.492,2.613,2.719,2.888,3.176,2.801,2.722,2.444,0.462
TMIN,MAMJJASO,4.451,5.300,5.561,5.290,4.960,5.136,4.536,5.133,5.638,6.015,5.600,5.089,4.531,5.169,5.367,4.905,5.437,5.148,5.843,5.988,5.162,6.303,5.840,6.075,5.528,5.750,6.185,5.334,5.797,5.227
TMIN,AMJJAS,6.692,6.694,7.330,7.406,6.519,6.471,6.345,7.421,7.045,7.414,7.091,7.059,6.361,7.133,6.755,6.606,7.421,7.149,7.561,7.420,7.320,8.763,7.834,7.842,7.506,8.436,7.634,7.249,7.937,7.199
TMIN,ONDJFM,-7.701,-4.723,-2.570,-3.932,-3.853,-5.089,-4.966,-2.462,-1.481,-0.866,-2.187,-0.808,-2.732,-4.745,-2.006,-4.273,-3.060,-2.367,-3.066,-1.991,-2.320,-2.150,-4.071,-2.739,-2.139,-2.726,-1.032,-1.650,-2.647,-4.720
TMIN,NDJF,-8.103,-7.463,-4.157,-5.282,-5.899,-8.555,-6.632,-3.669,-2.768,-2.169,-4.053,-1.935,-3.048,-6.751,-3.029,-6.445,-5.139,-3.040,-4.698,-3.221,-3.235,-3.943,-6.072,-3.875,-2.890,-3.107,-2.579,-2.449,-4.338,-6.437
