Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,14.271,15.251,15.698,14.129,13.309,14.203,13.175,14.751,15.964,15.806,14.597,15.571,14.372,15.484,14.935,13.300,14.539,14.782,15.674,16.282,14.868,15.996,15.426,15.000,15.339,15.693,16.072,16.068,15.389,14.400
TMAX,MAMJJASO,19.200,20.108,20.499,18.568,18.572,19.118,17.822,19.195,20.263,19.859,19.231,20.256,18.902,20.032,19.881,18.255,18.998,19.257,20.603,20.613,19.661,20.894,20.290,19.722,20.187,20.702,20.849,20.146,20.200,19.753
TMAX,AMJJAS,21.390,22.432,23.139,20.769,21.102,21.482,20.525,21.967,22.290,21.471,21.469,23.310,21.535,22.761,22.126,21.033,21.566,21.974,23.186,22.811,21.824,23.766,23.520,21.977,22.931,23.673,23.216,22.520,23.436,22.455
TMAX,ONDJFM,5.817,6.954,8.860,7.303,5.739,6.400,5.934,7.933,9.121,10.141,8.121,8.091,7.206,7.671,8.348,5.105,7.713,8.277,7.219,8.020,9.377,9.081,6.444,7.408,7.888,6.562,10.773,8.537,8.050,6.858
TMAX,NDJF,3.158,4.013,6.713,5.220,2.440,3.645,3.943,6.323,6.638,7.682,5.250,5.932,5.796,5.143,6.867,2.079,5.039,6.960,4.468,5.990,7.122,6.116,3.911,5.721,5.882,3.930,8.281,6.682,5.821,4.491
TMIN,year,6.283,6.284,6.919,6.374,5.419,5.677,5.057,6.650,7.261,7.140,6.178,6.706,6.049,6.864,6.398,5.191,6.299,6.688,7.061,7.425,6.748,7.111,6.171,6.507,6.191,6.535,7.365,7.420,6.644,5.897
TMIN,MAMJJASO,9.703,9.335,10.066,9.285,9.538,9.140,8.406,9.324,9.843,9.373,9.252,9.432,8.992,9.659,9.726,8.748,9.143,9.715,10.148,9.966,10.134,10.409,9.308,9.513,8.976,9.858,10.196,9.804,9.680,9.790
TMIN,AMJJAS,11.173,10.900,11.650,10.902,11.220,10.942,10.656,11.388,11.104,10.622,10.805,11.418,10.828,11.491,11.298,10.779,10.971,11.684,11.875,11.266,11.717,12.392,11.594,10.965,11.062,12.031,11.909,11.335,11.500,12.134
TMIN,ONDJFM,-0.166,0.945,2.845,1.356,-0.297,0.381,-0.843,2.688,2.761,3.644,1.932,2.078,1.317,1.950,2.268,-1.111,1.461,2.416,1.417,2.456,3.001,2.545,-0.124,1.469,1.870,-0.088,4.036,2.745,2.296,0.700
TMIN,NDJF,-1.901,-1.122,1.611,0.138,-3.246,-1.660,-2.023,2.167,1.717,2.106,0.328,1.015,0.658,0.340,1.625,-3.264,-0.193,1.944,-0.428,1.169,1.768,0.625,-1.914,0.442,1.034,-1.531,2.977,1.831,0.838,-0.918
TAVG,year,10.122,10.592,11.188,10.045,9.182,9.770,8.937,10.562,11.508,11.327,10.247,11.054,10.124,11.115,10.565,9.013,10.179,10.491,11.151,11.618,10.577,11.304,10.564,10.541,10.521,10.893,11.481,11.517,10.783,9.941
TAVG,MAMJJASO,14.224,14.551,15.142,13.707,13.813,13.922,12.883,14.113,14.962,14.478,14.076,14.773,13.849,14.833,14.701,13.270,13.827,14.252,15.150,15.052,14.652,15.405,14.574,14.379,14.328,15.078,15.279,14.778,14.696,14.533
TAVG,AMJJAS,16.100,16.596,17.293,15.666,15.954,16.080,15.392,16.587,16.685,16.012,16.053,17.405,16.146,17.221,16.728,15.730,16.109,16.642,17.397,16.894,16.608,17.904,17.418,16.311,16.847,17.746,17.399,16.851,17.267,17.124
TAVG,ONDJFM,2.669,3.745,5.665,4.146,2.515,3.224,2.363,5.108,5.703,6.687,4.806,4.873,4.103,4.633,5.099,1.782,4.230,5.032,4.028,4.974,5.823,5.494,2.857,4.162,4.581,2.902,7.037,5.304,4.855,3.517
TAVG,NDJF,0.594,1.353,4.049,2.571,-0.529,0.924,0.841,4.114,4.036,4.738,2.701,3.379,3.138,2.628,4.136,-0.738,2.166,4.186,1.803,3.397,4.173,3.169,0.769,2.872,3.241,0.974,5.372,3.994,3.105,1.594
RH,year,81.237,78.897,78.871,81.062,81.918,80.101,81.292,80.438,79.926,79.982,81.963,79.305,80.892,80.466,81.353,82.899,82.376,82.400,81.830,80.658,83.116,80.071,79.823,80.540,79.579,79.607,80.472,80.426,81.921,82.596
RH,MAMJJASO,78.590,75.292,75.495,78.699,80.117,77.218,78.524,77.212,76.592,76.695,79.550,75.041,78.244,77.179,78.521,80.580,79.313,79.759,78.486,76.850,80.826,76.868,75.955,76.905,75.606,75.651,76.857,77.116,78.526,79.870
RH,AMJJAS,77.313,73.797,73.558,78.025,78.244,76.132,77.947,75.671,75.239,76.187,78.242,72.248,76.453,75.250,76.652,79.027,77.829,78.429,76.661,74.801,79.251,74.931,73.423,74.744,73.481,72.846,74.857,74.766,75.580,79.115
RH,ONDJFM,83.395,84.558,84.768,83.621,84.820,85.076,83.987,86.232,83.607,83.666,85.579,86.007,85.851,85.628,85.630,86.712,86.590,86.894,86.977,86.906,86.768,85.554,85.765,86.554,85.955,86.432,85.222,86.509,87.929,87.004
RH,NDJF,85.078,86.794,86.102,85.534,85.308,86.083,85.761,88.248,86.429,85.688,87.307,87.872,86.959,86.891,86.961,87.688,87.856,88.422,88.614,87.903,88.733,86.970,86.914,87.735,87.544,87.970,87.420,87.572,88.884,88.011
RHmin,year,63.895,60.430,61.025,63.971,64.302,61.945,63.345,63.305,61.971,62.089,63.604,61.481,63.359,62.739,63.271,64.577,63.998,64.209,63.247,61.948,64.804,61.282,60.499,62.355,60.581,60.497,62.116,62.086,63.103,63.699
RHmin,MAMJJASO,59.023,54.736,55.753,59.445,61.022,57.339,58.828,57.712,56.628,56.413,59.018,54.985,58.645,57.459,58.486,60.611,58.829,59.817,57.591,56.117,60.719,56.417,54.922,56.634,54.031,54.958,56.102,56.906,57.618,59.207
RHmin,AMJJAS,57.164,52.964,52.911,58.370,58.296,56.034,58.000,55.843,54.784,55.925,57.335,51.840,56.425,55.171,56.657,58.639,57.024,57.956,55.325,53.695,59.124,53.978,52.144,54.163,52.102,52.258,54.033,54.480,53.364,58.680
RHmin,ONDJFM,68.504,69.302,69.737,68.688,69.120,69.840,67.143,72.441,67.955,68.061,69.867,70.563,70.655,70.981,69.911,70.207,69.746,71.081,71.315,71.767,69.787,68.767,68.531,70.520,70.093,68.965,68.083,70.827,72.047,70.565
RHmin,NDJF,71.957,73.052,72.802,72.122,70.192,72.192,70.201,76.558,73.199,71.365,74.120,74.565,73.320,73.962,73.070,72.738,72.985,74.258,74.440,74.378,73.578,72.094,70.940,72.975,73.951,72.833,72.703,73.795,74.660,72.930
PREC,year,718.266,433.107,559.121,543.593,599.904,577.135,632.681,582.948,496.778,575.147,541.859,563.201,613.350,671.406,636.113,616.708,688.039,724.334,667.308,653.396,728.984,646.931,496.066,627.327,575.167,582.506,697.434,632.589,691.413,837.080
PREC,MAMJJASO,535.461,304.741,399.008,445.459,462.816,428.249,457.284,405.356,381.693,435.177,406.520,409.822,435.930,493.651,497.544,525.170,560.088,570.119,492.149,472.862,599.939,489.017,377.535,450.658,386.292,449.496,495.226,484.436,536.343,634.075
PREC,AMJJAS,395.258,267.089,305.397,394.978,407.837,366.428,398.319,345.340,310.952,380.008,352.178,286.592,369.474,345.218,428.684,460.644,465.479,426.469,407.204,378.735,521.921,347.951,299.662,359.369,338.751,379.077,421.369,367.250,385.793,584.011
PREC,ONDJFM,126.333,266.898,251.628,172.689,157.215,197.342,216.837,264.832,176.824,202.984,178.118,252.324,274.815,281.754,296.806,141.051,164.458,287.175,281.211,306.403,211.703,250.256,212.871,265.725,254.125,204.103,292.453,243.861,253.112,273.971
PREC,NDJF,63.705,173.865,169.250,118.557,93.438,149.578,152.537,186.127,138.975,131.584,127.319,153.901,178.427,171.441,183.225,100.358,92.212,164.593,160.086,173.170,147.986,183.715,94.166,163.614,170.818,154.965,214.846,150.539,131.645,153.462
SRAD,year,3731.110,4186.371,3943.728,3626.728,3672.260,3953.768,3690.506,3909.791,3948.493,4014.490,3918.533,4115.965,3920.069,4056.434,4011.255,3810.259,4014.856,3891.491,4063.101,4081.970,3810.900,4054.578,4286.403,3998.984,4201.006,4238.069,4124.774,4087.890,4178.481,3962.031
SRAD,MAMJJASO,3431.678,3847.791,3625.898,3294.173,3347.865,3591.133,3382.696,3600.905,3611.203,3682.773,3587.421,3797.773,3594.232,3722.740,3669.829,3456.372,3679.915,3553.483,3743.147,3746.504,3475.625,3706.880,3933.722,3692.696,3881.016,3890.803,3819.278,3744.782,3873.649,3651.971
SRAD,AMJJAS,3010.909,3317.450,3225.051,2826.289,2967.492,3103.082,2883.874,3137.853,3143.998,3151.702,3122.837,3354.738,3138.809,3264.177,3200.562,2989.382,3193.851,3082.215,3263.478,3291.890,3029.119,3248.548,3434.963,3236.773,3341.353,3419.716,3319.230,3281.826,3498.242,3114.680
