Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.162,14.546,15.366,13.536,13.722,14.206,13.767,14.645,15.223,15.295,14.030,15.481,14.685,15.941,14.384,13.191,14.797,14.971,14.764,15.914,14.848,15.612,15.786,14.472,14.176,15.079,15.835,15.491,15.092,13.870
TMAX,MAMJJASO,19.000,19.021,20.033,17.554,18.653,19.133,18.114,18.866,19.076,19.471,18.555,19.802,19.068,20.143,18.793,17.564,18.842,19.182,19.550,20.292,19.636,19.667,20.814,18.849,19.133,19.678,20.193,19.360,19.898,18.623
TMAX,AMJJAS,20.774,21.316,22.248,19.381,21.026,21.395,20.792,21.301,20.362,20.868,20.429,22.656,21.491,22.296,20.666,19.924,21.018,21.512,21.635,22.559,21.053,21.696,23.769,20.920,21.242,21.876,22.684,21.487,22.756,21.034
TMAX,ONDJFM,6.417,7.165,8.618,7.360,6.836,6.655,6.693,8.279,9.490,10.419,8.105,7.978,7.836,8.798,8.653,6.526,8.345,9.099,7.521,7.940,9.460,9.400,8.045,7.603,7.654,6.627,11.045,8.344,7.621,7.413
TMAX,NDJF,3.081,4.501,6.378,4.996,4.136,3.883,4.700,6.693,6.655,7.780,4.814,5.961,6.357,5.983,7.384,3.530,5.940,7.730,4.659,5.377,6.940,6.048,5.322,6.115,4.948,3.700,8.920,6.583,5.098,5.063
TMIN,year,5.149,5.588,5.658,4.888,4.682,4.939,5.046,5.740,5.923,5.604,5.088,6.234,5.597,6.748,5.705,4.893,5.768,5.971,6.116,6.632,5.916,6.698,5.932,5.750,5.392,5.986,6.552,6.517,6.360,5.535
TMIN,MAMJJASO,8.957,8.953,9.188,7.760,8.453,8.647,8.322,8.847,9.058,8.675,8.748,9.333,8.898,9.689,9.020,8.331,8.632,9.353,9.799,9.825,9.592,9.680,9.593,9.011,9.056,9.500,9.550,9.404,9.934,9.215
TMIN,AMJJAS,10.345,10.701,10.965,9.354,10.196,10.436,10.530,10.515,10.500,9.927,10.217,11.312,10.722,11.440,10.685,10.193,10.298,11.204,11.528,11.347,10.681,11.504,11.882,10.640,10.998,11.472,11.368,11.187,11.950,11.300
TMIN,ONDJFM,-1.662,-0.311,1.281,-0.465,-0.457,-0.532,-1.091,1.428,1.636,1.164,0.323,0.574,0.495,1.505,1.235,-0.419,1.006,1.298,0.506,0.601,2.336,1.242,0.574,0.274,0.365,-0.564,2.910,1.049,0.928,0.456
TMIN,NDJF,-4.368,-2.311,-0.307,-2.057,-2.628,-2.497,-2.223,0.220,-0.347,-0.714,-2.206,-0.848,-0.683,-0.569,0.600,-2.390,-0.897,0.463,-1.700,-1.368,0.421,-1.130,-1.189,-0.669,-1.405,-2.559,1.707,-0.244,-0.822,-1.124
TAVG,year,9.610,10.015,10.445,9.165,9.156,9.526,9.369,10.150,10.508,10.384,9.509,10.806,10.076,11.292,10.001,9.002,10.227,10.417,10.402,11.233,10.343,11.108,10.810,10.073,9.752,10.511,11.144,10.977,10.720,9.691
TAVG,MAMJJASO,13.952,13.955,14.576,12.628,13.523,13.857,13.199,13.844,14.034,14.033,13.628,14.536,13.943,14.888,13.886,12.927,13.705,14.252,14.659,15.042,14.600,14.656,15.174,13.915,14.080,14.590,14.851,14.394,14.930,13.933
TAVG,AMJJAS,15.539,15.987,16.581,14.350,15.586,15.894,15.649,15.899,15.418,15.371,15.311,16.959,16.069,16.853,15.667,15.044,15.641,16.352,16.581,16.941,15.862,16.601,17.814,15.775,16.121,16.689,17.013,16.364,17.372,16.197
TAVG,ONDJFM,2.312,3.352,4.859,3.352,3.128,2.995,2.727,4.777,5.463,5.666,4.128,4.188,4.080,5.061,4.866,2.983,4.588,5.096,3.932,4.199,5.830,5.224,4.229,3.860,3.944,2.975,6.882,4.619,4.237,3.887
TAVG,NDJF,-0.723,1.008,2.931,1.355,0.683,0.618,1.165,3.347,3.037,3.390,1.207,2.455,2.731,2.594,3.905,0.494,2.421,3.972,1.381,1.920,3.591,2.352,1.980,2.634,1.699,0.506,5.199,3.062,2.089,1.912
RH,year,72.864,74.226,70.785,74.055,73.227,72.659,74.239,73.069,72.642,70.480,72.979,70.358,73.003,73.403,75.524,76.365,74.366,73.954,75.891,74.976,76.165,76.312,72.666,76.014,75.897,75.265,74.739,76.495,77.111,77.582
RH,MAMJJASO,70.050,70.600,67.521,70.440,69.694,69.130,70.656,69.629,70.293,66.480,70.426,66.129,69.485,69.692,72.008,73.432,70.561,71.651,73.149,71.112,72.881,73.047,68.123,73.454,72.424,72.031,71.135,73.920,73.545,74.251
RH,AMJJAS,68.636,69.099,66.084,69.799,67.506,67.343,69.209,67.292,70.440,65.606,68.872,62.794,67.536,68.093,70.740,71.794,68.848,70.520,72.287,68.576,70.494,72.068,66.196,71.658,71.388,70.559,68.884,72.443,71.699,73.280
RH,ONDJFM,74.009,78.246,78.543,76.306,78.999,79.592,77.312,79.571,77.202,72.569,77.620,76.701,77.722,79.842,79.282,81.706,79.768,77.321,79.773,80.105,82.799,79.350,80.616,80.189,80.085,81.449,78.596,80.715,82.805,81.663
RH,NDJF,76.055,80.495,80.185,79.141,79.855,81.839,80.058,81.020,79.371,75.144,79.016,78.682,78.828,81.810,81.238,83.982,80.969,79.631,81.290,81.822,83.922,81.229,83.955,81.671,81.159,83.751,80.529,81.595,84.585,84.208
RHmin,year,56.176,57.342,53.522,57.769,56.399,55.720,57.709,56.677,55.468,53.556,56.254,54.305,56.321,56.543,58.962,60.159,57.420,57.055,59.155,57.634,59.022,59.265,55.017,59.144,59.000,57.925,57.534,59.173,60.210,61.157
RHmin,MAMJJASO,52.971,53.214,49.922,53.534,52.398,51.639,53.614,52.768,53.129,49.297,53.463,49.678,52.479,52.137,54.912,56.796,52.877,54.473,55.671,53.274,55.243,55.434,49.977,55.805,54.664,54.185,53.089,56.003,55.890,57.297
RHmin,AMJJAS,51.576,51.488,48.564,53.085,49.873,49.866,52.113,50.081,53.744,48.626,51.861,46.143,50.308,50.686,54.010,55.109,51.013,53.103,54.756,50.450,53.275,54.650,47.896,53.933,54.022,53.124,50.597,54.729,53.394,56.379
