Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,8.127,8.815,9.176,9.363,7.164,8.229,7.266,9.012,10.365,9.720,9.240,9.353,8.826,9.074,9.376,9.059,9.423,8.440,9.464,10.394,9.269,9.588,9.753,9.768,10.336,10.170,10.137,9.834,9.573,8.669
TMAX,MAMJJASO,13.030,13.487,14.340,14.078,13.625,13.857,12.931,14.311,14.940,14.281,13.646,13.311,13.159,14.218,14.320,13.918,14.191,13.305,14.840,14.837,14.384,15.236,14.783,14.629,14.880,15.049,15.258,13.700,14.519,14.987
TMAX,AMJJAS,16.255,16.247,17.457,17.285,16.268,16.423,15.452,17.552,18.044,17.011,16.503,16.658,15.998,17.371,16.973,16.528,17.486,16.258,17.851,17.491,17.771,18.999,17.806,17.608,18.101,18.895,17.611,16.431,18.006,18.353
TMAX,ONDJFM,-2.011,0.279,1.966,0.584,-1.205,-0.176,-1.147,0.889,2.171,2.050,1.366,3.386,1.592,-0.104,2.645,0.627,2.023,0.611,0.340,2.309,2.353,1.634,-0.513,1.761,2.020,1.573,2.445,3.186,2.332,-0.207
TMAX,NDJF,-2.461,-2.723,0.603,-1.412,-4.550,-3.695,-4.089,-1.643,0.007,0.138,-0.565,1.910,0.877,-2.370,1.119,-2.299,-0.036,-0.829,-2.399,0.409,0.735,-0.760,-3.089,-0.077,0.787,-0.166,-0.080,1.868,0.524,-2.361
TMIN,year,0.163,1.079,1.129,1.744,-0.943,0.678,-0.559,1.202,3.010,2.143,1.828,2.041,1.316,1.100,1.710,1.042,1.316,0.788,1.648,2.983,1.469,1.236,1.769,2.045,2.531,2.065,2.548,2.777,1.856,0.752
TMIN,MAMJJASO,4.520,5.223,6.132,5.475,5.288,5.962,4.874,5.989,6.952,5.832,5.737,5.405,4.771,5.550,6.142,5.047,5.336,5.003,6.168,6.504,5.792,5.974,6.293,6.160,5.842,5.686,6.959,5.591,5.678,6.432
TMIN,AMJJAS,7.489,7.242,8.693,8.205,7.273,7.636,6.946,8.538,8.907,7.987,8.065,8.047,7.138,7.975,7.870,7.173,7.698,7.766,8.269,8.466,8.776,9.021,8.550,8.521,8.779,8.996,8.579,7.607,8.365,9.334
TMIN,ONDJFM,-11.267,-6.332,-4.503,-6.537,-7.577,-6.982,-8.034,-5.092,-4.303,-3.852,-5.419,-2.333,-4.722,-6.541,-2.916,-6.709,-4.736,-6.048,-5.687,-3.928,-3.544,-4.987,-7.467,-4.476,-4.476,-5.033,-3.681,-2.092,-3.295,-6.669
TMIN,NDJF,-10.599,-9.761,-5.878,-8.281,-11.265,-11.065,-10.924,-7.917,-7.088,-5.459,-7.397,-4.210,-5.062,-8.552,-4.556,-9.360,-7.110,-7.038,-8.295,-5.829,-4.431,-7.236,-10.335,-6.208,-4.937,-5.956,-6.135,-3.094,-4.839,-8.245
TAVG,year,4.312,5.118,5.326,5.722,3.234,4.560,3.439,5.232,6.799,6.039,5.610,5.826,5.115,5.168,5.638,5.109,5.496,4.628,5.586,6.706,5.398,5.498,5.825,5.959,6.482,6.189,6.368,6.351,5.770,4.763
TAVG,MAMJJASO,8.858,9.455,10.343,9.900,9.549,9.946,8.927,10.221,10.976,10.106,9.699,9.413,8.913,9.911,10.230,9.492,9.833,9.074,10.481,10.599,10.052,10.613,10.529,10.336,10.346,10.404,11.067,9.617,10.100,10.675
TAVG,AMJJAS,11.925,11.835,13.132,12.844,11.859,12.060,11.205,13.096,13.494,12.517,12.248,12.382,11.463,12.687,12.379,11.853,12.663,11.894,13.015,12.838,13.186,14.005,13.132,12.998,13.402,13.999,13.058,11.946,13.164,13.739
TAVG,ONDJFM,-6.219,-2.794,-1.003,-2.704,-4.237,-3.356,-4.424,-1.931,-0.852,-0.713,-1.831,0.742,-1.338,-3.182,0.067,-2.871,-1.188,-2.575,-2.560,-0.612,-0.483,-1.496,-3.795,-1.212,-1.079,-1.620,-0.540,0.684,-0.313,-3.265
TAVG,NDJF,-6.067,-5.938,-2.341,-4.564,-7.741,-7.074,-7.302,-4.595,-3.241,-2.443,-3.741,-0.879,-1.829,-5.301,-1.437,-5.614,-3.334,-3.753,-5.192,-2.468,-1.745,-3.772,-6.440,-2.936,-1.866,-2.891,-2.952,-0.441,-1.960,-5.110
RH,year,81.819,82.071,81.605,81.632,80.219,78.933,80.736,81.359,81.540,80.213,82.915,81.696,81.848,81.991,83.402,83.660,81.230,83.483,82.438,83.736,82.549,82.452,82.626,83.438,82.580,81.808,83.359,84.026,82.750,83.585
RH,MAMJJASO,78.285,78.730,78.519,78.005,77.023,75.330,77.944,77.939,78.150,75.676,80.279,78.403,78.715,77.995,80.550,80.288,77.259,80.530,78.867,80.265,79.300,78.617,79.140,80.404,79.034,78.305,80.168,80.787,79.191,80.316
RH,AMJJAS,76.474,76.485,75.664,74.960,74.665,72.512,75.645,75.316,74.881,73.111,77.818,75.516,76.873,75.471,78.064,78.295,74.806,78.769,76.227,78.562,77.117,76.297,77.262,78.428,77.510,75.409,77.991,78.159,76.873,78.378
RH,ONDJFM,84.855,87.598,88.399,87.296,87.449,85.212,86.207,87.555,87.118,87.179,87.330,88.581,86.977,88.205,88.784,88.215,88.032,88.672,88.459,87.965,88.957,89.117,87.107,89.922,86.715,88.189,88.308,89.466,89.417,88.968
RH,NDJF,88.411,88.480,89.166,87.826,87.886,86.343,86.588,88.279,87.833,89.270,87.922,88.364,88.016,89.934,90.235,89.143,89.594,89.964,89.533,89.916,90.366,90.144,89.293,90.799,88.713,89.522,88.876,90.585,90.264,90.295
RHmin,year,64.698,65.335,64.290,65.595,62.550,63.001,63.409,64.478,65.868,64.192,66.362,66.090,65.233,64.640,66.302,65.688,64.047,66.035,65.151,67.037,65.117,64.272,65.031,66.160,65.422,64.521,66.415,68.239,65.872,65.637
RHmin,MAMJJASO,61.110,61.908,62.043,61.056,60.408,59.950,61.296,61.238,62.137,59.040,63.458,62.477,61.009,60.565,63.234,61.658,59.746,62.466,61.013,62.416,61.258,59.770,61.604,62.326,60.162,59.625,62.749,63.430,60.997,62.213
RHmin,AMJJAS,59.379,58.871,58.773,57.938,57.522,56.180,58.837,58.156,57.373,56.089,60.448,59.173,58.795,57.446,59.453,59.291,56.317,60.875,57.354,59.618,58.867,56.993,58.749,59.834,58.731,56.958,59.682,60.008,57.791,59.863
RHmin,ONDJFM,63.806,71.140,72.682,70.068,71.156,68.650,68.876,72.406,71.182,72.671,70.640,74.457,71.521,71.716,74.906,69.859,71.226,71.924,72.920,72.479,74.033,72.366,69.768,73.890,70.864,71.432,72.751,75.995,75.233,72.536
RHmin,NDJF,68.869,70.743,73.165,70.703,70.253,68.223,69.038,72.114,70.409,74.929,70.890,73.436,73.336,73.419,76.051,70.851,71.726,73.988,73.908,73.953,76.574,73.403,70.789,74.888,74.281,74.424,73.263,77.721,76.422,74.706
PREC,year,777.156,613.292,724.450,642.916,629.295,641.104,643.202,667.535,673.385,589.812,687.565,765.254,610.622,616.745,656.487,624.275,585.296,804.694,644.505,742.520,656.381,573.445,608.893,740.545,708.920,594.784,734.773,791.716,556.935,624.369
PREC,MAMJJASO,580.621,448.527,526.490,482.472,493.631,476.351,503.670,513.338,483.766,369.822,505.818,572.968,457.876,463.380,487.564,421.200,424.387,597.875,421.047,503.624,523.321,398.369,440.567,552.932,478.223,409.799,539.622,556.571,408.155,499.267
PREC,AMJJAS,446.888,389.082,384.875,359.518,375.594,383.671,443.187,424.245,375.185,295.780,401.395,468.261,346.966,335.125,354.850,339.546,333.805,463.884,317.380,389.053,420.849,345.087,345.229,491.422,436.054,277.026,452.990,403.266,340.395,399.466
PREC,ONDJFM,108.049,278.407,296.280,335.630,243.456,247.498,279.177,218.577,308.006,292.552,222.274,311.918,283.298,258.240,324.706,210.109,357.907,286.886,293.600,354.895,310.150,279.253,174.138,274.211,245.049,249.555,363.470,319.291,300.135,261.420
