Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.804,15.947,16.078,14.540,14.360,14.851,14.043,15.682,16.601,16.457,15.426,16.321,15.299,16.537,15.760,13.931,16.000,15.706,16.439,16.664,15.795,16.301,16.934,15.817,16.059,16.646,16.710,16.432,16.221,14.659
TMAX,MAMJJASO,19.500,20.475,20.510,18.389,19.193,19.326,18.419,19.478,20.696,20.387,19.901,20.537,19.557,20.539,20.267,18.608,20.407,19.709,20.959,20.571,20.133,20.348,21.797,20.158,20.706,21.216,20.801,20.231,20.909,19.861
TMAX,AMJJAS,21.520,22.827,22.928,20.240,21.470,21.411,20.839,21.941,22.373,21.925,21.790,23.361,21.931,22.810,22.274,20.891,22.638,21.969,23.313,22.789,21.926,22.645,24.764,22.291,22.779,23.804,23.017,22.623,23.770,22.167
TMAX,ONDJFM,7.200,7.910,9.599,8.518,7.566,7.609,7.650,9.376,10.474,11.373,9.354,9.337,8.911,9.010,10.138,7.228,8.822,10.181,8.786,9.611,10.126,10.556,8.854,9.141,9.032,8.299,12.232,9.877,8.542,8.185
TMAX,NDJF,4.209,5.403,7.694,6.464,4.855,4.911,5.627,7.888,8.126,9.094,6.194,7.258,7.373,6.739,8.942,4.113,5.960,8.523,6.497,7.622,8.358,7.718,6.267,7.757,6.641,5.610,10.219,8.374,6.175,5.841
TMIN,year,6.978,7.343,7.562,6.933,6.180,6.529,6.397,7.854,7.795,7.851,6.801,7.791,7.074,8.197,7.464,5.994,7.313,7.766,8.026,8.417,7.681,8.102,7.257,7.377,7.218,7.739,7.983,7.693,7.233,6.149
TMIN,MAMJJASO,10.368,10.340,10.600,9.419,9.769,9.696,9.414,10.188,10.412,10.190,9.770,10.376,9.868,10.658,10.487,9.201,10.056,10.591,10.906,10.921,10.709,10.757,10.328,10.070,10.054,10.684,10.292,10.040,10.199,9.604
TMIN,AMJJAS,11.629,11.836,12.137,10.851,11.322,11.146,11.393,11.682,11.555,11.302,11.077,12.246,11.595,12.328,11.905,10.833,11.540,12.112,12.528,12.183,11.807,12.512,12.461,11.560,11.583,12.432,11.934,11.578,11.906,11.304
TMIN,ONDJFM,1.291,1.701,3.851,2.280,1.524,1.461,1.287,4.074,4.353,4.262,2.981,3.097,2.695,3.336,3.710,1.310,2.663,3.723,3.110,3.780,4.177,3.976,2.286,2.772,2.835,1.963,5.390,3.538,2.491,2.086
TMIN,NDJF,-1.067,-0.128,2.507,1.089,-0.769,-0.464,0.136,3.360,2.979,2.788,1.022,1.973,1.997,1.765,3.497,-0.871,0.766,2.887,1.436,2.521,2.846,2.152,0.748,2.252,1.544,0.408,4.508,2.776,0.913,0.715
