Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.278,18.138,18.131,17.051,17.302,17.405,17.183,17.972,19.250,18.834,17.756,17.998,17.665,18.788,18.485,17.412,19.199,18.241,18.434,18.703,18.292,18.718,19.744,18.304,18.356,19.172,18.607,18.228,19.035,17.472
TMAX,MAMJJASO,21.095,21.776,21.959,20.428,21.672,21.467,21.322,21.469,22.891,22.796,21.928,21.518,21.256,22.399,22.197,21.285,23.097,21.928,22.707,22.272,22.457,22.065,24.476,22.301,23.037,23.436,22.277,21.678,23.320,22.034
TMAX,AMJJAS,22.783,24.191,24.029,22.343,23.718,23.265,23.560,23.398,24.443,24.446,23.934,24.007,23.410,24.081,23.858,23.249,24.730,23.947,24.707,24.391,23.736,23.664,27.107,24.304,24.898,25.519,24.395,23.801,25.532,24.260
TMAX,ONDJFM,10.284,12.080,11.770,11.632,11.218,11.029,11.122,12.341,13.456,14.474,11.767,11.576,12.269,12.146,13.249,12.494,12.736,13.674,11.751,12.319,13.171,13.234,12.943,12.238,11.863,11.594,14.197,12.767,11.610,11.884
TMAX,NDJF,7.900,10.744,10.010,9.930,9.530,8.196,8.983,10.882,11.087,12.529,8.809,9.737,11.206,10.158,11.949,10.013,10.242,11.867,9.630,10.107,11.454,10.283,10.308,11.005,9.264,8.733,12.461,11.441,9.254,9.602
TMIN,year,8.228,8.830,8.448,7.671,7.350,7.923,8.189,8.788,8.655,8.816,8.108,8.681,8.334,9.605,8.851,8.009,9.001,8.508,9.072,9.247,8.890,9.224,9.185,8.684,8.476,9.344,8.922,8.679,8.869,7.982
TMIN,MAMJJASO,11.163,11.098,11.236,9.754,10.368,10.691,11.065,11.255,11.229,11.323,11.072,11.251,10.875,11.889,11.309,10.314,11.443,11.319,12.059,11.594,11.872,11.277,12.244,11.366,11.718,12.379,11.401,11.084,11.678,10.969
TMIN,AMJJAS,12.215,12.739,12.897,11.122,11.916,11.941,12.563,12.570,12.446,12.518,12.331,12.841,12.484,13.195,12.549,11.734,12.776,12.727,13.614,13.082,12.607,12.511,14.221,12.715,13.040,13.717,13.075,12.553,13.400,12.566
TMIN,ONDJFM,2.602,4.586,4.496,3.640,3.517,3.164,3.676,5.276,4.813,5.297,4.335,3.692,4.565,5.046,5.562,4.793,4.685,5.152,4.256,4.408,6.093,4.951,4.946,4.386,4.206,4.054,6.074,4.450,3.804,4.232
TMIN,NDJF,0.527,3.687,3.360,2.777,2.227,1.627,2.184,4.136,3.091,4.321,2.141,2.209,3.932,3.659,5.104,3.396,3.326,4.099,2.674,3.045,4.817,2.916,3.704,3.731,2.507,1.894,4.911,3.379,2.438,3.058
TAVG,year,12.589,13.313,13.091,12.220,12.170,12.523,12.521,13.199,13.752,13.661,12.730,13.098,12.707,13.914,13.383,12.445,13.753,13.024,13.421,13.636,13.257,13.624,14.159,13.166,13.077,13.880,13.346,13.059,13.599,12.424
TAVG,MAMJJASO,15.983,16.276,16.424,14.963,15.869,15.940,16.022,16.187,16.930,16.925,16.321,16.165,15.787,16.858,16.468,15.536,16.944,16.340,17.032,16.604,16.831,16.340,18.078,16.529,17.070,17.571,16.421,16.006,17.151,16.181
TAVG,AMJJAS,17.379,18.338,18.323,16.649,17.703,17.492,17.899,17.832,18.368,18.397,17.998,18.223,17.688,18.398,17.976,17.281,18.489,18.086,18.846,18.446,17.904,17.792,20.445,18.251,18.729,19.327,18.361,17.844,19.164,18.152
TAVG,ONDJFM,6.246,8.118,7.915,7.409,7.178,6.913,7.224,8.628,8.843,9.580,7.823,7.335,8.110,8.308,9.082,8.281,8.334,8.951,7.638,7.968,9.286,8.647,8.577,7.912,7.626,7.376,9.695,8.091,7.288,7.691
TAVG,NDJF,4.033,6.993,6.498,6.145,5.707,4.776,5.425,7.334,6.798,8.113,5.277,5.678,7.256,6.645,8.254,6.403,6.450,7.518,5.806,6.230,7.828,6.193,6.690,6.986,5.499,4.889,8.263,6.907,5.451,6.050
RH,year,79.441,77.760,77.542,77.325,76.563,78.253,80.012,80.182,75.163,75.861,77.042,79.733,77.960,79.516,77.686,77.724,76.640,76.481,78.248,77.537,77.628,77.572,72.635,76.570,75.540,76.039,77.730,77.984,75.578,76.763
RH,MAMJJASO,77.697,74.086,75.014,73.961,73.455,75.295,76.975,77.970,71.661,71.683,73.727,77.454,75.237,76.172,74.542,73.542,72.667,73.512,75.241,74.257,74.819,74.034,67.450,72.628,71.680,72.244,74.813,75.025,71.522,72.270
RH,AMJJAS,75.987,71.537,73.347,72.019,72.136,73.064,75.453,76.578,70.215,69.944,70.895,75.342,74.165,74.709,72.724,71.712,71.546,71.834,73.556,72.461,72.264,72.910,64.830,70.397,69.385,69.648,73.219,73.122,70.225,70.935
RH,ONDJFM,82.196,82.667,83.939,81.320,82.864,81.612,83.568,84.825,82.323,79.324,83.548,82.782,82.813,83.961,83.571,83.078,82.596,80.899,83.015,82.486,83.815,81.049,81.116,82.275,82.509,82.921,82.433,81.250,82.400,81.796
RH,NDJF,82.478,83.813,84.255,83.278,83.562,83.722,84.991,85.616,84.153,81.825,84.898,83.159,84.149,85.430,85.688,84.855,85.168,83.615,83.960,84.209,84.093,82.838,84.335,83.999,84.132,84.563,83.860,82.007,84.838,85.081
RHmin,year,60.869,59.413,58.369,58.983,57.475,59.502,61.565,61.238,55.317,57.106,58.227,60.586,59.020,60.618,58.416,58.910,56.695,57.212,59.132,58.456,58.578,58.444,53.669,57.601,56.385,56.686,57.837,58.353,55.908,58.051
RHmin,MAMJJASO,58.436,54.623,55.183,54.664,53.298,55.502,57.326,58.109,51.687,52.032,54.218,57.667,55.572,56.072,54.245,53.361,51.656,54.164,54.950,54.293,54.911,53.914,47.752,52.829,51.653,52.352,53.955,54.662,50.885,52.296
RHmin,AMJJAS,56.356,51.867,53.676,52.863,51.950,53.393,55.305,56.355,50.502,50.423,51.373,54.902,54.141,54.752,52.686,51.601,50.755,52.294,53.355,52.330,52.586,52.841,45.466,50.510,49.559,49.704,52.506,52.579,49.614,50.829
RHmin,ONDJFM,64.492,65.218,66.759,63.141,65.004,63.956,66.095,67.932,62.908,59.685,66.152,64.288,64.898,66.869,65.407,64.919,64.068,61.628,65.089,63.902,66.499,61.979,63.057,63.814,64.412,64.651,63.405,61.679,63.987,63.922
RHmin,NDJF,65.107,66.826,68.217,66.076,66.255,67.857,68.375,69.135,65.244,62.888,68.466,65.118,66.541,69.011,68.667,68.334,68.039,64.845,66.670,66.800,67.544,64.813,67.833,66.183,67.097,67.057,65.512,62.730,67.486,68.556
PREC,year,1080.032,985.578,914.145,1017.067,766.330,994.629,943.783,1022.573,715.436,876.907,764.182,1008.780,999.244,1105.903,1042.486,1006.557,888.052,913.868,1105.589,1082.406,1032.688,1049.117,805.579,871.641,744.986,903.007,907.418,1079.196,875.866,956.419
PREC,MAMJJASO,691.252,584.629,645.048,603.453,510.051,606.583,678.958,674.273,469.993,522.645,514.786,739.441,746.147,691.917,585.601,505.044,494.566,670.303,700.227,694.297,759.206,601.548,467.068,575.664,503.726,630.524,588.527,732.720,495.080,577.711
