Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.252,14.898,14.949,14.905,13.854,13.809,14.039,14.696,15.596,15.620,14.629,14.779,14.327,14.893,15.588,14.326,15.625,15.058,15.479,15.125,14.991,15.378,15.933,15.444,15.384,15.803,15.620,15.053,15.210,14.371
TMAX,MAMJJASO,16.995,17.623,17.488,17.628,16.650,16.411,16.667,16.998,18.251,18.275,17.512,17.327,16.716,17.234,18.579,17.257,18.296,17.306,18.174,17.649,17.681,17.787,18.799,17.915,18.132,18.673,18.064,17.454,18.196,17.927
TMAX,AMJJAS,18.548,19.244,19.033,19.365,18.005,17.581,18.369,18.390,19.636,19.522,18.869,19.138,18.225,18.581,20.123,18.826,19.673,18.631,19.634,19.046,19.005,19.218,20.469,19.509,19.413,20.463,19.321,19.043,19.547,19.482
TMAX,ONDJFM,9.702,9.800,10.544,10.344,10.126,9.515,10.241,10.518,11.745,11.772,10.470,10.846,10.555,9.964,11.485,10.172,10.848,11.924,11.130,11.409,10.351,12.073,11.220,11.200,11.340,10.701,12.238,11.677,10.533,10.235
TMAX,NDJF,8.554,8.668,9.392,9.442,8.769,7.717,9.202,9.511,10.782,10.253,8.541,9.748,9.803,8.794,10.775,8.639,8.884,10.910,10.021,10.099,9.245,10.547,9.821,10.296,10.331,9.349,10.969,10.706,9.035,8.389
TMIN,year,7.044,7.446,7.716,7.294,6.827,6.673,7.032,7.673,7.817,8.023,7.433,7.589,7.327,7.841,7.789,7.109,8.091,8.095,8.169,7.950,7.657,8.278,7.931,8.325,8.215,8.489,8.272,7.867,7.982,6.776
TMIN,MAMJJASO,9.196,9.394,9.473,9.014,9.056,8.528,8.872,9.340,9.543,9.704,9.612,9.488,8.996,9.392,9.788,9.080,9.810,9.850,10.101,9.659,9.818,9.815,9.882,10.124,10.264,10.456,9.968,9.722,10.131,9.491
TMIN,AMJJAS,10.330,10.507,10.491,10.007,10.120,9.423,10.190,10.325,10.361,10.317,10.477,10.798,10.197,10.369,10.780,9.980,10.809,10.830,11.157,10.616,10.631,10.964,11.347,11.340,10.956,11.614,11.004,11.034,11.184,10.656
TMIN,ONDJFM,3.621,3.402,4.689,4.468,3.989,3.594,4.012,4.805,5.393,5.618,4.608,4.881,4.483,4.173,5.218,4.598,4.657,5.881,4.950,5.221,4.438,5.634,4.985,4.816,5.502,4.888,6.085,5.115,4.427,4.109
TMIN,NDJF,2.632,2.639,3.687,3.765,3.075,2.270,3.233,4.278,4.755,4.509,2.990,3.850,4.138,3.299,5.056,3.374,3.160,5.342,4.111,4.285,3.715,4.209,4.447,4.434,4.719,3.649,5.289,4.358,3.558,2.808
TAVG,year,10.458,11.005,11.161,10.925,10.186,10.087,10.389,11.045,11.530,11.629,10.882,11.025,10.648,11.199,11.508,10.558,11.693,11.425,11.651,11.396,11.149,11.688,11.777,11.712,11.724,12.065,11.876,11.377,11.543,10.427
TAVG,MAMJJASO,12.927,13.382,13.337,13.173,12.725,12.336,12.652,13.041,13.732,13.820,13.431,13.275,12.721,13.174,14.029,13.015,13.910,13.462,14.004,13.521,13.617,13.687,14.226,13.908,14.141,14.497,13.957,13.518,14.135,13.602
TAVG,AMJJAS,14.292,14.739,14.612,14.539,13.913,13.363,14.169,14.234,14.835,14.761,14.547,14.821,14.080,14.349,15.307,14.258,15.097,14.620,15.271,14.677,14.705,14.996,15.794,15.313,15.135,15.977,15.113,14.972,15.354,14.961
TAVG,ONDJFM,6.423,6.403,7.412,7.203,6.862,6.409,6.931,7.509,8.372,8.492,7.362,7.675,7.313,6.868,8.112,7.210,7.565,8.719,7.822,8.147,7.233,8.595,7.934,7.816,8.257,7.677,9.074,8.285,7.400,7.035
TAVG,NDJF,5.368,5.429,6.291,6.362,5.703,4.811,5.980,6.736,7.571,7.152,5.589,6.575,6.728,5.799,7.680,5.801,5.826,7.927,6.811,7.003,6.312,7.070,6.948,7.138,7.299,6.379,8.030,7.411,6.207,5.447
RH,year,83.766,82.731,82.597,81.603,83.460,82.495,83.349,82.717,80.815,80.578,82.988,82.456,82.743,82.350,80.775,81.210,82.429,82.971,82.386,83.163,82.476,82.889,80.268,82.453,81.944,81.557,83.229,82.990,83.061,81.842
RH,MAMJJASO,82.717,80.649,81.609,79.032,82.614,81.496,81.951,81.539,78.628,78.138,81.536,80.662,81.273,80.208,78.268,79.138,80.268,81.841,81.293,81.831,80.818,81.044,77.753,80.891,80.406,79.639,81.874,81.393,80.852,79.271
