Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.610,17.629,18.511,16.881,16.541,17.413,16.809,17.680,18.048,18.536,16.996,18.686,17.793,19.006,17.769,16.447,17.483,17.916,17.888,19.626,18.127,18.924,18.723,17.508,17.407,18.185,19.523,19.318,18.994,17.354
TMAX,MAMJJASO,23.150,23.157,24.031,21.960,22.228,23.270,22.084,22.666,23.043,23.455,22.258,24.023,23.307,24.086,22.932,21.693,22.393,22.833,23.566,24.801,23.668,24.023,24.692,22.671,22.780,23.614,24.781,23.930,24.655,22.462
TMAX,AMJJAS,25.190,25.747,26.614,24.152,24.911,26.154,25.196,25.441,24.941,25.281,24.681,27.124,26.109,26.867,25.192,24.477,24.958,25.476,26.068,27.323,25.558,26.550,28.196,25.119,25.342,26.151,27.655,26.249,27.860,25.145
TMAX,ONDJFM,8.654,8.985,11.026,9.304,7.940,9.112,7.969,10.536,10.162,12.297,9.928,9.857,9.266,11.048,10.427,8.112,9.981,11.421,9.103,9.755,12.662,10.991,9.129,9.559,9.652,9.070,13.412,10.434,10.721,10.107
TMAX,NDJF,5.115,5.383,8.331,6.409,4.278,6.411,5.327,8.387,6.728,9.169,6.584,7.377,6.960,7.851,8.611,4.715,6.975,9.905,5.481,6.821,9.772,7.073,5.955,7.499,6.781,5.899,10.858,7.941,7.736,7.292
TMIN,year,8.286,8.438,8.562,8.056,7.360,7.716,7.798,8.412,8.906,8.481,7.994,8.977,8.346,9.631,8.567,7.928,8.104,8.615,9.011,9.378,8.832,8.927,7.718,8.076,7.665,8.251,8.899,8.898,8.737,8.313
TMIN,MAMJJASO,12.287,12.311,12.375,11.347,11.497,11.566,11.481,11.781,12.399,11.552,11.998,12.475,12.261,13.075,12.059,11.789,11.177,12.446,13.011,12.791,12.979,12.366,11.804,11.583,11.493,11.910,12.084,12.045,12.279,12.017
TMIN,AMJJAS,13.781,14.166,14.504,13.015,13.603,13.891,13.907,13.904,14.218,13.205,13.801,14.669,14.159,15.296,14.044,13.957,13.457,14.595,15.056,14.592,14.387,14.566,14.365,13.347,13.823,14.081,14.014,13.908,14.252,14.479
TMIN,ONDJFM,0.874,2.082,4.121,2.086,1.110,2.250,0.626,4.198,2.898,3.455,2.733,2.687,2.365,4.144,3.438,1.302,2.931,3.327,2.429,2.794,4.920,2.872,1.257,2.154,2.112,1.603,4.745,2.852,3.326,3.027
TMIN,NDJF,-1.682,-0.355,2.469,0.419,-1.744,0.874,-0.575,3.097,0.903,1.705,0.627,1.164,0.716,2.013,2.447,-0.592,1.236,2.916,-0.188,0.863,3.168,0.298,-0.716,0.903,0.431,-0.299,3.649,1.259,1.707,1.358
TAVG,year,12.752,12.841,13.337,12.278,11.771,12.445,12.150,12.800,13.198,13.283,12.282,13.655,12.803,14.065,12.974,12.093,12.692,13.097,13.262,14.333,13.246,13.625,12.938,12.483,12.218,12.901,13.935,13.770,13.607,12.528
TAVG,MAMJJASO,17.534,17.576,18.032,16.480,16.664,17.338,16.617,17.009,17.478,17.339,16.919,18.112,17.516,18.353,17.289,16.646,16.691,17.518,18.084,18.684,18.096,17.904,18.013,16.815,16.832,17.435,18.171,17.660,18.188,16.892
TAVG,AMJJAS,19.376,19.878,20.473,18.467,19.101,20.014,19.427,19.551,19.388,19.167,19.117,20.849,19.931,20.920,19.507,19.183,19.208,19.975,20.407,20.956,19.838,20.299,21.115,18.947,19.334,19.852,20.627,19.830,20.830,19.510
TAVG,ONDJFM,4.546,5.221,7.299,5.367,4.335,5.455,4.080,7.058,6.192,7.469,6.031,5.959,5.471,7.263,6.605,4.559,6.253,7.121,5.543,5.997,8.440,6.552,4.911,5.467,5.507,4.968,8.668,6.294,6.644,6.302
TAVG,NDJF,1.534,2.276,5.176,3.105,1.160,3.440,2.212,5.468,3.531,5.009,3.377,4.057,3.514,4.667,5.259,2.028,3.969,6.223,2.453,3.626,6.175,3.371,2.389,3.792,3.245,2.496,6.912,4.298,4.426,4.128
RH,year,71.518,73.518,70.810,74.767,74.728,71.948,72.665,72.565,73.471,70.121,73.188,67.318,69.183,72.647,72.407,74.227,70.953,71.569,73.325,67.792,71.387,72.925,70.611,75.404,74.757,74.872,69.361,72.318,72.546,77.992
RH,MAMJJASO,67.695,68.886,65.902,69.409,70.793,66.489,67.972,67.539,69.124,64.067,69.549,60.924,63.200,67.631,67.849,69.579,64.616,67.434,68.181,60.874,67.037,68.171,63.535,71.834,70.535,70.396,63.285,68.618,66.181,74.432
RH,AMJJAS,65.579,66.539,64.204,68.236,68.334,63.723,66.769,65.604,68.443,62.754,67.696,57.419,59.737,65.668,65.640,67.830,63.794,67.328,67.360,57.798,63.886,67.296,60.637,69.473,69.668,69.303,60.377,67.175,63.484,74.873
RH,ONDJFM,74.380,79.159,79.651,78.664,81.994,81.979,77.859,80.340,78.977,75.324,79.763,76.695,77.709,80.079,79.144,80.997,79.132,74.381,79.557,78.737,78.899,77.159,80.134,81.681,80.035,81.341,78.641,76.684,81.250,80.677
RH,NDJF,76.202,82.146,82.007,83.007,82.974,84.552,81.442,84.908,83.011,79.088,82.565,79.951,80.045,83.427,81.298,84.327,83.478,79.991,83.392,82.164,82.234,80.684,84.426,83.671,82.666,84.149,82.706,79.513,84.200,85.498
RHmin,year,54.296,56.264,52.956,57.842,57.087,54.734,55.954,55.173,55.952,52.575,55.913,51.181,52.521,55.197,55.467,58.183,54.463,54.569,56.694,50.799,54.399,54.487,51.305,56.896,55.732,55.697,51.306,52.940,54.179,59.350
RHmin,MAMJJASO,49.398,50.456,47.144,50.989,51.882,47.880,50.035,49.169,50.599,45.529,51.538,44.011,45.955,49.189,49.455,52.502,46.716,50.152,50.138,43.494,49.335,48.651,43.934,51.832,50.482,49.747,44.087,48.252,46.364,54.418
RHmin,AMJJAS,47.449,48.092,45.806,49.769,49.370,45.381,48.548,47.407,50.340,44.740,49.650,40.764,42.535,47.492,48.022,50.752,46.291,49.773,49.261,40.911,46.844,47.853,41.110,49.296,50.045,48.910,41.094,47.203,43.115,54.907
RHmin,ONDJFM,57.771,63.061,63.848,62.008,65.779,65.925,61.767,65.303,62.509,56.811,63.227,60.700,61.675,63.935,62.866,65.507,63.751,57.996,64.292,62.851,61.661,59.602,62.409,63.641,62.467,63.522,59.554,60.264,63.651,64.373
RHmin,NDJF,60.397,67.518,67.504,67.328,67.954,70.142,66.986,70.827,68.086,61.428,67.499,65.033,64.497,68.414,66.202,71.135,69.654,64.485,68.980,67.405,66.154,64.286,67.615,66.337,66.363,68.025,65.031,64.032,68.535,70.166
PREC,year,497.118,527.927,449.790,622.595,608.833,472.718,619.276,537.217,540.833,439.643,537.736,576.744,516.977,561.361,681.780,645.963,477.902,699.644,725.004,423.308,513.858,548.424,450.999,693.227,756.308,592.938,639.406,597.863,627.793,991.998
PREC,MAMJJASO,352.954,380.798,334.432,455.208,409.735,319.040,437.705,389.924,469.308,328.566,388.096,442.325,342.597,453.311,471.768,494.731,334.256,576.069,501.926,291.425,400.496,438.458,348.089,510.631,582.023,486.380,465.577,476.620,382.442,749.126
PREC,AMJJAS,291.157,309.925,259.177,382.740,344.431,258.820,368.762,314.959,420.342,246.248,302.225,269.806,238.005,361.915,419.562,452.135,298.181,484.494,451.504,223.585,324.301,363.199,230.901,387.999,547.876,412.141,349.790,388.460,283.976,694.617
PREC,ONDJFM,59.576,224.046,253.282,194.112,221.755,304.873,213.872,251.211,140.179,110.350,193.140,249.581,293.757,305.668,254.722,210.675,165.293,179.268,264.273,257.568,252.117,109.353,195.423,301.232,245.059,242.777,196.935,234.031,270.052,327.705
PREC,NDJF,30.985,159.150,175.856,128.854,126.094,260.154,130.507,189.667,79.731,78.312,109.936,139.917,136.353,205.400,137.704,193.222,118.644,143.877,166.893,182.187,159.241,86.819,131.959,131.267,153.081,190.653,114.552,114.779,197.140,251.432
SRAD,year,4808.902,4835.465,4827.560,4454.107,4557.277,4860.006,4704.550,4794.281,4619.187,4926.837,4641.531,4979.073,4824.428,4941.780,4704.466,4617.789,4922.806,4768.216,4723.734,5090.356,4716.508,4654.953,5198.574,4698.415,4820.616,4814.317,5044.172,4899.368,4900.989,4507.703
