Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,12.777,13.173,13.999,12.809,11.370,12.336,11.175,13.016,14.416,14.272,13.557,13.952,12.700,13.355,13.481,12.160,13.124,12.867,14.180,14.429,13.552,14.438,13.292,13.124,13.504,14.018,14.273,14.405,13.367,12.842
TMAX,MAMJJASO,17.892,18.018,18.981,17.806,17.411,17.640,16.205,18.049,18.775,18.320,18.231,18.561,17.400,18.468,18.820,17.803,17.991,17.740,19.575,18.902,18.787,19.955,18.327,18.120,18.412,19.303,19.510,18.838,18.422,19.101
TMAX,AMJJAS,20.512,20.580,21.934,20.440,20.121,20.239,18.970,21.148,21.293,20.288,20.846,21.734,20.186,21.659,21.391,20.751,20.971,20.556,22.542,21.220,21.555,23.427,21.455,20.655,21.598,22.574,21.844,21.359,21.800,22.359
TMAX,ONDJFM,3.073,4.917,6.544,5.167,2.711,4.248,3.203,5.417,7.128,7.961,6.128,7.049,5.395,4.428,6.144,2.946,5.780,5.727,4.674,6.089,7.002,6.939,3.498,5.081,5.375,4.336,8.198,6.792,5.906,3.778
TMAX,NDJF,1.168,1.847,4.797,2.968,-0.884,0.953,0.844,3.542,5.011,5.707,3.756,4.960,4.214,1.919,4.365,-0.464,3.155,4.196,1.515,4.037,4.727,4.116,0.775,3.162,3.812,1.634,5.327,4.849,3.639,1.102
TMIN,year,5.425,5.489,6.195,5.657,3.882,4.775,3.396,5.645,6.975,6.915,6.056,6.327,5.280,5.650,5.893,4.025,5.630,5.851,6.186,6.791,6.066,6.147,5.720,5.725,5.495,5.856,6.523,7.006,5.894,4.894
TMIN,MAMJJASO,9.054,8.769,9.592,9.057,9.002,8.773,7.419,9.168,9.796,9.198,9.201,9.122,8.363,9.193,9.657,8.009,8.693,9.083,9.530,9.165,9.767,9.664,8.973,9.141,8.474,9.197,10.068,9.521,9.064,9.468
TMIN,AMJJAS,11.028,10.522,11.585,11.019,10.783,10.669,10.009,11.628,11.267,10.533,10.977,11.219,10.381,11.322,11.237,10.346,10.681,11.280,11.347,10.591,11.792,11.833,11.251,10.801,11.054,11.516,11.667,11.069,11.141,12.284
TMIN,ONDJFM,-2.625,-0.382,1.428,-0.021,-2.640,-1.302,-3.070,0.517,1.836,2.687,1.305,1.836,0.573,-0.435,1.357,-3.185,0.484,1.329,-0.341,1.812,2.242,1.328,-1.721,0.498,0.349,-1.259,2.531,2.582,1.374,-1.336
TMIN,NDJF,-3.510,-2.736,0.464,-1.339,-6.063,-4.111,-4.620,-0.393,0.505,1.225,-0.251,0.708,0.168,-2.295,0.126,-5.484,-1.129,0.810,-2.488,0.493,1.448,-0.643,-3.662,-0.719,-0.233,-2.565,0.651,1.634,-0.159,-3.075
TAVG,year,8.913,9.152,9.933,9.039,7.430,8.389,7.135,9.105,10.498,10.372,9.578,9.980,8.814,9.298,9.436,8.001,9.213,9.133,10.108,10.461,9.602,10.161,9.330,9.265,9.377,9.869,10.254,10.598,9.540,8.784
TAVG,MAMJJASO,13.175,13.120,14.045,13.177,12.888,12.943,11.554,13.331,14.030,13.507,13.418,13.605,12.650,13.566,13.949,12.783,13.164,13.179,14.469,13.845,14.020,14.641,13.419,13.410,13.296,14.158,14.572,14.047,13.579,14.135
TAVG,AMJJAS,15.444,15.304,16.525,15.450,15.126,15.223,14.249,16.104,16.042,15.201,15.639,16.272,15.077,16.254,16.086,15.431,15.672,15.716,16.963,15.787,16.426,17.533,16.153,15.542,16.204,16.968,16.562,16.130,16.337,17.175
TAVG,ONDJFM,0.197,2.178,3.871,2.505,-0.045,1.404,-0.027,2.825,4.272,5.138,3.527,4.285,2.890,1.857,3.482,-0.207,2.971,3.305,1.918,3.814,4.434,3.936,0.752,2.685,2.723,1.442,5.271,4.574,3.568,1.200
TAVG,NDJF,-1.112,-0.397,2.594,0.798,-3.465,-1.515,-1.887,1.497,2.657,3.338,1.674,2.792,2.181,-0.260,2.073,-3.014,0.931,2.305,-0.656,2.250,2.962,1.652,-1.478,1.192,1.688,-0.500,3.013,3.190,1.754,-0.930
RH,year,82.424,80.613,80.473,81.465,82.401,81.822,82.201,82.054,82.089,81.291,82.075,80.257,79.499,79.555,81.126,79.486,80.240,81.878,80.000,80.451,82.217,78.155,80.582,82.178,81.396,80.363,81.652,81.615,82.786,84.012
RH,MAMJJASO,79.312,77.047,77.683,79.208,80.431,79.118,79.297,79.736,79.240,77.677,79.289,76.305,76.919,75.857,78.301,75.710,76.980,79.042,75.637,76.212,79.937,73.849,76.412,78.681,77.820,75.922,77.951,78.151,79.090,81.102
RH,AMJJAS,78.162,75.586,75.868,78.266,78.658,77.914,79.418,78.007,77.433,76.973,77.957,73.960,75.102,73.764,76.776,74.377,75.008,78.415,73.496,74.866,79.046,70.982,74.980,76.291,76.114,72.932,76.225,75.347,76.244,79.931
RH,ONDJFM,83.970,86.636,86.060,83.533,85.921,85.907,85.507,86.550,85.399,85.722,86.462,86.282,86.250,84.233,85.325,83.724,85.376,86.168,86.367,86.137,85.142,85.772,84.743,87.982,87.549,86.953,86.927,88.124,89.242,88.808
RH,NDJF,86.919,88.973,87.148,85.038,86.225,87.024,87.619,88.006,86.935,88.357,88.181,88.163,87.531,85.269,87.154,86.213,87.236,87.930,88.705,87.992,88.290,87.532,87.086,89.042,89.040,88.994,89.143,88.940,90.376,89.751
RHmin,year,65.830,63.883,63.656,65.442,65.047,64.942,64.374,65.223,65.460,65.105,65.069,64.213,63.460,63.100,64.135,62.523,64.152,65.966,63.742,64.456,65.364,61.557,64.379,65.769,64.251,63.484,64.984,65.812,66.687,66.222
RHmin,MAMJJASO,60.276,57.981,58.460,60.496,61.809,60.297,60.091,60.594,60.260,58.857,59.914,57.598,58.437,57.326,59.186,56.763,58.287,60.710,56.684,57.045,60.736,54.766,57.687,59.956,57.713,56.494,58.779,59.380,59.957,60.732
RHmin,AMJJAS,58.397,55.697,55.713,58.730,58.900,58.448,60.240,58.427,57.274,57.598,57.633,54.377,56.147,54.273,56.780,55.006,55.376,59.485,53.595,54.996,59.023,50.896,55.405,56.897,55.873,53.035,56.318,55.897,55.759,59.509
RHmin,ONDJFM,69.895,72.861,72.839,70.617,71.636,71.681,69.438,73.423,71.313,71.990,73.389,72.632,73.491,71.570,72.041,68.359,71.655,74.120,72.817,74.638,72.968,71.130,71.287,75.472,74.068,72.505,72.756,76.684,76.932,75.140
RHmin,NDJF,74.777,76.620,75.662,73.870,72.384,73.884,72.973,76.900,74.592,75.881,76.949,76.512,76.646,74.021,75.024,72.479,75.435,77.846,76.842,78.283,78.848,74.554,74.902,78.206,77.651,77.404,76.779,79.886,79.845,78.234
PREC,year,820.659,584.395,764.633,673.809,775.854,768.634,738.034,683.594,757.238,863.420,629.904,597.095,689.750,740.992,736.048,571.345,719.341,895.054,659.198,695.830,791.899,660.980,658.613,759.811,681.875,617.804,801.067,688.292,690.369,511.750
