Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,6.682,7.774,7.909,7.904,6.548,7.150,6.768,7.843,8.872,9.031,8.400,8.498,7.734,7.817,7.900,7.651,8.506,7.689,8.352,8.859,7.929,8.696,9.030,8.845,8.938,9.348,8.926,8.891,8.544,7.072
TMAX,MAMJJASO,10.991,11.530,11.614,11.634,11.317,11.500,10.794,11.686,12.174,12.550,11.987,11.654,11.258,11.828,11.753,11.901,12.274,11.287,12.273,12.270,11.849,13.192,12.812,12.709,12.474,12.831,13.015,12.291,12.678,12.285
TMAX,AMJJAS,13.679,13.716,13.917,14.128,13.349,13.502,12.932,14.454,14.309,14.565,14.142,14.288,13.540,14.364,13.813,14.067,14.864,13.648,14.623,14.263,14.267,16.251,15.233,15.035,14.557,15.876,14.747,14.801,15.371,14.668
TMAX,ONDJFM,-1.664,0.403,2.235,0.980,0.745,0.312,0.228,1.591,3.049,3.180,2.521,3.691,2.175,0.352,2.461,1.240,1.967,1.962,1.331,2.780,2.216,2.726,1.182,2.426,2.933,2.525,3.542,3.265,2.277,0.484
TMAX,NDJF,-2.188,-1.871,0.906,-0.511,-1.239,-2.798,-1.585,0.047,1.678,1.700,0.679,2.621,1.517,-1.598,1.420,-1.027,-0.008,0.866,-0.354,1.424,0.700,0.845,-0.729,0.996,1.795,1.286,1.685,2.050,0.613,-1.584
TMIN,year,-0.366,1.140,1.259,1.455,-0.280,0.408,0.134,1.126,2.335,2.583,1.803,1.738,0.929,0.991,1.145,0.616,1.641,1.293,1.755,2.503,1.144,1.810,1.925,2.018,2.089,2.404,2.022,1.866,1.697,-0.247
TMIN,MAMJJASO,3.748,4.573,4.830,4.629,4.344,4.558,3.922,4.436,5.035,5.380,4.935,4.359,3.863,4.570,4.622,4.371,4.727,4.444,5.220,5.326,4.555,5.729,5.285,5.497,4.942,5.068,5.565,4.595,5.190,4.607
TMIN,AMJJAS,6.092,6.077,6.728,6.845,5.978,5.968,5.741,6.815,6.564,6.888,6.562,6.463,5.795,6.590,6.113,6.087,6.752,6.544,6.995,6.868,6.809,8.269,7.286,7.339,6.929,7.841,7.007,6.604,7.385,6.615
TMIN,ONDJFM,-9.066,-5.531,-3.619,-5.055,-4.956,-5.983,-5.935,-3.791,-2.579,-2.023,-3.105,-1.776,-3.834,-5.676,-2.950,-5.014,-3.994,-3.569,-4.138,-2.999,-3.402,-3.073,-4.912,-3.622,-3.107,-3.634,-2.189,-2.565,-3.583,-5.689
TMIN,NDJF,-9.437,-8.183,-5.202,-6.495,-7.049,-9.484,-7.793,-5.173,-3.965,-3.375,-4.954,-2.900,-4.175,-7.720,-4.041,-7.172,-6.078,-4.383,-5.871,-4.324,-4.418,-4.884,-6.949,-4.934,-3.951,-4.174,-3.817,-3.418,-5.294,-7.523
