Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.096,16.153,16.879,14.952,15.582,15.643,15.526,16.469,16.858,16.895,15.707,17.220,16.530,17.567,16.212,14.906,16.490,16.885,16.657,18.216,17.162,17.459,17.957,16.278,16.058,17.144,18.000,17.433,17.446,15.996
TMAX,MAMJJASO,20.849,20.661,21.756,19.292,20.617,20.655,20.131,20.804,20.867,21.083,20.429,21.622,21.183,21.871,20.572,19.488,20.853,21.248,21.540,22.656,22.053,21.654,23.244,20.719,20.908,21.844,22.370,21.543,22.445,20.766
TMAX,AMJJAS,22.601,23.215,23.961,21.293,23.161,23.211,23.096,23.159,22.224,22.556,22.627,24.415,23.620,24.056,22.563,22.014,23.072,23.583,23.667,24.980,23.714,23.533,26.314,22.970,23.164,24.222,25.009,23.686,25.118,23.453
TMAX,ONDJFM,7.832,8.950,10.167,8.382,7.893,8.054,8.052,9.956,10.643,12.023,9.342,9.464,9.669,10.336,10.029,8.090,9.769,10.795,9.144,9.878,11.636,11.056,9.919,9.300,9.591,8.282,12.858,10.187,9.798,9.252
TMAX,NDJF,4.769,6.361,7.977,5.801,5.115,5.512,5.970,8.212,7.857,9.310,6.080,7.562,7.922,7.263,8.815,5.178,7.175,9.447,6.141,7.064,9.390,7.467,7.036,7.806,6.936,5.585,10.916,8.466,6.873,6.781
TMIN,year,6.276,7.027,6.649,6.302,5.965,6.219,6.478,7.012,7.154,7.052,6.538,7.672,7.221,8.412,7.288,6.667,7.138,7.310,7.660,8.223,7.569,8.394,7.386,7.105,6.797,7.381,7.868,8.116,7.846,7.215
TMIN,MAMJJASO,10.453,10.563,10.471,9.343,9.900,10.028,10.034,10.344,10.425,10.176,10.396,10.916,10.781,11.517,10.556,10.055,10.073,10.910,11.764,11.497,11.329,11.481,11.220,10.515,10.621,10.873,11.005,11.160,11.411,10.774
TMIN,AMJJAS,11.768,12.404,12.510,10.822,11.752,12.118,12.293,12.138,12.204,11.607,12.083,12.948,12.579,13.450,12.293,12.022,11.967,13.018,13.589,13.058,12.404,13.270,13.612,12.104,12.648,12.761,12.862,13.072,13.565,12.920
TMIN,ONDJFM,-1.596,0.783,2.230,0.500,0.624,0.743,-0.284,2.848,1.901,2.160,1.605,1.501,1.837,3.124,2.499,1.215,2.375,2.487,1.296,1.385,4.680,2.230,1.942,1.557,1.558,0.998,4.258,2.187,2.283,1.983
TMIN,NDJF,-4.427,-1.620,0.501,-1.148,-1.928,-0.890,-1.488,1.598,-0.402,0.667,-0.913,0.070,0.532,0.870,1.763,-0.510,0.743,1.818,-1.222,-0.879,2.932,-0.464,0.132,0.527,-0.445,-1.045,2.950,0.871,0.606,0.480
TAVG,year,10.892,11.261,11.427,10.354,10.444,10.596,10.710,11.386,11.532,11.611,10.773,12.096,11.514,12.603,11.345,10.476,11.458,11.732,11.797,12.891,12.047,12.547,12.260,11.332,11.051,11.953,12.563,12.389,12.315,11.339
TAVG,MAMJJASO,15.368,15.294,15.779,14.029,14.923,15.006,14.804,15.239,15.220,15.309,15.084,15.947,15.621,16.305,15.122,14.447,15.089,15.776,16.270,16.772,16.368,16.164,16.814,15.254,15.403,16.047,16.337,15.965,16.561,15.487
TAVG,AMJJAS,16.938,17.505,17.978,15.822,17.179,17.373,17.439,17.355,16.876,16.845,17.094,18.385,17.783,18.437,17.037,16.723,17.199,18.040,18.285,18.766,17.788,18.023,19.594,17.183,17.574,18.208,18.650,18.046,19.008,17.958
TAVG,ONDJFM,2.793,4.483,5.874,4.089,3.940,4.029,3.468,6.055,5.735,6.473,5.062,5.036,5.334,6.374,5.817,4.279,5.681,6.194,4.832,5.205,7.864,6.148,5.562,5.033,5.149,4.307,8.141,5.736,5.657,5.297
TAVG,NDJF,-0.129,1.970,3.971,2.045,1.332,2.017,1.862,4.557,3.187,4.414,2.226,3.419,3.803,3.792,4.889,2.068,3.617,5.193,2.094,2.708,5.903,3.082,3.291,3.784,2.816,1.935,6.575,4.262,3.414,3.404
RH,year,76.404,78.525,74.980,78.555,76.768,76.993,77.457,76.169,76.614,75.433,77.155,74.338,74.239,75.620,76.266,76.789,73.890,73.657,75.423,73.009,72.473,74.102,68.820,75.235,73.964,73.060,73.131,76.090,74.940,77.666
RH,MAMJJASO,75.849,76.368,73.131,75.167,73.756,74.439,74.471,73.962,75.149,72.912,75.349,70.851,71.051,72.198,73.630,72.983,69.315,71.610,73.304,69.187,69.561,70.902,63.823,73.488,71.730,69.607,69.661,73.451,70.810,73.530
RH,AMJJAS,74.701,75.191,72.051,74.566,71.743,72.673,72.790,72.626,75.814,72.433,73.650,68.054,69.748,71.172,72.866,71.610,68.491,71.610,72.741,66.890,66.381,70.944,61.827,71.355,70.610,67.884,67.473,71.890,70.023,71.713
RH,ONDJFM,75.249,79.210,81.602,79.427,82.955,82.678,79.556,82.198,78.850,74.971,82.040,78.897,78.172,81.542,80.175,81.732,79.612,75.853,78.199,77.681,81.982,75.103,77.399,78.507,76.299,80.428,77.724,79.076,79.941,82.593
RH,NDJF,74.314,80.092,82.114,81.839,82.892,84.964,81.670,84.046,78.876,77.808,82.429,79.873,79.335,84.000,81.867,84.573,82.570,78.959,79.371,79.826,82.509,77.322,81.178,79.650,75.856,82.265,79.556,79.271,82.834,86.132
RHmin,year,56.384,59.283,54.696,60.318,57.161,57.641,58.649,56.833,56.282,55.911,57.922,55.772,55.918,57.042,57.830,59.813,55.636,54.831,56.990,54.087,54.231,56.323,50.102,56.750,55.522,54.417,53.823,57.225,56.238,59.732
RHmin,MAMJJASO,55.617,56.343,52.169,55.680,53.537,54.149,55.008,54.055,54.580,52.760,55.629,51.771,52.171,52.804,54.102,55.086,49.866,52.569,54.438,49.880,50.663,52.231,44.768,54.087,52.719,50.286,49.800,53.596,50.987,54.813
RHmin,AMJJAS,54.342,54.489,51.622,54.796,51.189,52.430,52.928,52.625,56.106,52.667,53.937,48.801,50.513,52.129,53.552,53.506,49.104,52.583,53.896,47.346,47.805,52.317,42.805,51.585,51.866,48.711,47.432,52.487,49.997,53.060
RHmin,ONDJFM,55.032,60.360,63.119,61.073,65.229,64.899,60.160,64.961,58.595,54.070,63.300,60.470,60.359,64.357,62.259,65.175,62.859,57.960,60.274,58.535,65.501,56.201,60.038,60.694,58.383,63.174,58.765,60.778,62.748,65.216
RHmin,NDJF,54.341,61.012,64.291,64.567,65.493,68.251,63.269,67.153,59.017,57.820,64.778,62.055,61.675,67.686,64.492,69.859,66.809,61.608,61.852,60.915,66.795,59.216,64.581,62.244,58.833,65.558,61.219,61.739,67.168,69.944
