Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,7.765,8.515,8.812,9.024,6.817,7.979,6.898,8.634,10.046,9.458,8.893,9.031,8.516,8.747,9.033,8.734,9.072,8.107,9.099,10.062,8.905,9.295,9.351,9.443,9.970,9.785,9.805,9.532,9.218,8.297
TMAX,MAMJJASO,12.827,13.288,14.144,13.880,13.432,13.690,12.780,14.085,14.762,14.126,13.490,13.140,13.004,13.999,14.154,13.751,13.978,13.099,14.653,14.657,14.149,15.025,14.587,14.465,14.645,14.753,15.133,13.563,14.290,14.710
TMAX,AMJJAS,16.203,16.143,17.350,17.202,16.167,16.326,15.426,17.438,17.931,16.930,16.456,16.605,15.949,17.278,16.896,16.445,17.353,16.137,17.751,17.384,17.633,18.847,17.683,17.521,17.958,18.685,17.526,16.399,17.862,18.195
TMAX,ONDJFM,-3.224,-0.311,1.441,-0.030,-1.813,-0.772,-1.670,0.274,1.617,1.522,0.836,2.844,0.969,-0.760,2.102,0.052,1.472,-0.006,-0.229,1.738,1.746,1.089,-1.018,1.179,1.416,0.964,1.927,2.611,1.747,-0.871
TMAX,NDJF,-3.584,-3.340,0.014,-2.073,-5.219,-4.379,-4.635,-2.313,-0.633,-0.456,-1.145,1.293,0.219,-3.026,0.498,-2.939,-0.664,-1.489,-3.042,-0.233,0.070,-1.365,-3.699,-0.730,0.140,-0.729,-0.803,1.225,-0.139,-3.028
TMIN,year,-0.241,0.725,0.748,1.353,-1.295,0.388,-0.954,0.803,2.656,1.839,1.431,1.663,0.959,0.743,1.336,0.656,0.938,0.377,1.269,2.584,1.070,0.938,1.330,1.666,2.118,1.656,2.161,2.407,1.493,0.381
TMIN,MAMJJASO,4.240,4.987,5.886,5.215,5.028,5.697,4.627,5.704,6.716,5.586,5.501,5.165,4.536,5.234,5.913,4.792,5.069,4.674,5.925,6.241,5.487,5.706,6.023,5.911,5.556,5.355,6.742,5.385,5.428,6.112
TMIN,AMJJAS,7.353,7.079,8.538,8.078,7.101,7.496,6.815,8.359,8.733,7.826,7.924,7.898,7.010,7.808,7.715,7.024,7.518,7.486,8.108,8.282,8.582,8.815,8.367,8.340,8.604,8.789,8.420,7.495,8.202,9.141
TMIN,ONDJFM,-12.528,-6.909,-5.087,-7.175,-8.168,-7.586,-8.544,-5.677,-4.845,-4.392,-5.914,-2.917,-5.367,-7.169,-3.464,-7.316,-5.307,-6.633,-6.254,-4.521,-4.214,-5.528,-7.920,-5.074,-5.108,-5.697,-4.236,-2.711,-3.925,-7.303
TMIN,NDJF,-11.761,-10.363,-6.542,-8.928,-11.873,-11.673,-11.373,-8.521,-7.681,-6.027,-7.887,-4.863,-5.733,-9.090,-5.177,-9.968,-7.722,-7.673,-8.881,-6.464,-5.124,-7.786,-10.819,-6.847,-5.594,-6.503,-6.842,-3.784,-5.539,-8.885
TAVG,year,3.929,4.795,4.950,5.357,2.887,4.297,3.063,4.842,6.467,5.760,5.240,5.482,4.785,4.826,5.289,4.756,5.131,4.260,5.221,6.347,5.015,5.198,5.407,5.608,6.089,5.785,6.011,6.019,5.410,4.393
TAVG,MAMJJASO,8.615,9.243,10.121,9.668,9.325,9.740,8.735,9.963,10.775,9.906,9.505,9.215,8.724,9.641,10.041,9.281,9.589,8.810,10.271,10.384,9.780,10.367,10.296,10.130,10.078,10.080,10.901,9.452,9.858,10.376
TAVG,AMJJAS,11.835,11.702,12.998,12.735,11.723,11.945,11.137,12.945,13.351,12.397,12.157,12.289,11.381,12.558,12.270,11.740,12.502,11.708,12.889,12.697,13.020,13.823,12.979,12.866,13.241,13.780,12.939,11.883,13.006,13.566
TAVG,ONDJFM,-7.476,-3.367,-1.557,-3.333,-4.827,-3.948,-4.941,-2.524,-1.396,-1.239,-2.347,0.188,-1.973,-3.824,-0.470,-3.461,-1.745,-3.181,-3.122,-1.189,-1.119,-2.033,-4.281,-1.802,-1.705,-2.260,-1.074,0.089,-0.919,-3.913
TAVG,NDJF,-7.220,-6.536,-2.971,-5.221,-8.373,-7.716,-7.797,-5.231,-3.859,-3.014,-4.281,-1.510,-2.492,-5.894,-2.048,-6.233,-3.948,-4.391,-5.799,-3.100,-2.418,-4.342,-6.992,-3.579,-2.518,-3.440,-3.671,-1.105,-2.643,-5.756
RH,year,82.079,82.368,81.950,81.975,80.573,79.311,81.101,81.714,81.901,80.647,83.190,82.059,82.240,82.379,83.766,83.967,81.625,83.776,82.852,84.029,82.862,82.767,82.912,83.674,82.860,82.130,83.630,84.279,83.062,83.896
RH,MAMJJASO,78.849,79.341,79.182,78.690,77.705,76.068,78.615,78.629,78.844,76.458,80.845,79.118,79.449,78.697,81.186,80.885,77.983,81.065,79.580,80.847,79.927,79.246,79.704,80.899,79.586,78.996,80.693,81.340,79.808,80.911
