Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.118,14.201,14.693,13.073,12.141,13.141,12.019,13.712,14.997,14.820,13.520,14.520,13.331,14.500,13.795,12.136,13.418,13.721,14.658,15.384,13.786,14.931,14.399,13.972,14.315,14.724,15.082,15.104,14.381,13.237
TMAX,MAMJJASO,18.421,19.355,19.793,17.845,17.816,18.391,17.043,18.451,19.571,19.143,18.453,19.493,18.199,19.317,19.147,17.522,18.204,18.548,19.891,19.969,18.948,20.201,19.553,19.019,19.472,20.009,20.142,19.420,19.525,19.038
TMAX,AMJJAS,20.706,21.765,22.547,20.146,20.468,20.863,19.854,21.336,21.687,20.851,20.806,22.660,20.966,22.152,21.491,20.417,20.888,21.377,22.570,22.274,21.217,23.195,22.910,21.363,22.324,23.083,22.615,21.886,22.906,21.843
TMAX,ONDJFM,4.254,5.320,7.549,5.820,4.023,4.833,4.316,6.542,7.714,8.828,6.673,6.618,5.734,6.180,6.963,3.305,6.076,6.869,5.646,6.577,8.096,7.559,4.781,5.962,6.528,4.974,9.663,7.117,6.624,5.286
TMAX,NDJF,1.340,2.075,5.247,3.522,0.369,1.837,2.045,4.771,5.049,6.170,3.588,4.273,4.148,3.432,5.305,-0.105,3.099,5.403,2.608,4.331,5.691,4.319,1.940,4.101,4.336,2.050,7.091,5.068,4.186,2.660
TMIN,year,4.667,4.771,5.410,4.883,3.785,4.154,3.468,5.137,5.793,5.677,4.622,5.219,4.501,5.416,4.765,3.606,4.743,5.138,5.585,6.058,5.209,5.543,4.677,5.035,4.706,5.136,5.915,6.009,5.124,4.238
TMIN,MAMJJASO,8.448,8.089,8.876,8.089,8.298,7.909,7.172,8.077,8.655,8.122,7.971,8.199,7.776,8.442,8.528,7.565,7.892,8.541,8.945,8.798,8.981,9.243,8.085,8.324,7.760,8.708,8.979,8.608,8.455,8.584
TMIN,AMJJAS,9.980,9.711,10.540,9.735,10.051,9.787,9.471,10.217,9.965,9.452,9.612,10.281,9.690,10.360,10.157,9.634,9.807,10.570,10.745,10.148,10.611,11.319,10.477,9.827,9.908,10.933,10.771,10.194,10.355,11.033
TMIN,ONDJFM,-1.945,-1.120,1.146,-0.568,-2.403,-1.556,-2.859,0.987,0.881,1.832,0.116,0.195,-0.557,0.042,0.466,-3.324,-0.569,0.634,-0.631,0.630,1.385,0.548,-2.267,-0.400,0.184,-2.058,2.526,0.944,0.492,-1.266
TMIN,NDJF,-3.938,-3.525,-0.229,-2.076,-5.748,-3.848,-4.372,0.321,-0.337,0.055,-1.669,-1.057,-1.401,-1.794,-0.366,-5.948,-2.567,0.006,-2.809,-0.872,-0.015,-1.719,-4.434,-1.576,-0.856,-3.806,1.404,-0.165,-1.185,-3.148
TAVG,year,8.789,9.364,9.992,8.817,7.830,8.529,7.611,9.345,10.345,10.155,8.985,9.843,8.894,9.961,9.241,7.674,8.888,9.229,9.950,10.529,9.312,10.037,9.350,9.340,9.311,9.747,10.301,10.372,9.568,8.575
TAVG,MAMJJASO,13.235,13.597,14.237,12.779,12.849,12.983,11.907,13.158,14.056,13.536,13.090,13.823,12.936,13.920,13.780,12.340,12.843,13.340,14.228,14.184,13.748,14.513,13.636,13.472,13.399,14.191,14.347,13.854,13.788,13.603
TAVG,AMJJAS,15.187,15.719,16.485,14.807,15.080,15.228,14.493,15.722,15.855,15.160,15.169,16.560,15.340,16.404,15.887,14.876,15.227,15.818,16.563,16.108,15.784,17.124,16.601,15.477,16.006,16.938,16.561,16.005,16.470,16.292
TAVG,ONDJFM,1.075,1.965,4.225,2.515,0.667,1.541,0.613,3.624,4.135,5.193,3.237,3.265,2.500,3.010,3.580,-0.156,2.442,3.485,2.273,3.399,4.418,3.794,1.008,2.562,3.104,1.174,5.765,3.749,3.289,1.800
TAVG,NDJF,-1.245,-0.726,2.472,0.708,-2.740,-0.991,-1.206,2.488,2.309,3.051,0.943,1.596,1.364,0.800,2.447,-3.086,0.064,2.493,-0.245,1.619,2.620,1.181,-1.408,1.112,1.582,-1.044,4.041,2.250,1.334,-0.374
RH,year,80.915,78.532,78.567,80.835,81.671,79.781,81.030,80.056,79.589,79.683,81.714,78.888,80.535,80.114,81.055,82.586,82.031,82.106,81.521,80.168,82.812,79.739,79.389,80.154,79.175,79.147,80.030,80.026,81.481,82.324
RH,MAMJJASO,77.543,74.175,74.420,77.765,79.146,76.134,77.557,76.091,75.511,75.652,78.616,73.904,77.118,76.118,77.529,79.584,78.320,78.781,77.525,75.628,79.860,75.776,74.773,75.805,74.472,74.410,75.658,75.963,77.398,78.949
RH,AMJJAS,75.833,72.239,72.037,76.695,76.893,74.607,76.552,74.083,73.716,74.693,76.935,70.647,74.863,73.772,75.260,77.639,76.426,77.064,75.327,73.066,77.892,73.400,71.787,73.196,71.863,71.094,73.216,73.158,74.022,77.797
