Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,10.368,10.980,11.671,11.069,9.254,10.481,9.047,11.046,12.410,11.868,11.534,11.652,10.429,10.844,11.598,10.526,11.293,10.734,12.215,12.453,11.531,11.854,11.244,11.367,11.558,12.234,12.213,12.109,11.090,10.698
TMAX,MAMJJASO,15.020,15.396,16.365,15.876,14.991,15.625,13.952,16.052,16.727,15.948,15.658,15.820,14.928,15.914,16.505,15.590,15.827,15.452,17.237,16.676,16.742,17.301,15.887,16.169,16.188,17.185,17.291,16.128,15.814,16.922
TMAX,AMJJAS,17.774,17.894,19.431,18.670,17.491,18.264,16.559,19.097,19.462,18.295,18.163,19.024,17.701,19.075,19.086,18.377,18.910,18.204,20.337,19.175,19.705,21.001,18.859,18.934,19.343,20.531,19.663,18.574,19.100,20.367
TMAX,ONDJFM,1.071,3.035,4.476,3.414,1.377,2.588,1.396,3.405,4.890,5.246,4.116,5.735,3.717,1.539,4.242,2.048,4.538,3.512,2.843,4.643,5.014,4.554,1.178,3.637,3.471,3.100,5.847,5.063,4.450,1.506
TMAX,NDJF,0.418,0.130,3.237,1.633,-1.948,-0.567,-0.969,1.559,2.723,3.338,2.269,4.049,2.858,-0.902,2.637,-1.098,2.666,2.206,0.081,3.007,3.210,1.771,-1.074,1.933,2.289,0.881,3.064,3.574,2.511,-0.975
TMIN,year,3.543,3.512,4.248,3.944,2.012,3.039,1.632,3.940,5.288,4.757,4.494,4.518,3.262,3.313,4.155,2.403,3.687,3.524,4.257,4.975,4.092,3.751,3.820,4.054,3.769,4.172,4.677,5.385,4.120,2.962
TMIN,MAMJJASO,6.949,6.686,7.755,7.362,7.191,7.199,5.632,7.712,8.239,7.404,7.325,7.242,6.324,7.017,7.865,6.081,6.855,6.957,7.734,7.436,8.003,7.358,7.106,7.603,6.680,7.377,8.276,7.767,7.296,7.921
TMIN,AMJJAS,9.214,8.388,9.829,9.417,8.797,8.918,8.019,10.071,9.822,8.854,9.010,9.340,8.151,9.128,9.300,8.124,9.020,9.329,9.589,8.975,10.221,9.820,9.522,9.536,9.373,9.740,9.858,9.091,9.439,10.685
TMIN,ONDJFM,-4.362,-2.387,-0.614,-1.850,-4.020,-2.927,-4.755,-1.255,-0.395,0.283,-0.571,0.898,-0.987,-3.654,-0.210,-4.389,-0.876,-1.753,-2.643,-0.111,0.111,-0.890,-4.457,-1.376,-1.900,-2.611,0.285,1.180,0.117,-3.717
TMIN,NDJF,-4.034,-4.903,-1.380,-3.143,-7.448,-5.984,-6.531,-2.590,-2.075,-1.186,-2.132,-0.202,-1.389,-5.779,-1.452,-6.821,-2.461,-2.207,-4.779,-1.363,-0.581,-3.129,-6.113,-2.423,-2.201,-3.704,-1.792,0.334,-1.401,-5.705
