Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.597,17.275,17.959,17.214,17.526,17.742,17.278,17.698,18.332,18.893,16.674,18.327,18.176,19.291,17.683,17.042,17.077,17.796,18.614,19.214,18.633,18.602,18.271,18.604,17.683,18.451,19.800,19.458,19.159,18.848
TMAX,MAMJJASO,23.196,22.449,23.310,22.386,23.092,23.510,22.358,23.165,23.175,23.941,21.953,23.629,23.760,24.789,22.894,22.137,21.646,23.268,23.785,24.520,24.526,23.378,23.939,23.561,22.685,23.811,25.071,24.832,24.206,23.554
TMAX,AMJJAS,24.976,25.118,25.627,24.675,26.381,26.616,26.011,26.057,25.278,25.684,24.434,25.827,26.316,27.428,25.355,25.724,24.275,26.116,26.442,27.316,26.259,25.554,27.136,25.692,25.273,26.247,27.962,26.933,27.042,26.704
TMAX,ONDJFM,7.126,9.623,11.233,8.623,8.675,9.823,8.208,10.214,10.212,11.334,10.386,9.502,10.227,11.372,10.668,7.229,10.653,10.195,9.268,10.199,12.552,11.230,9.273,10.462,11.112,9.938,12.942,10.363,11.211,11.110
TMAX,NDJF,3.407,6.356,8.413,6.156,4.996,7.431,6.070,8.299,6.994,7.879,7.565,6.539,7.256,7.681,8.134,4.627,8.807,8.456,5.686,7.110,9.770,7.564,6.274,7.781,8.353,6.907,10.764,6.714,8.398,8.572
TMIN,year,6.980,6.948,6.838,7.117,6.540,6.748,6.589,6.957,6.991,7.322,6.720,6.911,6.585,8.260,7.041,7.075,6.455,7.465,8.247,7.686,7.715,7.920,6.728,7.138,7.134,7.320,8.142,7.919,7.962,8.090
TMIN,MAMJJASO,11.120,11.082,10.903,10.635,10.753,11.042,10.188,11.107,11.096,11.020,10.998,11.044,11.047,12.411,10.963,10.866,9.858,11.720,12.401,11.550,12.215,11.995,10.932,11.163,11.080,11.647,12.064,11.931,11.692,11.927
TMIN,AMJJAS,12.688,13.155,13.245,12.371,13.181,13.251,12.984,13.493,12.952,12.824,12.914,12.862,12.892,14.571,13.180,13.391,12.235,14.182,14.547,13.878,13.838,13.965,13.675,12.969,13.418,13.649,14.121,13.871,13.726,14.431
TMIN,ONDJFM,-0.979,0.677,1.517,0.588,0.058,1.308,-0.943,1.836,0.381,0.744,1.351,0.439,0.197,2.010,1.521,-0.456,1.469,0.926,1.117,1.028,3.227,0.984,-0.024,0.403,1.424,0.563,2.826,1.100,1.893,2.037
TMIN,NDJF,-3.423,-1.670,-0.506,-0.933,-2.789,-0.121,-2.470,0.511,-2.047,-1.637,-0.600,-1.799,-2.364,-0.471,-0.534,-2.144,0.040,0.078,-1.481,-1.080,1.392,-1.939,-1.914,-1.659,-0.482,-1.745,1.129,-1.634,0.143,0.125
TAVG,year,12.198,11.927,12.177,12.029,11.911,12.116,11.875,12.145,12.468,12.903,11.508,12.394,12.217,13.549,12.062,11.813,11.562,12.468,13.151,13.300,12.994,12.913,12.390,12.624,12.103,12.519,13.698,13.378,13.277,13.139
TAVG,MAMJJASO,17.088,16.613,16.882,16.429,16.844,17.203,16.285,17.000,17.018,17.364,16.349,17.164,17.307,18.431,16.675,16.322,15.623,17.387,17.864,17.964,18.267,17.386,17.351,17.108,16.589,17.405,18.389,18.094,17.702,17.448
TAVG,AMJJAS,18.858,19.044,19.253,18.524,19.800,19.944,19.611,19.728,19.068,19.235,18.676,19.249,19.607,20.927,19.088,19.459,18.211,20.133,20.310,20.648,20.042,19.521,20.360,19.124,19.105,19.702,20.951,20.225,20.196,20.314
TAVG,ONDJFM,2.877,4.928,6.097,4.337,4.105,5.319,3.360,5.697,5.015,5.674,5.469,4.628,4.850,6.343,5.684,3.047,5.563,5.273,4.867,5.291,7.488,5.684,4.337,5.289,5.859,4.802,7.393,5.292,6.170,6.202
