Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.410,16.176,16.645,16.112,16.549,16.677,16.257,16.564,17.027,17.648,15.514,17.001,17.141,18.111,16.484,15.940,15.955,16.604,17.464,18.002,17.405,17.470,17.230,17.472,16.574,17.313,18.572,18.343,18.007,17.850
TMAX,MAMJJASO,21.880,21.135,21.782,21.024,21.819,22.240,21.097,21.869,21.714,22.489,20.607,22.124,22.550,23.422,21.409,20.701,20.227,21.779,22.459,23.101,23.097,21.958,22.607,22.223,21.419,22.469,23.645,23.461,22.781,22.296
TMAX,AMJJAS,23.595,23.712,24.033,23.224,24.974,25.204,24.673,24.696,23.782,24.176,22.924,24.268,24.977,25.969,23.789,24.205,22.792,24.544,25.039,25.848,24.726,24.013,25.660,24.289,23.969,24.834,26.425,25.509,25.532,25.324
TMAX,ONDJFM,6.199,8.755,10.125,7.904,8.134,9.110,7.528,9.304,9.207,10.327,9.500,8.476,9.277,10.588,9.759,6.642,9.928,9.254,8.434,9.213,11.714,10.312,8.708,9.765,10.239,9.058,11.897,9.665,10.288,10.515
TMAX,NDJF,2.539,5.606,7.395,5.614,4.624,6.844,5.587,7.531,6.036,7.077,6.657,5.659,6.363,7.019,7.366,4.254,8.419,7.697,5.047,6.219,9.077,6.785,5.872,7.259,7.563,6.203,9.780,6.258,7.628,8.168
TMIN,year,6.068,6.117,5.918,6.258,5.802,5.949,5.825,6.050,6.066,6.429,5.825,5.961,5.839,7.373,6.085,6.235,5.553,6.670,7.336,6.763,6.855,7.063,5.897,6.258,6.187,6.358,7.199,6.981,7.060,7.232
TMIN,MAMJJASO,10.214,10.135,9.893,9.659,9.812,10.201,9.276,10.152,10.118,10.083,10.019,10.035,10.193,11.423,9.834,9.809,8.762,10.730,11.391,10.610,11.297,10.955,9.964,10.187,10.085,10.572,11.022,10.883,10.655,10.870
TMIN,AMJJAS,11.721,12.161,12.183,11.329,12.126,12.354,12.039,12.521,11.917,11.790,11.845,11.829,11.943,13.501,11.997,12.298,11.104,13.189,13.509,12.885,12.836,12.862,12.631,11.946,12.362,12.505,13.017,12.783,12.698,13.321
TMIN,ONDJFM,-1.817,-0.091,0.656,-0.029,-0.363,0.695,-1.560,1.058,-0.467,-0.016,0.604,-0.414,-0.551,1.446,0.791,-0.974,0.792,0.178,0.451,0.207,2.526,0.237,-0.571,-0.301,0.713,-0.252,1.956,0.400,1.039,1.388
TMIN,NDJF,-4.337,-2.404,-1.387,-1.453,-3.117,-0.723,-2.961,-0.184,-2.956,-2.378,-1.451,-2.564,-3.144,-0.975,-1.202,-2.500,-0.424,-0.499,-2.052,-1.856,0.643,-2.659,-2.311,-2.308,-1.208,-2.497,0.270,-2.234,-0.645,-0.348
TAVG,year,11.108,10.919,11.009,11.007,11.026,11.148,10.954,11.110,11.326,11.812,10.454,11.234,11.300,12.523,10.987,10.876,10.562,11.504,12.136,12.225,11.937,11.897,11.410,11.597,11.061,11.473,12.615,12.340,12.222,12.193
TAVG,MAMJJASO,15.929,15.428,15.549,15.219,15.697,16.100,15.164,15.851,15.760,16.130,15.153,15.877,16.244,17.266,15.373,15.135,14.379,16.186,16.717,16.779,17.089,16.139,16.171,15.932,15.445,16.196,17.156,16.879,16.441,16.267
TAVG,AMJJAS,17.625,17.774,17.842,17.226,18.519,18.731,18.430,18.530,17.763,17.920,17.346,17.906,18.427,19.668,17.717,18.227,16.917,18.888,19.113,19.407,18.771,18.174,19.065,17.892,17.918,18.414,19.632,18.959,18.885,19.042
TAVG,ONDJFM,1.961,4.092,5.102,3.635,3.597,4.663,2.693,4.841,4.088,4.781,4.658,3.674,3.984,5.674,4.878,2.473,4.866,4.461,4.133,4.396,6.711,4.806,3.744,4.555,5.047,3.959,6.444,4.585,5.265,5.571
TAVG,NDJF,-1.085,1.423,2.726,1.819,0.510,2.869,1.034,3.335,1.310,1.974,2.249,1.253,1.247,2.701,2.707,0.542,3.492,3.352,1.220,1.887,4.436,1.605,1.482,2.304,2.784,1.466,4.533,1.599,3.159,3.559
