Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.227,13.689,13.895,13.895,12.730,12.446,13.250,13.487,14.271,14.203,13.647,13.495,13.268,13.473,14.614,13.379,14.398,14.015,14.106,13.865,13.905,13.973,14.436,14.061,14.147,14.469,14.564,13.735,13.699,13.007
TMAX,MAMJJASO,15.395,16.011,16.081,16.329,15.036,14.545,15.430,15.453,16.619,16.543,16.117,15.553,15.167,15.302,17.314,15.796,16.713,16.000,16.389,16.229,16.301,15.942,16.879,16.171,16.498,16.927,16.643,15.832,16.244,16.174
TMAX,AMJJAS,16.757,17.391,17.453,17.915,16.141,15.414,16.960,16.607,17.948,17.750,17.426,17.041,16.544,16.233,18.820,17.199,17.852,17.026,17.602,17.536,17.533,17.058,18.193,17.600,17.572,18.410,17.747,17.216,17.279,17.514
TMAX,ONDJFM,9.779,9.518,9.852,10.041,9.508,9.133,9.908,9.901,10.927,10.632,9.894,10.244,10.047,9.664,10.736,9.978,10.221,11.198,10.762,10.596,9.509,11.253,10.560,10.582,10.555,10.274,11.106,11.215,9.924,9.408
TMAX,NDJF,8.877,8.789,8.766,9.386,8.293,7.683,8.944,9.100,10.229,9.331,8.387,9.405,9.597,8.744,10.070,8.762,8.655,10.179,9.765,9.404,8.487,10.000,9.259,9.696,9.694,9.200,9.996,10.309,8.746,7.726
TMIN,year,6.211,6.164,6.648,5.834,5.630,5.229,5.933,6.385,6.583,6.630,6.465,6.279,6.160,6.452,6.826,6.067,7.251,7.119,7.143,6.593,6.432,6.867,6.917,6.895,7.215,7.178,7.182,6.490,6.582,5.618
TMIN,MAMJJASO,7.853,7.839,8.111,7.528,7.648,6.833,7.435,7.899,8.112,8.383,8.339,7.769,7.423,7.725,8.635,7.764,8.894,8.565,8.869,8.160,8.215,8.044,8.577,8.334,8.927,8.929,8.572,8.052,8.583,8.202
TMIN,AMJJAS,8.978,8.895,8.931,8.592,8.551,7.604,8.750,8.672,8.828,8.857,9.217,8.812,8.613,8.381,9.491,8.475,9.685,9.263,9.855,9.011,8.954,8.968,9.820,9.558,9.608,9.894,9.385,9.248,9.348,9.415
TMIN,ONDJFM,3.683,2.990,3.641,3.778,2.669,2.637,3.184,3.657,4.472,4.599,3.513,4.364,3.753,3.344,4.477,3.981,4.109,5.353,4.525,4.404,3.278,5.023,4.215,3.892,4.781,4.270,4.673,4.814,3.606,2.564
TMIN,NDJF,2.996,2.743,2.657,3.346,1.779,1.424,2.489,3.210,4.057,3.304,1.918,3.665,3.555,2.858,4.227,2.836,2.839,4.509,3.883,3.522,2.564,4.022,3.811,3.466,4.438,3.345,3.896,4.245,2.862,1.144
