Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,12.603,13.019,13.770,12.000,12.155,12.667,12.190,13.065,13.732,13.756,12.453,13.890,13.102,14.438,12.796,11.638,13.222,13.439,13.196,14.375,13.275,14.066,14.158,12.915,12.617,13.573,14.244,13.928,13.527,12.325
TMAX,MAMJJASO,17.661,17.629,18.665,16.205,17.295,17.723,16.734,17.492,17.786,18.122,17.195,18.379,17.690,18.758,17.472,16.193,17.432,17.805,18.227,18.923,18.291,18.257,19.366,17.499,17.786,18.289,18.831,17.964,18.525,17.253
TMAX,AMJJAS,19.463,19.949,20.900,18.070,19.724,20.025,19.476,19.974,19.067,19.500,19.105,21.264,20.166,20.904,19.381,18.610,19.640,20.214,20.323,21.198,19.706,20.300,22.326,19.587,19.912,20.522,21.355,20.103,21.428,19.710
TMAX,ONDJFM,4.484,5.298,6.917,5.560,5.050,4.803,4.966,6.475,7.728,8.667,6.431,6.147,6.007,6.968,6.964,4.703,6.578,7.267,5.786,6.146,7.743,7.548,6.379,5.793,5.896,4.764,9.426,6.510,5.847,5.628
TMAX,NDJF,0.938,2.446,4.533,3.036,2.187,1.929,2.831,4.742,4.678,5.845,2.905,3.969,4.387,3.961,5.560,1.523,4.008,5.828,2.756,3.371,5.045,3.962,3.488,4.176,3.000,1.706,7.087,4.584,3.165,3.081
TMIN,year,3.605,4.091,4.052,3.356,3.121,3.392,3.506,4.186,4.387,4.059,3.527,4.694,4.045,5.259,4.149,3.343,4.209,4.447,4.573,5.131,4.374,5.172,4.354,4.237,3.858,4.507,4.978,4.999,4.827,3.991
TMIN,MAMJJASO,7.631,7.630,7.841,6.424,7.107,7.267,6.990,7.517,7.742,7.321,7.414,7.989,7.559,8.344,7.712,6.977,7.257,8.022,8.490,8.515,8.293,8.305,8.225,7.707,7.728,8.164,8.194,8.063,8.600,7.839
TMIN,AMJJAS,9.067,9.378,9.666,8.058,8.911,9.137,9.245,9.218,9.218,8.573,8.954,10.023,9.436,10.124,9.407,8.879,8.988,9.894,10.247,10.051,9.383,10.188,10.589,9.357,9.709,10.174,10.050,9.877,10.661,9.979
TMIN,ONDJFM,-3.365,-2.166,-0.419,-2.323,-2.245,-2.391,-2.869,-0.343,-0.165,-0.651,-1.396,-1.287,-1.324,-0.304,-0.458,-2.229,-0.769,-0.521,-1.236,-1.178,0.625,-0.572,-1.177,-1.558,-1.378,-2.374,1.254,-0.758,-0.810,-1.317
TMIN,NDJF,-6.276,-4.354,-2.206,-4.092,-4.589,-4.457,-4.138,-1.730,-2.357,-2.735,-4.111,-2.859,-2.645,-2.567,-1.224,-4.406,-2.843,-1.459,-3.651,-3.343,-1.478,-3.205,-3.052,-2.609,-3.335,-4.492,-0.158,-2.216,-2.715,-3.084
TAVG,year,8.078,8.522,8.882,7.650,7.617,8.009,7.824,8.614,9.024,8.877,7.964,9.271,8.538,9.830,8.460,7.463,8.686,8.920,8.874,9.740,8.815,9.600,9.232,8.562,8.226,9.039,9.595,9.466,9.194,8.166
