Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,9.947,10.550,11.241,10.635,8.776,10.044,8.594,10.616,11.992,11.479,11.124,11.308,10.073,10.389,11.163,10.080,10.885,10.344,11.763,12.028,11.030,11.445,10.803,10.914,11.103,11.786,11.819,11.692,10.686,10.126
TMAX,MAMJJASO,14.502,14.871,15.805,15.336,14.479,15.114,13.483,15.509,16.174,15.438,15.110,15.356,14.454,15.332,15.960,15.084,15.316,14.951,16.665,16.107,16.114,16.805,15.342,15.618,15.601,16.567,16.750,15.575,15.294,16.308
TMAX,AMJJAS,17.255,17.346,18.864,18.154,16.993,17.745,16.108,18.547,18.881,17.768,17.606,18.482,17.201,18.449,18.554,17.876,18.351,17.705,19.725,18.626,19.065,20.401,18.249,18.360,18.757,19.905,19.090,18.039,18.532,19.684
TMAX,ONDJFM,-0.008,2.666,4.235,3.087,0.922,2.203,0.931,3.102,4.654,4.962,3.839,5.503,3.574,1.247,3.992,1.640,4.230,3.259,2.531,4.386,4.702,4.210,0.884,3.368,3.210,2.708,5.660,4.838,4.127,1.148
TMAX,NDJF,-0.488,-0.168,3.114,1.426,-2.337,-0.871,-1.408,1.368,2.614,3.148,2.098,3.966,2.765,-1.130,2.482,-1.412,2.468,2.010,-0.134,2.856,3.069,1.538,-1.418,1.711,2.150,0.592,3.053,3.489,2.335,-1.323
TMIN,year,3.291,3.313,4.062,3.720,1.769,2.838,1.407,3.701,5.063,4.569,4.307,4.371,3.105,3.129,3.936,2.197,3.456,3.320,4.046,4.777,3.833,3.545,3.578,3.834,3.553,3.990,4.485,5.185,3.927,2.669
TMIN,MAMJJASO,6.667,6.482,7.553,7.104,6.939,6.985,5.439,7.452,8.019,7.224,7.111,7.095,6.164,6.792,7.646,5.856,6.613,6.735,7.502,7.211,7.710,7.174,6.849,7.372,6.422,7.118,8.022,7.547,7.077,7.636
TMIN,AMJJAS,8.986,8.248,9.698,9.271,8.605,8.763,7.908,9.833,9.654,8.728,8.837,9.200,8.033,8.956,9.153,8.009,8.820,9.184,9.409,8.836,10.014,9.638,9.275,9.352,9.183,9.571,9.641,8.970,9.272,10.412
TMIN,ONDJFM,-5.549,-2.690,-0.799,-2.160,-4.296,-3.204,-5.105,-1.506,-0.615,-0.022,-0.798,0.684,-1.128,-3.860,-0.443,-4.696,-1.177,-1.977,-2.896,-0.369,-0.144,-1.194,-4.726,-1.578,-2.143,-2.876,0.160,0.944,-0.158,-3.958
TMIN,NDJF,-5.024,-5.150,-1.473,-3.320,-7.627,-6.197,-6.823,-2.769,-2.274,-1.461,-2.293,-0.353,-1.510,-5.912,-1.629,-6.998,-2.658,-2.373,-4.963,-1.538,-0.685,-3.370,-6.404,-2.600,-2.318,-3.870,-1.777,0.190,-1.542,-5.890
TAVG,year,6.567,6.891,7.616,7.124,5.199,6.382,4.888,7.104,8.450,7.974,7.638,7.783,6.518,6.726,7.477,6.050,7.161,6.728,7.883,8.323,7.363,7.505,7.079,7.304,7.312,7.901,8.104,8.414,7.289,6.339
TAVG,MAMJJASO,10.413,10.545,11.570,11.111,10.531,10.905,9.243,11.356,11.958,11.242,10.967,11.107,10.189,10.977,11.651,10.322,10.888,10.646,12.014,11.491,11.760,11.950,10.923,11.300,10.945,11.811,12.249,11.499,11.118,11.831
TAVG,AMJJAS,12.925,12.669,14.147,13.564,12.593,13.110,11.796,14.076,14.135,13.156,13.097,13.748,12.493,13.642,13.687,12.759,13.534,13.248,14.521,13.547,14.327,15.043,13.597,13.658,13.917,14.693,14.240,13.458,13.820,14.868
TAVG,ONDJFM,-2.662,0.050,1.753,0.548,-1.666,-0.445,-2.052,0.753,1.983,2.473,1.538,3.034,1.224,-1.327,1.749,-1.474,1.553,0.655,-0.224,2.057,2.329,1.503,-1.957,0.917,0.623,-0.084,2.949,2.919,2.043,-1.352
TAVG,NDJF,-2.587,-2.456,0.911,-0.829,-4.942,-3.372,-3.986,-0.672,0.264,0.874,-0.007,1.861,0.683,-3.520,0.504,-4.118,0.034,-0.092,-2.496,0.769,1.267,-0.814,-3.850,-0.334,0.054,-1.571,0.787,1.916,0.516,-3.523
RH,year,81.213,79.130,79.322,80.174,80.975,79.694,80.116,80.191,79.959,80.504,81.658,79.275,78.540,79.348,79.645,78.947,77.751,80.077,77.932,79.383,79.473,76.445,79.467,79.996,78.833,78.151,80.471,80.755,80.947,81.706
RH,MAMJJASO,79.638,77.148,78.035,78.436,79.931,78.188,78.726,79.146,78.257,77.762,80.408,76.680,77.369,76.876,78.201,76.410,74.766,77.927,74.867,76.835,77.647,73.192,77.084,77.003,76.249,74.614,77.570,78.105,78.082,79.014
RH,AMJJAS,78.842,75.430,76.214,77.078,78.641,76.983,78.454,77.532,76.077,76.672,78.849,74.367,75.816,75.320,76.418,74.768,72.612,77.674,72.678,75.662,76.511,71.024,76.638,74.604,75.436,71.212,75.148,75.629,75.746,77.147
RH,ONDJFM,79.493,84.336,83.169,81.416,83.928,83.480,81.560,83.398,82.813,83.506,84.358,84.825,83.447,82.055,82.984,81.704,82.637,84.305,82.952,82.255,83.236,83.107,79.816,85.690,83.375,82.950,85.743,86.225,86.040,86.760
RH,NDJF,80.925,84.672,82.730,81.491,83.537,83.918,82.154,83.200,82.924,84.766,84.671,84.572,83.576,82.148,83.717,82.579,83.642,85.856,84.193,82.995,85.034,83.859,81.410,86.245,85.334,83.874,85.936,86.467,86.742,86.969
RHmin,year,66.371,63.676,63.905,65.205,64.999,63.963,63.783,65.090,64.962,65.571,66.305,64.677,63.496,64.057,63.966,62.089,62.437,64.558,62.260,63.989,63.933,60.982,64.038,64.703,62.989,62.564,64.890,66.935,66.569,65.214
RHmin,MAMJJASO,62.561,59.789,60.981,61.313,63.334,61.149,60.979,62.249,61.380,60.881,62.980,60.120,60.188,59.879,60.947,57.861,57.648,60.492,57.324,58.709,60.246,55.421,59.496,59.972,57.837,56.867,59.910,61.876,61.374,60.890
RHmin,AMJJAS,61.338,57.329,57.980,59.151,60.723,58.752,60.794,60.102,57.884,58.712,60.485,56.859,57.613,57.293,57.645,55.528,54.903,60.037,53.856,56.329,58.185,52.329,58.616,56.915,57.015,53.056,56.834,58.202,57.732,58.543
RHmin,ONDJFM,66.755,71.295,70.848,69.064,70.661,70.256,67.055,71.552,69.619,71.297,72.673,72.465,71.417,69.321,71.836,66.536,69.543,71.375,69.552,70.695,71.681,69.910,66.935,73.037,70.492,69.235,72.304,76.205,75.295,73.611
RHmin,NDJF,70.268,72.804,71.498,70.204,69.942,70.859,69.016,72.536,70.826,73.160,73.646,73.722,72.687,69.966,73.398,68.455,71.239,74.783,71.871,72.165,75.478,71.736,69.893,75.158,74.169,72.554,73.921,77.903,77.038,74.974
PREC,year,905.600,588.668,706.411,686.635,701.125,736.570,735.269,729.013,669.639,845.684,731.958,625.540,707.036,687.307,692.573,579.415,678.703,822.632,652.393,670.280,786.379,560.334,683.545,780.099,652.501,512.357,727.811,880.416,782.019,777.121
PREC,MAMJJASO,673.369,423.450,467.381,523.259,539.529,537.056,563.864,531.329,477.567,565.273,493.773,416.008,513.843,524.297,494.619,371.397,478.383,647.037,383.956,457.757,572.297,330.612,490.037,596.528,458.481,363.588,509.277,638.636,585.082,523.881
PREC,AMJJAS,484.816,334.393,294.466,400.042,471.039,440.296,528.887,438.106,340.651,409.821,404.503,296.107,417.860,383.612,396.646,285.505,354.485,528.099,270.701,325.208,443.173,251.829,414.155,476.762,393.322,206.626,391.155,466.339,408.136,422.179
PREC,ONDJFM,109.549,397.189,311.621,377.168,257.770,250.762,277.199,232.999,313.075,442.605,324.305,354.162,313.532,277.484,341.004,184.966,353.976,330.169,342.172,354.119,323.025,380.920,223.156,306.473,291.385,226.671,382.915,371.776,343.121,380.691
