Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.503,13.163,13.244,13.171,12.085,12.050,12.282,12.961,13.889,13.912,12.896,13.029,12.572,13.178,13.872,12.581,13.911,13.333,13.763,13.399,13.254,13.669,14.218,13.729,13.663,14.098,13.908,13.331,13.468,12.589
TMAX,MAMJJASO,15.134,15.771,15.653,15.778,14.784,14.532,14.800,15.126,16.408,16.430,15.671,15.448,14.826,15.381,16.755,15.411,16.455,15.442,16.333,15.796,15.827,15.936,16.952,16.060,16.276,16.843,16.207,15.594,16.338,16.064
TMAX,AMJJAS,16.613,17.315,17.123,17.433,16.061,15.618,16.430,16.434,17.706,17.594,16.954,17.185,16.258,16.646,18.224,16.901,17.751,16.686,17.716,17.113,17.063,17.287,18.551,17.575,17.472,18.558,17.375,17.106,17.601,17.541
TMAX,ONDJFM,7.970,8.216,9.035,8.803,8.572,7.927,8.675,8.987,10.284,10.286,8.918,9.325,9.028,8.402,9.994,8.617,9.302,10.435,9.615,9.902,8.799,10.594,9.708,9.692,9.850,9.177,10.781,10.193,8.986,8.666
TMAX,NDJF,6.911,7.121,7.934,7.950,7.239,6.158,7.681,8.036,9.392,8.817,7.016,8.281,8.348,7.278,9.356,7.111,7.357,9.490,8.568,8.639,7.728,9.122,8.364,8.860,8.915,7.866,9.573,9.286,7.533,6.839
TMIN,year,5.368,5.771,6.065,5.626,5.134,4.969,5.355,6.013,6.169,6.380,5.773,5.918,5.652,6.188,6.125,5.442,6.448,6.451,6.518,6.296,5.979,6.638,6.272,6.682,6.563,6.846,6.623,6.215,6.323,5.075
TMIN,MAMJJASO,7.461,7.650,7.742,7.275,7.312,6.751,7.127,7.597,7.814,7.978,7.889,7.744,7.242,7.658,8.060,7.344,8.088,8.120,8.376,7.931,8.074,8.090,8.147,8.406,8.534,8.736,8.232,7.989,8.402,7.746
TMIN,AMJJAS,8.537,8.711,8.708,8.219,8.333,7.587,8.405,8.529,8.575,8.528,8.695,8.997,8.388,8.573,9.011,8.193,9.036,9.040,9.378,8.830,8.838,9.183,9.564,9.575,9.167,9.852,9.210,9.255,9.399,8.865
TMIN,ONDJFM,1.951,1.821,3.163,2.917,2.420,2.002,2.440,3.279,3.898,4.119,3.067,3.360,2.949,2.623,3.694,3.047,3.120,4.392,3.431,3.700,2.877,4.118,3.471,3.281,3.996,3.352,4.596,3.595,2.892,2.534
TMIN,NDJF,0.964,1.071,2.179,2.244,1.525,0.690,1.683,2.788,3.299,3.029,1.453,2.346,2.637,1.756,3.576,1.848,1.625,3.897,2.615,2.781,2.176,2.712,2.960,2.935,3.242,2.141,3.833,2.868,2.052,1.243
TAVG,year,8.747,9.301,9.485,9.226,8.458,8.361,8.675,9.346,9.853,9.953,9.192,9.315,8.933,9.518,9.822,8.857,10.013,9.738,9.968,9.707,9.442,10.013,10.092,10.029,10.037,10.394,10.194,9.691,9.845,8.692
TAVG,MAMJJASO,11.122,11.580,11.551,11.373,10.914,10.505,10.840,11.224,11.942,12.029,11.648,11.456,10.894,11.378,12.250,11.218,12.118,11.658,12.215,11.724,11.811,11.891,12.431,12.113,12.340,12.717,12.151,11.714,12.334,11.794
TAVG,AMJJAS,12.417,12.868,12.762,12.672,12.036,11.458,12.296,12.345,12.970,12.893,12.695,12.931,12.182,12.478,13.469,12.394,13.237,12.742,13.413,12.807,12.827,13.128,13.933,13.448,13.258,14.136,13.230,13.101,13.476,13.086
TAVG,ONDJFM,4.725,4.836,5.902,5.667,5.317,4.839,5.376,5.994,6.900,7.004,5.834,6.163,5.793,5.327,6.614,5.675,6.038,7.234,6.315,6.644,5.695,7.102,6.438,6.304,6.766,6.162,7.610,6.793,5.877,5.485
TAVG,NDJF,3.720,3.891,4.821,4.868,4.185,3.268,4.462,5.270,6.152,5.703,4.084,5.104,5.262,4.287,6.240,4.302,4.315,6.503,5.348,5.536,4.809,5.614,5.496,5.682,5.862,4.903,6.616,5.970,4.728,3.920
RH,year,82.934,81.924,81.692,80.744,82.629,81.606,82.527,81.835,79.891,79.590,82.108,81.599,81.865,81.477,79.858,80.268,81.555,82.078,81.480,82.316,81.639,82.018,79.246,81.581,81.054,80.676,82.359,82.154,82.221,80.986
RH,MAMJJASO,82.029,79.952,80.856,78.252,81.950,80.756,81.255,80.785,77.814,77.222,80.775,79.920,80.506,79.415,77.441,78.300,79.458,81.078,80.544,81.108,80.116,80.248,76.790,80.138,79.652,78.888,81.133,80.675,80.085,78.498
RH,AMJJAS,81.268,78.916,80.265,76.881,81.475,80.030,80.646,80.308,76.344,76.239,79.512,79.160,80.707,78.838,76.044,77.077,78.996,81.039,80.284,80.836,78.990,79.820,76.513,79.512,78.467,77.707,80.576,80.696,79.473,77.744
