Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,19.627,19.322,19.286,19.345,19.936,19.598,19.320,19.705,19.680,20.351,18.656,19.399,20.035,20.724,19.426,18.904,19.267,19.914,20.358,20.274,20.403,19.865,19.849,19.819,19.054,19.223,20.162,20.191,19.886,20.282
TMAX,MAMJJASO,24.270,23.468,23.543,23.321,23.976,23.985,23.119,24.253,23.660,24.533,22.978,23.535,24.530,25.186,23.341,22.625,22.834,24.150,24.722,24.484,25.301,23.621,24.251,23.791,23.087,23.378,24.236,24.154,23.504,23.779
TMAX,AMJJAS,25.867,25.900,25.824,25.236,26.845,26.535,26.334,26.907,25.788,26.184,24.884,25.428,26.572,27.424,25.721,25.667,25.267,26.780,27.034,27.071,26.769,25.536,26.778,25.641,25.339,25.638,26.586,26.152,25.784,26.271
TMAX,ONDJFM,10.437,13.214,13.181,12.403,13.215,13.497,12.047,13.031,12.904,13.961,13.397,12.300,13.271,14.522,13.620,11.622,13.684,13.064,12.923,13.087,15.242,13.525,12.841,13.461,13.676,12.615,14.042,13.481,13.540,14.424
TMAX,NDJF,7.649,10.926,11.064,10.803,10.812,12.149,10.910,11.702,10.340,11.746,10.905,10.104,10.804,11.761,11.829,10.110,12.855,12.044,10.481,10.592,13.124,10.673,10.865,11.362,11.350,10.647,12.468,11.130,11.844,12.852
TMIN,year,9.323,9.309,9.078,9.525,9.549,9.428,9.478,9.450,9.183,9.621,9.013,9.041,9.246,10.423,9.520,9.646,9.218,9.653,9.871,9.123,9.790,9.760,9.870,9.714,9.757,9.746,10.219,10.298,10.426,10.721
TMIN,MAMJJASO,12.660,12.330,12.116,12.059,12.259,12.705,11.977,12.699,12.388,12.588,12.399,12.439,12.469,13.613,12.213,12.154,11.635,12.723,13.129,12.211,13.241,12.748,12.922,12.873,12.999,13.350,13.387,13.384,13.188,13.349
TMIN,AMJJAS,13.858,13.944,14.022,13.330,14.162,14.339,14.119,14.709,14.040,14.106,13.675,13.952,14.074,15.177,14.129,14.147,13.494,14.911,14.948,14.130,14.563,14.435,14.973,14.349,14.874,14.955,15.110,15.027,15.079,15.195
TMIN,ONDJFM,2.253,4.722,4.372,5.138,5.214,5.480,3.747,5.331,3.759,4.255,5.283,3.458,4.040,6.037,5.336,4.651,5.021,4.698,4.453,4.006,6.070,4.082,4.584,4.996,5.104,4.572,5.200,5.055,5.559,6.162
TMIN,NDJF,0.528,3.043,2.642,4.248,3.549,4.674,2.900,4.365,1.615,2.862,3.553,1.518,2.025,4.603,3.733,3.963,4.342,4.321,2.766,2.544,4.469,2.030,3.721,3.329,3.462,2.896,3.450,3.122,4.615,5.110
