Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.286,13.923,14.414,12.943,12.509,13.613,12.710,13.566,14.171,14.357,13.298,14.671,14.025,15.056,13.834,12.799,13.564,14.028,14.278,15.478,14.047,14.864,14.890,13.704,13.867,14.615,15.434,15.278,14.950,13.718
TMAX,MAMJJASO,18.537,19.086,19.570,17.441,17.880,19.106,17.591,18.326,18.946,18.926,18.297,19.750,19.051,19.890,18.813,17.684,18.103,18.717,19.681,20.346,19.353,19.748,20.146,18.649,19.023,19.799,20.528,19.508,20.217,18.615
TMAX,AMJJAS,20.576,21.480,22.230,19.549,20.203,21.628,20.536,21.055,20.867,20.508,20.543,22.837,21.715,22.690,21.056,20.303,20.607,21.444,22.271,22.763,21.320,22.441,23.488,20.935,21.559,22.433,23.150,21.895,23.567,21.187
TMAX,ONDJFM,4.586,5.397,7.300,5.818,4.948,5.757,4.555,6.726,6.706,8.358,6.706,6.288,5.810,7.548,6.673,5.039,6.517,7.571,5.706,5.952,8.876,7.246,5.843,6.055,6.298,5.716,9.626,6.913,7.192,6.532
TMAX,NDJF,1.439,2.100,4.802,3.409,1.571,2.880,2.295,4.857,3.425,5.313,3.500,3.955,3.794,4.742,4.994,1.889,3.800,6.240,2.480,3.436,6.209,3.512,3.298,4.236,3.729,2.773,6.988,4.671,4.876,4.082
TMIN,year,3.947,4.085,4.354,3.852,3.124,3.387,3.260,4.132,4.597,4.314,3.813,4.455,3.866,5.230,4.442,3.692,3.919,4.581,4.977,5.279,4.666,5.060,4.071,4.396,3.970,4.488,5.287,5.544,5.052,4.675
TMIN,MAMJJASO,7.986,7.791,8.083,7.001,7.292,7.229,6.904,7.299,8.005,7.133,7.668,7.781,7.401,8.398,7.902,7.421,6.842,8.347,8.716,8.410,8.828,8.571,7.734,7.892,7.682,8.099,8.399,8.460,8.553,8.412
TMIN,AMJJAS,9.345,9.524,10.006,8.624,9.127,9.328,9.253,9.388,9.702,8.608,9.286,9.850,9.106,10.369,9.635,9.545,9.097,10.459,10.650,9.912,10.205,10.705,10.159,9.569,10.015,10.260,10.202,10.236,10.497,10.938
TMIN,ONDJFM,-3.487,-2.230,0.304,-2.099,-2.696,-2.005,-3.754,0.231,-1.098,-0.445,-1.047,-1.394,-1.917,0.412,-0.378,-2.586,-1.367,-0.486,-1.256,-1.124,1.277,-0.975,-2.217,-1.387,-1.381,-2.460,1.665,-0.510,0.028,-0.727
TMIN,NDJF,-6.208,-4.788,-1.318,-3.738,-5.689,-3.787,-4.966,-0.693,-2.967,-2.269,-3.242,-2.852,-3.436,-1.554,-1.436,-4.500,-3.095,-0.713,-3.820,-3.017,-0.493,-3.632,-4.065,-2.626,-2.852,-4.511,0.626,-1.914,-1.636,-2.257
TAVG,year,8.424,8.711,9.180,8.169,7.525,8.261,7.795,8.607,9.105,9.088,8.289,9.391,8.739,9.926,8.899,7.944,8.468,9.064,9.320,10.103,9.039,9.670,9.195,8.769,8.569,9.181,10.069,10.109,9.735,8.898
TAVG,MAMJJASO,12.992,13.102,13.580,11.965,12.193,12.881,12.009,12.518,13.124,12.752,12.654,13.581,12.974,13.912,13.040,12.216,12.114,13.297,13.803,14.063,13.743,13.816,13.655,12.920,12.941,13.537,14.114,13.645,14.032,13.129
TAVG,AMJJAS,14.717,15.233,15.921,13.873,14.334,15.292,14.697,14.997,14.986,14.393,14.655,16.227,15.238,16.346,15.133,14.671,14.582,15.754,16.084,16.108,15.496,16.251,16.604,14.926,15.470,16.008,16.420,15.794,16.691,15.725
