Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.059,13.936,14.329,12.555,12.379,13.188,12.206,13.560,14.390,14.467,13.204,14.590,13.706,14.939,13.564,11.849,13.606,13.847,14.175,15.003,13.444,14.423,14.784,13.722,13.733,14.423,14.932,14.669,14.213,12.835
TMAX,MAMJJASO,18.215,19.031,19.390,16.908,17.638,18.325,16.972,18.109,18.927,18.902,18.037,19.458,18.445,19.513,18.528,16.771,18.219,18.424,19.319,19.663,18.373,19.064,20.089,18.600,18.917,19.482,19.703,18.803,19.368,18.028
TMAX,AMJJAS,20.289,21.379,22.065,18.865,20.128,20.703,19.790,20.910,20.620,20.547,20.158,22.619,21.204,22.194,20.776,19.333,20.699,21.038,21.831,22.120,20.227,21.756,23.450,20.964,21.341,22.187,22.330,21.274,22.606,20.590
TMAX,ONDJFM,4.749,5.366,7.155,5.874,4.869,5.239,4.816,6.593,7.422,8.797,6.721,6.570,5.980,7.064,7.095,4.192,6.277,7.353,5.932,6.442,7.707,7.616,5.811,5.932,6.312,5.211,9.629,6.822,6.249,5.768
TMAX,NDJF,1.490,2.287,4.823,3.459,1.693,2.382,2.635,4.920,4.476,5.944,3.550,4.326,4.202,4.507,5.679,1.014,3.329,5.823,3.031,4.111,5.303,4.343,3.117,4.374,3.698,2.254,7.243,4.913,3.778,3.373
TMIN,year,4.380,4.641,4.851,4.272,3.636,4.100,3.804,5.010,5.299,5.098,4.201,5.333,4.460,5.655,4.941,3.610,4.450,5.101,5.310,5.888,5.014,5.564,4.706,4.736,4.579,5.131,5.675,5.722,5.400,4.292
TMIN,MAMJJASO,8.110,8.116,8.331,7.101,7.623,7.735,7.218,7.876,8.358,7.821,7.688,8.338,7.691,8.510,8.307,7.308,7.409,8.444,8.728,8.950,8.732,8.833,8.206,7.928,7.906,8.642,8.442,8.304,8.879,8.050
TMIN,AMJJAS,9.414,9.750,10.119,8.656,9.348,9.483,9.514,9.633,9.825,9.119,9.253,10.393,9.572,10.378,9.920,9.146,9.297,10.277,10.514,10.304,9.964,10.834,10.514,9.572,9.983,10.730,10.261,10.111,10.754,10.232
TMIN,ONDJFM,-2.127,-1.311,0.655,-1.150,-1.629,-1.412,-2.353,0.921,0.752,0.873,-0.166,-0.155,-0.888,0.710,0.421,-2.017,-0.521,0.261,-0.213,0.096,1.354,0.378,-1.088,-0.714,-0.476,-1.589,2.409,0.458,0.310,-0.600
TMIN,NDJF,-4.730,-3.580,-0.870,-2.676,-4.214,-3.429,-3.521,0.094,-0.964,-0.919,-2.304,-1.328,-2.035,-1.026,-0.087,-4.218,-2.699,-0.393,-2.340,-1.541,-0.502,-1.994,-2.920,-1.681,-1.747,-3.515,1.528,-0.573,-1.328,-2.151
