Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.770,15.591,15.948,15.483,15.920,16.067,15.625,15.915,16.322,16.954,14.865,16.333,16.509,17.455,15.791,15.287,15.279,15.956,16.719,17.317,16.739,16.769,16.550,16.798,15.913,16.651,17.837,17.634,17.313,17.120
TMAX,MAMJJASO,20.826,20.101,20.738,20.019,20.788,21.181,20.136,20.830,20.662,21.383,19.583,21.077,21.539,22.387,20.363,19.672,19.206,20.724,21.394,22.057,22.021,20.917,21.566,21.206,20.407,21.419,22.600,22.413,21.757,21.243
TMAX,AMJJAS,22.452,22.572,22.903,22.106,23.819,24.098,23.585,23.553,22.644,22.991,21.805,23.134,23.846,24.828,22.659,23.031,21.678,23.339,23.891,24.716,23.577,22.906,24.514,23.181,22.842,23.688,25.308,24.403,24.419,24.175
TMAX,ONDJFM,6.420,8.603,9.946,7.787,8.092,8.851,7.479,9.065,9.001,10.024,9.382,8.307,9.145,10.299,9.595,6.596,9.637,8.935,8.363,9.033,11.375,10.045,8.574,9.546,10.013,8.815,11.560,9.431,10.063,10.179
TMAX,NDJF,3.202,5.761,7.510,5.787,4.902,6.966,5.777,7.543,6.139,7.065,6.855,5.810,6.504,6.965,7.501,4.500,8.366,7.587,5.317,6.351,9.007,6.757,6.104,7.311,7.574,6.283,9.632,6.352,7.684,8.051
TMIN,year,6.204,6.280,6.033,6.358,5.941,6.108,5.955,6.199,6.211,6.552,5.957,6.110,5.991,7.489,6.208,6.339,5.681,6.811,7.400,6.859,6.984,7.195,6.023,6.398,6.318,6.500,7.279,7.090,7.154,7.322
TMIN,MAMJJASO,9.999,9.927,9.684,9.446,9.602,9.922,9.122,9.953,9.902,9.824,9.803,9.830,9.972,11.180,9.641,9.603,8.582,10.506,11.154,10.380,11.051,10.737,9.761,9.989,9.889,10.357,10.808,10.670,10.450,10.668
TMIN,AMJJAS,11.430,11.842,11.871,11.037,11.809,12.025,11.771,12.224,11.610,11.492,11.550,11.547,11.636,13.113,11.716,11.982,10.822,12.822,13.188,12.565,12.523,12.544,12.314,11.660,12.060,12.185,12.728,12.496,12.412,13.015
TMIN,ONDJFM,-0.993,0.450,1.240,0.542,0.256,1.168,-0.847,1.537,0.142,0.559,1.163,0.184,0.084,1.942,1.398,-0.355,1.277,0.693,1.057,0.763,2.942,0.830,0.066,0.300,1.260,0.291,2.431,0.966,1.551,1.836
TMIN,NDJF,-3.179,-1.557,-0.609,-0.636,-2.196,0.074,-1.997,0.502,-2.057,-1.493,-0.583,-1.679,-2.213,-0.246,-0.347,-1.639,0.271,0.205,-1.174,-1.044,1.292,-1.789,-1.398,-1.448,-0.425,-1.663,0.904,-1.372,0.107,0.307
