Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,6.442,7.466,7.706,7.558,6.149,6.888,6.307,7.623,8.575,8.727,7.992,8.199,7.353,7.569,7.560,7.188,8.285,7.372,8.069,8.582,7.594,8.366,8.606,8.462,8.698,9.116,8.574,8.635,8.155,6.630
TMAX,MAMJJASO,10.723,11.318,11.377,11.293,10.907,11.040,10.306,11.389,11.809,12.174,11.588,11.377,10.867,11.524,11.507,11.480,12.148,10.859,11.927,11.882,11.505,12.877,12.448,12.302,12.166,12.592,12.640,12.078,12.296,11.854
TMAX,AMJJAS,13.313,13.530,13.628,13.683,12.839,13.011,12.402,14.128,13.908,14.161,13.739,14.044,13.085,14.051,13.524,13.635,14.710,13.099,14.284,13.802,13.818,15.916,14.893,14.612,14.245,15.527,14.423,14.540,14.999,14.195
TMAX,ONDJFM,-1.290,-0.117,2.008,0.837,0.521,-0.032,0.201,1.449,2.784,3.021,2.135,3.296,1.955,-0.003,2.200,0.742,1.676,1.805,1.125,2.643,2.039,2.479,0.652,2.105,2.713,2.238,3.456,2.903,1.941,0.109
TMAX,NDJF,-1.870,-2.505,0.696,-0.733,-1.515,-3.156,-1.599,-0.030,1.520,1.523,0.290,2.277,1.269,-1.968,1.152,-1.671,-0.403,0.671,-0.527,1.289,0.511,0.564,-1.305,0.675,1.594,1.008,1.641,1.632,0.212,-1.961
TMIN,year,-0.853,0.504,0.806,0.942,-0.894,-0.125,-0.493,0.720,1.722,1.988,1.151,1.180,0.335,0.400,0.544,-0.117,1.098,0.835,1.193,2.037,0.555,1.162,1.194,1.349,1.549,1.913,1.403,1.354,1.082,-0.862
TMIN,MAMJJASO,3.122,3.869,4.179,3.947,3.575,3.661,3.186,3.810,4.220,4.562,4.168,3.691,3.099,3.709,3.975,3.517,4.068,3.749,4.483,4.625,3.843,4.891,4.430,4.670,4.176,4.471,4.751,3.961,4.394,3.804
TMIN,AMJJAS,5.276,5.233,5.921,5.985,5.073,4.972,4.893,6.037,5.617,5.972,5.641,5.674,4.878,5.690,5.333,5.149,6.025,5.703,6.181,6.009,5.904,7.318,6.418,6.409,6.082,7.003,6.192,5.826,6.517,5.758
TMIN,ONDJFM,-8.641,-6.081,-3.823,-5.196,-5.080,-6.392,-6.071,-3.737,-2.899,-2.298,-3.490,-2.176,-4.046,-6.027,-3.310,-5.510,-4.373,-3.713,-4.359,-3.304,-3.485,-3.459,-5.368,-4.052,-3.401,-3.910,-2.311,-2.950,-3.942,-5.970
TMIN,NDJF,-9.094,-8.835,-5.398,-6.613,-7.134,-9.800,-7.791,-5.029,-4.201,-3.570,-5.313,-3.289,-4.368,-7.933,-4.309,-7.711,-6.479,-4.401,-5.998,-4.557,-4.486,-5.218,-7.370,-5.168,-4.203,-4.357,-3.911,-3.792,-5.623,-7.593
TAVG,year,2.653,3.871,4.106,4.095,2.464,3.198,2.733,4.036,4.995,5.189,4.370,4.546,3.669,3.826,3.846,3.368,4.558,3.914,4.452,5.103,3.931,4.639,4.715,4.748,4.965,5.326,4.805,4.840,4.413,2.694
