Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,17.456,17.099,17.823,17.077,17.341,17.574,17.072,17.483,18.206,18.772,16.507,18.191,18.009,19.159,17.514,16.849,16.892,17.640,18.460,19.077,18.527,18.484,18.085,18.491,17.524,18.297,19.662,19.327,19.030,18.700
TMAX,MAMJJASO,23.011,22.209,23.110,22.180,22.837,23.269,22.046,22.874,22.978,23.734,21.687,23.398,23.548,24.583,22.655,21.841,21.355,23.022,23.561,24.286,24.320,23.150,23.661,23.365,22.451,23.585,24.840,24.622,23.983,23.281
TMAX,AMJJAS,24.742,24.884,25.425,24.446,26.148,26.399,25.742,25.765,25.053,25.427,24.179,25.552,26.060,27.203,25.113,25.462,24.005,25.873,26.220,27.067,25.978,25.299,26.867,25.446,25.025,25.993,27.716,26.665,26.811,26.442
TMAX,ONDJFM,6.975,9.535,11.176,8.490,8.623,9.706,8.067,10.121,10.110,11.310,10.349,9.434,10.242,11.312,10.602,7.061,10.597,10.090,9.209,10.111,12.577,11.284,9.233,10.404,11.122,9.855,12.944,10.307,11.205,11.070
TMAX,NDJF,3.451,6.299,8.404,6.127,4.968,7.409,6.049,8.336,6.947,7.882,7.600,6.589,7.323,7.604,8.148,4.553,8.872,8.500,5.700,7.086,9.853,7.678,6.327,7.812,8.400,6.883,10.828,6.711,8.446,8.604
TMIN,year,7.113,7.051,6.978,7.260,6.669,6.893,6.690,7.072,7.169,7.479,6.866,7.055,6.702,8.412,7.172,7.193,6.577,7.613,8.392,7.830,7.889,8.090,6.841,7.298,7.266,7.455,8.300,8.086,8.113,8.256
TMIN,MAMJJASO,11.210,11.146,10.997,10.713,10.843,11.135,10.212,11.169,11.218,11.129,11.066,11.118,11.126,12.500,11.042,10.921,9.894,11.790,12.490,11.626,12.309,12.093,10.971,11.260,11.144,11.732,12.158,12.043,11.777,12.000
TMIN,AMJJAS,12.758,13.231,13.356,12.464,13.291,13.350,13.051,13.567,13.055,12.928,12.990,12.941,12.979,14.653,13.266,13.479,12.297,14.290,14.635,13.982,13.902,14.055,13.751,13.050,13.493,13.735,14.207,13.974,13.814,14.510
TMIN,ONDJFM,-0.871,0.832,1.667,0.748,0.230,1.478,-0.801,2.039,0.564,0.975,1.554,0.637,0.400,2.197,1.720,-0.321,1.643,1.106,1.336,1.198,3.484,1.240,0.150,0.604,1.659,0.755,3.041,1.321,2.099,2.263
TMIN,NDJF,-3.177,-1.454,-0.310,-0.690,-2.566,0.120,-2.226,0.795,-1.823,-1.366,-0.340,-1.495,-2.089,-0.240,-0.265,-1.926,0.303,0.390,-1.182,-0.843,1.701,-1.607,-1.627,-1.388,-0.172,-1.495,1.401,-1.370,0.417,0.420
TAVG,year,12.158,11.853,12.146,11.997,11.837,12.065,11.781,12.048,12.469,12.885,11.459,12.359,12.156,13.527,12.005,11.736,11.494,12.431,13.114,13.267,12.985,12.907,12.314,12.615,12.057,12.470,13.678,13.360,13.251,13.112
TAVG,MAMJJASO,16.997,16.480,16.785,16.316,16.706,17.079,16.084,16.822,16.945,17.268,16.202,17.034,17.191,18.325,16.544,16.154,15.445,17.251,17.751,17.839,18.156,17.277,17.182,17.016,16.462,17.286,18.272,17.994,17.584,17.300
TAVG,AMJJAS,18.727,18.914,19.161,18.409,19.685,19.833,19.447,19.551,18.967,19.103,18.532,19.092,19.465,20.793,18.958,19.326,18.057,20.011,20.189,20.521,19.868,19.387,20.206,18.992,18.973,19.564,20.813,20.086,20.068,20.162
TAVG,ONDJFM,2.846,4.933,6.135,4.321,4.127,5.324,3.328,5.740,5.038,5.769,5.519,4.674,4.935,6.404,5.739,2.990,5.602,5.295,4.932,5.316,7.623,5.817,4.380,5.344,5.965,4.829,7.501,5.361,6.249,6.280
TAVG,NDJF,-0.015,2.235,3.774,2.485,0.963,3.553,1.640,4.232,2.313,2.878,3.233,2.258,2.254,3.371,3.556,0.970,4.082,4.168,1.966,2.808,5.371,2.608,2.080,3.072,3.730,2.278,5.619,2.265,4.116,4.163
RH,year,69.137,71.231,68.779,71.564,67.667,68.412,69.888,69.591,67.824,67.182,72.641,65.170,65.128,67.148,71.083,70.943,69.997,69.201,71.103,64.625,67.845,70.531,68.243,70.040,72.336,70.354,67.683,69.649,71.956,74.720
RH,MAMJJASO,64.955,68.002,65.153,66.211,62.164,63.343,64.460,64.948,65.491,61.838,69.520,61.443,60.768,61.912,66.552,65.561,65.643,64.753,67.798,58.620,63.380,67.467,62.470,66.861,69.020,66.829,62.871,65.538,67.645,72.015
RH,AMJJAS,62.974,65.606,64.945,63.652,58.473,60.012,61.039,62.962,64.160,61.259,67.821,60.159,57.709,59.335,65.255,61.582,64.488,62.859,66.459,55.606,62.193,66.485,59.640,64.959,68.223,64.770,59.395,63.959,65.006,70.446
RH,ONDJFM,76.301,75.536,73.252,79.314,77.747,77.511,75.900,78.109,72.272,70.907,77.770,73.721,70.063,75.114,75.854,79.557,76.132,74.926,76.679,74.439,75.187,71.362,76.857,75.900,76.455,76.783,73.971,76.916,77.233,79.280
RH,NDJF,78.881,76.981,75.729,81.352,79.581,80.951,78.166,80.219,74.056,75.144,79.741,76.395,70.568,79.658,77.048,82.514,78.479,78.745,78.720,77.542,78.108,73.720,80.508,77.760,78.120,78.915,75.540,79.269,79.516,81.661
RHmin,year,51.143,52.905,49.685,53.992,49.701,50.384,51.841,51.109,48.760,48.256,54.293,46.660,46.873,49.090,51.922,53.237,51.483,51.680,52.536,46.794,49.652,51.485,49.382,49.981,52.824,50.401,48.516,49.736,51.890,54.258
