Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,14.820,14.844,15.533,13.620,14.235,14.334,14.185,15.124,15.640,15.619,14.391,15.840,15.197,16.260,14.916,13.662,15.213,15.587,15.373,16.919,15.858,16.183,16.586,14.961,14.776,15.831,16.694,16.082,16.113,14.677
TMAX,MAMJJASO,19.709,19.423,20.511,18.056,19.387,19.430,18.847,19.575,19.751,19.922,19.205,20.283,19.970,20.672,19.392,18.335,19.656,20.064,20.369,21.453,20.869,20.485,21.928,19.517,19.766,20.597,21.188,20.295,21.223,19.563
TMAX,AMJJAS,21.523,22.051,22.757,20.163,22.030,22.076,21.932,21.981,21.107,21.379,21.443,23.087,22.478,22.817,21.463,20.992,21.912,22.452,22.540,23.795,22.561,22.343,24.997,21.817,22.065,23.043,23.873,22.498,23.950,22.331
TMAX,ONDJFM,6.133,7.481,8.711,6.817,6.394,6.460,6.585,8.447,9.305,10.677,7.913,7.970,8.238,8.831,8.555,6.641,8.424,9.310,7.713,8.416,10.213,9.646,8.575,7.761,8.153,6.788,11.424,8.682,8.312,7.722
TMAX,NDJF,2.971,4.928,6.427,4.251,3.627,3.865,4.572,6.683,6.439,7.803,4.542,6.053,6.435,5.617,7.319,3.734,5.777,7.943,4.655,5.493,7.878,5.921,5.602,6.251,5.399,4.067,9.392,6.940,5.307,5.219
TMIN,year,4.827,5.571,5.183,4.818,4.470,4.748,4.962,5.541,5.743,5.661,5.132,6.286,5.815,7.050,5.860,5.213,5.740,5.885,6.227,6.848,6.175,7.037,5.969,5.645,5.306,5.938,6.455,6.698,6.403,5.770
TMIN,MAMJJASO,9.262,9.297,9.228,8.030,8.618,8.776,8.658,9.071,9.197,8.971,9.179,9.708,9.559,10.320,9.299,8.744,8.823,9.647,10.540,10.284,10.139,10.278,9.981,9.243,9.323,9.586,9.772,9.904,10.149,9.495
TMIN,AMJJAS,10.625,11.226,11.339,9.592,10.562,10.959,11.071,10.968,11.016,10.446,10.918,11.839,11.466,12.269,11.124,10.842,10.798,11.886,12.417,11.908,11.233,12.099,12.477,10.903,11.427,11.555,11.687,11.887,12.400,11.730
TMIN,ONDJFM,-3.578,-0.991,0.507,-1.292,-1.105,-1.083,-2.100,1.134,0.191,0.565,-0.023,-0.201,0.143,1.513,0.872,-0.520,0.765,0.825,-0.438,-0.322,3.165,0.593,0.312,-0.198,-0.168,-0.738,2.715,0.451,0.570,0.280
TMIN,NDJF,-6.632,-3.518,-1.379,-3.032,-3.808,-2.832,-3.304,-0.186,-2.277,-1.069,-2.736,-1.707,-1.231,-0.906,0.086,-2.307,-0.942,0.149,-3.098,-2.728,1.263,-2.261,-1.612,-1.280,-2.289,-2.883,1.281,-0.952,-1.240,-1.292
TAVG,year,9.511,9.858,10.015,8.940,9.002,9.181,9.254,9.977,10.208,10.268,9.387,10.691,10.123,11.243,9.956,9.089,10.098,10.358,10.414,11.542,10.685,11.205,10.824,9.917,9.627,10.543,11.191,10.986,10.900,9.921
TAVG,MAMJJASO,14.184,14.018,14.522,12.756,13.651,13.749,13.447,13.973,14.029,14.109,13.837,14.641,14.368,15.063,13.862,13.179,13.831,14.521,15.039,15.536,15.160,14.935,15.485,13.982,14.138,14.737,15.102,14.676,15.282,14.204
