Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.326,13.003,13.287,11.945,12.274,12.456,12.254,13.115,13.967,13.773,12.804,13.370,12.947,14.047,12.976,12.160,13.750,13.285,13.064,13.906,13.163,13.750,14.492,13.107,13.007,13.854,13.920,13.327,13.610,12.217
TMAX,MAMJJASO,16.850,16.905,17.566,15.604,17.094,16.932,16.420,17.067,17.737,17.895,17.236,17.321,16.888,17.966,17.067,16.249,17.785,17.413,17.686,17.970,17.587,17.478,19.463,17.333,17.966,18.221,18.031,17.046,18.316,16.882
TMAX,AMJJAS,18.814,19.433,19.738,17.572,19.376,18.844,18.841,19.458,19.162,19.479,19.301,20.016,19.411,19.714,18.777,18.449,19.644,19.689,19.797,20.293,18.855,19.252,22.341,19.394,19.828,20.369,20.397,19.275,21.064,19.225
TMAX,ONDJFM,4.075,6.098,6.729,5.815,5.729,5.512,5.692,7.088,8.132,9.140,6.562,6.324,6.820,6.967,7.507,6.661,7.258,7.849,5.933,6.545,7.771,7.991,7.162,6.530,6.389,5.733,9.442,7.034,5.668,6.084
TMAX,NDJF,1.207,4.395,4.779,3.851,3.647,2.553,3.665,5.653,5.515,6.968,3.350,4.244,5.751,4.638,6.202,3.805,4.819,6.158,3.453,4.067,5.837,4.682,4.272,5.343,3.536,2.808,7.574,5.506,3.204,3.858
TMIN,year,3.348,4.178,4.036,2.971,2.834,3.397,3.600,4.333,4.408,4.344,3.681,4.557,4.175,5.401,4.112,3.526,4.434,4.096,4.401,4.877,4.398,4.948,4.596,4.255,3.871,4.724,4.694,4.476,4.536,3.660
TMIN,MAMJJASO,7.158,7.140,7.421,5.583,6.557,6.930,6.763,7.399,7.314,7.496,7.174,7.757,7.282,8.296,7.323,6.563,7.377,7.493,8.142,7.954,7.958,7.669,8.423,7.541,7.858,8.234,7.750,7.524,8.156,7.388
TMIN,AMJJAS,8.669,9.065,9.224,7.250,8.314,8.566,8.659,9.076,8.737,8.808,8.645,9.722,9.300,9.846,8.891,8.401,8.920,9.278,10.018,9.637,8.966,9.279,10.862,9.120,9.632,10.133,9.695,9.374,10.340,9.381
TMIN,ONDJFM,-3.863,-1.516,-0.721,-2.003,-1.918,-2.244,-2.005,0.044,0.192,0.085,-0.902,-1.374,-0.614,-0.100,-0.137,-0.912,-0.393,-0.265,-1.508,-0.996,0.574,-0.238,-0.599,-1.302,-1.211,-2.002,1.071,-0.817,-1.537,-1.382
TMIN,NDJF,-6.471,-2.875,-2.229,-3.251,-3.617,-4.313,-3.391,-1.222,-1.699,-1.405,-3.506,-3.069,-1.479,-1.962,-0.764,-2.768,-2.110,-1.448,-3.587,-2.857,-1.141,-2.630,-2.315,-2.141,-3.404,-4.094,-0.193,-2.085,-3.410,-2.906
TAVG,year,7.552,8.262,8.338,7.196,7.269,7.611,7.598,8.414,8.778,8.666,7.932,8.677,8.249,9.410,8.256,7.581,8.785,8.417,8.444,9.120,8.464,9.040,9.214,8.389,8.137,8.963,9.035,8.641,8.827,7.713
TAVG,MAMJJASO,11.717,11.675,12.153,10.315,11.479,11.586,11.227,11.902,12.146,12.294,11.882,12.251,11.757,12.780,11.856,11.129,12.247,12.195,12.581,12.677,12.414,12.257,13.601,12.138,12.583,12.905,12.603,12.028,12.971,11.852
TAVG,AMJJAS,13.472,13.940,14.189,12.170,13.529,13.408,13.392,13.936,13.644,13.782,13.670,14.587,14.042,14.468,13.531,13.188,13.990,14.237,14.606,14.719,13.605,13.991,16.309,13.997,14.464,14.939,14.806,14.084,15.451,14.060
TAVG,ONDJFM,-0.176,1.970,2.689,1.587,1.652,1.355,1.499,3.244,3.768,4.072,2.508,2.150,2.810,3.150,3.417,2.540,3.145,3.442,1.968,2.486,3.891,3.481,2.966,2.267,2.251,1.548,4.910,2.794,1.825,2.116
TAVG,NDJF,-2.881,0.463,1.034,0.044,-0.190,-1.052,-0.149,1.905,1.555,2.269,-0.328,0.289,1.849,1.097,2.526,0.281,1.117,2.022,-0.256,0.389,2.118,0.720,0.755,1.281,-0.235,-0.882,3.377,1.404,-0.299,0.313
RH,year,78.216,77.461,75.653,75.726,74.966,78.021,79.102,78.757,74.775,75.835,77.000,77.703,77.297,78.481,78.626,78.412,76.751,75.352,78.769,77.354,78.040,77.858,73.465,76.983,76.805,76.865,77.315,77.657,76.472,77.193
RH,MAMJJASO,77.167,75.580,74.210,73.731,72.656,76.864,77.330,77.913,74.374,74.705,75.748,76.626,76.522,76.969,77.249,76.767,75.110,74.648,77.875,76.009,77.483,76.117,70.985,75.615,75.390,75.962,75.966,76.962,74.281,75.268
RH,AMJJAS,76.116,74.342,73.339,73.249,71.603,76.502,76.567,76.688,74.771,74.387,74.143,75.084,76.104,77.156,77.207,76.438,74.784,74.015,77.692,74.874,76.417,76.580,69.974,74.417,74.923,74.955,75.263,76.208,73.475,75.160
RH,ONDJFM,79.149,80.779,79.477,78.124,78.647,78.537,80.494,81.082,78.171,73.757,80.605,78.974,78.941,80.149,80.138,79.800,79.478,77.284,79.331,79.536,80.651,76.983,78.849,78.614,79.358,80.155,78.290,77.701,81.034,78.438
RH,NDJF,79.356,81.512,79.818,79.484,79.749,79.761,81.775,80.874,78.923,74.257,80.921,78.723,79.161,80.980,81.664,81.310,80.487,78.357,79.703,80.326,79.387,78.285,81.936,78.961,79.567,80.493,78.724,77.661,81.801,80.539
RHmin,year,58.761,58.466,56.417,57.097,55.678,58.397,59.971,59.571,55.040,56.205,57.671,58.889,58.553,59.698,59.370,59.760,57.278,56.547,59.840,58.368,59.065,59.116,53.999,58.316,57.590,57.529,57.940,58.779,57.692,59.129
RHmin,MAMJJASO,57.283,55.719,54.265,54.142,52.424,56.297,57.114,57.686,53.845,54.088,55.585,57.249,56.929,56.995,57.025,56.942,54.408,55.262,57.879,56.046,57.464,56.366,50.800,56.086,55.345,55.881,55.490,57.451,54.580,56.293
RHmin,AMJJAS,56.030,54.210,53.476,53.762,51.166,56.049,56.022,55.769,54.527,53.722,53.731,55.146,55.993,57.219,57.161,56.494,54.032,54.248,57.714,54.522,56.608,56.794,49.891,54.694,55.324,55.119,54.765,56.616,53.369,56.072
RHmin,ONDJFM,60.244,62.199,61.714,59.748,60.780,60.390,61.706,63.772,59.820,54.123,62.524,60.679,61.542,63.111,62.048,61.729,61.734,58.969,61.836,61.737,63.220,58.309,61.076,60.254,61.264,61.539,59.193,59.524,63.579,61.156
RHmin,NDJF,60.569,63.320,62.855,62.125,62.229,63.038,63.945,63.826,61.513,55.419,63.824,61.047,61.864,64.500,64.618,64.904,63.809,60.584,62.763,63.539,62.671,60.853,65.520,61.069,62.398,63.329,60.520,59.919,65.186,64.096
PREC,year,1619.709,1353.611,1275.643,1263.033,1155.217,1436.602,1447.807,1495.321,1058.362,1358.738,1142.511,1352.620,1361.562,1380.230,1532.882,1233.379,1229.119,1226.284,1723.151,1370.589,1575.311,1610.411,982.150,1216.894,1105.646,1332.831,1385.491,1347.596,1194.602,1233.994
PREC,MAMJJASO,1100.288,954.910,884.120,847.341,802.057,973.722,1105.442,1069.350,818.842,859.353,789.812,935.997,1054.440,972.393,977.336,868.935,872.625,957.045,1118.216,972.072,1218.338,1049.331,701.952,868.017,828.249,1064.755,986.023,1032.437,767.936,889.256
PREC,AMJJAS,739.214,707.946,754.837,707.221,715.657,785.328,923.536,678.961,658.618,684.238,631.504,648.547,856.394,818.981,801.034,700.906,743.072,729.138,951.359,746.156,893.671,833.553,500.175,655.442,707.591,828.522,884.030,784.943,579.605,748.098
PREC,ONDJFM,352.499,801.695,643.060,576.147,492.107,526.397,569.387,731.593,513.602,534.834,553.567,562.678,592.337,662.756,779.728,354.348,585.688,498.248,718.119,638.445,791.863,475.320,718.389,600.235,460.150,473.921,507.690,463.675,590.394,532.156
PREC,NDJF,199.937,488.817,429.254,459.270,332.717,431.237,377.868,400.952,284.059,410.486,331.535,364.634,394.428,427.391,547.863,289.482,411.587,353.056,478.100,457.459,410.749,322.667,541.812,371.267,263.593,227.724,365.680,326.474,333.248,392.926
