Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,22.707,21.690,21.797,21.149,22.111,21.361,22.325,21.594,22.875,22.527,22.186,22.048,20.794,22.077,23.378,21.801,22.965,22.696,22.107,22.219,22.230,22.224,22.733,22.666,23.139,23.118,22.530,22.170,23.371,22.832
TMAX,MAMJJASO,25.432,25.087,24.864,24.366,25.673,24.754,25.782,24.692,26.345,26.268,25.967,25.367,23.674,25.278,26.982,25.350,26.509,25.869,25.453,25.561,25.791,25.352,26.665,26.237,27.334,27.154,25.863,25.305,27.382,27.009
TMAX,AMJJAS,27.079,26.970,25.894,26.210,27.253,26.383,28.185,25.938,27.714,28.290,28.538,27.449,25.590,26.547,28.301,27.037,27.151,27.098,27.404,26.994,27.724,26.865,28.893,28.539,29.395,29.430,27.496,27.029,28.544,29.594
TMAX,ONDJFM,16.071,18.241,16.287,16.802,16.249,16.790,17.074,16.425,17.713,17.994,15.644,16.625,16.525,16.189,17.943,17.344,18.513,18.341,17.423,17.265,16.792,17.226,16.995,16.532,16.807,16.351,17.268,18.121,17.216,17.060
TMAX,NDJF,15.276,16.985,14.317,15.357,14.617,14.479,15.091,15.146,15.837,15.719,14.026,14.983,15.547,14.521,16.250,15.137,15.570,15.998,15.812,15.450,15.155,15.264,14.990,15.317,14.883,14.279,15.573,16.610,14.634,14.811
TMIN,year,10.838,10.524,10.702,10.067,10.346,9.946,11.342,10.609,11.719,11.202,10.574,10.367,10.046,10.721,11.805,10.979,12.026,11.027,10.501,10.629,10.901,11.024,11.336,10.678,10.460,11.539,10.260,10.328,11.010,11.137
TMIN,MAMJJASO,13.146,12.540,12.774,12.008,12.434,12.164,13.618,12.567,13.708,13.665,13.117,12.613,12.180,12.816,13.716,13.063,14.098,13.345,13.306,12.765,13.447,12.910,13.874,13.129,13.632,14.437,12.668,12.533,13.291,13.586
TMIN,AMJJAS,14.122,13.962,13.765,13.382,13.727,13.137,15.041,13.668,14.691,14.825,14.499,14.007,13.446,13.395,14.766,14.305,14.897,14.601,14.450,14.073,13.996,13.603,15.112,14.476,14.813,15.432,14.018,13.887,14.079,15.079
TMIN,ONDJFM,5.068,8.038,6.616,7.264,7.102,6.926,7.029,7.765,7.386,9.236,6.870,6.198,6.991,7.066,8.189,8.881,8.088,9.338,6.083,6.676,8.411,7.179,8.198,7.485,5.735,6.741,8.063,6.993,6.230,7.998
TMIN,NDJF,3.428,7.469,5.300,6.667,6.573,5.950,5.411,7.286,6.002,8.302,5.196,5.002,6.204,5.891,7.063,7.939,6.958,8.253,4.601,5.018,7.449,5.271,6.661,6.751,3.700,4.676,6.825,6.015,4.716,6.681
TAVG,year,16.677,16.035,16.175,15.565,16.161,15.616,16.772,16.028,17.253,16.834,16.332,16.134,15.334,16.304,17.535,16.337,17.445,16.803,16.248,16.336,16.493,16.558,16.956,16.626,16.733,17.275,16.312,16.153,17.100,16.911
TAVG,MAMJJASO,19.149,18.718,18.724,18.127,18.967,18.406,19.644,18.515,19.968,19.925,19.477,18.898,17.819,18.953,20.285,19.135,20.257,19.521,19.340,19.063,19.557,19.045,20.185,19.596,20.377,20.718,19.140,18.815,20.265,20.229
TAVG,AMJJAS,20.457,20.353,19.685,19.730,20.371,19.685,21.536,19.683,21.138,21.510,21.438,20.605,19.391,19.863,21.463,20.592,20.961,20.753,20.895,20.421,20.811,20.143,21.910,21.385,21.996,22.354,20.604,20.346,21.233,22.253
TAVG,ONDJFM,10.509,13.105,11.419,12.048,11.638,11.847,12.035,12.060,12.523,13.600,11.234,11.393,11.739,11.558,12.981,13.102,13.243,13.837,11.688,11.903,12.521,12.154,12.532,11.974,11.295,11.519,12.636,12.509,11.638,12.427
TAVG,NDJF,9.315,12.217,9.764,11.032,10.572,10.188,10.178,11.208,10.934,11.993,9.597,9.959,10.866,10.119,11.579,11.511,11.217,12.103,10.161,10.152,11.231,10.228,10.774,10.996,9.346,9.487,11.163,11.300,9.580,10.605
RH,year,70.143,71.712,71.980,69.262,67.448,68.754,68.963,68.885,68.223,67.652,68.214,67.168,71.262,70.384,67.272,70.123,71.107,70.211,70.493,71.499,71.326,71.966,70.283,69.392,65.751,70.186,69.115,70.625,67.257,69.120
RH,MAMJJASO,67.228,65.204,67.644,63.680,61.110,62.168,63.104,63.241,62.264,60.675,61.916,61.226,65.741,64.122,60.346,64.224,64.535,65.310,66.293,65.938,66.822,65.980,63.765,62.965,60.025,64.020,63.148,65.189,59.834,62.581
RH,AMJJAS,64.542,63.057,66.726,61.380,59.845,58.305,58.921,61.396,60.030,58.038,57.432,58.589,62.903,60.187,57.811,61.288,63.633,63.932,63.257,64.472,61.844,62.520,59.431,58.913,56.590,58.855,61.408,62.943,57.518,58.964
RH,ONDJFM,73.568,79.320,77.290,77.406,78.488,76.124,78.002,78.280,75.876,76.991,79.413,75.587,76.834,81.738,78.670,78.687,77.176,78.918,76.065,78.013,82.276,78.782,81.782,81.646,75.460,79.467,80.785,76.347,76.591,79.867
RH,NDJF,72.659,82.513,80.902,80.820,82.807,81.210,80.145,80.976,79.034,82.813,81.599,78.681,79.775,84.613,81.983,82.464,83.077,83.171,77.965,80.771,84.311,79.970,84.110,84.756,77.228,81.191,84.598,79.770,81.472,83.131
RHmin,year,50.431,52.561,52.802,51.200,49.017,50.350,51.271,50.952,50.591,49.841,49.875,48.772,52.920,51.464,49.418,52.417,52.954,51.131,51.251,52.159,52.529,53.198,52.025,50.197,46.813,51.667,49.215,50.945,48.407,50.685
