Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,20.693,20.092,20.520,19.122,20.453,19.821,20.425,20.127,21.104,20.782,19.934,19.981,19.293,21.050,21.406,19.835,21.068,20.735,20.475,20.773,20.776,20.585,21.135,20.622,20.940,21.515,20.574,20.362,21.567,20.164
TMAX,MAMJJASO,24.281,24.153,24.430,22.913,24.799,24.019,24.656,23.947,25.022,24.980,24.209,23.736,22.870,25.097,25.358,23.822,25.185,24.559,24.828,24.750,25.244,24.182,25.756,24.645,25.780,26.208,24.332,24.165,26.083,24.704
TMAX,AMJJAS,26.055,26.673,26.040,25.252,26.969,26.161,27.309,25.633,26.713,27.361,27.049,26.337,25.363,27.022,27.118,25.943,26.381,26.336,27.279,26.864,27.177,26.094,28.472,27.023,28.205,28.502,26.547,26.338,27.939,27.374
TMAX,ONDJFM,13.165,15.157,13.557,13.796,13.295,13.844,13.978,13.845,15.088,15.636,12.777,13.322,13.755,13.720,15.147,14.633,15.384,15.472,14.163,14.257,14.354,14.616,14.367,13.814,13.864,13.685,14.993,15.153,13.743,14.159
TMAX,NDJF,11.474,13.606,11.465,12.054,11.552,11.119,11.764,12.156,12.758,13.552,10.703,11.718,12.657,11.888,13.510,12.337,12.650,12.883,12.270,12.113,12.281,12.183,11.974,12.699,11.388,11.052,13.092,13.592,11.196,11.792
TMIN,year,8.481,8.713,8.520,7.592,8.208,7.971,8.815,8.337,9.365,8.945,8.154,8.054,7.655,8.759,9.281,8.616,9.662,8.798,8.744,8.664,9.052,9.250,9.642,8.819,8.552,9.794,8.510,8.662,9.344,8.899
TMIN,MAMJJASO,11.429,11.302,11.283,10.011,11.045,10.905,11.695,10.978,11.886,12.037,11.202,10.953,10.412,11.536,11.735,11.024,12.271,11.666,12.237,11.482,12.395,11.654,12.865,11.806,12.315,13.240,11.444,11.440,12.362,11.902
TMIN,AMJJAS,12.684,13.151,12.800,11.792,12.805,12.349,13.432,12.538,13.342,13.670,12.890,12.752,12.113,12.797,13.184,12.641,13.550,13.378,13.862,13.214,13.308,12.927,14.655,13.412,14.004,14.661,13.227,13.158,13.912,13.878
TMIN,ONDJFM,1.866,4.921,3.364,4.043,3.550,3.782,3.701,4.496,3.912,5.926,3.599,2.726,3.587,3.829,4.718,5.550,4.956,5.811,3.207,3.624,5.392,4.280,5.171,4.543,3.110,3.963,5.300,3.953,3.615,4.872
TMIN,NDJF,-0.019,4.117,1.862,3.293,2.838,2.430,1.931,3.718,2.122,5.145,1.566,1.399,2.531,2.523,3.588,4.427,3.983,4.419,1.692,1.742,3.987,2.003,3.723,3.552,0.962,1.748,3.988,2.738,2.031,3.485
TAVG,year,14.533,14.337,14.474,13.319,14.322,13.870,14.588,14.197,15.212,14.841,14.025,13.990,13.437,14.876,15.308,14.185,15.320,14.704,14.537,14.647,14.832,14.833,15.323,14.646,14.660,15.567,14.474,14.361,15.318,14.395
TAVG,MAMJJASO,17.771,17.635,17.784,16.393,17.888,17.409,18.114,17.398,18.416,18.471,17.666,17.288,16.588,18.277,18.496,17.372,18.682,18.038,18.447,18.047,18.728,17.824,19.239,18.140,18.953,19.632,17.822,17.642,19.077,18.155
TAVG,AMJJAS,19.271,19.805,19.336,18.442,19.838,19.180,20.297,19.008,19.974,20.470,19.920,19.477,18.672,19.860,20.085,19.232,19.898,19.771,20.474,19.965,20.137,19.404,21.492,20.127,21.004,21.483,19.817,19.588,20.780,20.471
TAVG,ONDJFM,7.525,10.013,8.431,8.930,8.439,8.847,8.857,9.172,9.515,10.788,8.188,8.043,8.676,8.765,9.913,10.095,10.149,10.595,8.652,8.870,9.810,9.394,9.716,9.107,8.434,8.746,10.083,9.438,8.541,9.394
TAVG,NDJF,5.753,8.858,6.639,7.708,7.227,6.817,6.866,7.968,7.462,9.360,6.142,6.596,7.611,7.200,8.530,8.385,8.286,8.591,6.953,6.847,8.073,7.036,7.797,8.065,6.130,6.318,8.464,8.053,6.490,7.525
RH,year,66.829,69.179,67.855,69.548,67.568,68.622,69.452,70.577,68.129,68.594,68.124,67.515,69.518,67.328,65.801,68.891,68.487,67.406,67.332,67.060,67.153,68.207,67.518,67.895,63.976,67.009,67.545,67.906,64.038,67.042
RH,MAMJJASO,63.443,63.246,62.512,64.581,61.867,63.174,63.272,66.128,62.774,62.923,62.721,62.532,64.591,61.371,59.460,62.929,62.126,62.650,62.707,61.652,61.687,62.794,61.182,62.425,58.224,60.871,62.971,62.657,57.222,60.994
RH,AMJJAS,61.277,60.650,60.919,62.088,60.333,59.232,59.433,65.111,60.797,60.414,57.987,59.280,61.591,57.260,57.108,60.173,61.483,61.045,59.319,59.390,57.247,59.258,56.922,59.227,54.603,56.944,60.767,60.095,54.580,58.272
RH,ONDJFM,71.255,74.546,76.259,76.076,77.197,75.507,78.090,78.725,74.735,76.121,79.135,74.880,76.050,78.081,76.519,77.402,74.725,76.274,73.229,75.089,77.898,75.386,77.720,78.882,73.411,76.367,76.579,73.537,75.432,75.179
RH,NDJF,72.245,77.465,79.058,79.497,80.790,79.619,79.938,82.004,77.214,80.678,80.430,76.704,77.813,80.451,78.931,81.028,80.740,80.609,74.945,77.458,80.083,76.892,80.403,80.523,76.121,78.653,79.812,75.733,79.051,78.728
RHmin,year,47.533,50.406,48.669,50.642,48.320,49.590,50.591,50.916,49.504,49.518,49.396,48.604,50.252,48.209,47.333,50.751,50.176,48.380,48.565,48.118,48.542,49.977,49.428,48.913,45.441,48.529,48.143,48.815,45.774,49.034
RHmin,MAMJJASO,44.651,44.353,43.639,45.497,42.639,44.434,44.665,46.473,43.981,44.430,44.382,44.412,46.116,42.841,41.056,44.406,43.766,44.185,44.689,43.268,43.685,44.798,43.509,44.097,40.637,42.996,44.259,44.119,39.459,42.985
