Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.879,16.911,17.787,16.226,15.805,16.764,16.114,16.891,17.304,17.844,16.180,17.917,17.027,18.273,17.012,15.820,16.722,17.103,17.093,19.027,17.340,18.264,17.911,16.843,16.667,17.435,18.833,18.654,18.365,16.702
TMAX,MAMJJASO,22.672,22.644,23.556,21.532,21.738,22.865,21.574,22.153,22.563,23.032,21.641,23.519,22.843,23.618,22.462,21.272,21.818,22.298,23.035,24.384,23.156,23.656,24.143,22.255,22.273,23.045,24.389,23.484,24.242,22.015
TMAX,AMJJAS,24.784,25.302,26.206,23.831,24.531,25.875,24.761,25.016,24.546,24.922,24.133,26.685,25.779,26.457,24.812,24.220,24.477,25.034,25.617,27.008,25.137,26.274,27.794,24.763,24.945,25.677,27.335,25.878,27.565,24.788
TMAX,ONDJFM,7.233,7.918,10.141,8.232,6.841,8.117,6.929,9.535,8.998,11.222,8.913,8.723,8.075,9.945,9.404,6.948,8.960,10.415,7.897,8.604,11.863,9.776,7.886,8.568,8.596,8.030,12.436,9.321,9.800,9.157
TMAX,NDJF,3.574,4.146,7.296,5.176,3.007,5.329,4.164,7.235,5.350,7.873,5.426,6.048,5.597,6.551,7.374,3.427,5.844,8.819,4.051,5.490,8.875,5.627,4.555,6.339,5.575,4.752,9.720,6.601,6.700,6.242
TMIN,year,7.030,7.164,7.234,6.789,6.067,6.484,6.478,7.057,7.695,7.247,6.760,7.733,7.090,8.389,7.280,6.786,6.873,7.354,7.815,8.216,7.578,7.730,6.455,6.900,6.432,7.096,7.722,7.701,7.589,7.182
TMIN,MAMJJASO,11.339,11.339,11.390,10.377,10.503,10.643,10.387,10.777,11.512,10.599,11.050,11.542,11.319,12.155,11.088,10.913,10.186,11.527,12.122,11.911,12.094,11.497,10.911,10.692,10.583,11.042,11.252,11.171,11.402,11.167
TMIN,AMJJAS,12.967,13.327,13.696,12.189,12.769,13.150,12.999,13.068,13.480,12.404,12.983,13.900,13.401,14.527,13.245,13.297,12.668,13.877,14.330,13.913,13.640,13.878,13.681,12.596,13.098,13.399,13.317,13.172,13.521,13.806
TMIN,ONDJFM,-1.163,0.342,2.464,0.246,-0.721,0.641,-1.183,2.498,1.045,1.719,1.162,0.912,0.654,2.446,1.685,-0.465,1.288,1.677,0.650,1.105,3.311,1.056,-0.630,0.550,0.463,-0.082,3.086,1.154,1.672,1.537
TMIN,NDJF,-3.918,-2.252,0.663,-1.590,-3.802,-0.821,-2.498,1.283,-1.137,-0.223,-1.066,-0.776,-1.151,0.173,0.513,-2.467,-0.471,1.248,-2.174,-0.964,1.396,-1.714,-2.773,-0.871,-1.337,-2.141,1.832,-0.680,-0.102,-0.257
TAVG,year,11.771,11.854,12.340,11.343,10.774,11.538,11.173,11.768,12.245,12.339,11.238,12.652,11.797,13.074,11.973,11.222,11.712,12.056,12.263,13.449,12.214,12.726,11.948,11.587,11.256,11.968,13.057,12.875,12.764,11.643
TAVG,MAMJJASO,16.830,16.841,17.335,15.807,15.945,16.720,15.852,16.292,16.816,16.664,16.119,17.387,16.820,17.638,16.578,16.015,15.914,16.782,17.361,18.041,17.379,17.321,17.345,16.191,16.144,16.735,17.618,17.034,17.597,16.243
TAVG,AMJJAS,18.781,19.248,19.900,17.928,18.529,19.559,18.811,18.977,18.842,18.604,18.413,20.239,19.412,20.308,18.938,18.748,18.578,19.391,19.804,20.476,19.241,19.849,20.634,18.436,18.800,19.296,20.188,19.318,20.391,18.993
TAVG,ONDJFM,2.809,3.823,6.038,3.937,2.869,4.170,2.650,5.740,4.711,6.097,4.728,4.503,4.010,5.868,5.229,3.114,4.936,5.805,4.052,4.575,7.211,5.050,3.383,4.174,4.176,3.620,7.393,4.919,5.367,5.104
TAVG,NDJF,-0.354,0.717,3.765,1.517,-0.497,2.071,0.671,4.036,1.852,3.425,1.948,2.431,1.900,3.125,3.698,0.481,2.570,4.869,0.755,2.055,4.824,1.650,0.699,2.337,1.790,1.024,5.482,2.700,3.017,2.828
RH,year,71.153,73.156,70.417,74.245,74.133,71.011,71.612,71.966,72.802,69.420,72.633,66.406,68.577,71.726,71.646,73.288,70.175,70.754,73.110,66.679,71.136,72.417,70.558,74.824,74.574,74.547,68.551,71.645,71.616,77.785
RH,MAMJJASO,67.505,68.711,65.634,68.955,70.336,65.604,66.942,67.006,68.546,63.352,69.175,60.178,62.830,66.754,67.194,68.765,63.926,66.798,68.088,59.867,67.082,67.628,63.463,71.242,70.438,70.228,62.533,68.121,65.072,74.308
RH,AMJJAS,65.401,66.325,64.053,67.738,67.951,62.906,65.890,65.130,67.780,62.084,67.391,56.801,59.252,64.857,65.051,67.081,63.321,66.798,67.407,56.960,64.091,66.654,60.325,68.868,69.537,69.096,59.595,66.699,62.149,74.845
RH,ONDJFM,73.946,78.846,78.837,78.181,81.323,81.099,76.719,79.375,78.153,74.648,79.043,75.581,77.018,78.997,78.211,79.927,78.061,73.037,78.931,77.954,77.584,76.810,80.285,81.128,79.933,80.890,77.923,75.831,80.624,80.179
RH,NDJF,75.360,81.663,81.094,82.465,82.191,83.560,80.304,84.071,82.196,78.306,81.882,78.820,78.990,82.266,80.282,83.243,82.513,78.598,82.778,81.264,81.041,80.204,84.380,83.042,82.467,83.502,81.934,78.533,83.445,84.970
RHmin,year,53.015,54.899,51.605,56.313,55.562,53.034,54.048,53.724,54.595,51.126,54.544,49.604,51.108,53.507,53.920,56.420,53.003,53.032,55.675,48.946,53.202,53.162,50.451,55.497,54.658,54.661,49.944,51.545,52.649,58.182
RHmin,MAMJJASO,48.485,49.561,46.235,49.844,50.748,46.572,48.436,48.068,49.532,44.247,50.600,42.780,44.908,47.724,48.160,51.089,45.557,48.975,49.389,42.101,48.625,47.533,43.426,50.646,49.756,49.124,43.008,47.291,45.019,53.537
RHmin,AMJJAS,46.704,47.353,45.168,48.713,48.478,44.286,47.347,46.543,49.320,43.630,48.902,39.846,41.613,46.248,46.959,49.541,45.461,48.876,48.775,39.853,46.376,46.829,40.618,48.342,49.449,48.417,40.165,46.403,41.784,54.234
RHmin,ONDJFM,55.960,61.279,61.653,60.073,63.532,63.853,59.258,63.146,60.497,55.091,61.415,58.450,59.877,61.812,60.619,63.330,61.625,55.767,62.443,61.040,58.964,58.082,61.121,61.822,61.101,61.783,57.785,58.466,61.594,62.824
RHmin,NDJF,58.042,65.469,65.116,65.182,65.415,67.864,64.357,68.713,65.968,59.500,65.612,62.716,62.410,66.265,63.875,68.836,67.551,62.200,67.061,65.510,63.276,62.572,66.044,64.410,64.910,65.968,63.095,62.041,66.176,68.457
PREC,year,504.966,530.414,466.782,634.302,623.349,483.175,631.921,551.338,564.806,434.087,545.324,591.634,532.833,558.058,684.653,659.963,489.641,719.589,767.537,417.834,550.881,561.235,458.402,726.748,786.403,617.169,649.903,626.293,625.757,1016.214
PREC,MAMJJASO,361.830,387.513,352.954,467.419,424.745,326.684,446.965,402.103,489.580,325.269,398.840,462.003,360.733,448.531,466.458,505.352,347.788,594.046,523.753,290.186,439.659,446.124,350.088,534.212,605.966,503.769,471.020,498.519,375.619,756.777
PREC,AMJJAS,291.534,309.957,277.154,391.807,355.692,265.794,369.610,319.084,434.130,241.743,305.844,279.943,242.617,363.046,415.934,457.992,306.520,500.019,470.753,220.178,354.320,367.912,224.715,409.300,566.949,421.370,350.074,404.559,267.995,697.201
PREC,ONDJFM,61.069,237.060,246.916,190.985,230.739,311.282,218.357,264.549,144.855,117.491,195.091,244.780,307.335,317.763,241.007,223.232,173.066,185.124,270.092,277.636,254.739,111.856,208.516,312.461,260.927,258.037,197.416,252.570,271.903,353.116
PREC,NDJF,29.648,161.664,167.414,124.410,130.951,262.821,128.635,192.297,83.649,79.730,108.996,135.855,131.424,208.792,131.450,204.174,121.960,145.315,170.454,196.181,155.408,87.141,142.674,131.423,165.978,199.050,113.626,122.106,197.042,267.162
SRAD,year,5050.544,5077.398,5052.369,4679.023,4781.482,5107.056,4945.083,5013.154,4841.909,5179.728,4872.444,5218.574,5053.310,5167.949,4935.637,4836.034,5151.681,4992.938,4941.747,5314.568,4911.843,4854.593,5419.204,4923.921,5032.979,5020.108,5264.760,5131.419,5129.918,4710.895
