Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.558,16.578,17.441,15.836,15.478,16.376,15.732,16.579,17.016,17.492,15.903,17.607,16.751,17.927,16.675,15.479,16.436,16.844,16.813,18.646,17.055,17.884,17.698,16.463,16.364,17.142,18.449,18.288,17.947,16.345
TMAX,MAMJJASO,22.278,22.235,23.153,21.075,21.330,22.411,21.130,21.762,22.189,22.606,21.302,23.098,22.480,23.160,22.038,20.891,21.493,21.976,22.676,23.963,22.806,23.152,23.796,21.788,21.897,22.672,23.909,23.050,23.739,21.594
TMAX,AMJJAS,24.384,24.880,25.800,23.347,24.110,25.386,24.317,24.616,24.139,24.490,23.772,26.256,25.383,25.971,24.375,23.791,24.138,24.697,25.236,26.573,24.775,25.729,27.372,24.290,24.535,25.275,26.845,25.432,27.015,24.341
TMAX,ONDJFM,7.046,7.690,9.782,7.977,6.643,7.792,6.661,9.237,8.811,11.019,8.672,8.540,7.968,9.699,9.146,6.768,8.722,10.138,7.762,8.406,11.466,9.614,7.905,8.311,8.409,7.789,12.179,9.086,9.483,8.885
TMAX,NDJF,3.447,3.991,6.987,4.975,2.896,5.020,3.951,7.002,5.243,7.725,5.227,5.962,5.564,6.363,7.215,3.276,5.633,8.552,3.997,5.330,8.509,5.541,4.652,6.174,5.446,4.536,9.540,6.458,6.419,6.016
TMIN,year,6.813,6.958,7.070,6.556,5.878,6.252,6.295,6.867,7.448,7.028,6.507,7.533,6.874,8.200,7.071,6.496,6.624,7.127,7.561,7.985,7.347,7.491,6.268,6.614,6.170,6.811,7.437,7.456,7.292,6.882
TMIN,MAMJJASO,11.091,11.073,11.215,10.102,10.276,10.398,10.195,10.555,11.243,10.367,10.755,11.299,11.079,11.920,10.856,10.602,9.918,11.261,11.850,11.643,11.820,11.207,10.617,10.385,10.255,10.700,10.920,10.858,11.087,10.841
TMIN,AMJJAS,12.699,13.051,13.485,11.904,12.530,12.883,12.793,12.823,13.170,12.135,12.678,13.642,13.140,14.253,12.986,12.943,12.358,13.582,14.027,13.601,13.353,13.552,13.348,12.266,12.737,13.017,12.978,12.853,13.203,13.453
TMIN,ONDJFM,-1.293,0.188,2.278,0.102,-0.784,0.355,-1.311,2.328,0.925,1.570,0.944,0.775,0.503,2.247,1.585,-0.643,1.086,1.468,0.493,0.896,3.145,0.899,-0.603,0.285,0.272,-0.299,2.938,0.943,1.475,1.225
TMIN,NDJF,-4.010,-2.388,0.481,-1.740,-3.783,-1.130,-2.605,1.111,-1.278,-0.386,-1.308,-0.863,-1.266,-0.058,0.455,-2.659,-0.708,1.008,-2.310,-1.199,1.268,-1.863,-2.689,-1.084,-1.528,-2.329,1.714,-0.820,-0.279,-0.546
