Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.906,16.234,16.933,15.614,15.181,16.359,15.483,15.887,16.769,17.513,15.437,16.670,16.074,17.790,16.154,15.282,15.504,16.211,16.947,18.055,16.908,17.358,16.557,16.535,15.980,16.660,18.100,17.744,17.787,16.872
TMAX,MAMJJASO,21.671,21.721,22.683,20.950,21.308,22.487,20.943,21.451,21.873,22.772,20.910,22.338,21.686,23.338,21.811,20.625,20.353,21.776,22.490,23.474,22.868,22.676,22.469,21.967,21.302,22.247,23.715,22.986,23.319,22.055
TMAX,AMJJAS,23.649,24.410,25.126,23.327,24.383,25.575,24.525,24.313,23.971,24.467,23.347,24.998,24.421,26.101,24.179,23.951,22.989,24.667,25.262,26.219,24.828,25.108,26.100,24.266,24.066,24.784,26.559,25.214,26.441,25.219
TMAX,ONDJFM,5.564,7.424,9.967,7.063,6.089,7.764,6.036,8.354,8.306,10.017,8.877,7.617,7.687,9.479,8.875,5.389,8.450,8.837,7.413,8.045,11.313,9.275,6.825,7.813,8.492,7.570,11.537,8.382,9.461,8.690
TMAX,NDJF,2.091,3.865,6.925,4.246,1.995,4.909,3.556,6.144,4.786,6.399,5.590,4.487,5.053,5.890,6.284,2.161,5.824,7.248,3.628,5.002,8.416,5.221,3.795,5.173,5.674,4.390,8.853,4.970,6.558,5.822
TMIN,year,5.511,5.378,5.450,5.368,4.257,5.224,4.882,5.560,6.098,5.876,5.387,5.467,4.990,6.816,5.658,5.446,5.277,5.641,6.467,6.195,6.147,6.554,5.615,6.024,5.731,5.937,6.965,6.780,6.696,6.598
TMIN,MAMJJASO,9.778,9.751,9.733,9.108,9.054,9.562,8.769,9.615,10.107,9.314,9.697,9.626,9.457,10.822,9.865,9.375,8.734,10.106,10.707,9.976,10.729,10.735,9.899,9.995,9.804,10.202,10.861,10.639,10.488,10.665
TMIN,AMJJAS,11.420,11.900,12.060,10.938,11.574,11.969,11.606,12.037,12.051,11.054,11.704,11.683,11.509,13.137,12.032,12.035,11.227,12.515,13.007,12.309,12.449,12.972,12.649,11.843,12.409,12.502,12.984,12.594,12.620,13.427
TMIN,ONDJFM,-2.825,-1.385,0.376,-1.547,-2.924,-0.668,-3.070,0.517,-0.854,0.051,-0.051,-1.236,-1.534,0.500,-0.081,-2.499,-0.110,-0.260,-1.027,-0.943,1.447,-0.414,-1.733,-0.507,-0.235,-1.211,1.704,0.025,0.603,0.447
TMIN,NDJF,-5.307,-4.108,-1.504,-3.364,-6.246,-2.242,-4.545,-0.821,-3.015,-2.223,-2.002,-3.438,-3.679,-1.904,-1.874,-4.414,-1.684,-1.009,-3.739,-3.139,-0.173,-3.210,-3.951,-2.423,-1.822,-3.510,0.287,-2.333,-1.207,-1.432
