Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,22.131,21.179,21.178,20.576,21.575,20.843,21.739,21.057,22.359,22.019,21.580,21.527,20.147,21.594,22.848,21.268,22.513,22.258,21.550,21.720,21.734,21.763,22.210,22.125,22.567,22.611,21.951,21.612,22.898,22.250
TMAX,MAMJJASO,25.010,24.702,24.474,23.964,25.328,24.392,25.403,24.350,26.020,25.917,25.575,25.049,23.193,24.961,26.653,24.980,26.263,25.593,25.109,25.235,25.495,25.026,26.351,25.915,26.975,26.801,25.488,24.927,27.087,26.568
TMAX,AMJJAS,26.749,26.686,25.576,25.933,27.033,26.099,27.937,25.709,27.479,28.023,28.295,27.244,25.243,26.279,28.084,26.802,26.991,26.928,27.186,26.761,27.559,26.685,28.717,28.339,29.169,29.219,27.226,26.753,28.363,29.246
TMAX,ONDJFM,15.183,17.432,15.464,15.945,15.369,15.952,16.307,15.548,16.847,17.231,14.776,15.757,15.622,15.335,17.164,16.502,17.771,17.600,16.625,16.443,16.013,16.383,16.222,15.673,15.859,15.440,16.486,17.284,16.403,16.228
TMAX,NDJF,14.330,16.088,13.436,14.442,13.675,13.552,14.198,14.229,14.836,14.876,13.079,14.014,14.574,13.585,15.395,14.240,14.736,15.124,14.961,14.545,14.314,14.362,14.166,14.424,13.803,13.331,14.709,15.692,13.737,13.921
TMIN,year,10.367,10.093,10.153,9.510,9.864,9.456,10.831,10.100,11.165,10.711,10.023,9.823,9.469,10.151,11.205,10.383,11.473,10.497,9.948,10.096,10.352,10.455,10.881,10.186,9.998,11.080,9.757,9.801,10.532,10.657
TMIN,MAMJJASO,12.770,12.176,12.308,11.516,12.034,11.766,13.218,12.136,13.256,13.265,12.667,12.157,11.668,12.277,13.230,12.563,13.651,12.861,12.855,12.331,13.019,12.372,13.514,12.732,13.264,14.002,12.236,12.062,12.893,13.186
TMIN,AMJJAS,13.806,13.639,13.335,12.959,13.382,12.747,14.713,13.306,14.299,14.498,14.146,13.615,13.007,12.911,14.329,13.880,14.476,14.193,14.066,13.690,13.608,13.109,14.823,14.139,14.532,15.085,13.652,13.467,13.735,14.758
TMIN,ONDJFM,4.366,7.412,6.047,6.578,6.453,6.294,6.425,7.067,6.743,8.505,6.205,5.482,6.294,6.334,7.504,8.103,7.400,8.593,5.451,6.023,7.676,6.458,7.597,6.839,5.101,6.104,7.475,6.337,5.622,7.385
TMIN,NDJF,2.757,6.758,4.734,5.995,5.902,5.227,4.738,6.586,5.333,7.557,4.478,4.290,5.502,5.166,6.370,7.113,6.222,7.457,3.984,4.331,6.648,4.487,6.054,6.090,3.049,4.055,6.252,5.350,4.096,6.038
TAVG,year,16.166,15.576,15.601,15.007,15.662,15.119,16.231,15.516,16.723,16.348,15.764,15.609,14.727,15.788,16.990,15.785,16.968,16.337,15.736,15.843,15.987,16.055,16.486,16.145,16.257,16.805,15.790,15.623,16.646,16.391
TAVG,MAMJJASO,18.759,18.351,18.307,17.686,18.603,18.025,19.265,18.136,19.585,19.564,19.066,18.521,17.325,18.537,19.899,18.711,19.939,19.163,18.997,18.708,19.212,18.622,19.869,19.256,20.060,20.336,18.756,18.400,19.942,19.824
TAVG,AMJJAS,20.141,20.051,19.316,19.389,20.093,19.360,21.259,19.394,20.828,21.226,21.155,20.315,19.002,19.499,21.155,20.274,20.692,20.485,20.642,20.134,20.551,19.831,21.699,21.139,21.789,22.087,20.305,20.005,20.990,21.934
TAVG,ONDJFM,9.725,12.410,10.742,11.277,10.890,11.120,11.359,11.279,11.776,12.868,10.470,10.614,10.946,10.767,12.268,12.304,12.562,13.111,10.989,11.209,11.785,11.377,11.854,11.231,10.585,10.754,11.968,11.783,10.947,11.719
TAVG,NDJF,8.515,11.436,9.056,10.240,9.788,9.385,9.400,10.412,10.105,11.213,8.772,9.129,10.039,9.298,10.817,10.659,10.459,11.287,9.439,9.376,10.429,9.396,10.075,10.227,8.571,8.704,10.473,10.528,8.838,9.854
RH,year,69.941,71.396,72.016,69.311,67.558,68.727,69.062,69.080,68.155,67.474,68.047,67.003,71.182,70.255,67.337,70.049,71.044,70.117,70.476,71.328,71.196,71.654,70.133,69.298,65.769,70.049,69.243,70.557,67.102,69.053
RH,MAMJJASO,66.670,64.746,67.377,63.487,60.888,61.910,62.827,63.217,61.920,60.252,61.398,60.764,65.479,63.701,60.171,63.903,64.267,64.927,65.933,65.502,66.324,65.419,63.279,62.591,59.691,63.602,62.974,64.831,59.450,62.260
RH,AMJJAS,63.726,62.361,66.279,60.940,59.297,57.829,58.410,61.199,59.458,57.398,56.647,57.856,62.449,59.605,57.417,60.692,63.173,63.408,62.669,63.786,61.152,61.657,58.679,58.363,55.999,58.260,60.957,62.336,56.869,58.493
RH,ONDJFM,73.703,79.461,77.774,77.856,79.041,76.942,78.449,78.910,76.421,77.434,79.740,75.889,77.317,82.069,79.036,79.114,77.630,79.193,76.614,78.411,82.611,79.242,82.113,81.889,76.064,79.993,81.175,76.930,77.065,80.205
RH,NDJF,73.009,82.758,81.310,81.319,83.357,81.917,80.858,81.665,79.707,83.254,82.026,79.029,80.309,84.931,82.492,82.870,83.519,83.595,78.665,81.259,84.643,80.574,84.486,84.987,78.017,81.864,84.969,80.370,81.955,83.480
RHmin,year,50.423,52.532,52.970,51.280,49.216,50.428,51.490,51.192,50.518,49.806,49.873,48.684,52.980,51.307,49.420,52.292,52.857,50.966,51.359,52.052,52.419,52.917,52.087,50.363,47.097,51.711,49.473,50.974,48.369,50.827
RHmin,MAMJJASO,47.704,45.762,48.164,45.327,42.488,44.115,45.602,45.317,43.916,43.054,43.635,42.948,47.947,45.172,41.964,45.701,45.844,46.312,47.865,46.474,47.963,46.752,45.457,44.112,41.865,45.793,43.839,45.811,40.826,43.836
RHmin,AMJJAS,44.900,43.593,47.320,43.001,41.098,40.559,41.268,43.919,41.850,39.966,38.834,40.092,44.981,41.518,39.756,42.984,45.086,45.505,44.515,45.366,42.322,43.062,41.001,39.853,38.254,40.340,42.262,43.746,38.636,39.926
RHmin,ONDJFM,53.190,59.460,58.948,59.432,61.047,58.252,58.624,61.572,56.935,60.478,61.891,56.205,58.788,62.822,59.733,62.274,58.114,61.601,55.189,57.737,64.813,59.081,63.819,63.245,56.096,60.983,62.503,55.945,56.590,61.944
RHmin,NDJF,51.347,63.029,62.480,63.279,65.993,63.713,60.634,65.010,60.084,66.980,63.171,59.050,61.297,65.690,62.996,66.937,64.966,66.633,56.710,59.480,67.231,59.757,66.345,66.167,57.171,61.970,65.950,59.274,61.343,65.492
PREC,year,723.060,647.466,793.432,844.666,914.023,711.946,979.923,780.454,1066.350,661.247,655.650,582.583,781.314,724.773,892.381,1128.619,1089.781,588.784,749.707,1011.730,996.751,996.347,946.445,572.742,521.165,1026.633,539.670,685.903,912.622,1085.007
PREC,MAMJJASO,336.999,243.466,290.277,407.922,209.385,257.616,446.318,405.122,324.649,353.284,295.588,320.019,570.818,263.661,194.415,318.477,376.524,331.012,524.381,387.608,554.169,423.464,410.358,367.431,310.046,555.852,261.040,346.498,221.827,392.377
