Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,12.823,13.626,13.952,12.575,12.065,13.293,12.293,13.126,13.828,13.977,12.869,14.222,13.744,14.712,13.428,12.548,13.209,13.688,13.900,15.208,13.666,14.611,14.462,13.361,13.549,14.361,15.057,15.014,14.614,13.481
TMAX,MAMJJASO,18.286,18.815,19.257,17.176,17.654,18.880,17.353,18.068,18.728,18.592,18.009,19.414,18.883,19.606,18.629,17.577,17.843,18.498,19.508,20.152,19.153,19.557,19.834,18.462,18.850,19.573,20.342,19.312,19.934,18.476
TMAX,AMJJAS,20.380,21.210,21.967,19.333,20.001,21.389,20.350,20.820,20.696,20.165,20.267,22.517,21.590,22.414,20.875,20.255,20.407,21.326,22.187,22.579,21.131,22.299,23.243,20.724,21.438,22.242,22.978,21.703,23.341,21.175
TMAX,ONDJFM,3.768,4.715,6.890,5.234,4.372,5.136,4.064,6.212,6.056,7.793,6.320,5.710,5.300,6.987,6.262,4.503,6.064,6.967,5.139,5.284,8.616,6.643,5.336,5.552,5.826,5.171,9.354,6.378,6.812,6.011
TMAX,NDJF,0.529,1.333,4.258,2.792,0.804,2.141,1.688,4.278,2.594,4.708,2.927,3.293,3.230,4.085,4.461,1.165,3.263,5.683,1.831,2.646,5.877,2.738,2.720,3.666,3.154,2.187,6.586,4.010,4.438,3.553
TMIN,year,3.093,3.257,3.489,2.964,2.214,2.523,2.330,3.228,3.746,3.525,3.018,3.562,3.001,4.403,3.554,2.859,3.130,3.796,4.170,4.472,3.848,4.408,3.313,3.646,3.190,3.744,4.589,4.920,4.336,4.022
TMIN,MAMJJASO,7.321,7.061,7.391,6.259,6.583,6.457,6.099,6.555,7.304,6.383,7.000,7.033,6.622,7.634,7.220,6.717,6.171,7.690,8.074,7.662,8.178,8.031,7.159,7.278,7.063,7.419,7.899,7.947,7.932,7.873
TMIN,AMJJAS,8.757,8.837,9.365,7.936,8.464,8.684,8.566,8.763,9.024,7.876,8.699,9.174,8.385,9.652,8.991,8.945,8.504,9.857,10.088,9.218,9.639,10.236,9.680,8.996,9.489,9.694,9.786,9.789,9.963,10.514
TMIN,ONDJFM,-4.848,-3.372,-0.621,-3.244,-3.779,-3.176,-4.888,-0.795,-2.290,-1.405,-1.934,-2.459,-2.998,-0.599,-1.317,-3.724,-2.415,-1.442,-2.267,-2.185,0.360,-1.973,-3.183,-2.329,-2.342,-3.583,0.876,-1.434,-0.869,-1.641
TMIN,NDJF,-7.611,-6.062,-2.305,-4.977,-6.933,-4.989,-6.117,-1.686,-4.270,-3.356,-4.168,-3.963,-4.560,-2.592,-2.460,-5.739,-4.234,-1.653,-4.931,-4.149,-1.440,-4.759,-5.106,-3.604,-3.874,-5.652,-0.220,-2.910,-2.608,-3.190
TAVG,year,7.800,8.145,8.542,7.554,6.849,7.686,7.113,7.942,8.521,8.526,7.671,8.745,8.195,9.387,8.271,7.386,7.884,8.473,8.717,9.563,8.419,9.190,8.579,8.198,7.987,8.653,9.519,9.657,9.196,8.421
TAVG,MAMJJASO,12.565,12.611,13.110,11.483,11.728,12.416,11.477,12.018,12.682,12.224,12.166,13.061,12.539,13.439,12.628,11.811,11.632,12.833,13.378,13.580,13.305,13.424,13.184,12.482,12.512,13.065,13.743,13.279,13.560,12.748
TAVG,AMJJAS,14.355,14.768,15.500,13.438,13.904,14.890,14.255,14.569,14.578,13.881,14.211,15.751,14.862,15.916,14.748,14.354,14.172,15.374,15.740,15.658,15.098,15.920,16.213,14.501,15.119,15.600,16.098,15.465,16.287,15.459
TAVG,ONDJFM,-0.731,0.479,2.941,0.741,0.057,0.720,-0.688,2.520,1.599,2.882,1.889,1.391,0.948,3.010,2.275,0.006,1.486,2.461,1.160,1.322,4.084,1.962,0.761,1.358,1.396,0.309,4.777,2.174,2.671,1.956
TAVG,NDJF,-3.683,-2.436,0.909,-1.264,-3.264,-1.531,-2.371,1.199,-0.941,0.488,-0.774,-0.424,-0.780,0.650,0.917,-2.490,-0.674,1.827,-1.753,-0.869,1.905,-1.228,-1.413,-0.182,-0.622,-2.094,3.044,0.390,0.711,0.055
RH,year,76.760,76.858,75.400,78.147,78.911,75.818,76.477,76.856,77.932,76.825,78.098,75.056,75.635,76.711,77.851,78.523,78.052,78.333,78.966,75.560,78.129,76.795,73.216,77.986,77.286,77.069,75.133,77.027,77.347,80.029
RH,MAMJJASO,74.600,74.057,72.036,75.270,76.917,72.253,73.278,73.504,75.154,73.211,75.734,71.110,72.648,73.663,75.332,76.631,74.764,75.969,75.757,71.465,75.894,74.122,69.584,75.554,74.113,73.896,70.563,74.639,73.372,77.667
RH,AMJJAS,73.128,72.853,70.592,74.741,75.854,71.152,72.607,72.650,74.711,73.023,74.817,68.910,70.641,72.004,74.157,75.693,74.598,75.086,74.638,69.413,73.976,73.180,67.884,74.357,73.475,72.948,68.491,73.258,70.096,78.247
RH,ONDJFM,77.769,80.637,81.527,80.605,81.433,81.969,79.913,82.043,80.527,79.652,81.472,81.092,80.525,81.745,81.168,81.786,81.220,80.754,83.674,83.120,81.491,80.312,79.270,80.642,81.392,81.995,80.737,81.345,83.186,83.296
RH,NDJF,78.311,82.396,83.314,82.951,82.018,83.689,82.571,85.145,83.887,81.918,83.635,83.587,81.452,83.399,82.076,83.515,83.315,83.641,85.355,84.269,83.494,82.319,80.790,81.689,83.591,83.458,84.573,82.831,83.946,85.890
RHmin,year,57.146,55.694,54.973,58.083,57.865,54.636,56.261,56.823,57.031,56.223,57.389,54.757,54.760,56.409,57.655,57.820,57.165,57.575,58.406,54.677,57.404,56.138,52.225,57.551,55.872,55.256,54.897,56.423,56.817,59.414
