Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.253,14.063,14.462,12.732,12.529,13.355,12.373,13.731,14.549,14.623,13.340,14.691,13.916,15.030,13.705,12.048,13.741,14.041,14.302,15.167,13.602,14.554,14.898,13.858,13.875,14.521,15.112,14.797,14.339,12.978
TMAX,MAMJJASO,18.348,19.075,19.417,17.026,17.749,18.433,17.059,18.190,19.006,18.966,18.079,19.459,18.607,19.496,18.575,16.943,18.270,18.533,19.369,19.765,18.439,19.090,20.125,18.641,18.973,19.487,19.812,18.848,19.403,18.098
TMAX,AMJJAS,20.464,21.451,22.106,19.035,20.273,20.855,19.903,21.024,20.748,20.642,20.206,22.614,21.402,22.178,20.848,19.566,20.757,21.195,21.905,22.276,20.322,21.794,23.491,21.023,21.421,22.212,22.476,21.340,22.642,20.681
TMAX,ONDJFM,4.791,5.572,7.345,6.098,5.025,5.411,5.006,6.837,7.641,8.985,6.936,6.805,6.199,7.266,7.293,4.388,6.447,7.586,6.138,6.634,7.898,7.819,6.010,6.153,6.530,5.390,9.827,7.020,6.427,5.971
TMAX,NDJF,1.711,2.601,5.124,3.809,1.940,2.644,2.924,5.293,4.822,6.261,3.881,4.678,4.504,4.809,5.982,1.320,3.593,6.177,3.360,4.407,5.607,4.669,3.433,4.683,4.032,2.547,7.572,5.209,4.052,3.674
TMIN,year,4.653,4.841,5.053,4.455,3.857,4.322,4.008,5.214,5.493,5.303,4.375,5.523,4.699,5.803,5.162,3.843,4.643,5.325,5.515,6.112,5.232,5.808,4.938,4.946,4.755,5.315,5.915,5.907,5.614,4.540
TMIN,MAMJJASO,8.438,8.369,8.621,7.363,7.924,8.061,7.447,8.159,8.625,8.098,7.923,8.598,8.044,8.751,8.569,7.609,7.649,8.740,9.023,9.262,8.984,9.125,8.533,8.198,8.156,8.897,8.784,8.590,9.145,8.352
TMIN,AMJJAS,9.796,10.050,10.465,8.981,9.707,9.880,9.804,9.982,10.136,9.441,9.515,10.702,9.997,10.657,10.237,9.526,9.573,10.646,10.868,10.683,10.253,11.186,10.913,9.890,10.281,11.043,10.676,10.455,11.065,10.595
TMIN,ONDJFM,-2.274,-1.149,0.671,-1.079,-1.534,-1.379,-2.229,0.966,0.840,0.956,-0.112,-0.050,-0.820,0.740,0.486,-1.928,-0.381,0.317,-0.140,0.193,1.425,0.533,-0.998,-0.610,-0.430,-1.493,2.428,0.518,0.387,-0.493
TMIN,NDJF,-4.805,-3.396,-0.909,-2.608,-4.131,-3.444,-3.361,0.113,-0.902,-0.866,-2.298,-1.230,-2.002,-1.058,-0.033,-4.120,-2.546,-0.359,-2.291,-1.455,-0.470,-1.825,-2.834,-1.593,-1.732,-3.412,1.494,-0.540,-1.279,-2.057
TAVG,year,8.805,9.238,9.609,8.381,7.966,8.612,8.034,9.313,9.789,9.715,8.618,9.930,9.092,10.204,9.265,7.744,8.954,9.516,9.732,10.466,9.232,9.967,9.732,9.222,9.110,9.668,10.344,10.156,9.793,8.601
TAVG,MAMJJASO,13.174,13.477,13.847,11.939,12.550,12.986,12.028,12.990,13.564,13.256,12.710,13.840,13.073,13.899,13.353,12.044,12.651,13.453,13.960,14.296,13.477,13.833,14.135,13.181,13.316,13.890,14.092,13.493,14.012,12.981
TAVG,AMJJAS,14.921,15.596,16.153,13.823,14.747,15.171,14.639,15.349,15.259,14.858,14.651,16.554,15.502,16.279,15.402,14.377,14.932,15.761,16.210,16.307,15.111,16.259,17.092,15.260,15.669,16.392,16.437,15.746,16.623,15.461
TAVG,ONDJFM,1.175,2.046,3.803,2.306,1.540,1.779,1.187,3.757,4.043,4.614,3.147,3.104,2.447,3.768,3.648,1.012,2.823,3.716,2.803,3.281,4.450,3.961,2.301,2.585,2.809,1.717,5.901,3.549,3.238,2.594
TAVG,NDJF,-1.589,-0.434,1.985,0.500,-1.216,-0.523,-0.329,2.603,1.860,2.407,0.673,1.588,1.102,1.702,2.881,-1.509,0.443,2.753,0.444,1.463,2.432,1.337,0.199,1.430,0.971,-0.538,4.444,2.222,1.341,0.780
RH,year,78.765,77.281,76.412,78.989,78.844,77.753,79.835,78.359,78.268,76.007,77.388,75.198,76.297,76.803,78.947,79.828,78.005,77.613,78.038,77.822,80.848,78.784,74.120,78.114,77.862,77.813,77.112,78.267,79.524,79.796
RH,MAMJJASO,75.949,73.893,72.736,76.174,76.566,74.775,76.886,74.586,75.176,71.797,74.641,70.439,72.814,72.969,75.623,77.476,74.290,74.822,74.226,73.778,78.137,75.480,68.857,74.397,73.678,73.763,72.480,75.142,75.699,76.243
