Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,10.478,11.061,11.747,11.136,9.331,10.577,9.101,11.176,12.526,11.951,11.606,11.805,10.518,10.921,11.725,10.580,11.420,10.820,12.324,12.504,11.604,12.002,11.339,11.424,11.624,12.288,12.334,12.185,11.185,10.811
TMAX,MAMJJASO,15.131,15.502,16.451,15.943,15.085,15.748,14.006,16.193,16.847,16.028,15.747,16.010,15.001,16.004,16.633,15.658,15.968,15.518,17.386,16.734,16.801,17.450,16.016,16.237,16.262,17.259,17.453,16.211,15.899,17.050
TMAX,AMJJAS,17.964,18.029,19.579,18.799,17.650,18.439,16.689,19.326,19.605,18.392,18.302,19.242,17.800,19.209,19.277,18.494,19.088,18.322,20.546,19.283,19.818,21.150,19.025,19.031,19.511,20.685,19.850,18.705,19.211,20.556
TMAX,ONDJFM,0.371,3.095,4.478,3.418,1.357,2.612,1.378,3.418,4.986,5.333,4.138,5.774,3.779,1.571,4.318,2.057,4.581,3.558,2.897,4.676,4.989,4.626,1.284,3.669,3.438,3.064,5.873,5.111,4.452,1.557
TMAX,NDJF,-0.073,0.231,3.264,1.695,-1.928,-0.507,-0.917,1.639,2.857,3.443,2.320,4.114,2.929,-0.836,2.747,-1.028,2.737,2.301,0.187,3.068,3.232,1.888,-0.970,1.974,2.318,0.917,3.072,3.657,2.555,-0.879
TMIN,year,3.764,3.729,4.494,4.156,2.276,3.312,1.849,4.205,5.560,5.002,4.711,4.769,3.541,3.546,4.445,2.597,3.916,3.761,4.496,5.182,4.333,4.064,4.041,4.271,3.947,4.330,4.922,5.583,4.365,3.261
TMIN,MAMJJASO,7.271,7.051,8.158,7.710,7.523,7.602,5.926,8.092,8.668,7.816,7.710,7.665,6.741,7.392,8.277,6.378,7.200,7.304,8.132,7.831,8.343,7.803,7.485,7.963,6.988,7.673,8.695,8.142,7.672,8.316
TMIN,AMJJAS,9.729,8.896,10.415,9.988,9.280,9.479,8.529,10.607,10.374,9.396,9.529,9.859,8.708,9.648,9.865,8.632,9.507,9.873,10.153,9.547,10.760,10.380,10.047,10.040,9.899,10.254,10.404,9.625,9.957,11.251
TMIN,ONDJFM,-5.545,-2.383,-0.738,-1.997,-4.029,-2.923,-4.835,-1.318,-0.349,0.271,-0.633,0.818,-1.034,-3.655,-0.237,-4.450,-0.960,-1.839,-2.649,-0.203,-0.093,-0.889,-4.399,-1.442,-2.090,-2.744,0.191,1.069,-0.012,-3.720
TMIN,NDJF,-4.916,-4.856,-1.525,-3.203,-7.399,-5.937,-6.475,-2.621,-2.063,-1.225,-2.217,-0.337,-1.490,-5.756,-1.513,-6.735,-2.508,-2.250,-4.739,-1.460,-0.761,-3.098,-6.026,-2.522,-2.312,-3.752,-1.944,0.184,-1.516,-5.646
TAVG,year,7.061,7.349,8.083,7.586,5.731,6.888,5.356,7.637,8.964,8.419,8.075,8.230,6.948,7.207,8.008,6.492,7.656,7.176,8.400,8.748,7.907,8.048,7.583,7.772,7.766,8.331,8.578,8.854,7.757,7.000
TAVG,MAMJJASO,11.023,11.140,12.197,11.710,11.116,11.530,9.726,12.025,12.625,11.830,11.582,11.726,10.735,11.624,12.299,10.855,11.510,11.200,12.709,12.102,12.432,12.596,11.584,11.902,11.559,12.455,12.941,12.118,11.720,12.562
TAVG,AMJJAS,13.644,13.330,14.865,14.232,13.244,13.816,12.374,14.867,14.867,13.798,13.791,14.469,13.110,14.386,14.399,13.360,14.252,13.886,15.330,14.217,15.092,15.805,14.381,14.334,14.658,15.452,15.009,14.123,14.505,15.752
TAVG,ONDJFM,-2.461,0.418,1.891,0.791,-1.293,-0.094,-1.683,0.996,2.263,2.797,1.762,3.221,1.366,-1.058,2.005,-1.135,1.826,0.863,0.085,2.276,2.486,1.858,-1.589,1.131,0.751,0.155,3.054,3.101,2.269,-1.015
TAVG,NDJF,-2.323,-2.108,0.939,-0.644,-4.594,-3.052,-3.545,-0.470,0.471,1.127,0.131,1.926,0.766,-3.285,0.685,-3.785,0.230,0.104,-2.214,0.899,1.291,-0.511,-3.420,-0.166,0.122,-1.350,0.687,1.972,0.623,-3.159
RH,year,82.177,80.232,80.444,80.885,82.009,80.565,81.315,81.240,80.990,81.391,82.688,80.254,79.778,80.334,80.763,79.771,78.720,80.945,78.982,80.343,80.406,77.406,80.388,80.822,79.829,78.798,81.072,81.452,81.735,82.500
RH,MAMJJASO,79.743,77.316,78.344,78.552,80.171,78.417,78.982,79.452,78.429,77.883,80.598,76.937,77.645,77.153,78.424,76.553,74.923,78.112,75.090,77.027,77.833,73.369,77.229,77.140,76.517,74.712,77.650,78.248,78.156,79.220
RH,AMJJAS,78.848,75.481,76.318,77.056,78.692,77.045,78.473,77.585,76.136,76.641,78.916,74.480,75.852,75.374,76.478,74.845,72.670,77.705,72.759,75.723,76.589,71.042,76.678,74.532,75.505,71.207,75.155,75.650,75.705,77.192
RH,ONDJFM,81.911,86.230,85.300,83.153,85.712,85.121,83.959,85.379,84.848,85.553,86.392,86.670,85.265,84.333,85.140,83.689,84.325,85.765,85.167,84.152,84.884,84.933,81.914,87.352,85.063,84.741,86.863,87.549,87.711,88.220
RH,NDJF,84.907,87.372,85.569,83.752,85.940,86.005,85.424,85.643,85.557,87.636,87.363,87.119,85.925,85.127,86.543,85.307,85.944,87.859,87.224,85.563,87.223,86.370,84.310,88.376,87.570,86.144,87.501,88.234,89.012,88.919
RHmin,year,67.121,64.369,64.775,65.749,65.822,64.670,64.678,65.925,65.852,66.266,67.044,65.326,64.558,64.740,64.873,62.706,63.128,65.283,63.024,64.691,64.687,61.871,64.564,65.330,63.672,62.904,65.363,67.387,67.148,65.828
RHmin,MAMJJASO,62.677,59.905,61.234,61.500,63.524,61.395,61.133,62.487,61.599,61.113,63.142,60.286,60.490,60.107,61.113,57.966,57.769,60.693,57.537,58.909,60.440,55.715,59.696,60.155,57.981,56.877,60.084,62.033,61.541,61.115
RHmin,AMJJAS,61.492,57.399,58.164,59.351,60.843,58.948,60.905,60.282,58.075,58.897,60.634,56.900,57.807,57.400,57.755,55.652,54.984,60.244,53.991,56.534,58.386,52.528,58.793,57.032,57.140,53.093,57.004,58.337,57.847,58.744
RHmin,ONDJFM,68.094,72.544,72.284,70.238,71.895,71.482,68.723,72.973,71.210,72.807,74.075,73.622,72.776,71.013,73.411,68.069,70.632,72.361,71.205,72.110,72.593,71.299,68.294,74.128,71.617,70.336,72.929,77.007,76.225,74.519
RHmin,NDJF,73.004,74.659,73.490,71.807,71.683,72.517,71.452,74.432,73.036,75.304,75.541,75.412,74.438,72.211,75.506,70.720,72.780,76.193,74.240,74.083,76.771,73.748,71.720,76.594,75.755,74.125,74.845,78.987,78.341,76.200
PREC,year,891.850,589.976,716.385,670.436,693.271,720.350,716.288,722.789,671.228,841.885,731.914,634.196,690.575,691.912,709.515,583.967,685.787,815.327,663.091,671.639,793.267,570.826,682.495,766.144,643.172,516.630,724.990,873.991,766.368,779.284
PREC,MAMJJASO,648.666,415.801,467.464,497.190,523.569,512.272,532.681,512.268,466.101,542.220,481.784,414.163,485.367,520.551,496.329,366.959,472.244,624.578,375.090,445.979,564.721,324.809,480.693,572.552,439.053,361.213,494.580,617.710,559.254,514.398
PREC,AMJJAS,458.336,324.667,289.246,372.683,449.576,410.733,495.121,412.090,324.008,379.266,387.447,289.764,385.813,370.848,388.170,280.587,350.207,504.662,262.579,307.855,430.852,241.568,404.588,446.929,373.294,201.279,374.168,437.632,381.765,404.672
PREC,ONDJFM,125.291,406.423,328.555,388.103,268.831,264.740,289.860,252.807,334.920,469.641,339.516,371.740,326.684,294.122,366.201,194.871,369.429,342.633,362.760,371.264,341.775,401.249,232.398,321.344,302.008,239.559,397.008,394.485,355.252,395.268
PREC,NDJF,75.322,239.442,196.299,250.536,132.354,188.841,210.519,181.530,232.998,303.718,203.692,274.119,214.937,150.127,232.398,136.857,278.877,219.703,247.932,217.619,222.119,269.254,167.559,209.189,222.094,144.367,242.154,239.244,192.094,216.250
SRAD,year,3281.781,3538.539,3365.435,3386.705,3288.899,3430.190,3345.452,3479.551,3526.242,3460.130,3379.465,3465.244,3434.614,3561.088,3594.705,3599.224,3639.998,3261.015,3637.276,3428.359,3482.668,3780.667,3458.709,3397.686,3607.551,3718.731,3521.464,3426.646,3565.114,3524.437
