Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,16.763,17.258,17.322,16.008,17.143,16.931,17.056,17.512,17.636,17.766,16.807,17.664,17.564,18.432,17.177,16.761,18.167,17.901,17.894,18.515,18.307,18.083,18.768,17.884,17.517,18.569,18.916,18.429,18.581,17.381
TMAX,MAMJJASO,20.879,21.031,21.264,19.356,21.316,21.119,20.845,21.337,20.950,21.588,20.751,21.184,21.384,22.261,20.810,20.379,21.854,21.760,22.027,22.315,22.468,21.576,23.283,21.621,21.874,22.566,22.674,22.101,22.786,21.474
TMAX,AMJJAS,22.612,23.529,23.276,21.277,23.593,23.054,23.357,23.307,22.380,23.139,22.671,23.375,23.677,24.030,22.537,22.652,23.553,23.979,24.063,24.489,23.882,23.155,25.958,23.573,23.975,24.718,24.963,24.020,25.174,23.795
TMAX,ONDJFM,8.913,10.940,11.261,10.433,10.551,10.858,10.726,11.810,12.847,12.897,11.185,11.202,11.706,12.099,12.040,11.247,12.517,12.467,11.205,11.984,12.772,12.980,11.960,11.472,11.908,10.967,14.068,12.417,11.969,11.632
TMAX,NDJF,6.681,9.182,9.560,8.643,8.828,8.575,9.063,10.258,10.456,10.982,8.424,9.518,10.437,9.593,10.846,9.087,10.679,10.870,9.049,9.773,10.823,10.141,9.675,10.080,9.584,8.846,12.488,10.774,9.668,9.730
TMIN,year,7.395,8.197,7.813,7.181,7.689,7.865,7.876,8.232,7.998,8.202,7.431,8.427,8.091,9.058,7.810,7.771,8.350,8.034,8.304,8.882,8.614,8.936,8.945,8.555,7.938,8.709,8.787,8.844,8.902,8.267
TMIN,MAMJJASO,10.970,11.132,11.049,9.783,10.848,11.245,10.729,11.441,10.813,11.315,10.799,11.340,11.196,11.961,10.587,10.481,10.971,11.216,11.846,11.937,11.872,11.630,12.391,11.473,11.480,11.814,11.684,11.731,12.131,11.415
TMIN,AMJJAS,12.246,13.079,12.760,11.217,12.552,12.856,12.681,13.062,12.294,12.481,12.136,12.980,12.974,13.584,12.249,12.227,12.475,13.143,13.604,13.546,12.789,13.132,14.547,12.845,13.248,13.454,13.380,13.284,14.123,13.251
TMIN,ONDJFM,0.251,2.786,3.374,2.475,2.941,3.139,2.435,4.064,3.775,3.754,3.357,2.715,3.374,4.238,3.721,3.321,4.064,3.797,2.450,3.274,5.220,3.880,3.936,3.613,3.589,3.039,5.290,3.687,3.777,3.622
TMIN,NDJF,-1.965,1.287,1.922,1.112,1.414,1.509,1.413,2.794,1.556,2.552,0.736,1.102,2.188,2.419,2.957,2.008,2.905,2.848,0.534,1.418,3.502,1.609,2.576,2.525,1.702,1.268,4.027,2.325,2.112,2.348
TAVG,year,12.101,12.734,12.364,11.508,12.285,12.317,12.451,12.841,12.744,12.932,12.019,12.798,12.527,13.488,12.238,12.027,12.976,12.764,12.907,13.501,13.206,13.364,13.690,12.951,12.504,13.324,13.623,13.230,13.307,12.392
TAVG,MAMJJASO,15.941,16.090,15.951,14.477,15.968,16.107,15.775,16.360,15.811,16.430,15.691,16.074,16.014,16.849,15.435,15.185,16.180,16.344,16.796,16.986,16.913,16.476,17.626,16.264,16.447,16.869,16.995,16.528,17.026,16.014
TAVG,AMJJAS,17.452,18.293,17.813,16.127,17.967,17.879,17.970,18.159,17.277,17.783,17.310,17.985,18.036,18.545,17.148,17.184,17.824,18.425,18.728,18.905,18.115,18.024,20.026,17.933,18.380,18.770,19.013,18.284,19.246,18.107
TAVG,ONDJFM,4.605,6.926,7.169,6.349,6.662,6.881,6.534,7.908,8.246,8.199,7.251,6.699,7.255,7.920,7.585,7.095,7.923,7.854,6.540,7.321,8.800,8.112,7.837,7.373,7.505,6.735,9.395,7.645,7.441,7.146
TAVG,NDJF,2.425,5.301,5.550,4.768,5.031,4.912,5.174,6.472,5.934,6.645,4.523,4.997,5.973,5.766,6.574,5.401,6.405,6.547,4.481,5.251,6.949,5.587,6.038,6.147,5.431,4.782,7.968,6.125,5.466,5.581
