Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,21.856,21.258,21.681,20.281,21.544,20.964,21.554,21.306,22.242,21.929,21.045,21.172,20.515,22.190,22.563,21.012,22.258,21.895,21.621,21.938,21.926,21.786,22.224,21.756,22.035,22.604,21.731,21.537,22.672,21.260
TMAX,MAMJJASO,25.308,25.191,25.452,23.945,25.737,25.050,25.661,25.005,26.008,25.967,25.190,24.811,23.986,26.086,26.357,24.891,26.242,25.579,25.838,25.760,26.251,25.245,26.697,25.616,26.735,27.138,25.350,25.183,27.032,25.667
TMAX,AMJJAS,26.933,27.536,26.920,26.134,27.760,27.039,28.119,26.543,27.539,28.159,27.825,27.226,26.304,27.832,27.974,26.859,27.298,27.178,28.111,27.705,28.016,26.998,29.209,27.825,28.974,29.250,27.412,27.194,28.724,28.149
TMAX,ONDJFM,14.904,16.603,15.026,15.208,14.745,15.207,15.407,15.324,16.547,17.106,14.201,14.803,15.262,15.222,16.651,16.039,16.875,16.926,15.619,15.742,15.837,16.106,15.806,15.299,15.291,15.108,16.447,16.644,15.185,15.566
TMAX,NDJF,13.122,15.046,12.884,13.475,12.979,12.470,13.168,13.571,14.197,15.028,12.073,13.136,14.108,13.317,15.011,13.739,14.108,14.338,13.685,13.574,13.741,13.669,13.371,14.161,12.778,12.443,14.543,15.092,12.596,13.195
TMIN,year,9.775,10.009,9.829,8.942,9.519,9.306,10.102,9.657,10.657,10.219,9.451,9.393,9.002,10.070,10.568,9.932,10.948,10.080,10.015,9.991,10.330,10.557,10.884,10.102,9.820,11.033,9.820,9.963,10.619,10.164
TMIN,MAMJJASO,12.732,12.614,12.602,11.387,12.372,12.264,12.988,12.332,13.165,13.315,12.503,12.306,11.789,12.852,13.024,12.362,13.566,12.962,13.509,12.817,13.685,12.976,14.085,13.094,13.576,14.448,12.767,12.759,13.633,13.167
TMIN,AMJJAS,13.923,14.373,14.047,13.094,14.056,13.650,14.634,13.825,14.539,14.855,14.100,14.021,13.417,14.051,14.397,13.905,14.779,14.589,15.047,14.463,14.532,14.182,15.776,14.610,15.169,15.774,14.473,14.396,15.095,15.038
TMIN,ONDJFM,3.399,6.268,4.743,5.417,4.958,5.143,5.071,5.857,5.274,7.310,4.961,4.129,4.987,5.203,6.095,6.894,6.328,7.153,4.576,4.992,6.765,5.621,6.531,5.916,4.482,5.323,6.679,5.316,4.986,6.240
TMIN,NDJF,1.400,5.374,3.141,4.579,4.152,3.694,3.224,4.969,3.394,6.457,2.837,2.700,3.829,3.804,4.890,5.688,5.261,5.694,2.958,3.020,5.268,3.264,5.007,4.833,2.246,3.029,5.291,4.004,3.303,4.770
TAVG,year,15.712,15.521,15.655,14.505,15.472,15.046,15.752,15.402,16.391,16.007,15.163,15.197,14.645,16.058,16.496,15.382,16.534,15.885,15.687,15.849,16.007,16.049,16.449,15.803,15.778,16.696,15.659,15.548,16.473,15.523
