Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.712,18.655,18.561,17.575,17.669,17.713,17.495,18.432,19.830,19.485,18.176,18.427,18.018,19.248,19.097,17.844,19.725,18.655,19.029,19.151,18.759,19.252,20.264,18.788,18.969,19.633,19.049,18.664,19.492,17.940
TMAX,MAMJJASO,21.683,22.477,22.576,21.094,22.264,21.898,21.920,22.038,23.782,23.650,22.610,22.150,21.788,22.969,23.021,21.971,23.879,22.519,23.448,22.858,23.108,22.748,25.177,22.979,23.854,24.154,22.856,22.240,23.966,22.751
TMAX,AMJJAS,23.465,25.021,24.790,23.144,24.417,23.727,24.308,24.065,25.421,25.377,24.720,24.802,24.065,24.738,24.772,24.043,25.660,24.646,25.571,25.089,24.465,24.442,27.910,25.106,25.747,26.361,25.074,24.493,26.248,25.078
TMAX,ONDJFM,10.672,12.217,11.934,11.825,11.296,11.061,11.164,12.473,13.661,14.739,11.989,11.658,12.368,12.218,13.589,12.648,12.759,13.864,12.014,12.532,13.347,13.537,13.272,12.389,12.064,11.809,14.439,12.929,11.752,12.105
TMAX,NDJF,8.178,10.816,10.174,10.075,9.535,8.127,8.890,10.956,11.173,12.589,8.845,9.711,11.233,10.264,12.265,9.979,10.064,11.972,9.845,10.305,11.608,10.456,10.523,11.141,9.360,8.772,12.579,11.587,9.319,9.705
TMIN,year,8.908,9.421,9.077,8.342,7.860,8.435,8.753,9.432,9.270,9.437,8.651,9.217,8.861,10.232,9.509,8.480,9.515,9.127,9.797,9.927,9.528,9.863,9.710,9.326,9.207,10.038,9.562,9.264,9.412,8.512
TMIN,MAMJJASO,12.090,11.948,12.127,10.637,11.176,11.418,11.934,12.147,12.157,12.143,11.880,12.018,11.647,12.679,12.249,11.058,12.214,12.225,12.996,12.493,12.806,12.092,12.953,12.247,12.665,13.375,12.259,11.881,12.442,11.767
TMIN,AMJJAS,13.212,13.683,13.918,12.111,12.897,12.712,13.560,13.516,13.413,13.411,13.224,13.742,13.383,14.065,13.562,12.559,13.650,13.684,14.667,14.079,13.557,13.403,15.033,13.697,13.972,14.760,14.073,13.459,14.253,13.439
TMIN,ONDJFM,3.120,4.776,4.848,3.838,3.720,3.242,3.915,5.564,5.114,5.579,4.624,3.878,4.760,5.243,5.970,4.953,4.775,5.392,4.644,4.738,6.413,5.345,5.306,4.603,4.622,4.450,6.480,4.687,3.977,4.522
TMIN,NDJF,0.871,3.715,3.572,2.866,2.240,1.602,2.231,4.206,3.204,4.374,2.226,2.233,4.075,3.700,5.458,3.305,3.155,4.181,2.903,3.267,4.955,3.076,3.929,3.891,2.771,2.030,5.103,3.467,2.520,3.180
TAVG,year,13.142,13.873,13.626,12.805,12.596,12.916,12.969,13.750,14.362,14.302,13.190,13.574,13.132,14.466,14.027,12.889,14.298,13.542,14.098,14.212,13.822,14.234,14.710,13.741,13.765,14.501,13.910,13.579,14.133,12.930
TAVG,MAMJJASO,16.749,17.059,17.191,15.722,16.568,16.503,16.775,16.929,17.866,17.783,17.053,16.861,16.427,17.540,17.364,16.251,17.752,17.098,17.898,17.357,17.645,17.105,18.820,17.325,17.982,18.472,17.159,16.696,17.894,16.959
TAVG,AMJJAS,18.213,19.237,19.224,17.527,18.547,18.080,18.794,18.641,19.350,19.325,18.817,19.082,18.460,19.149,18.943,18.093,19.414,18.909,19.829,19.300,18.744,18.627,21.300,19.160,19.635,20.307,19.220,18.654,19.987,19.025
TAVG,ONDJFM,6.689,8.277,8.173,7.586,7.307,6.942,7.370,8.839,9.103,9.876,8.059,7.441,8.242,8.435,9.471,8.438,8.406,9.183,7.971,8.249,9.552,9.036,8.943,8.093,7.952,7.698,10.078,8.309,7.452,7.957
TAVG,NDJF,4.289,7.042,6.679,6.243,5.709,4.684,5.403,7.389,6.873,8.173,5.288,5.641,7.342,6.692,8.620,6.322,6.279,7.611,6.020,6.442,7.976,6.377,6.913,7.145,5.686,4.974,8.478,7.039,5.528,6.168
RH,year,77.956,75.860,75.805,75.372,74.825,76.796,78.588,78.900,73.519,73.587,75.927,78.541,76.527,78.311,76.058,75.493,75.159,75.282,76.810,76.289,76.353,76.053,70.589,74.983,73.920,74.661,76.649,76.455,74.049,74.716
RH,MAMJJASO,75.763,71.587,72.829,71.413,71.248,73.428,75.122,76.133,69.134,68.323,71.987,75.594,73.070,74.399,72.245,70.536,70.412,71.650,73.192,72.506,72.972,71.897,64.555,70.319,69.317,70.144,73.261,72.875,69.341,69.390
RH,AMJJAS,73.716,68.480,70.708,68.861,69.592,70.685,73.265,74.251,67.007,65.855,68.727,73.090,71.735,72.491,69.856,68.021,68.594,69.405,70.940,70.342,69.843,70.173,61.384,67.589,66.542,66.994,71.247,70.453,67.464,67.544
RH,ONDJFM,81.574,81.818,83.293,80.213,82.201,80.820,83.068,84.318,82.591,78.891,83.216,82.813,82.513,83.593,83.299,82.370,82.483,80.669,82.973,82.226,83.431,80.951,80.450,81.825,82.330,82.407,82.383,81.054,82.028,81.210
RH,NDJF,81.911,83.119,83.527,82.237,82.864,82.981,84.591,85.061,84.678,81.660,84.910,83.392,84.435,85.155,85.624,84.334,84.932,83.654,84.030,84.083,83.757,82.702,83.859,83.812,84.235,84.372,83.905,81.904,84.632,84.688
RHmin,year,60.288,58.289,57.550,57.902,56.476,58.791,61.090,60.706,54.442,55.625,57.721,60.033,58.327,60.167,57.474,57.474,55.896,56.815,58.461,58.085,58.050,57.715,52.492,56.837,55.578,56.358,57.518,57.592,55.153,56.785
RHmin,MAMJJASO,57.810,53.314,54.263,53.368,52.213,54.744,56.667,57.537,50.322,49.936,53.381,56.762,54.552,55.350,53.072,51.554,50.438,53.602,54.089,53.756,54.298,52.829,46.123,51.721,50.498,51.645,53.489,53.664,49.825,50.617
RHmin,AMJJAS,55.400,50.123,52.398,51.086,50.773,52.225,54.388,55.317,48.523,47.804,50.190,53.737,52.960,53.622,51.044,49.310,48.961,51.192,52.086,51.484,51.362,51.237,43.507,49.015,47.922,48.462,51.810,51.177,48.195,48.790
RHmin,ONDJFM,64.252,64.654,66.628,62.249,64.701,63.305,66.138,67.814,63.355,59.585,65.986,64.441,64.881,66.717,65.457,64.411,64.144,61.643,65.293,63.930,66.523,62.222,62.764,63.562,64.733,64.642,63.877,61.715,63.750,63.606
RHmin,NDJF,64.554,66.140,67.663,65.040,65.694,67.070,68.307,68.536,65.592,62.789,68.303,65.229,66.991,68.442,68.785,67.668,67.806,64.786,66.621,66.654,67.182,64.661,67.457,66.034,67.427,66.973,65.831,62.557,67.257,68.175
PREC,year,1015.878,937.101,844.838,950.674,704.106,926.150,874.941,947.134,666.545,809.125,709.033,926.318,933.952,1038.956,947.438,877.083,819.593,864.963,1036.290,1023.061,970.461,976.987,742.216,803.103,681.755,846.030,850.105,968.222,813.463,860.828
PREC,MAMJJASO,657.528,549.546,597.776,553.763,461.049,561.940,633.369,606.617,427.334,463.651,466.819,663.854,680.478,644.066,518.549,437.433,460.407,622.732,644.224,648.767,699.844,550.193,430.381,526.968,456.604,579.376,549.470,657.284,447.308,508.533
PREC,AMJJAS,427.189,329.635,481.537,397.226,358.456,401.921,420.268,401.591,330.007,320.359,319.026,462.938,535.295,509.375,387.201,342.297,393.481,463.042,477.803,465.521,451.061,403.119,292.745,350.291,347.057,377.416,451.682,456.992,344.662,360.623
PREC,ONDJFM,236.181,559.709,586.901,445.589,479.191,425.183,412.059,651.299,339.487,376.034,463.184,353.970,410.796,579.705,608.776,424.414,462.861,450.204,482.525,484.450,725.191,382.221,537.878,512.327,359.086,443.610,467.669,402.272,451.139,501.633
PREC,NDJF,137.871,349.117,383.194,326.397,304.881,329.826,264.522,385.208,195.426,322.002,263.312,207.059,259.914,408.788,431.056,344.209,392.488,351.116,296.044,335.472,428.166,254.680,409.602,347.324,197.063,252.639,318.756,267.245,309.174,381.891
SRAD,year,4629.907,4872.324,4822.591,4795.224,4929.272,4784.352,4631.593,4671.890,5140.308,5061.888,4909.605,4667.457,4723.223,4769.656,4894.920,4832.422,5056.435,4828.559,4829.247,4850.772,4851.555,4784.119,5273.823,4920.846,5070.540,5019.145,4994.274,4885.322,5152.324,5010.763
SRAD,MAMJJASO,3973.547,4288.839,4169.020,4200.085,4292.965,4158.801,4057.928,4028.555,4469.433,4437.262,4266.172,4035.477,4103.469,4175.978,4270.996,4260.094,4439.781,4120.979,4208.645,4223.133,4192.353,4186.822,4610.196,4293.537,4393.963,4353.414,4328.487,4209.061,4519.458,4424.895
