Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.766,14.464,14.480,14.437,13.339,13.231,13.528,14.234,15.199,15.256,14.180,14.295,13.810,14.426,15.201,13.831,15.273,14.643,15.100,14.703,14.546,15.012,15.594,15.051,14.999,15.430,15.283,14.618,14.812,13.875
TMAX,MAMJJASO,16.663,17.328,17.127,17.293,16.300,15.954,16.290,16.637,17.975,18.039,17.225,16.946,16.304,16.859,18.349,16.914,18.080,16.984,17.937,17.349,17.369,17.541,18.605,17.638,17.891,18.442,17.850,17.118,17.958,17.638
TMAX,AMJJAS,18.330,19.053,18.757,19.144,17.757,17.169,18.130,18.108,19.399,19.320,18.661,18.887,17.914,18.264,19.953,18.588,19.517,18.372,19.465,18.822,18.745,19.048,20.362,19.324,19.210,20.325,19.167,18.806,19.364,19.277
TMAX,ONDJFM,8.980,9.032,9.852,9.611,9.401,8.710,9.518,9.825,11.199,11.247,9.812,10.191,9.851,9.194,10.898,9.465,10.244,11.403,10.517,10.821,9.628,11.586,10.637,10.577,10.746,10.057,11.756,11.116,9.875,9.541
TMAX,NDJF,7.764,7.879,8.673,8.712,7.991,6.807,8.461,8.800,10.200,9.620,7.752,9.067,9.121,7.994,10.190,7.857,8.141,10.346,9.360,9.443,8.492,9.941,9.154,9.658,9.698,8.639,10.405,10.122,8.302,7.576
TMIN,year,6.261,6.705,7.001,6.549,6.038,5.823,6.259,6.959,7.123,7.346,6.698,6.854,6.566,7.135,7.091,6.354,7.426,7.431,7.518,7.265,6.940,7.625,7.224,7.687,7.583,7.871,7.619,7.161,7.310,5.963
TMIN,MAMJJASO,8.599,8.814,8.897,8.412,8.476,7.824,8.258,8.765,8.995,9.169,9.068,8.908,8.373,8.805,9.274,8.498,9.286,9.329,9.623,9.118,9.298,9.285,9.326,9.642,9.816,10.014,9.457,9.164,9.646,8.927
TMIN,AMJJAS,9.851,10.028,10.005,9.500,9.651,8.787,9.718,9.838,9.875,9.811,10.008,10.355,9.698,9.868,10.348,9.481,10.375,10.388,10.773,10.159,10.165,10.538,10.935,10.967,10.535,11.261,10.582,10.607,10.783,10.196
TMIN,ONDJFM,2.584,2.267,3.722,3.464,2.951,2.489,2.960,3.832,4.498,4.754,3.643,3.931,3.467,3.117,4.288,3.623,3.702,5.046,4.007,4.305,3.418,4.786,4.045,3.836,4.639,3.973,5.271,4.187,3.430,3.080
TMIN,NDJF,1.496,1.470,2.637,2.723,1.976,1.041,2.127,3.279,3.820,3.529,1.865,2.811,3.133,2.183,4.141,2.282,2.058,4.474,3.096,3.289,2.645,3.199,3.481,3.449,3.781,2.605,4.389,3.377,2.506,1.650
TAVG,year,9.824,10.420,10.570,10.321,9.538,9.374,9.749,10.455,10.989,11.106,10.299,10.418,10.005,10.612,10.973,9.936,11.187,10.883,11.144,10.843,10.574,11.179,11.262,11.199,11.232,11.592,11.390,10.812,11.024,9.785
TAVG,MAMJJASO,12.455,12.943,12.866,12.703,12.257,11.743,12.152,12.565,13.324,13.433,13.019,12.791,12.195,12.687,13.665,12.549,13.541,13.041,13.655,13.098,13.204,13.300,13.857,13.535,13.811,14.184,13.601,13.072,13.786,13.180
TAVG,AMJJAS,13.939,14.402,14.227,14.175,13.546,12.823,13.807,13.838,14.478,14.405,14.212,14.470,13.668,13.934,15.015,13.885,14.803,14.266,15.004,14.330,14.343,14.700,15.541,15.038,14.831,15.754,14.831,14.641,15.075,14.631
TAVG,ONDJFM,5.563,5.457,6.588,6.342,5.990,5.477,6.057,6.682,7.648,7.797,6.568,6.877,6.454,5.962,7.347,6.386,6.795,8.041,7.048,7.402,6.372,7.929,7.180,7.020,7.540,6.921,8.439,7.550,6.591,6.199
TAVG,NDJF,4.430,4.468,5.418,5.487,4.785,3.771,5.075,5.888,6.810,6.344,4.654,5.723,5.892,4.853,6.932,4.881,4.916,7.206,5.977,6.186,5.418,6.256,6.144,6.332,6.518,5.524,7.308,6.638,5.339,4.493
RH,year,82.986,81.956,81.738,80.755,82.684,81.660,82.564,81.889,79.897,79.637,82.175,81.635,81.917,81.511,79.854,80.301,81.618,82.144,81.527,82.351,81.657,82.086,79.337,81.615,81.081,80.692,82.437,82.200,82.270,81.014
RH,MAMJJASO,81.995,79.904,80.811,78.177,81.917,80.725,81.210,80.763,77.717,77.183,80.766,79.870,80.480,79.374,77.335,78.236,79.462,81.066,80.491,81.063,80.034,80.256,76.819,80.087,79.591,78.796,81.139,80.646,80.063,78.439
RH,AMJJAS,81.064,78.690,80.017,76.604,81.261,79.814,80.424,80.105,76.032,75.979,79.331,78.905,80.467,78.591,75.711,76.802,78.793,80.828,80.023,80.598,78.720,79.643,76.312,79.267,78.230,77.412,80.410,80.464,79.260,77.477
RH,ONDJFM,84.996,84.483,84.429,83.949,84.696,83.856,83.852,84.419,83.827,83.656,84.572,84.618,83.304,83.867,84.510,84.166,83.833,83.938,83.645,82.908,84.823,84.077,83.612,83.084,84.077,83.858,84.311,84.118,84.888,85.114
RH,NDJF,84.718,85.804,83.850,85.053,85.241,83.904,84.611,84.781,84.221,84.792,84.925,85.047,84.758,85.174,85.932,84.979,84.508,85.224,84.536,83.737,85.597,84.524,85.198,84.876,84.301,84.701,84.842,84.956,86.395,86.791
RHmin,year,65.582,64.591,64.924,63.531,65.902,64.785,65.891,65.411,62.499,62.597,65.258,64.845,65.356,65.069,62.499,63.928,64.267,65.658,64.544,65.527,64.601,65.513,61.642,65.052,64.867,64.456,65.395,65.420,65.713,63.701
RHmin,MAMJJASO,64.130,62.049,63.185,60.130,64.680,62.989,63.737,63.687,59.567,59.426,63.270,62.747,63.376,62.300,59.245,60.880,61.175,64.389,62.859,63.310,63.002,62.723,58.534,63.143,62.892,61.723,63.306,63.543,62.806,60.753
RHmin,AMJJAS,62.924,60.333,61.755,57.803,63.754,61.932,62.682,62.624,57.540,57.544,61.412,61.287,63.031,61.265,57.349,58.733,60.237,63.766,62.035,62.252,61.229,62.046,58.207,62.052,60.827,59.740,62.636,63.193,61.925,59.540
RHmin,ONDJFM,68.620,67.571,68.835,68.533,68.426,68.545,67.522,69.336,67.329,67.666,69.045,68.803,67.398,68.525,67.957,69.598,67.629,68.312,67.431,67.093,69.230,67.200,67.750,66.705,68.916,68.869,68.638,67.350,69.097,69.145
RHmin,NDJF,68.533,69.187,68.233,69.490,69.564,69.222,68.302,70.489,68.137,69.013,69.619,68.868,69.183,69.719,70.125,70.525,68.809,70.156,68.321,68.213,70.443,67.180,70.645,69.030,69.100,69.418,69.851,68.240,71.456,71.297
PREC,year,1035.203,1063.085,988.544,958.376,966.535,1112.386,934.013,1015.648,922.538,1094.940,875.335,1056.149,1032.318,1075.098,927.159,796.684,927.688,1163.069,1133.567,1211.200,884.176,1118.820,755.668,1003.074,888.527,1016.602,1072.804,1160.758,1051.206,785.363
PREC,MAMJJASO,693.475,614.511,597.069,468.294,638.641,627.602,654.698,643.979,541.512,529.446,527.681,661.060,591.535,584.170,457.914,443.173,511.236,739.119,612.359,685.855,573.496,590.251,405.922,644.248,546.819,590.950,620.664,721.524,594.439,522.821
PREC,AMJJAS,417.997,393.146,390.630,284.719,521.698,422.427,415.307,429.969,318.902,327.632,351.273,463.927,461.980,364.835,283.156,293.348,393.776,470.127,466.076,457.711,369.309,391.451,307.318,452.311,368.366,384.084,488.523,469.346,439.086,371.744
PREC,ONDJFM,301.387,588.580,672.479,617.024,554.704,529.418,635.105,669.874,561.799,705.099,568.335,548.375,573.544,684.615,747.917,446.558,548.906,590.452,713.509,627.905,718.115,616.059,568.785,518.354,535.183,479.826,761.300,638.121,544.577,580.802
PREC,NDJF,154.255,349.460,468.715,433.567,370.756,379.189,434.863,411.860,347.317,519.969,361.515,341.589,443.864,466.354,585.111,313.026,379.908,433.397,465.738,499.875,473.238,423.792,388.485,407.511,338.264,269.509,566.885,471.083,334.302,426.038
SRAD,year,3406.282,3650.856,3481.732,3661.638,3481.097,3564.221,3400.619,3500.288,3855.642,3776.614,3544.011,3580.636,3423.785,3475.801,3892.576,3678.988,3679.669,3457.251,3661.239,3572.404,3681.922,3559.687,3897.672,3689.810,3655.008,3776.906,3682.302,3609.878,3754.380,3781.482
SRAD,MAMJJASO,3093.158,3320.924,3162.807,3343.612,3126.713,3222.674,3089.871,3151.146,3501.044,3443.409,3211.389,3247.215,3119.817,3171.871,3563.762,3328.603,3361.868,3109.208,3315.739,3231.206,3307.222,3226.949,3524.917,3340.825,3298.438,3418.833,3337.247,3248.835,3410.723,3423.622
SRAD,AMJJAS,2685.273,2857.746,2752.135,2925.723,2680.232,2746.573,2655.779,2728.948,3069.577,2998.265,2801.297,2839.268,2676.168,2720.743,3072.671,2936.607,2885.929,2716.396,2843.323,2799.440,2874.261,2780.885,2984.082,2868.782,2889.038,2995.876,2842.823,2769.895,2922.561,2938.066
SRAD,ONDJFM,409.650,813.003,714.245,727.241,777.544,823.081,779.800,748.163,792.611,783.833,749.989,723.199,758.695,732.558,818.734,750.421,790.922,745.331,801.221,798.768,780.089,816.273,868.962,849.122,755.470,779.918,836.714,833.359,845.295,825.638
SRAD,NDJF,181.191,326.651,324.116,314.651,337.024,352.418,325.601,326.744,356.106,338.309,338.220,330.240,311.381,303.965,315.414,344.279,335.900,335.962,342.277,350.150,357.003,357.955,357.094,359.685,331.727,365.385,352.846,361.390,337.751,361.553
WIND,year,3.897,3.988,4.050,3.706,3.750,4.281,3.599,3.963,3.861,4.271,3.821,4.042,4.086,4.359,4.016,3.972,3.896,4.269,4.196,4.124,3.905,4.059,3.864,3.970,4.107,4.078,4.081,4.204,4.089,3.659
WIND,MAMJJASO,3.749,3.752,3.711,3.389,3.698,3.898,3.528,3.743,3.664,3.834,3.715,3.927,3.678,4.111,3.761,3.711,3.597,4.042,3.767,3.696,3.863,3.694,3.621,3.822,3.854,3.813,3.800,3.986,3.979,3.728
WIND,AMJJAS,3.564,3.607,3.387,3.226,3.805,3.714,3.396,3.660,3.395,3.481,3.725,3.817,3.666,3.775,3.468,3.560,3.482,3.820,3.626,3.476,3.700,3.544,3.531,3.706,3.800,3.655,3.775,3.692,3.951,3.630
WIND,ONDJFM,4.400,4.195,4.727,4.328,3.921,4.151,4.394,4.305,4.434,4.762,3.975,4.222,4.598,4.729,4.930,4.110,4.486,4.321,4.764,4.834,4.271,4.755,4.120,4.243,4.402,4.166,4.837,4.536,4.236,3.972
WIND,NDJF,4.308,4.119,5.063,4.406,3.870,4.309,4.448,4.517,4.531,4.798,3.904,4.163,4.965,4.698,5.211,4.158,4.477,4.575,4.819,5.182,4.291,4.825,4.266,4.333,4.615,4.060,5.083,4.752,4.113,4.046
VPD,year,0.238,0.264,0.273,0.287,0.233,0.247,0.240,0.255,0.319,0.323,0.259,0.271,0.253,0.273,0.327,0.288,0.282,0.261,0.280,0.260,0.273,0.269,0.329,0.280,0.289,0.313,0.264,0.261,0.272,0.279
VPD,MAMJJASO,0.289,0.329,0.331,0.363,0.282,0.297,0.294,0.303,0.398,0.405,0.319,0.335,0.306,0.338,0.417,0.362,0.352,0.311,0.339,0.314,0.338,0.330,0.416,0.342,0.355,0.391,0.317,0.317,0.344,0.362
VPD,AMJJAS,0.328,0.377,0.375,0.420,0.314,0.331,0.335,0.338,0.457,0.453,0.364,0.382,0.337,0.378,0.481,0.414,0.390,0.341,0.376,0.348,0.383,0.366,0.466,0.387,0.401,0.454,0.353,0.352,0.384,0.410
VPD,ONDJFM,0.141,0.151,0.157,0.162,0.150,0.154,0.161,0.159,0.178,0.187,0.163,0.163,0.172,0.159,0.169,0.162,0.174,0.182,0.176,0.186,0.155,0.183,0.177,0.183,0.173,0.170,0.183,0.174,0.158,0.154
VPD,NDJF,0.132,0.127,0.151,0.141,0.130,0.133,0.142,0.146,0.163,0.155,0.134,0.146,0.149,0.135,0.147,0.134,0.143,0.157,0.152,0.162,0.136,0.157,0.144,0.152,0.158,0.145,0.163,0.156,0.127,0.118
FWI_FD,year,1.410,1.634,1.976,2.370,1.257,1.554,1.100,1.331,2.664,2.851,2.023,1.631,1.445,1.836,3.214,2.404,1.889,1.394,1.590,1.330,1.549,1.598,2.906,1.512,1.730,2.105,1.698,1.288,1.788,1.972
FWI_FD,MAMJJASO,1.948,2.321,2.651,3.438,1.681,2.150,1.487,1.745,3.701,4.091,2.850,2.260,1.901,2.615,4.616,3.433,2.633,1.829,2.172,1.846,2.129,2.264,4.149,2.055,2.334,2.960,2.301,1.722,2.562,2.842
FWI_FD,AMJJAS,2.528,2.991,3.277,4.421,1.827,2.488,1.886,2.155,4.485,4.858,3.483,2.791,2.107,3.166,5.765,4.264,2.960,2.251,2.627,2.219,2.727,2.591,4.527,2.524,2.862,3.795,2.723,2.044,2.916,3.534
FWI_FD,ONDJFM,0.262,0.317,0.339,0.594,0.306,0.717,0.573,0.352,0.605,0.995,0.557,0.677,0.731,0.450,0.467,0.674,0.730,0.789,0.379,0.680,0.211,0.536,0.699,1.132,0.554,0.511,0.444,0.691,0.528,0.556
FWI_FD,NDJF,0.299,0.293,0.353,0.465,0.232,0.426,0.290,0.345,0.609,0.439,0.257,0.479,0.452,0.284,0.236,0.419,0.359,0.576,0.282,0.428,0.182,0.420,0.271,0.332,0.522,0.398,0.329,0.578,0.298,0.125
FWI_3+,year,2.112,2.396,9.973,12.378,1.363,3.360,0.993,1.090,16.566,19.075,7.682,6.743,2.304,9.012,27.391,12.558,4.327,3.309,5.825,1.378,3.534,1.822,18.403,3.690,3.704,13.867,3.081,1.843,4.338,8.601
FWI_3+,MAMJJASO,2.111,2.396,9.972,12.378,1.103,3.348,0.991,1.087,16.542,19.073,7.680,6.722,2.270,8.996,27.374,12.545,4.315,3.260,5.800,1.374,3.524,1.806,18.368,3.670,3.688,13.838,2.967,1.830,4.331,8.599
FWI_3+,AMJJAS,2.111,2.396,9.966,12.374,0.840,3.284,0.991,1.048,16.241,18.548,7.557,6.721,2.230,8.912,27.318,12.504,3.981,3.254,5.779,1.369,3.516,1.535,14.780,3.659,3.631,13.835,2.944,1.813,3.814,8.589
FWI_3+,ONDJFM,0.000,0.001,0.000,0.007,0.005,0.526,0.073,0.003,0.065,0.329,0.501,0.137,0.074,0.072,0.049,0.077,0.153,0.277,0.034,0.026,0.009,0.040,0.294,3.598,0.025,0.079,0.037,0.130,0.044,0.509
FWI_3+,NDJF,0.000,0.001,0.000,0.001,0.000,0.261,0.012,0.003,0.026,0.002,0.000,0.015,0.034,0.011,0.023,0.017,0.007,0.051,0.027,0.007,0.006,0.017,0.023,0.018,0.022,0.020,0.028,0.113,0.013,0.002
FWI_4+,year,0.006,0.006,0.212,0.304,0.065,0.083,0.001,0.004,0.578,3.374,0.261,0.249,0.031,0.470,6.762,0.637,0.382,0.139,0.360,0.009,0.051,0.030,0.860,0.107,0.123,1.271,0.042,0.049,0.075,0.719
FWI_4+,MAMJJASO,0.006,0.006,0.212,0.304,0.004,0.082,0.001,0.004,0.572,3.373,0.261,0.245,0.022,0.469,6.759,0.636,0.380,0.137,0.359,0.008,0.049,0.027,0.854,0.106,0.122,1.266,0.040,0.048,0.075,0.719
FWI_4+,AMJJAS,0.006,0.006,0.212,0.304,0.004,0.079,0.001,0.003,0.569,3.373,0.259,0.245,0.021,0.464,6.757,0.635,0.374,0.137,0.357,0.008,0.049,0.015,0.593,0.104,0.118,1.266,0.039,0.047,0.031,0.717
FWI_4+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.062,0.003,0.000,0.006,0.004,0.001,0.004,0.009,0.002,0.007,0.004,0.002,0.010,0.002,0.003,0.001,0.004,0.017,0.264,0.001,0.008,0.005,0.002,0.002,0.045
FWI_4+,NDJF,0.000,0.000,0.000,0.000,0.000,0.061,0.001,0.000,0.006,0.000,0.000,0.002,0.008,0.002,0.003,0.003,0.001,0.002,0.002,0.001,0.001,0.003,0.003,0.002,0.001,0.003,0.004,0.002,0.002,0.000
FWI_5+,year,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.006,0.024,0.001,0.004,0.006,0.009,0.198,0.002,0.018,0.000,0.000,0.000,0.001,0.005,0.030,0.012,0.005,0.012,0.001,0.008,0.002,0.008
FWI_5+,MAMJJASO,0.000,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.003,0.024,0.001,0.004,0.004,0.009,0.197,0.002,0.018,0.000,0.000,0.000,0.001,0.004,0.030,0.011,0.005,0.010,0.001,0.007,0.002,0.008
FWI_5+,AMJJAS,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.002,0.024,0.001,0.004,0.004,0.008,0.197,0.002,0.015,0.000,0.000,0.000,0.001,0.002,0.026,0.011,0.003,0.010,0.001,0.007,0.002,0.007
FWI_5+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.000,0.000,0.000,0.002,0.001,0.002,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.004,0.001,0.003,0.001,0.000,0.000,0.001
FWI_5+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.000
