Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.531,13.932,14.792,13.515,12.202,13.180,11.878,13.785,15.104,14.879,14.306,14.729,13.315,14.217,14.264,13.018,13.866,13.493,15.085,15.168,14.395,15.322,14.130,13.881,14.338,14.991,15.089,15.152,14.185,13.889
TMAX,MAMJJASO,18.702,18.811,19.921,18.556,18.174,18.472,16.846,18.924,19.664,19.092,19.065,19.509,18.142,19.443,19.760,18.609,18.837,18.517,20.648,19.755,19.748,21.057,19.251,18.936,19.350,20.393,20.460,19.762,19.321,20.195
TMAX,AMJJAS,21.477,21.534,23.078,21.325,21.024,21.245,19.705,22.229,22.368,21.217,21.881,22.962,21.075,22.861,22.550,21.722,22.053,21.494,23.858,22.230,22.727,24.832,22.615,21.622,22.717,23.901,23.001,22.481,22.916,23.707
TMAX,ONDJFM,3.451,5.496,7.008,5.669,3.507,4.874,3.915,5.907,7.380,8.238,6.625,7.413,5.764,4.870,6.504,3.632,6.286,6.095,5.122,6.481,7.517,7.335,4.075,5.583,5.889,4.993,8.693,7.105,6.437,4.463
TMAX,NDJF,1.831,2.553,5.327,3.579,0.116,1.724,1.738,4.139,5.255,5.944,4.357,5.409,4.666,2.437,4.796,0.392,3.794,4.639,2.011,4.487,5.304,4.532,1.525,3.815,4.380,2.439,5.870,5.178,4.250,1.982
TMIN,year,5.644,5.645,6.328,5.817,4.402,5.142,3.799,5.794,6.914,6.769,6.152,6.308,5.293,5.836,5.967,4.436,5.701,5.886,6.344,6.813,6.298,6.285,5.951,5.900,5.696,6.200,6.698,6.949,6.037,5.431
TMIN,MAMJJASO,9.266,8.864,9.809,9.234,9.175,8.955,7.580,9.417,9.971,9.278,9.318,9.214,8.507,9.377,9.814,8.192,8.817,9.338,9.752,9.319,10.088,9.944,9.207,9.310,8.728,9.536,10.272,9.678,9.231,9.867
TMIN,AMJJAS,11.335,10.733,11.936,11.266,11.050,10.978,10.149,12.041,11.639,10.797,11.276,11.513,10.614,11.653,11.580,10.546,10.957,11.666,11.736,10.888,12.282,12.355,11.656,11.075,11.350,11.919,12.094,11.381,11.463,12.877
TMIN,ONDJFM,-2.595,-0.186,1.331,0.008,-1.862,-0.902,-2.340,0.429,1.262,2.174,1.223,1.542,0.394,-0.464,1.030,-2.609,0.492,1.048,-0.427,1.539,2.112,1.087,-1.499,0.531,0.432,-0.899,2.431,2.112,1.309,-0.926
TMIN,NDJF,-3.208,-2.326,0.397,-1.228,-4.860,-3.433,-3.658,-0.425,-0.071,0.653,-0.191,0.494,0.001,-2.204,-0.143,-4.670,-0.998,0.494,-2.480,0.244,1.325,-0.839,-3.197,-0.506,-0.233,-2.044,0.706,1.103,-0.160,-2.402
TAVG,year,9.424,9.639,10.434,9.493,8.121,9.017,7.687,9.611,10.861,10.646,10.044,10.409,9.156,9.871,9.927,8.660,9.671,9.503,10.714,10.890,10.187,10.737,9.908,9.766,9.935,10.584,10.792,11.005,10.072,9.634
TAVG,MAMJJASO,13.716,13.607,14.674,13.658,13.382,13.489,11.960,13.935,14.616,13.973,13.946,14.189,13.121,14.210,14.561,13.307,13.700,13.721,15.208,14.404,14.711,15.411,14.051,13.944,13.942,14.950,15.211,14.660,14.177,14.954
TAVG,AMJJAS,16.116,15.931,17.328,16.040,15.731,15.924,14.709,16.899,16.812,15.832,16.353,17.102,15.667,17.094,16.900,16.071,16.416,16.415,17.930,16.496,17.316,18.591,17.003,16.207,16.985,17.943,17.420,16.927,17.127,18.241
TAVG,ONDJFM,0.420,2.584,4.071,2.789,0.753,1.922,0.676,3.061,4.164,5.071,3.776,4.350,3.003,2.096,3.554,0.420,3.258,3.390,2.140,3.915,4.664,4.048,1.174,2.980,3.029,1.958,5.477,4.543,3.834,1.762
TAVG,NDJF,-0.614,0.170,2.831,1.186,-2.371,-0.800,-0.961,1.824,2.532,3.219,2.034,2.927,2.342,0.069,2.206,-2.159,1.354,2.431,-0.354,2.389,3.233,1.794,-0.839,1.649,1.998,0.188,3.296,3.136,2.085,-0.132
