Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.923,15.765,16.162,14.357,14.072,15.017,13.932,15.414,16.222,16.392,14.971,16.446,15.526,16.838,15.362,13.576,15.392,15.750,15.999,16.917,15.265,16.333,16.581,15.579,15.582,16.233,16.881,16.583,16.046,14.607
TMAX,MAMJJASO,20.456,21.229,21.602,19.061,19.773,20.458,19.077,20.275,21.132,21.105,20.199,21.657,20.647,21.661,20.711,18.937,20.380,20.610,21.559,21.914,20.548,21.245,22.318,20.799,21.123,21.615,21.993,21.007,21.566,20.175
TMAX,AMJJAS,22.720,23.787,24.460,21.219,22.502,23.061,22.119,23.316,23.013,22.909,22.502,25.029,23.630,24.553,23.167,21.751,23.057,23.516,24.271,24.580,22.596,24.143,25.905,23.364,23.755,24.560,24.835,23.687,25.014,22.960
TMAX,ONDJFM,5.690,6.478,8.574,7.150,5.890,6.354,6.018,7.958,8.733,10.074,8.087,7.893,7.193,8.315,8.515,5.196,7.421,8.648,7.188,7.770,9.030,8.906,7.086,7.224,7.630,6.243,11.248,8.148,7.481,6.984
TMAX,NDJF,2.290,3.162,6.122,4.564,2.481,3.406,3.634,6.213,5.629,7.061,4.727,5.496,5.239,5.592,7.047,1.812,4.238,7.107,4.116,5.289,6.478,5.469,4.221,5.528,4.890,3.140,8.750,6.098,4.843,4.394
TMIN,year,5.980,6.154,6.374,5.793,5.072,5.605,5.262,6.577,6.841,6.679,5.681,6.901,5.975,7.236,6.484,5.054,5.911,6.661,6.832,7.482,6.548,7.204,6.183,6.270,6.047,6.619,7.285,7.308,7.004,5.842
TMIN,MAMJJASO,10.110,9.995,10.293,8.972,9.531,9.588,9.037,9.794,10.276,9.707,9.585,10.262,9.641,10.412,10.224,9.189,9.217,10.368,10.676,10.922,10.662,10.777,10.141,9.831,9.744,10.480,10.422,10.243,10.861,9.997
TMIN,AMJJAS,11.558,11.741,12.275,10.739,11.461,11.641,11.588,11.765,11.931,11.126,11.316,12.527,11.739,12.462,12.049,11.262,11.307,12.407,12.650,12.446,12.045,13.005,12.683,11.663,12.060,12.818,12.453,12.255,12.901,12.415
TMIN,ONDJFM,-1.564,-0.380,1.736,-0.263,-0.809,-0.620,-1.540,1.978,1.786,1.837,0.866,0.844,-0.016,1.668,1.483,-1.235,0.366,1.181,0.788,1.079,2.369,1.363,-0.166,0.223,0.437,-0.857,3.537,1.454,1.326,0.373
TMIN,NDJF,-4.410,-2.925,-0.027,-1.963,-3.672,-2.766,-2.779,1.028,-0.119,-0.201,-1.515,-0.470,-1.370,-0.309,0.876,-3.624,-2.043,0.420,-1.588,-0.771,0.268,-1.226,-2.160,-0.936,-0.981,-2.896,2.481,0.252,-0.527,-1.416
TAVG,year,10.321,10.763,11.146,9.872,9.348,10.097,9.453,10.860,11.331,11.309,10.090,11.519,10.550,11.856,10.761,9.115,10.431,11.065,11.267,12.066,10.735,11.575,11.229,10.765,10.639,11.201,11.953,11.781,11.373,10.080
TAVG,MAMJJASO,15.092,15.397,15.801,13.768,14.383,14.784,13.848,14.874,15.485,15.151,14.605,15.799,14.907,15.843,15.264,13.839,14.506,15.337,15.915,16.237,15.388,15.759,16.073,15.104,15.222,15.778,16.043,15.425,15.985,14.854
TAVG,AMJJAS,16.957,17.642,18.269,15.809,16.762,17.176,16.661,17.419,17.314,16.866,16.707,18.714,17.510,18.400,17.490,16.352,16.970,17.840,18.322,18.383,17.164,18.378,19.231,17.347,17.769,18.486,18.550,17.855,18.774,17.532
TAVG,ONDJFM,1.995,2.876,4.974,3.239,2.321,2.628,2.027,4.852,5.101,5.616,4.217,4.096,3.347,4.784,4.761,1.746,3.692,4.705,3.800,4.307,5.520,4.937,3.257,3.545,3.809,2.458,7.230,4.591,4.252,3.557
TAVG,NDJF,-1.099,0.065,2.952,1.208,-0.735,0.175,0.314,3.564,2.683,3.163,1.493,2.391,1.797,2.489,3.886,-1.038,1.016,3.653,1.172,2.267,3.277,2.049,0.934,2.197,1.785,0.010,5.592,3.086,2.137,1.495
RH,year,76.709,75.261,74.040,77.014,76.887,75.600,77.837,76.137,76.382,73.574,75.245,72.622,73.950,74.271,76.799,77.812,75.699,75.262,75.544,75.414,78.857,76.541,71.439,75.688,75.612,75.514,74.595,75.696,77.093,77.420
RH,MAMJJASO,73.348,71.147,69.535,73.520,73.949,71.864,74.237,71.677,72.491,68.464,71.627,66.970,69.633,69.675,72.772,74.762,71.183,71.675,70.890,70.551,75.509,72.444,65.127,71.176,70.696,70.658,69.161,71.821,72.448,73.129
RH,AMJJAS,71.251,68.856,67.079,72.665,71.825,70.266,73.285,68.930,70.968,66.984,69.547,63.487,66.655,66.771,70.516,72.628,69.381,69.549,68.371,66.622,72.748,70.389,61.560,68.373,68.852,67.584,65.837,69.040,68.896,72.106
RH,ONDJFM,81.040,81.700,82.621,79.739,82.184,82.121,81.304,83.500,82.507,79.658,81.321,81.111,80.918,82.115,81.994,83.856,82.522,80.100,83.348,83.343,84.876,82.423,82.365,82.277,82.779,84.067,82.095,82.939,85.370,83.313
RH,NDJF,82.472,83.699,84.064,82.729,82.935,83.657,84.454,85.640,85.491,82.081,83.227,84.090,82.898,83.650,83.835,85.419,84.272,83.031,84.991,84.519,86.029,84.252,85.057,83.990,85.322,86.267,85.116,84.453,86.581,85.826
RHmin,year,59.053,56.660,55.861,59.686,58.602,57.179,60.098,59.006,57.870,55.551,56.851,55.393,55.778,56.220,59.419,60.292,57.293,57.728,58.038,57.617,61.089,58.658,53.313,57.787,57.291,56.928,56.996,57.823,59.562,59.944
RHmin,MAMJJASO,54.310,51.179,50.415,54.471,54.603,52.301,54.995,52.989,52.736,49.060,52.099,48.372,50.411,50.326,53.781,56.161,51.028,53.433,51.793,51.572,56.762,53.408,46.291,51.768,50.640,50.934,49.817,52.539,53.312,54.342
RHmin,AMJJAS,51.657,48.809,47.750,53.776,51.970,50.582,53.866,49.596,51.680,47.900,50.120,44.756,47.327,47.536,51.670,53.936,49.406,50.787,49.255,47.248,54.000,51.161,42.766,48.861,49.377,48.327,46.597,50.065,48.791,53.586
RHmin,ONDJFM,64.400,65.372,66.318,62.725,65.920,65.442,63.788,69.048,66.364,61.207,64.489,64.555,63.938,66.173,65.256,67.861,65.819,63.264,67.713,67.321,68.571,65.175,65.552,65.618,65.726,66.792,64.833,66.930,69.961,67.606
RHmin,NDJF,66.261,68.550,68.920,66.760,67.480,68.102,68.463,72.422,70.983,64.663,67.964,69.239,66.843,68.767,68.846,71.238,68.809,67.324,70.407,69.707,70.516,68.123,69.291,68.019,70.113,70.800,70.046,70.055,72.823,71.356
PREC,year,848.804,535.403,605.320,631.173,689.316,722.109,767.810,698.909,563.637,578.551,593.640,609.729,668.927,665.912,806.206,699.171,741.592,708.387,631.220,696.992,796.154,862.044,499.050,657.666,713.367,702.120,730.193,610.317,736.844,867.252
PREC,MAMJJASO,627.237,394.373,429.494,475.102,499.666,527.557,548.015,463.434,443.136,392.670,414.691,445.906,454.994,500.139,605.458,585.636,577.865,595.832,426.786,518.588,609.068,632.057,361.256,446.732,480.750,552.543,498.060,463.148,554.381,662.726
PREC,AMJJAS,454.243,327.198,359.134,424.494,449.562,439.563,476.180,356.762,380.710,330.070,370.211,290.367,376.939,384.830,522.144,497.765,483.901,427.660,363.316,337.609,506.574,501.241,282.649,354.968,444.828,443.719,415.721,354.933,409.293,617.923
PREC,ONDJFM,156.509,335.507,272.083,202.447,199.659,253.212,315.794,318.026,239.603,204.792,207.363,319.993,271.694,324.131,313.109,186.759,238.770,242.502,329.205,360.200,268.978,290.240,290.663,301.714,296.194,265.109,279.523,272.803,287.583,275.296
PREC,NDJF,89.577,188.311,196.969,158.295,133.766,201.521,224.786,204.647,184.908,149.607,139.441,216.876,175.866,197.143,206.762,140.178,132.953,141.066,181.101,197.720,146.575,219.198,191.241,187.377,229.141,178.941,197.485,173.984,162.678,178.312
SRAD,year,4165.297,4570.960,4402.984,4084.783,4232.807,4375.881,4084.829,4354.804,4317.493,4481.670,4309.441,4580.573,4500.747,4511.099,4269.749,4166.624,4549.075,4322.915,4400.789,4488.711,4197.346,4403.959,4936.791,4428.355,4571.604,4659.139,4632.178,4415.894,4436.413,4222.917
SRAD,MAMJJASO,3725.903,4107.123,3942.878,3635.693,3781.759,3902.755,3678.408,3916.139,3842.276,4019.043,3834.668,4136.584,4047.221,4059.757,3847.791,3685.711,4090.614,3830.824,3965.734,4021.138,3722.928,3957.959,4414.946,3987.870,4125.972,4167.044,4202.710,3928.057,4015.127,3805.138
