Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,20.534,20.387,20.190,20.259,20.943,20.588,20.289,20.659,20.686,21.325,19.590,20.358,21.028,21.711,20.302,19.905,20.254,20.870,21.260,21.231,21.301,20.856,20.870,20.803,19.964,20.264,21.054,21.156,20.877,21.230
TMAX,MAMJJASO,25.246,24.463,24.519,24.251,24.996,24.971,24.136,25.247,24.677,25.472,23.943,24.512,25.553,26.166,24.245,23.621,23.815,25.082,25.701,25.456,26.241,24.558,25.296,24.783,24.023,24.362,25.162,25.113,24.489,24.719
TMAX,AMJJAS,26.897,26.930,26.823,26.215,27.880,27.577,27.384,27.936,26.812,27.124,25.848,26.479,27.622,28.360,26.654,26.697,26.301,27.723,28.072,28.062,27.718,26.479,27.878,26.651,26.287,26.638,27.547,27.155,26.841,27.212
TMAX,ONDJFM,11.209,14.046,14.150,13.273,14.117,14.385,13.012,13.955,13.827,14.914,14.410,13.168,14.187,15.428,14.550,12.559,14.660,13.947,13.806,13.913,16.170,14.405,13.874,14.412,14.611,13.471,15.059,14.383,14.441,15.315
TMAX,NDJF,8.383,11.810,12.040,11.693,11.728,13.086,11.879,12.652,11.222,12.722,11.890,11.009,11.759,12.599,12.795,11.029,13.904,12.968,11.377,11.391,14.067,11.491,11.956,12.370,12.292,11.534,13.509,12.093,12.775,13.778
TMIN,year,10.343,10.442,10.099,10.509,10.601,10.458,10.529,10.463,10.207,10.686,9.941,10.043,10.290,11.484,10.478,10.686,10.260,10.660,10.791,10.056,10.684,10.740,10.887,10.729,10.793,10.854,11.235,11.383,11.546,11.803
TMIN,MAMJJASO,13.863,13.561,13.318,13.148,13.404,13.866,13.146,13.876,13.556,13.714,13.500,13.610,13.648,14.786,13.277,13.288,12.754,13.827,14.213,13.290,14.290,13.784,14.083,14.022,14.198,14.583,14.575,14.594,14.435,14.545
TMIN,AMJJAS,15.149,15.268,15.306,14.511,15.382,15.596,15.396,15.993,15.288,15.317,14.846,15.222,15.343,16.402,15.278,15.375,14.703,16.110,16.160,15.284,15.683,15.536,16.259,15.584,16.167,16.235,16.400,16.344,16.469,16.479
TMIN,ONDJFM,3.037,5.456,5.262,5.950,6.039,6.329,4.541,6.169,4.492,5.058,6.134,4.141,4.788,6.936,6.158,5.449,5.882,5.539,5.179,4.654,6.851,4.731,5.412,5.765,5.883,5.369,6.094,5.862,6.375,6.998
TMIN,NDJF,1.185,3.756,3.426,5.032,4.347,5.522,3.647,5.207,2.231,3.631,4.359,2.150,2.692,5.456,4.504,4.730,5.227,5.181,3.436,3.134,5.190,2.617,4.544,4.062,4.184,3.611,4.270,3.887,5.422,5.927
TAVG,year,15.384,15.279,14.980,15.299,15.760,15.542,15.250,15.505,15.306,15.846,14.625,15.142,15.513,16.545,15.368,15.291,15.206,16.143,16.345,15.943,16.397,16.056,16.191,16.037,15.626,15.700,16.464,16.438,16.337,16.729
TAVG,MAMJJASO,19.507,18.881,18.776,18.639,19.241,19.493,18.468,19.533,18.990,19.429,18.580,18.978,19.455,20.490,18.781,18.489,18.263,20.076,20.512,19.962,20.939,19.660,20.272,19.885,19.515,19.828,20.378,20.196,19.706,19.973
TAVG,AMJJAS,21.026,20.979,20.912,20.320,21.691,21.672,21.247,21.961,20.950,21.087,20.246,20.778,21.390,22.487,20.998,21.107,20.503,22.725,22.843,22.479,22.560,21.660,22.827,21.761,21.710,21.898,22.614,22.232,21.952,22.314
TAVG,ONDJFM,7.025,9.664,9.463,9.489,9.952,10.340,8.656,9.857,9.060,9.811,10.088,8.595,9.294,11.003,10.181,8.997,10.121,9.714,9.403,9.167,11.300,9.471,9.534,10.008,10.176,9.328,10.557,9.994,10.320,11.102
TAVG,NDJF,4.762,7.701,7.476,8.225,7.897,9.235,7.643,8.739,6.663,7.968,8.007,6.541,7.078,8.933,8.445,7.874,9.361,9.043,7.243,7.073,9.339,6.860,8.086,8.035,8.074,7.385,8.796,7.791,8.985,9.724
RH,year,69.093,70.353,69.462,70.620,67.613,68.084,68.822,67.327,66.244,65.561,70.080,65.236,64.728,67.089,68.317,70.074,67.479,67.604,68.864,64.457,64.283,69.333,66.922,67.633,66.985,66.969,64.114,67.816,70.083,69.727
RH,MAMJJASO,65.218,67.790,65.880,66.227,62.990,63.567,63.926,61.817,63.010,60.610,67.519,62.504,59.766,61.523,63.135,64.838,62.003,62.773,64.430,58.574,58.253,64.909,60.741,63.997,64.292,63.869,59.660,64.595,66.669,67.563
RH,AMJJAS,62.476,65.495,64.446,63.679,59.623,59.894,59.927,59.434,60.820,58.847,65.318,60.439,57.334,57.899,61.331,60.837,60.205,60.441,61.592,54.636,56.661,62.907,58.173,61.018,62.366,61.287,56.950,62.653,64.920,65.457
RH,ONDJFM,76.531,74.421,74.800,78.461,75.653,77.100,74.612,77.993,71.800,70.015,77.098,70.661,70.569,76.246,76.038,76.679,75.561,75.753,75.389,74.417,75.061,71.501,76.463,75.261,73.699,71.861,71.910,72.088,74.046,74.460
RH,NDJF,77.211,75.310,75.844,80.533,76.471,79.380,75.668,79.766,73.626,73.285,78.690,71.514,71.159,80.427,77.552,79.342,78.389,79.833,76.546,77.126,78.007,74.811,80.123,77.394,74.417,72.970,72.828,74.243,75.182,76.073
RHmin,year,51.643,52.877,51.621,53.637,50.750,51.374,51.998,50.414,48.638,48.282,52.733,48.356,47.626,50.325,51.748,54.220,50.897,51.642,52.021,47.565,48.729,52.722,51.443,51.474,52.274,51.588,49.527,51.782,54.145,53.933
RHmin,MAMJJASO,47.244,49.769,47.693,48.555,45.953,47.088,46.697,45.000,45.775,43.258,50.054,45.803,42.578,44.938,46.415,48.774,45.489,47.373,48.230,43.048,43.370,49.318,46.014,48.699,49.938,49.673,45.948,49.097,51.038,51.853
