Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,7.792,8.929,9.039,8.872,6.776,8.205,7.210,8.813,10.195,10.129,9.143,9.512,8.677,9.000,8.794,8.466,9.612,8.345,9.328,10.098,8.937,9.896,9.969,9.592,10.066,10.433,10.020,9.943,9.341,7.775
TMAX,MAMJJASO,13.308,13.839,13.907,13.797,13.159,13.654,12.477,13.871,14.598,14.709,13.746,13.672,13.261,14.245,13.924,13.804,14.519,12.920,14.498,14.475,13.865,15.602,15.089,14.567,14.755,15.078,15.286,14.287,14.604,14.254
TMAX,AMJJAS,16.708,16.584,16.847,16.889,15.713,16.150,15.079,17.311,17.308,17.105,16.465,16.931,16.007,17.407,16.393,16.484,17.649,15.615,17.489,16.943,16.878,19.403,18.030,17.455,17.576,18.845,17.565,17.252,18.082,17.335
TMAX,ONDJFM,-2.700,-0.651,1.874,0.280,-1.067,-0.742,-0.804,0.854,2.590,2.741,1.661,3.265,1.478,-0.576,2.060,0.209,1.631,1.217,0.268,2.367,1.832,2.246,0.105,1.539,1.953,1.542,3.138,2.820,1.291,-0.590
TMAX,NDJF,-3.382,-3.757,0.189,-1.859,-4.037,-4.759,-3.436,-1.161,0.629,0.493,-0.757,1.675,0.341,-3.144,0.404,-2.977,-0.941,-0.411,-2.215,0.372,0.002,-0.230,-2.561,-0.499,0.351,-0.214,0.610,1.217,-0.960,-3.037
TMIN,year,-1.139,0.300,0.535,0.743,-1.792,-0.321,-1.030,0.459,1.695,1.941,1.067,1.249,0.419,0.129,0.453,-0.226,0.932,0.629,0.952,2.048,0.621,1.075,0.964,0.972,1.242,1.566,1.442,1.467,1.003,-0.854
TMIN,MAMJJASO,3.734,4.610,5.066,4.719,4.244,4.535,3.801,4.636,5.183,5.477,4.968,4.530,4.021,4.421,4.918,4.333,4.758,4.465,5.250,5.405,4.730,5.607,5.407,5.242,4.738,5.012,5.724,4.743,5.105,4.810
TMIN,AMJJAS,6.605,6.417,7.434,7.357,6.285,6.359,6.066,7.412,7.126,7.422,6.997,7.063,6.279,6.923,6.688,6.453,7.148,6.908,7.443,7.371,7.426,8.632,7.813,7.534,7.446,8.241,7.677,7.011,7.793,7.484
TMIN,ONDJFM,-11.682,-7.886,-5.373,-7.261,-7.795,-8.447,-8.430,-5.183,-4.704,-4.066,-5.088,-3.403,-5.568,-7.577,-4.504,-7.371,-5.681,-5.442,-6.168,-4.901,-4.525,-4.949,-7.138,-5.897,-5.557,-5.918,-3.917,-3.816,-5.525,-7.399
TMIN,NDJF,-11.684,-11.403,-7.238,-9.069,-11.033,-12.464,-10.783,-6.966,-6.605,-5.809,-7.309,-4.966,-6.232,-9.751,-6.080,-10.148,-8.204,-6.461,-8.512,-6.495,-5.627,-6.988,-9.805,-7.500,-6.558,-6.675,-5.974,-4.800,-7.596,-9.162
TAVG,year,3.345,4.646,4.797,4.827,2.458,3.911,3.028,4.661,5.977,6.040,5.076,5.406,4.506,4.568,4.575,4.074,5.307,4.410,5.134,6.019,4.736,5.503,5.436,5.243,5.615,5.979,5.702,5.740,5.143,3.405
TAVG,MAMJJASO,8.496,9.217,9.451,9.240,8.635,9.016,8.030,9.238,9.877,10.051,9.276,9.095,8.559,9.332,9.316,8.975,9.654,8.551,9.840,9.832,9.242,10.590,10.176,9.817,9.659,9.995,10.423,9.504,9.812,9.414
TAVG,AMJJAS,11.639,11.492,12.081,12.100,10.949,11.161,10.462,12.370,12.222,12.222,11.652,12.002,11.049,12.190,11.411,11.393,12.447,11.115,12.437,12.003,12.104,14.026,12.872,12.432,12.460,13.536,12.581,12.135,12.914,12.294
TAVG,ONDJFM,-7.127,-4.213,-1.674,-3.411,-4.425,-4.561,-4.647,-2.126,-0.987,-0.596,-1.729,-0.024,-2.006,-4.082,-1.195,-3.606,-1.993,-2.122,-2.926,-1.245,-1.357,-1.320,-3.523,-2.201,-1.823,-2.237,-0.403,-0.468,-2.108,-4.006
TAVG,NDJF,-7.437,-7.476,-3.403,-5.357,-7.514,-8.511,-7.090,-4.000,-2.838,-2.544,-4.004,-1.550,-2.869,-6.435,-2.745,-6.538,-4.488,-3.384,-5.302,-3.002,-2.816,-3.530,-6.142,-3.939,-3.047,-3.408,-2.617,-1.685,-4.246,-6.038
RH,year,80.641,81.141,81.082,81.109,80.759,78.872,78.937,79.291,78.791,77.941,79.276,77.927,79.706,76.791,78.534,79.417,77.347,81.549,80.581,81.034,80.189,79.381,79.096,80.264,79.954,79.819,80.197,80.844,80.922,81.168
RH,MAMJJASO,78.501,78.477,79.112,78.469,78.704,76.672,76.810,77.029,76.045,74.391,77.224,74.870,77.152,72.752,75.354,76.225,72.852,78.994,77.617,77.722,77.709,75.890,75.726,77.339,76.381,76.484,76.424,77.494,77.191,78.259
RH,AMJJAS,77.197,76.751,77.989,77.439,77.479,74.882,75.553,75.589,73.767,73.132,74.696,72.819,76.058,70.703,73.452,74.431,70.957,77.939,75.071,76.716,75.791,74.024,74.343,75.054,74.927,74.339,74.555,75.059,74.739,76.966
RH,ONDJFM,82.321,85.256,85.010,83.995,84.980,83.924,81.601,84.087,82.946,82.389,83.629,83.353,82.549,83.915,83.176,83.657,83.289,85.065,86.795,83.222,86.508,85.161,83.565,85.127,84.828,84.660,86.438,86.378,86.791,86.641
RH,NDJF,84.784,85.633,85.941,85.643,85.942,84.766,81.746,85.422,83.245,84.863,83.819,83.602,84.282,85.774,85.066,85.222,85.244,87.507,87.250,85.582,87.930,85.927,85.549,86.658,86.213,86.620,87.670,87.928,87.687,88.476
RHmin,year,61.094,62.299,62.349,63.353,61.413,60.446,60.812,61.524,61.083,60.836,61.800,60.865,61.762,58.652,60.569,60.681,59.737,64.197,62.553,63.508,62.155,61.055,60.118,61.665,61.137,61.315,61.920,62.907,62.969,61.933
RHmin,MAMJJASO,58.874,59.628,60.745,59.879,59.994,58.165,58.844,58.543,57.642,56.383,59.265,57.324,58.272,54.490,57.334,57.259,54.660,60.991,59.148,59.194,59.246,56.681,56.729,58.602,56.440,56.978,57.592,58.584,58.318,58.713
RHmin,AMJJAS,57.286,56.805,59.071,58.571,58.372,55.719,57.467,56.691,54.882,54.919,56.278,54.958,56.853,52.197,54.775,55.214,52.382,60.025,56.052,57.528,57.484,54.337,55.115,56.104,55.598,54.969,55.903,55.836,55.402,57.306
RHmin,ONDJFM,60.713,66.967,67.150,65.576,67.730,64.804,63.192,69.020,65.488,66.210,66.873,67.089,65.549,66.410,67.108,64.879,65.647,68.493,70.219,65.768,70.565,67.558,65.940,66.667,66.490,66.323,68.975,69.844,69.408,69.240
RHmin,NDJF,63.750,66.061,67.440,67.270,67.440,65.166,63.557,70.434,65.883,69.078,67.279,67.279,67.858,68.408,68.731,66.663,67.081,71.862,70.639,68.240,72.922,68.858,67.268,68.779,68.635,69.893,70.653,72.465,70.306,72.043
PREC,year,752.007,637.822,717.966,715.052,785.272,712.174,763.222,734.826,654.642,750.771,667.853,739.017,756.466,633.579,697.599,634.943,645.297,863.482,759.321,921.065,794.149,647.312,658.153,726.471,722.257,783.894,735.463,778.381,728.967,708.916
