Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,7.152,7.963,8.302,8.551,6.019,7.276,6.199,8.115,9.670,8.986,8.442,8.591,7.985,8.231,8.517,8.187,8.594,7.526,8.647,9.714,8.440,8.778,8.968,9.015,9.623,9.487,9.430,9.131,8.794,7.693
TMAX,MAMJJASO,12.441,12.942,13.879,13.595,13.055,13.347,12.338,13.821,14.565,13.859,13.114,12.789,12.615,13.737,13.825,13.381,13.690,12.757,14.431,14.415,13.921,14.895,14.353,14.228,14.450,14.652,14.901,13.212,14.072,14.553
TMAX,AMJJAS,15.827,15.811,17.165,16.983,15.809,16.028,14.977,17.241,17.833,16.723,16.104,16.314,15.586,17.055,16.608,16.102,17.135,15.857,17.592,17.196,17.494,18.865,17.519,17.362,17.821,18.735,17.337,16.086,17.745,18.085
TMAX,ONDJFM,-3.936,-1.211,0.780,-0.926,-2.856,-1.788,-2.794,-0.535,0.890,0.807,0.070,2.342,0.379,-1.609,1.489,-0.867,0.785,-0.775,-1.144,1.103,1.191,0.345,-2.119,0.513,0.815,0.300,1.334,2.137,1.144,-1.672
TMAX,NDJF,-4.356,-4.546,-0.712,-3.156,-6.575,-5.715,-6.057,-3.329,-1.502,-1.318,-2.050,0.775,-0.417,-4.138,-0.159,-4.093,-1.480,-2.398,-4.185,-0.979,-0.551,-2.291,-5.037,-1.505,-0.543,-1.596,-1.404,0.725,-0.809,-4.059
TMIN,year,-1.048,-0.072,-0.021,0.678,-2.275,-0.515,-1.822,0.066,1.981,1.095,0.752,1.017,0.200,-0.052,0.578,-0.125,0.215,-0.350,0.547,1.988,0.400,0.121,0.682,0.993,1.530,1.084,1.517,1.774,0.809,-0.405
TMIN,MAMJJASO,3.579,4.267,5.289,4.598,4.345,5.057,3.909,5.128,6.124,4.946,4.824,4.531,3.801,4.600,5.255,4.079,4.440,4.092,5.319,5.647,4.933,5.129,5.437,5.320,5.001,4.848,6.133,4.681,4.808,5.609
TMIN,AMJJAS,6.615,6.331,7.949,7.413,6.378,6.795,6.033,7.784,8.165,7.162,7.209,7.272,6.222,7.087,7.041,6.248,6.870,6.939,7.487,7.670,8.019,8.276,7.769,7.758,8.009,8.266,7.811,6.758,7.593,8.602
TMIN,ONDJFM,-12.943,-7.860,-5.839,-8.089,-9.156,-8.620,-9.629,-6.533,-5.721,-5.184,-6.780,-3.539,-6.016,-8.011,-4.179,-8.264,-6.118,-7.450,-7.162,-5.247,-4.774,-6.337,-9.044,-5.805,-5.750,-6.349,-4.940,-3.239,-4.550,-8.101
TMIN,NDJF,-12.326,-11.533,-7.336,-10.014,-13.101,-12.997,-12.740,-9.530,-8.686,-6.921,-8.898,-5.487,-6.406,-10.187,-5.916,-11.126,-8.673,-8.569,-9.954,-7.277,-5.720,-8.741,-12.136,-7.671,-6.293,-7.381,-7.507,-4.290,-6.178,-9.813
TAVG,year,3.198,4.114,4.300,4.775,1.973,3.475,2.244,4.196,5.937,5.137,4.656,4.925,4.116,4.161,4.620,4.065,4.514,3.569,4.610,5.855,4.426,4.522,4.868,5.039,5.609,5.347,5.485,5.486,4.841,3.683
TAVG,MAMJJASO,8.078,8.710,9.698,9.219,8.784,9.239,8.130,9.540,10.388,9.453,8.966,8.718,8.140,9.198,9.528,8.721,9.126,8.314,9.844,9.948,9.377,10.020,9.878,9.701,9.696,9.784,10.469,8.910,9.434,10.045
TAVG,AMJJAS,11.274,11.179,12.633,12.315,11.183,11.445,10.501,12.566,13.041,11.974,11.619,11.835,10.792,12.104,11.776,11.175,12.078,11.262,12.494,12.291,12.672,13.584,12.603,12.489,12.884,13.576,12.543,11.351,12.654,13.251
TAVG,ONDJFM,-8.099,-4.334,-2.289,-4.288,-5.884,-5.014,-6.090,-3.396,-2.244,-2.032,-3.199,-0.408,-2.625,-4.708,-1.164,-4.455,-2.541,-4.014,-4.072,-1.909,-1.712,-2.860,-5.441,-2.537,-2.361,-2.953,-1.763,-0.440,-1.566,-4.749
TAVG,NDJF,-7.934,-7.768,-3.749,-6.354,-9.706,-9.088,-9.239,-6.288,-4.846,-3.932,-5.275,-2.114,-3.173,-7.034,-2.776,-7.447,-4.881,-5.335,-6.949,-3.914,-3.052,-5.333,-8.372,-4.414,-3.237,-4.338,-4.329,-1.633,-3.324,-6.770
RH,year,80.452,80.640,80.105,80.329,78.659,77.310,79.195,80.055,80.132,78.937,81.557,80.356,80.455,80.759,82.082,82.409,79.869,82.225,81.208,82.577,81.262,81.168,81.297,82.088,81.285,80.507,82.104,82.843,81.494,82.401
RH,MAMJJASO,77.695,78.055,77.832,77.506,76.398,74.700,77.374,77.516,77.566,75.164,79.793,77.919,78.102,77.402,79.984,79.639,76.592,80.005,78.367,79.753,78.766,78.014,78.518,79.750,78.398,77.839,79.613,80.258,78.652,79.835
RH,AMJJAS,76.334,76.162,75.292,74.866,74.473,72.306,75.477,75.318,74.580,73.058,77.649,75.374,76.683,75.245,77.774,77.974,74.549,78.617,76.068,78.434,76.963,76.044,77.017,78.093,77.287,75.300,77.730,77.902,76.686,78.243
RH,ONDJFM,82.125,84.992,85.980,84.580,84.814,82.160,83.272,84.956,84.434,84.643,84.683,86.071,84.319,85.915,86.559,85.817,85.605,86.422,86.120,85.599,86.726,86.858,84.605,87.754,84.099,85.814,85.892,87.276,87.187,86.757
RH,NDJF,85.555,85.383,86.331,84.602,84.732,82.765,82.997,85.165,84.637,86.371,84.720,85.238,84.892,87.362,87.672,86.354,86.832,87.405,86.745,87.228,87.818,87.491,86.449,88.268,85.749,86.755,85.923,88.021,87.611,87.715
RHmin,year,62.995,63.535,62.485,63.991,60.853,61.170,61.665,62.857,64.034,62.481,64.590,64.417,63.452,63.031,64.592,64.004,62.360,64.416,63.537,65.377,63.496,62.618,63.276,64.396,63.719,62.854,64.676,66.573,64.267,64.257
RHmin,MAMJJASO,59.860,60.598,60.801,59.915,59.156,58.690,60.019,60.148,60.865,57.752,62.248,61.417,59.654,59.273,61.993,60.293,58.456,61.194,59.763,61.130,60.019,58.382,60.259,60.922,58.836,58.467,61.384,62.142,59.744,61.048
RHmin,AMJJAS,58.416,57.841,57.772,57.076,56.578,55.243,57.835,57.339,56.304,55.149,59.444,58.350,57.727,56.383,58.386,58.172,55.334,59.871,56.338,58.622,57.904,55.831,57.697,58.635,57.717,56.027,58.607,58.901,56.771,58.953
