Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,17.882,17.882,18.705,17.220,16.810,17.735,17.122,17.862,18.278,18.782,17.192,18.843,17.973,19.196,18.006,16.844,17.692,18.091,18.087,19.910,18.318,19.210,18.834,17.831,17.655,18.401,19.756,19.577,19.282,17.717
TMAX,MAMJJASO,23.455,23.417,24.266,22.324,22.513,23.591,22.392,22.930,23.351,23.758,22.454,24.218,23.566,24.349,23.238,22.060,22.584,23.072,23.803,25.063,23.891,24.386,24.840,23.036,23.063,23.824,25.103,24.228,24.945,22.817
TMAX,AMJJAS,25.463,25.948,26.791,24.497,25.172,26.452,25.434,25.667,25.216,25.551,24.859,27.238,26.356,27.058,25.473,24.865,25.124,25.679,26.255,27.543,25.763,26.889,28.328,25.410,25.596,26.317,27.929,26.501,28.111,25.456
TMAX,ONDJFM,8.937,9.288,11.347,9.537,8.268,9.412,8.344,10.776,10.297,12.467,10.181,10.023,9.409,11.197,10.702,8.345,10.319,11.625,9.290,9.975,13.037,11.124,9.244,9.851,9.917,9.396,13.566,10.641,11.101,10.443
TMAX,NDJF,5.403,5.640,8.556,6.559,4.557,6.692,5.667,8.519,6.761,9.209,6.798,7.453,7.013,7.893,8.736,4.929,7.335,10.062,5.579,6.965,10.115,7.138,6.007,7.689,6.949,6.199,10.889,8.031,8.085,7.580
TMIN,year,7.967,8.098,8.119,7.730,7.007,7.409,7.438,7.957,8.599,8.170,7.682,8.645,7.986,9.278,8.187,7.726,7.783,8.253,8.727,9.122,8.476,8.641,7.372,7.850,7.365,8.040,8.630,8.633,8.509,8.101
TMIN,MAMJJASO,12.279,12.274,12.295,11.337,11.426,11.563,11.376,11.708,12.438,11.540,11.977,12.442,12.230,13.038,12.009,11.835,11.111,12.441,13.030,12.802,12.990,12.399,11.809,11.654,11.533,11.992,12.176,12.110,12.322,12.083
TMIN,AMJJAS,13.885,14.221,14.566,13.115,13.666,14.030,13.935,13.973,14.369,13.327,13.905,14.752,14.261,15.374,14.138,14.165,13.578,14.749,15.195,14.758,14.496,14.740,14.538,13.509,13.996,14.304,14.214,14.086,14.403,14.689
TMIN,ONDJFM,0.024,1.327,3.401,1.151,0.293,1.590,-0.184,3.419,1.923,2.651,2.094,1.839,1.636,3.342,2.625,0.498,2.266,2.568,1.597,2.073,4.257,2.000,0.391,1.498,1.462,0.887,4.006,2.093,2.640,2.495
TMIN,NDJF,-2.686,-1.296,1.544,-0.746,-2.810,0.094,-1.574,2.143,-0.301,0.650,-0.161,0.126,-0.210,1.023,1.410,-1.557,0.480,2.098,-1.265,-0.040,2.323,-0.818,-1.774,0.043,-0.420,-1.226,2.709,0.222,0.836,0.639
TAVG,year,12.686,12.756,13.188,12.254,11.689,12.426,12.101,12.653,13.138,13.210,12.152,13.516,12.663,13.932,12.870,12.143,12.592,12.945,13.162,14.298,13.100,13.611,12.822,12.506,12.169,12.881,13.922,13.760,13.630,12.563
TAVG,MAMJJASO,17.637,17.645,18.085,16.626,16.738,17.484,16.703,17.092,17.620,17.433,16.935,18.128,17.581,18.396,17.378,16.809,16.702,17.569,18.147,18.772,18.141,18.091,18.089,17.010,16.964,17.556,18.381,17.827,18.352,17.052
TAVG,AMJJAS,19.519,19.961,20.562,18.657,19.234,20.218,19.554,19.692,19.559,19.307,19.186,20.879,20.067,20.977,19.654,19.434,19.292,20.081,20.497,21.097,19.920,20.536,21.272,19.156,19.516,20.016,20.873,20.025,21.041,19.717
TAVG,ONDJFM,4.234,4.951,7.066,5.003,4.038,5.240,3.811,6.777,5.753,7.158,5.777,5.565,5.127,6.891,6.310,4.237,6.055,6.813,5.168,5.698,8.249,6.158,4.531,5.253,5.300,4.743,8.401,6.002,6.474,6.178
TAVG,NDJF,1.155,1.881,4.787,2.585,0.710,3.150,1.824,5.056,2.926,4.504,3.027,3.532,3.038,4.164,4.785,1.608,3.731,5.867,1.913,3.200,5.884,2.807,1.875,3.439,2.894,2.152,6.489,3.814,4.143,3.895
RH,year,69.981,72.126,69.305,73.342,73.185,70.003,70.541,70.929,71.699,68.357,71.533,65.243,67.481,70.729,70.591,72.286,69.066,69.568,72.092,65.551,70.009,71.347,69.630,73.904,73.555,73.564,67.442,70.523,70.689,76.855
RH,MAMJJASO,66.900,68.150,65.041,68.426,69.884,65.083,66.362,66.449,67.953,62.744,68.636,59.578,62.252,66.263,66.645,68.224,63.205,66.150,67.472,59.221,66.517,67.004,62.894,70.825,69.836,69.675,61.928,67.575,64.514,73.742
RH,AMJJAS,65.103,66.041,63.832,67.552,67.743,62.674,65.701,64.924,67.552,61.925,67.172,56.572,58.989,64.729,64.830,66.865,63.025,66.612,67.159,56.722,63.807,66.417,60.080,68.721,69.260,68.867,59.310,66.519,61.887,74.644
RH,ONDJFM,71.807,76.983,76.978,76.303,79.673,79.490,74.738,77.614,76.230,72.406,77.229,73.420,74.958,77.200,76.292,78.173,76.178,70.786,77.086,76.053,75.630,74.780,78.573,79.477,78.176,79.207,76.054,73.735,78.883,78.529
RH,NDJF,73.025,79.627,79.039,80.483,80.263,81.752,78.150,82.283,80.177,75.877,79.912,76.472,76.659,80.316,78.128,81.372,80.581,76.306,80.871,79.228,78.959,78.007,82.627,81.196,80.544,81.663,79.960,76.201,81.552,83.296
RHmin,year,51.829,53.853,50.537,55.262,54.470,51.892,52.937,52.621,53.477,50.061,53.385,48.474,49.957,52.515,52.742,55.226,51.815,51.822,54.511,47.968,52.026,52.149,49.573,54.526,53.658,53.726,48.865,50.611,51.711,57.128
RHmin,MAMJJASO,48.193,49.311,45.981,49.586,50.492,46.325,48.175,47.784,49.230,44.001,50.267,42.496,44.622,47.499,47.898,50.761,45.193,48.620,49.068,41.818,48.355,47.287,43.192,50.511,49.520,48.926,42.778,47.103,44.806,53.246
RHmin,AMJJAS,46.731,47.395,45.257,48.794,48.566,44.382,47.455,46.623,49.348,43.741,48.932,39.912,41.664,46.381,47.001,49.558,45.495,48.916,48.811,39.923,46.372,46.918,40.746,48.487,49.526,48.549,40.257,46.546,41.937,54.336
RHmin,ONDJFM,53.498,58.915,59.599,57.777,61.239,61.689,56.785,60.992,58.094,52.857,59.219,56.008,57.544,59.571,58.375,60.851,59.210,53.452,59.944,58.642,57.057,55.715,59.049,59.863,59.060,59.608,56.017,56.012,59.541,60.740
RHmin,NDJF,55.226,62.506,62.579,62.427,62.513,65.230,61.261,66.185,63.044,56.749,62.924,59.772,59.565,63.504,61.136,65.716,64.564,59.558,64.006,62.562,61.025,59.536,63.554,62.073,62.349,63.274,60.996,58.995,63.643,66.006
PREC,year,450.617,482.593,430.728,574.483,572.122,443.462,581.138,505.183,528.009,388.432,490.019,522.182,470.696,505.264,626.117,598.226,449.114,649.390,695.720,381.021,505.133,496.672,406.515,659.507,710.235,567.163,589.147,565.465,563.519,921.966
PREC,MAMJJASO,328.463,357.668,330.814,427.338,400.891,303.998,421.458,374.060,463.889,297.288,363.018,410.850,325.073,411.342,436.389,462.608,328.197,539.616,480.814,272.672,407.382,401.497,311.159,490.957,554.240,469.473,433.955,456.555,344.555,695.757
PREC,AMJJAS,271.848,293.247,263.424,365.074,342.824,255.218,351.310,301.737,417.125,228.729,287.487,261.521,228.711,341.807,391.757,425.998,294.382,465.419,438.578,212.764,330.909,340.335,210.118,382.163,520.271,398.125,329.820,375.061,255.113,647.830
PREC,ONDJFM,53.874,201.588,215.010,166.248,198.949,268.093,192.891,229.925,123.067,99.404,162.431,207.909,255.997,265.126,207.034,193.475,143.662,159.254,228.236,241.004,221.641,94.607,170.531,271.985,221.592,225.083,173.279,215.337,237.310,300.972
PREC,NDJF,26.040,139.243,146.649,110.190,115.282,228.581,113.977,166.728,71.273,68.372,91.464,117.312,113.193,177.845,115.092,177.050,104.345,126.688,149.239,172.128,134.495,73.785,121.356,115.662,144.039,171.890,99.910,103.526,173.317,232.272
SRAD,year,4818.611,4841.091,4820.617,4461.294,4558.067,4867.995,4712.895,4782.728,4622.545,4939.863,4646.290,4975.355,4820.343,4928.404,4706.662,4617.083,4914.534,4766.497,4714.560,5072.133,4687.640,4631.432,5171.306,4692.281,4804.049,4786.481,5023.160,4894.317,4891.539,4493.953
SRAD,MAMJJASO,4180.819,4266.423,4215.118,3925.742,3994.726,4280.413,4174.549,4184.904,4039.008,4326.739,4024.039,4356.476,4245.441,4322.615,4144.239,4023.145,4330.419,4091.011,4132.752,4428.164,4068.730,4070.965,4497.480,4103.803,4194.882,4193.661,4458.593,4248.818,4367.979,3941.003
