Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.197,15.651,16.434,14.617,14.828,15.334,14.880,15.705,16.219,16.268,15.080,16.559,15.734,17.012,15.426,14.299,15.835,15.998,15.836,16.978,15.885,16.618,16.906,15.549,15.272,16.214,16.825,16.532,16.175,14.960
TMAX,MAMJJASO,20.121,20.233,21.235,18.725,19.851,20.344,19.335,20.080,20.200,20.605,19.693,21.030,20.250,21.354,19.993,18.741,20.001,20.372,20.735,21.486,20.803,20.835,22.043,20.055,20.328,20.921,21.339,20.564,21.093,19.797
TMAX,AMJJAS,22.041,22.649,23.594,20.630,22.319,22.712,22.071,22.605,21.618,22.168,21.729,24.042,22.796,23.686,21.955,21.168,22.326,22.821,22.947,23.872,22.349,23.020,25.180,22.223,22.535,23.205,23.986,22.815,24.064,22.323
TMAX,ONDJFM,7.184,8.025,9.426,8.236,7.785,7.581,7.654,9.093,10.190,11.101,8.925,8.724,8.627,9.525,9.455,7.484,9.139,9.843,8.333,8.738,10.255,10.097,8.892,8.418,8.553,7.559,11.767,9.063,8.502,8.295
TMAX,NDJF,4.023,5.385,7.198,5.850,5.083,4.829,5.612,7.443,7.366,8.449,5.684,6.702,7.143,6.749,8.141,4.453,6.750,8.451,5.491,6.152,7.748,6.718,6.209,6.937,5.843,4.611,9.601,7.272,5.979,5.964
TMIN,year,5.693,6.161,6.133,5.415,5.209,5.512,5.644,6.239,6.370,6.040,5.569,6.753,6.126,7.288,6.206,5.483,6.221,6.476,6.694,7.248,6.430,7.203,6.522,6.321,6.014,6.656,7.029,7.072,6.949,6.118
TMIN,MAMJJASO,9.771,9.823,10.021,8.564,9.250,9.497,9.231,9.726,9.875,9.474,9.487,10.183,9.789,10.527,9.904,9.213,9.394,10.244,10.709,10.777,10.481,10.564,10.460,9.906,9.973,10.468,10.412,10.302,10.840,10.087
TMIN,AMJJAS,11.404,11.783,12.048,10.333,11.227,11.526,11.588,11.577,11.544,10.955,11.234,12.429,11.833,12.578,11.740,11.262,11.343,12.320,12.677,12.499,11.743,12.650,13.075,11.701,12.110,12.626,12.497,12.313,13.115,12.428
TMIN,ONDJFM,-1.723,-0.306,1.303,-0.535,-0.353,-0.505,-1.007,1.406,1.498,0.992,0.347,0.401,0.434,1.413,1.197,-0.343,0.950,1.187,0.452,0.569,2.374,1.140,0.636,0.198,0.546,-0.433,2.856,0.916,0.992,0.540
TMIN,NDJF,-4.244,-2.394,-0.376,-2.260,-2.585,-2.506,-2.271,0.018,-0.669,-1.050,-2.215,-1.105,-0.838,-0.764,0.493,-2.497,-1.064,0.293,-1.882,-1.532,0.321,-1.487,-1.172,-0.766,-1.361,-2.539,1.478,-0.502,-0.834,-1.112
TAVG,year,10.327,10.797,11.178,9.901,9.905,10.318,10.157,10.876,11.175,11.023,10.206,11.552,10.799,12.056,10.704,9.767,10.911,11.122,11.166,12.021,11.057,11.801,11.618,10.831,10.549,11.365,11.820,11.719,11.495,10.452
TAVG,MAMJJASO,14.832,14.925,15.533,13.527,14.444,14.813,14.180,14.813,14.923,14.918,14.482,15.506,14.894,15.850,14.852,13.852,14.588,15.214,15.628,16.041,15.554,15.602,16.167,14.883,15.061,15.635,15.778,15.371,15.908,14.864
TAVG,AMJJAS,16.613,17.128,17.733,15.362,16.669,17.013,16.728,17.004,16.474,16.445,16.390,18.157,17.192,18.063,16.752,16.092,16.742,17.489,17.734,18.101,16.961,17.757,19.074,16.871,17.242,17.859,18.159,17.512,18.546,17.313
TAVG,ONDJFM,2.624,3.731,5.239,3.733,3.600,3.430,3.219,5.137,5.713,5.901,4.505,4.429,4.390,5.336,5.208,3.448,4.900,5.381,4.262,4.531,6.213,5.481,4.633,4.181,4.444,3.449,7.215,4.856,4.664,4.314
TAVG,NDJF,-0.216,1.366,3.300,1.670,1.125,1.055,1.568,3.610,3.225,3.552,1.601,2.672,3.021,2.867,4.207,0.845,2.703,4.240,1.679,2.193,3.939,2.469,2.399,2.973,2.144,0.916,5.441,3.241,2.488,2.332
RH,year,70.398,71.902,68.075,71.697,70.799,70.159,71.897,70.626,70.053,67.780,70.428,67.701,70.556,70.958,73.313,74.189,72.074,71.551,73.671,72.752,74.045,74.170,70.251,73.807,73.736,73.022,72.488,74.349,75.087,75.553
RH,MAMJJASO,67.980,68.556,65.204,68.353,67.566,66.957,68.587,67.506,68.183,64.080,68.299,63.763,67.370,67.510,70.019,71.540,68.503,69.700,71.243,69.088,71.004,71.141,65.905,71.599,70.488,70.070,69.135,72.113,71.735,72.422
RH,AMJJAS,66.537,67.052,63.779,67.758,65.322,65.125,67.128,65.097,68.452,63.269,66.749,60.301,65.385,65.888,68.758,69.900,66.798,68.588,70.400,66.477,68.555,70.196,63.917,69.764,69.502,68.584,66.803,70.599,69.835,71.450
RH,ONDJFM,70.962,75.570,75.808,73.353,76.277,77.043,74.480,76.957,74.334,69.103,74.713,73.742,74.854,77.308,76.664,79.397,77.136,74.515,77.236,77.593,80.584,76.773,78.306,77.664,77.522,79.150,75.905,78.303,80.645,79.413
RH,NDJF,72.498,77.493,77.107,75.861,76.716,78.999,76.931,78.031,76.166,71.266,75.723,75.387,75.497,78.966,78.314,81.494,78.000,76.492,78.414,79.016,81.422,78.353,81.512,78.797,78.223,81.244,77.506,78.774,82.157,81.729
RHmin,year,53.253,54.513,50.449,54.800,53.332,52.704,54.814,53.710,52.491,50.491,53.167,51.213,53.374,53.688,56.084,57.240,54.474,54.160,56.393,55.033,56.262,56.542,52.193,56.344,56.313,55.276,54.742,56.517,57.524,58.367
RHmin,MAMJJASO,50.785,51.084,47.617,51.253,50.034,49.344,51.426,50.548,50.959,46.949,51.072,47.259,50.293,49.872,52.808,54.629,50.589,52.399,53.672,51.302,53.255,53.410,47.752,53.739,52.685,52.210,51.049,54.010,53.910,55.198
RHmin,AMJJAS,49.620,49.599,46.490,50.997,47.819,47.829,50.107,48.074,51.789,46.434,49.777,43.985,48.362,48.697,52.054,53.212,49.062,51.287,53.026,48.665,51.364,52.885,46.007,52.026,52.256,51.328,48.826,52.929,51.796,54.596
RHmin,ONDJFM,53.549,57.899,58.799,55.452,58.956,59.607,56.639,60.436,56.855,50.600,57.054,56.744,57.828,59.900,59.157,61.909,59.657,57.119,60.137,59.831,62.962,58.100,60.641,59.887,60.213,61.306,57.672,60.585,63.606,62.136
RHmin,NDJF,55.248,59.963,60.524,58.065,59.652,62.027,59.577,61.468,58.987,52.620,58.504,58.619,58.457,61.828,61.326,64.791,60.639,59.377,61.580,61.470,64.212,59.989,64.258,61.468,61.827,64.066,59.926,61.389,65.774,64.859
PREC,year,1110.613,1005.867,972.359,973.000,1146.850,1030.705,1206.452,1162.548,1062.024,1082.570,1063.531,1038.656,1097.085,1029.438,1172.387,1179.089,1131.971,1136.379,1176.416,1200.067,1099.871,1302.380,893.063,1084.933,1195.740,1101.664,1228.909,1090.092,1236.276,1110.461
