Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.870,14.597,14.922,13.504,13.922,14.059,13.886,14.682,15.608,15.384,14.484,14.999,14.500,15.668,14.574,13.731,15.393,14.878,14.638,15.432,14.752,15.319,16.136,14.713,14.554,15.495,15.470,14.921,15.191,13.791
TMAX,MAMJJASO,18.260,18.386,19.104,17.056,18.601,18.442,17.905,18.538,19.194,19.393,18.827,18.810,18.297,19.522,18.548,17.670,19.295,18.877,19.162,19.372,19.057,18.929,21.002,18.814,19.406,19.742,19.435,18.531,19.784,18.344
TMAX,AMJJAS,20.167,20.857,21.210,18.951,20.809,20.285,20.253,20.851,20.554,20.923,20.844,21.438,20.714,21.233,20.187,19.786,21.067,21.094,21.194,21.594,20.265,20.624,23.838,20.821,21.209,21.855,21.686,20.677,22.449,20.634
TMAX,ONDJFM,6.060,7.834,8.467,7.576,7.588,7.295,7.545,8.820,9.993,11.000,8.315,8.184,8.627,8.698,9.281,8.461,9.156,9.627,7.665,8.350,9.475,9.822,8.878,8.316,8.134,7.543,11.193,8.867,7.488,7.811
TMAX,NDJF,3.288,6.207,6.528,5.645,5.601,4.347,5.597,7.413,7.475,8.909,5.144,6.180,7.629,6.381,8.019,5.673,6.803,7.967,5.236,5.906,7.554,6.607,6.032,7.168,5.363,4.699,9.368,7.379,5.073,5.636
TMIN,year,4.944,5.698,5.558,4.534,4.503,5.019,5.218,5.817,5.883,5.793,5.225,6.064,5.651,6.816,5.623,5.113,5.928,5.578,5.908,6.328,5.858,6.361,6.205,5.818,5.511,6.335,6.165,5.997,6.142,5.287
TMIN,MAMJJASO,8.582,8.604,8.853,7.059,8.029,8.392,8.278,8.869,8.742,8.934,8.597,9.164,8.706,9.676,8.778,8.057,8.834,8.908,9.540,9.367,9.337,9.105,9.886,9.041,9.344,9.737,9.211,9.006,9.655,8.874
TMIN,AMJJAS,10.158,10.557,10.674,8.696,9.774,10.029,10.137,10.550,10.201,10.284,10.142,11.174,10.723,11.294,10.331,9.877,10.426,10.721,11.431,11.083,10.399,10.759,12.355,10.630,11.113,11.620,11.174,10.868,11.848,10.872
TMIN,ONDJFM,-1.840,0.071,0.833,-0.316,-0.067,-0.452,-0.195,1.509,1.645,1.549,0.673,0.223,0.906,1.294,1.387,0.770,1.153,1.226,0.086,0.540,1.949,1.263,0.990,0.318,0.546,-0.209,2.495,0.736,0.212,0.325
TMIN,NDJF,-4.049,-1.195,-0.547,-1.514,-1.560,-2.378,-1.481,0.257,-0.173,0.121,-1.758,-1.324,0.095,-0.435,0.776,-1.024,-0.432,0.085,-1.834,-1.227,0.329,-1.035,-0.619,-0.435,-1.514,-2.168,1.224,-0.466,-1.519,-1.090
