Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.883,16.755,17.139,15.339,15.178,16.009,15.053,16.364,17.053,17.138,15.961,17.411,16.446,17.706,16.341,14.690,16.370,16.581,16.988,17.786,16.193,17.175,17.644,16.545,16.555,17.264,17.695,17.447,17.021,15.662
TMAX,MAMJJASO,21.223,22.114,22.451,19.903,20.643,21.324,20.023,21.155,21.871,21.827,21.017,22.553,21.452,22.522,21.561,19.820,21.254,21.440,22.362,22.678,21.343,22.090,23.201,21.640,21.941,22.558,22.717,21.852,22.390,21.060
TMAX,AMJJAS,23.496,24.672,25.287,21.982,23.274,23.854,22.899,24.079,23.799,23.708,23.338,25.887,24.358,25.426,23.978,22.479,23.924,24.210,25.063,25.302,23.380,24.983,26.768,24.164,24.516,25.408,25.553,24.505,25.741,23.775
TMAX,ONDJFM,7.446,7.785,9.563,8.328,7.317,7.720,7.368,9.049,9.642,10.885,9.064,8.929,8.339,9.355,9.478,6.672,8.569,9.685,8.265,8.872,10.058,9.865,8.194,8.397,8.791,7.672,11.916,9.148,8.683,8.260
TMAX,NDJF,4.248,4.646,7.178,5.776,4.077,4.830,5.016,7.235,6.684,7.956,5.920,6.582,6.406,6.753,7.955,3.395,5.553,8.024,5.304,6.453,7.588,6.558,5.467,6.730,6.123,4.608,9.506,7.102,6.147,5.796
TMIN,year,6.619,6.853,6.959,6.471,5.866,6.331,6.113,7.127,7.342,7.148,6.331,7.483,6.628,7.772,7.068,5.897,6.541,7.192,7.458,8.067,7.136,7.690,6.939,6.913,6.767,7.409,7.764,7.838,7.625,6.555
TMIN,MAMJJASO,10.609,10.603,10.825,9.593,10.094,10.205,9.777,10.400,10.809,10.231,10.080,10.832,10.227,10.962,10.805,9.853,9.795,10.945,11.212,11.455,11.209,11.344,10.714,10.410,10.404,11.165,10.933,10.797,11.393,10.605
TMIN,AMJJAS,12.111,12.414,12.813,11.295,12.010,12.160,12.154,12.320,12.493,11.743,11.871,13.098,12.266,13.066,12.587,11.809,11.889,12.952,13.201,12.978,12.606,13.568,13.239,12.202,12.616,13.412,12.972,12.797,13.451,12.975
TMIN,ONDJFM,-0.392,0.490,2.307,0.459,0.267,0.336,-0.415,2.521,2.223,2.240,1.523,1.384,0.807,2.218,2.011,-0.169,1.146,1.793,1.348,1.699,3.018,1.891,0.663,0.979,1.314,0.220,3.897,1.975,2.013,1.261
TMIN,NDJF,-2.886,-1.881,0.632,-1.281,-2.360,-1.751,-1.742,1.460,0.323,0.227,-0.654,0.069,-0.515,0.314,1.335,-2.528,-1.167,0.981,-0.968,-0.101,0.993,-0.715,-1.251,-0.131,-0.153,-1.822,2.846,0.733,0.273,-0.427
TAVG,year,11.059,11.580,11.878,10.645,10.269,10.914,10.393,11.550,11.933,11.845,10.877,12.254,11.275,12.512,11.485,10.049,11.187,11.672,12.024,12.711,11.432,12.175,12.104,11.512,11.442,12.087,12.519,12.413,12.115,10.922
TAVG,MAMJJASO,15.647,16.095,16.439,14.434,15.041,15.455,14.629,15.552,16.047,15.709,15.220,16.496,15.528,16.503,15.927,14.536,15.185,15.962,16.528,16.798,15.989,16.408,16.763,15.753,15.901,16.545,16.585,16.072,16.596,15.553
TAVG,AMJJAS,17.554,18.378,18.904,16.388,17.357,17.754,17.257,18.009,17.919,17.499,17.363,19.397,18.052,19.109,18.111,16.897,17.648,18.384,18.938,18.922,17.769,19.020,19.904,17.956,18.359,19.165,19.097,18.481,19.348,18.164
TAVG,ONDJFM,3.420,3.944,5.695,4.172,3.568,3.785,3.270,5.605,5.704,6.167,5.006,4.839,4.299,5.511,5.449,3.022,4.601,5.460,4.575,5.104,6.295,5.600,4.199,4.465,4.799,3.709,7.653,5.280,5.156,4.597
TAVG,NDJF,0.647,1.332,3.764,2.138,0.736,1.427,1.523,4.221,3.376,3.767,2.502,3.149,2.775,3.337,4.497,0.323,2.072,4.309,2.053,3.116,4.142,2.767,1.993,3.159,2.801,1.291,6.069,3.745,3.155,2.657
RH,year,76.361,74.910,73.649,76.672,76.550,75.286,77.527,75.824,76.020,73.174,74.854,72.214,73.560,73.811,76.364,77.450,75.369,74.858,75.127,75.025,78.493,76.132,70.947,75.292,75.227,75.145,74.137,75.253,76.780,77.019
RH,MAMJJASO,72.928,70.664,69.080,73.103,73.567,71.518,73.897,71.288,72.021,67.967,71.233,66.464,69.169,69.013,72.270,74.326,70.790,71.200,70.407,70.069,75.054,71.995,64.536,70.709,70.216,70.133,68.612,71.296,72.047,72.663
RH,AMJJAS,70.657,68.324,66.418,72.104,71.246,69.656,72.780,68.336,70.307,66.338,68.937,62.788,66.025,65.963,69.827,72.012,68.815,69.023,67.702,65.943,72.111,69.806,60.774,67.725,68.189,66.925,65.112,68.338,68.319,71.429
RH,ONDJFM,80.401,81.526,82.492,79.643,82.085,81.878,81.392,83.462,82.452,79.420,81.225,81.019,80.786,81.927,81.894,83.732,82.387,79.878,83.191,83.243,84.796,82.156,82.218,82.134,82.650,83.955,81.983,82.746,85.315,83.132
RH,NDJF,81.843,83.536,83.903,82.529,82.701,83.326,84.291,85.461,85.343,81.762,82.974,83.878,82.663,83.399,83.741,85.182,84.057,82.714,84.814,84.299,85.846,83.933,84.822,83.742,85.123,85.993,85.078,84.165,86.447,85.471
RHmin,year,58.023,55.848,54.716,58.681,57.683,56.341,59.221,57.815,56.778,54.519,55.855,54.281,54.835,55.165,58.170,59.411,56.267,56.661,56.899,56.567,59.956,57.486,52.382,56.724,56.416,56.186,55.771,56.697,58.449,58.891
RHmin,MAMJJASO,53.385,50.331,49.471,53.672,53.616,51.466,54.268,52.122,51.907,48.281,51.191,47.463,49.581,49.316,52.882,55.300,50.193,52.531,50.910,50.660,55.830,52.527,45.387,50.874,49.961,50.082,48.951,51.613,52.351,53.475
RHmin,AMJJAS,50.820,48.128,46.811,52.893,51.089,49.625,52.986,48.794,50.764,47.072,49.237,43.882,46.444,46.640,50.699,53.012,48.528,50.097,48.365,46.375,53.098,50.260,41.831,47.933,48.520,47.490,45.739,49.101,48.039,52.638
RHmin,ONDJFM,62.574,64.266,65.044,61.605,65.027,64.312,63.282,67.481,64.964,59.957,63.537,63.186,63.019,64.684,64.007,66.841,64.696,61.960,66.249,65.902,67.377,63.687,64.660,64.451,64.843,65.849,63.644,65.428,68.544,66.430
RHmin,NDJF,64.865,67.463,67.667,65.356,66.725,67.041,67.503,70.578,69.208,63.162,66.918,67.580,65.817,67.165,67.454,69.972,67.491,65.921,68.824,68.130,69.252,66.270,68.206,66.807,68.937,69.647,68.731,68.272,71.353,69.977
PREC,year,848.553,539.437,597.560,641.101,693.490,730.689,760.078,707.929,576.896,595.468,587.316,615.253,678.819,675.346,810.771,698.291,734.702,730.076,637.271,702.105,805.955,864.400,502.279,671.912,712.194,703.291,741.531,620.549,737.153,864.771
PREC,MAMJJASO,624.719,395.275,422.505,483.574,500.286,526.653,551.651,472.085,454.837,402.695,406.952,450.494,464.206,500.466,609.504,582.988,568.078,626.480,430.563,522.060,615.853,628.202,369.081,455.228,479.282,546.614,509.887,471.816,552.027,655.239
PREC,AMJJAS,442.410,329.154,350.504,431.520,448.591,431.972,477.453,363.921,389.590,345.805,361.239,290.265,380.882,384.324,525.334,489.487,470.405,446.535,365.374,339.212,511.112,489.818,283.862,360.956,442.713,434.521,424.995,358.844,403.742,604.199
PREC,ONDJFM,155.467,348.135,273.003,203.948,203.349,258.255,320.822,318.478,242.833,209.895,205.667,324.654,277.321,334.796,315.629,190.736,247.308,248.697,330.775,363.273,274.989,295.348,299.995,308.318,304.244,267.308,283.292,280.953,291.719,288.842
PREC,NDJF,88.812,192.664,197.263,159.058,134.465,205.717,222.499,204.022,185.932,154.513,140.876,220.574,176.401,204.250,207.347,142.690,135.748,144.040,171.028,200.497,148.761,222.047,193.540,187.637,234.307,179.679,198.445,178.697,163.614,182.888
SRAD,year,4077.058,4475.185,4305.312,3996.402,4140.191,4282.262,3993.862,4262.143,4225.446,4388.867,4214.729,4484.691,4403.457,4419.505,4177.376,4080.426,4448.978,4235.142,4304.199,4391.436,4109.209,4315.838,4828.252,4333.245,4472.106,4558.131,4532.398,4322.979,4340.489,4133.267
SRAD,MAMJJASO,3650.009,4024.161,3860.538,3560.173,3701.996,3816.305,3600.925,3835.778,3764.119,3933.399,3755.196,4053.182,3962.997,3976.033,3770.447,3613.253,4003.427,3750.258,3883.997,3937.283,3648.207,3874.671,4324.470,3905.458,4039.722,4076.109,4117.378,3849.033,3931.825,3723.984
SRAD,AMJJAS,3170.742,3442.508,3358.318,2984.308,3219.340,3277.907,3057.433,3351.992,3190.365,3322.794,3239.335,3548.618,3433.427,3461.496,3240.920,3114.178,3433.653,3239.572,3350.592,3479.058,3182.588,3346.020,3737.141,3363.887,3406.820,3511.864,3557.254,3314.242,3501.948,3142.727
SRAD,ONDJFM,536.442,1009.669,901.168,1028.276,923.608,974.629,1002.522,886.148,976.303,1113.686,963.656,990.179,986.683,902.557,969.051,952.776,985.515,1064.802,910.618,920.861,904.506,1034.791,1026.688,972.887,1021.299,1036.728,1054.202,988.700,868.250,952.518
SRAD,NDJF,256.915,441.898,419.656,457.056,449.750,445.074,433.103,395.623,429.863,515.189,448.152,422.921,460.603,417.096,433.611,427.946,464.134,474.058,427.660,442.211,463.134,465.888,463.964,458.002,433.368,463.013,435.805,459.848,405.858,423.944
WIND,year,3.243,2.918,3.223,3.074,2.984,3.105,3.040,3.171,2.911,3.110,2.912,3.108,3.125,3.129,3.104,2.829,2.819,3.001,2.745,2.648,2.585,2.738,2.525,2.636,2.519,2.487,2.669,2.515,2.368,2.341
WIND,MAMJJASO,2.950,2.736,2.935,2.852,2.852,2.815,2.907,2.860,2.782,2.862,2.766,2.944,2.886,2.951,2.856,2.712,2.753,2.935,2.479,2.480,2.457,2.551,2.398,2.466,2.338,2.402,2.406,2.282,2.308,2.263
WIND,AMJJAS,2.749,2.575,2.746,2.793,2.902,2.685,2.775,2.668,2.668,2.647,2.696,2.765,2.785,2.677,2.771,2.647,2.679,2.690,2.366,2.281,2.441,2.395,2.321,2.367,2.259,2.340,2.392,2.145,2.168,2.161
WIND,ONDJFM,3.645,3.523,3.681,3.445,3.163,3.313,3.296,3.596,3.380,3.478,3.156,3.466,3.412,3.585,3.726,2.934,2.974,3.177,3.242,3.209,2.677,2.997,2.720,3.009,2.840,2.561,3.029,2.830,2.689,2.455
WIND,NDJF,3.656,3.585,3.823,3.614,3.227,3.544,3.407,3.599,3.495,3.496,3.221,3.486,3.504,3.498,3.809,3.118,3.029,3.077,3.272,3.226,2.646,3.228,2.699,3.046,2.962,2.585,3.193,2.931,2.735,2.397
VPD,year,0.440,0.490,0.559,0.410,0.425,0.469,0.397,0.467,0.466,0.537,0.465,0.606,0.518,0.583,0.483,0.404,0.473,0.499,0.509,0.540,0.430,0.489,0.660,0.493,0.487,0.542,0.554,0.515,0.487,0.460
VPD,MAMJJASO,0.593,0.667,0.766,0.546,0.575,0.637,0.536,0.634,0.626,0.727,0.628,0.835,0.701,0.797,0.658,0.544,0.641,0.668,0.698,0.737,0.586,0.661,0.921,0.672,0.671,0.751,0.759,0.689,0.669,0.631
VPD,AMJJAS,0.698,0.793,0.923,0.630,0.679,0.748,0.630,0.763,0.725,0.838,0.740,1.026,0.846,0.972,0.788,0.653,0.759,0.800,0.835,0.898,0.701,0.792,1.133,0.805,0.794,0.911,0.921,0.836,0.821,0.748
VPD,ONDJFM,0.181,0.180,0.182,0.198,0.169,0.176,0.175,0.173,0.193,0.240,0.194,0.193,0.186,0.189,0.188,0.144,0.182,0.214,0.169,0.170,0.172,0.200,0.174,0.175,0.173,0.154,0.222,0.177,0.149,0.174
VPD,NDJF,0.125,0.122,0.139,0.135,0.122,0.122,0.118,0.130,0.124,0.170,0.131,0.133,0.143,0.138,0.154,0.096,0.131,0.163,0.117,0.132,0.129,0.139,0.116,0.138,0.118,0.098,0.154,0.142,0.114,0.120
FWI_FD,year,2.688,3.465,4.808,2.631,2.497,2.899,1.813,3.121,2.841,4.346,3.642,5.011,3.579,4.061,2.787,1.923,2.843,3.042,3.272,3.475,1.968,2.567,5.038,2.964,2.930,3.550,3.413,2.955,2.772,2.131
FWI_FD,MAMJJASO,3.863,4.684,6.518,3.359,3.513,4.033,2.520,4.431,3.885,6.082,5.111,7.272,5.097,5.731,3.992,2.675,3.971,4.178,4.677,4.966,2.744,3.647,7.153,4.242,4.015,5.073,4.911,4.064,4.006,3.015
FWI_FD,AMJJAS,4.883,5.310,7.587,3.649,3.492,4.389,2.721,5.230,4.469,6.926,5.500,8.936,6.196,7.109,4.672,3.255,4.629,5.241,5.678,6.200,3.294,4.513,8.850,5.167,4.409,5.733,6.149,5.043,4.980,3.461
FWI_FD,ONDJFM,0.488,0.635,1.552,2.259,1.224,1.531,1.278,0.980,1.251,1.748,1.309,1.609,1.152,0.806,1.013,0.782,0.730,1.380,0.468,0.696,0.793,0.946,0.651,0.980,0.682,1.309,1.675,0.597,0.597,0.706
FWI_FD,NDJF,0.295,0.341,0.971,1.402,1.005,0.456,0.515,0.498,0.562,1.099,0.512,0.512,0.482,0.385,0.673,0.259,0.400,0.953,0.277,0.419,0.499,0.469,0.250,0.753,0.279,0.700,0.614,0.489,0.389,0.252
FWI_3+,year,31.338,40.553,63.856,23.370,20.986,33.213,13.756,36.047,30.533,50.575,45.687,75.002,48.026,48.977,32.595,17.939,32.026,37.781,41.811,50.027,20.030,27.833,72.355,36.238,29.278,48.841,47.144,36.604,34.599,20.244
FWI_3+,MAMJJASO,31.276,38.900,62.851,21.645,20.770,33.134,13.738,35.964,30.166,50.018,45.482,74.977,47.841,48.384,32.582,17.920,31.722,37.612,41.785,50.008,19.992,27.758,72.011,36.081,28.794,48.689,46.988,36.471,34.582,19.910
FWI_3+,AMJJAS,31.068,36.156,58.355,20.719,14.253,26.263,11.563,33.398,28.975,45.774,39.022,71.072,47.024,46.626,31.716,17.775,30.211,37.203,41.064,48.581,19.959,27.607,70.654,35.376,26.964,41.789,46.833,36.176,32.464,19.739
FWI_3+,ONDJFM,0.114,0.207,4.712,5.682,2.134,6.750,6.904,2.197,2.820,2.994,3.245,6.803,4.018,0.880,2.261,0.812,0.209,2.342,0.191,0.589,1.448,0.230,0.660,1.397,0.619,2.242,7.348,0.068,0.374,2.219
FWI_3+,NDJF,0.012,0.057,1.662,1.144,1.574,0.216,0.075,0.022,0.192,0.790,0.036,0.214,0.179,0.023,0.590,0.001,0.028,0.459,0.005,0.029,0.037,0.057,0.041,0.487,0.012,0.481,0.300,0.043,0.098,0.016
FWI_4+,year,2.348,2.319,16.147,1.992,0.371,3.263,0.363,4.134,2.048,17.257,3.307,17.218,8.615,19.370,7.251,0.426,1.255,4.818,7.537,6.860,1.420,1.248,18.560,5.988,1.308,9.282,5.905,3.107,2.186,3.754
FWI_4+,MAMJJASO,2.343,2.185,16.124,1.852,0.368,3.256,0.362,4.133,2.043,17.237,3.306,17.216,8.597,19.323,7.251,0.424,1.251,4.812,7.537,6.860,1.420,1.237,18.551,5.982,1.294,9.280,5.896,3.099,2.184,3.748
FWI_4+,AMJJAS,2.333,1.910,16.005,1.847,0.151,2.655,0.294,4.044,2.007,17.074,3.075,17.045,8.576,19.154,7.236,0.420,1.165,4.789,7.532,6.801,1.416,1.232,18.541,5.965,1.251,9.052,5.893,3.093,2.101,3.741
FWI_4+,ONDJFM,0.011,0.005,0.412,0.141,0.143,0.219,0.607,0.068,0.094,0.067,0.152,0.235,0.192,0.020,0.217,0.010,0.009,0.114,0.002,0.005,0.058,0.013,0.008,0.028,0.013,0.056,0.243,0.003,0.011,0.089
FWI_4+,NDJF,0.002,0.003,0.134,0.023,0.141,0.002,0.007,0.001,0.005,0.018,0.003,0.004,0.018,0.001,0.046,0.000,0.002,0.008,0.002,0.000,0.000,0.004,0.006,0.015,0.001,0.014,0.012,0.002,0.007,0.003
FWI_5+,year,0.078,0.049,1.466,0.037,0.003,0.086,0.011,0.109,0.067,2.214,0.077,2.563,0.603,2.733,0.224,0.011,0.035,0.152,0.219,0.155,0.064,0.034,1.622,0.089,0.038,0.639,0.112,0.014,0.132,0.033
FWI_5+,MAMJJASO,0.077,0.034,1.463,0.016,0.003,0.084,0.011,0.109,0.067,2.213,0.077,2.561,0.598,2.729,0.224,0.011,0.034,0.149,0.219,0.155,0.064,0.033,1.621,0.089,0.037,0.639,0.111,0.013,0.132,0.033
