Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.656,16.891,16.944,15.354,15.278,15.786,14.946,16.502,17.466,17.234,16.288,17.189,16.158,17.488,16.583,14.829,16.888,16.511,17.275,17.568,16.663,17.159,17.967,16.648,16.935,17.635,17.520,17.247,17.153,15.594
TMAX,MAMJJASO,20.564,21.620,21.680,19.388,20.323,20.463,19.527,20.597,21.843,21.490,21.011,21.647,20.686,21.731,21.357,19.645,21.522,20.820,22.107,21.748,21.282,21.456,23.102,21.281,21.900,22.438,21.910,21.314,22.055,20.968
TMAX,AMJJAS,22.716,24.141,24.266,21.309,22.724,22.660,22.053,23.181,23.615,23.130,23.065,24.663,23.232,24.124,23.473,22.010,23.898,23.237,24.600,24.110,23.126,23.865,26.280,23.529,24.060,25.125,24.304,23.857,25.091,23.416
TMAX,ONDJFM,7.797,8.461,10.052,8.958,8.259,8.140,8.305,9.767,10.884,11.823,9.845,9.705,9.388,9.442,10.626,7.936,9.345,10.603,9.146,9.960,10.732,10.962,9.502,9.582,9.476,8.862,12.714,10.209,9.030,8.844
TMAX,NDJF,4.727,5.928,8.040,6.764,5.496,5.324,6.194,8.119,8.315,9.340,6.530,7.516,7.791,7.052,9.307,4.716,6.367,8.844,6.688,7.771,8.832,7.848,6.815,8.135,6.855,5.993,10.548,8.570,6.585,6.478
TMIN,year,7.225,7.645,7.746,7.105,6.428,6.851,6.717,8.017,7.969,7.958,6.980,8.023,7.314,8.526,7.702,6.319,7.504,7.943,8.276,8.713,7.941,8.345,7.619,7.576,7.486,8.092,8.130,7.861,7.532,6.467
TMIN,MAMJJASO,10.890,10.880,11.143,9.842,10.219,10.240,9.964,10.723,10.953,10.667,10.197,10.918,10.454,11.264,11.082,9.703,10.509,11.148,11.502,11.554,11.322,11.328,10.978,10.598,10.663,11.324,10.787,10.550,10.774,10.112
TMIN,AMJJAS,12.320,12.552,12.898,11.409,11.964,11.850,12.081,12.366,12.265,11.951,11.701,13.005,12.386,13.134,12.657,11.468,12.180,12.851,13.333,12.998,12.532,13.249,13.346,12.238,12.315,13.213,12.638,12.296,12.705,12.000
TMIN,ONDJFM,1.002,1.574,3.618,1.909,1.507,1.303,1.247,3.724,3.977,3.855,2.767,2.704,2.434,3.049,3.473,1.313,2.496,3.344,2.790,3.415,4.077,3.601,2.270,2.466,2.617,1.863,5.077,3.115,2.226,2.048
TMIN,NDJF,-1.386,-0.315,2.149,0.571,-0.817,-0.669,0.017,2.806,2.380,2.151,0.712,1.461,1.634,1.333,3.154,-0.976,0.469,2.394,0.931,1.983,2.580,1.501,0.638,1.855,1.100,0.131,4.010,2.202,0.570,0.636
TAVG,year,11.243,12.027,12.140,10.966,10.600,11.105,10.605,12.041,12.439,12.322,11.470,12.412,11.496,12.793,11.930,10.360,11.933,11.975,12.547,12.876,12.116,12.536,12.620,11.973,12.108,12.788,12.739,12.455,12.302,11.045
TAVG,MAMJJASO,15.434,15.964,16.153,14.289,14.901,15.038,14.411,15.405,16.113,15.772,15.412,16.063,15.267,16.233,15.947,14.386,15.671,15.698,16.508,16.332,16.069,16.139,16.851,15.755,16.119,16.776,16.249,15.831,16.344,15.477
TAVG,AMJJAS,17.227,18.116,18.353,16.065,17.003,16.974,16.713,17.528,17.734,17.313,17.283,18.687,17.546,18.446,17.851,16.510,17.772,17.754,18.737,18.265,17.653,18.325,19.710,17.725,18.080,19.090,18.423,18.008,18.838,17.697
TAVG,ONDJFM,4.317,4.839,6.650,5.226,4.705,4.582,4.638,6.548,7.181,7.448,6.086,5.954,5.680,6.033,6.821,4.432,5.676,6.689,5.792,6.468,7.163,7.057,5.704,5.833,5.956,5.284,8.758,6.520,5.584,5.468
TAVG,NDJF,1.689,2.742,4.997,3.549,2.262,2.355,3.070,5.306,5.192,5.417,3.552,4.345,4.581,4.072,6.150,1.819,3.315,5.415,3.739,4.767,5.534,4.577,3.628,4.868,3.955,3.097,7.206,5.273,3.599,3.648
RH,year,78.659,75.849,75.593,78.146,77.288,77.174,79.307,77.336,75.513,74.909,74.834,75.267,76.749,76.520,77.383,77.781,76.020,77.507,77.134,77.910,78.841,78.395,72.897,77.419,77.340,76.554,77.068,76.655,77.587,78.487
RH,MAMJJASO,75.472,71.869,71.834,74.878,74.485,74.184,76.069,73.483,71.306,70.518,71.108,70.495,72.891,72.448,73.735,74.428,71.804,74.601,72.859,74.461,75.414,74.956,67.328,73.265,72.899,72.250,72.934,73.040,73.272,73.760
RH,AMJJAS,73.468,69.029,69.358,73.752,72.271,72.030,75.128,70.228,69.248,68.739,68.616,67.250,71.100,70.390,71.427,72.413,69.491,72.975,70.297,71.700,72.598,73.551,64.188,71.285,70.822,69.264,70.820,70.315,70.174,72.079
RH,ONDJFM,82.509,83.026,83.120,81.197,82.889,82.305,82.849,84.485,83.500,80.005,81.422,82.571,81.927,83.475,82.508,83.404,83.429,80.875,84.463,84.163,84.446,83.050,82.982,82.450,83.995,84.952,82.363,82.563,85.581,84.391
RH,NDJF,84.183,84.724,83.595,83.826,83.398,83.310,84.809,85.688,85.851,81.591,83.334,84.706,84.162,84.838,84.960,84.846,84.512,83.197,85.751,85.622,84.820,84.952,85.825,84.278,86.344,86.965,84.601,83.650,86.986,86.825
RHmin,year,61.217,57.728,57.799,60.961,59.185,59.133,61.848,60.239,56.979,57.088,56.993,57.730,59.024,58.888,59.642,60.405,57.649,60.080,59.261,59.855,61.045,60.492,54.426,59.590,59.157,58.497,59.131,58.583,59.230,61.054
RHmin,MAMJJASO,56.609,52.391,52.966,56.240,54.860,54.694,56.776,55.044,51.873,51.305,51.878,51.703,53.808,53.324,54.645,55.382,51.671,56.199,53.322,55.104,56.475,55.793,47.822,53.816,52.851,52.915,53.351,53.793,53.467,54.480
RHmin,AMJJAS,54.113,49.366,50.279,55.273,52.431,52.470,55.628,51.327,50.073,49.891,49.756,48.398,51.866,51.569,52.586,53.458,49.408,54.004,50.904,51.889,53.777,54.277,44.982,51.710,51.023,49.910,51.434,50.942,49.777,52.909
RHmin,ONDJFM,66.605,66.556,67.589,64.650,66.619,66.287,66.281,69.422,67.009,61.918,65.084,65.860,65.508,67.864,65.654,67.355,66.911,64.139,68.864,68.076,67.887,65.910,66.256,65.699,67.845,68.387,65.085,66.025,69.237,68.723
RHmin,NDJF,69.304,69.334,69.254,68.486,68.089,68.975,69.809,71.897,70.771,64.391,69.231,69.551,68.965,70.432,69.914,70.656,69.905,67.628,71.236,70.985,69.126,69.434,70.430,68.780,71.827,72.405,68.827,68.322,71.976,72.627
PREC,year,1106.857,793.307,877.102,905.219,788.471,993.649,953.553,967.637,756.922,862.581,689.496,874.703,946.672,977.862,975.586,741.325,776.586,996.554,934.251,901.028,1018.212,1118.756,643.415,865.450,843.567,824.305,1037.601,833.795,873.195,929.123
PREC,MAMJJASO,736.872,522.206,574.102,605.425,535.028,664.689,670.423,587.463,517.342,507.866,425.052,598.250,586.115,662.067,631.275,534.438,520.843,765.033,537.254,627.943,678.332,712.414,424.970,555.674,552.726,611.473,665.936,596.270,568.028,610.342
PREC,AMJJAS,478.310,365.047,455.933,520.999,463.768,470.092,536.814,363.542,389.069,419.899,349.716,387.758,488.914,485.377,496.739,416.523,393.950,492.396,430.989,448.113,499.343,505.623,310.128,455.506,462.293,447.213,577.084,413.333,394.720,516.387
PREC,ONDJFM,262.070,539.531,498.705,396.315,321.895,406.647,494.545,563.711,393.445,423.280,363.629,425.183,438.251,567.134,553.914,239.417,404.210,391.855,579.046,528.115,446.015,515.361,494.849,404.500,399.844,366.973,443.671,433.296,381.866,450.202
PREC,NDJF,148.790,338.276,323.640,326.638,207.596,302.131,311.745,339.296,277.502,321.571,267.165,274.256,322.652,374.263,390.246,182.584,256.615,238.869,326.820,366.555,253.081,392.285,328.480,281.244,293.456,224.350,315.612,306.803,211.731,306.374
SRAD,year,3906.191,4334.994,4150.252,3875.646,4094.183,4092.324,3840.176,4007.549,4278.737,4312.655,4256.308,4241.642,4150.810,4235.593,4149.059,4009.446,4327.536,3947.628,4247.826,4141.968,4083.434,4065.981,4718.112,4193.431,4309.212,4377.069,4310.526,4198.551,4288.030,4101.752
SRAD,MAMJJASO,3501.808,3907.659,3726.470,3475.445,3680.995,3652.893,3489.218,3627.228,3843.250,3897.908,3824.516,3853.411,3765.849,3838.881,3753.242,3603.614,3923.101,3510.087,3858.704,3714.869,3664.510,3659.515,4236.596,3802.090,3898.780,3942.320,3927.897,3750.750,3895.336,3753.330
SRAD,AMJJAS,3058.487,3393.801,3247.959,2928.604,3200.511,3166.605,2955.504,3203.097,3295.220,3314.311,3300.173,3396.095,3236.216,3319.395,3214.073,3093.288,3401.733,3049.457,3332.770,3274.791,3198.723,3141.304,3643.479,3259.053,3314.842,3422.410,3349.190,3259.922,3438.438,3199.438
SRAD,ONDJFM,488.390,943.223,844.279,972.387,883.795,911.696,934.489,808.930,902.985,1030.642,953.241,900.887,926.769,843.101,954.585,941.512,896.520,964.144,858.924,878.558,853.842,985.698,1004.929,956.768,937.894,978.414,1000.163,948.089,858.058,893.375
SRAD,NDJF,236.725,422.728,400.069,422.059,428.509,407.892,395.552,361.837,391.838,469.878,419.037,388.356,400.042,379.146,395.163,408.431,402.962,433.077,399.476,400.528,431.605,425.137,438.169,422.826,400.634,420.045,412.166,440.142,393.168,374.359
WIND,year,3.042,2.849,3.151,2.911,2.867,3.008,2.841,3.088,2.811,3.143,2.887,2.969,3.077,3.134,3.041,2.858,2.951,3.265,3.212,3.148,3.066,3.121,2.987,3.107,2.992,3.020,3.242,3.149,3.007,3.059
WIND,MAMJJASO,2.786,2.680,2.905,2.667,2.730,2.669,2.755,2.776,2.693,2.830,2.685,2.802,2.748,2.931,2.770,2.689,2.805,3.135,2.854,2.868,2.924,2.811,2.809,2.928,2.728,2.874,2.893,2.950,2.870,2.913
WIND,AMJJAS,2.526,2.553,2.700,2.607,2.789,2.518,2.614,2.614,2.507,2.639,2.650,2.621,2.675,2.644,2.634,2.618,2.665,2.836,2.747,2.640,2.851,2.605,2.730,2.844,2.634,2.741,2.883,2.730,2.741,2.757
WIND,ONDJFM,3.548,3.296,3.624,3.387,2.914,3.255,3.249,3.509,3.251,3.497,3.169,3.236,3.428,3.677,3.788,2.889,3.167,3.467,3.674,3.860,3.299,3.617,3.219,3.475,3.403,3.084,3.779,3.553,3.168,3.394
WIND,NDJF,3.477,3.235,3.874,3.537,2.903,3.513,3.318,3.569,3.327,3.567,3.287,3.241,3.631,3.650,3.881,3.046,3.259,3.461,3.675,3.958,3.341,3.905,3.191,3.588,3.558,3.084,4.011,3.669,3.152,3.421
VPD,year,0.389,0.479,0.506,0.381,0.408,0.426,0.354,0.428,0.490,0.493,0.475,0.517,0.432,0.497,0.460,0.389,0.464,0.432,0.473,0.445,0.428,0.423,0.610,0.440,0.451,0.512,0.452,0.466,0.453,0.430
VPD,MAMJJASO,0.520,0.644,0.683,0.501,0.544,0.567,0.474,0.570,0.655,0.655,0.637,0.702,0.579,0.669,0.619,0.521,0.621,0.567,0.641,0.587,0.577,0.561,0.841,0.594,0.614,0.697,0.603,0.617,0.615,0.593
VPD,AMJJAS,0.606,0.774,0.818,0.579,0.640,0.671,0.550,0.689,0.758,0.751,0.753,0.858,0.682,0.799,0.738,0.620,0.733,0.668,0.768,0.703,0.688,0.658,1.026,0.696,0.722,0.842,0.711,0.743,0.749,0.701
VPD,ONDJFM,0.172,0.172,0.183,0.192,0.168,0.178,0.168,0.171,0.193,0.249,0.203,0.187,0.185,0.175,0.194,0.159,0.179,0.217,0.165,0.173,0.178,0.203,0.180,0.184,0.173,0.158,0.228,0.188,0.148,0.168
VPD,NDJF,0.115,0.126,0.156,0.137,0.131,0.131,0.127,0.137,0.133,0.192,0.137,0.137,0.144,0.130,0.156,0.111,0.137,0.168,0.125,0.135,0.152,0.143,0.118,0.148,0.117,0.104,0.172,0.158,0.110,0.120
FWI_FD,year,1.838,3.322,3.856,2.039,2.220,2.412,1.452,2.712,3.336,3.369,3.599,3.335,2.293,2.834,2.615,2.244,3.110,2.277,2.935,2.302,2.174,2.111,4.674,2.305,2.426,3.169,2.433,2.661,2.700,2.352
FWI_FD,MAMJJASO,2.647,4.672,5.394,2.748,3.150,3.386,2.060,3.890,4.721,4.806,5.176,4.858,3.271,4.079,3.780,3.199,4.438,3.172,4.269,3.267,3.118,3.007,6.753,3.309,3.476,4.562,3.501,3.755,3.923,3.424
FWI_FD,AMJJAS,3.372,5.826,6.599,3.263,3.349,3.926,2.318,4.866,5.698,5.523,6.210,6.105,3.979,4.972,4.594,3.950,5.292,4.028,5.288,4.119,3.886,3.748,8.513,4.013,4.000,5.606,4.203,4.834,4.991,4.191
FWI_FD,ONDJFM,0.299,0.369,0.776,1.204,0.661,1.110,0.821,0.572,0.822,1.161,1.033,0.793,0.707,0.388,0.727,0.754,0.503,1.048,0.280,0.529,0.472,0.647,0.591,0.644,0.533,0.748,0.918,0.612,0.351,0.412
FWI_FD,NDJF,0.179,0.229,0.567,0.696,0.598,0.347,0.370,0.253,0.457,0.646,0.285,0.311,0.260,0.232,0.285,0.323,0.272,0.623,0.188,0.206,0.373,0.338,0.214,0.431,0.232,0.258,0.388,0.391,0.246,0.169
FWI_3+,year,12.587,39.090,50.087,15.608,15.956,23.959,7.982,29.070,39.752,37.424,45.469,41.288,21.559,30.809,28.723,20.039,36.263,24.456,33.441,23.041,23.359,16.850,60.183,20.732,21.833,38.677,24.815,27.622,28.170,24.042
FWI_3+,MAMJJASO,12.530,38.323,49.826,15.301,15.770,23.859,7.971,29.032,39.735,37.286,45.425,41.284,21.552,30.777,28.723,19.998,36.251,24.434,33.437,22.982,23.348,16.815,60.173,20.721,21.829,38.666,24.802,27.607,28.162,24.011
FWI_3+,AMJJAS,12.380,37.036,48.258,15.048,13.081,23.380,7.046,27.932,38.557,35.645,43.572,40.499,21.330,30.046,28.611,19.993,34.285,24.416,32.893,22.735,23.301,16.751,60.040,20.460,21.409,37.786,24.757,27.591,27.601,23.897
FWI_3+,ONDJFM,0.038,0.173,2.055,1.862,0.524,2.878,0.575,0.937,1.157,1.488,1.480,1.894,0.796,0.215,0.767,0.107,0.049,2.001,0.012,0.548,0.308,0.096,0.115,0.143,0.231,0.410,0.919,0.044,0.017,0.573
FWI_3+,NDJF,0.003,0.054,0.767,0.263,0.305,0.187,0.099,0.013,0.040,0.151,0.005,0.042,0.009,0.000,0.032,0.002,0.040,0.032,0.002,0.004,0.061,0.044,0.001,0.020,0.000,0.004,0.012,0.023,0.005,0.007
FWI_4+,year,0.175,8.168,12.455,1.078,0.842,2.303,0.267,3.630,6.045,8.372,8.012,9.421,2.183,8.243,7.244,0.857,3.390,2.884,6.446,2.793,1.219,0.617,17.951,2.709,0.905,8.611,2.221,4.542,2.153,5.230
FWI_4+,MAMJJASO,0.173,8.113,12.454,1.066,0.838,2.299,0.266,3.629,6.044,8.363,8.011,9.421,2.183,8.242,7.244,0.856,3.390,2.884,6.445,2.793,1.219,0.617,17.950,2.709,0.905,8.611,2.220,4.541,2.153,5.230
